"","FN13","FN23"
"ENSG00000005882","ENSG00000005882","PDK2"
"ENSG00000005884","ENSG00000005884","ITGA3"
"ENSG00000005889","ENSG00000005889","ZFX"
"ENSG00000005893","ENSG00000005893","LAMP2"
"ENSG00000005961","ENSG00000005961","ITGA2B"
"ENSG00000005981","ENSG00000005981","ASB4"
"ENSG00000006007","ENSG00000006007","GDE1"
"ENSG00000006015","ENSG00000006015","REX1BD"
"ENSG00000006025","ENSG00000006025","OSBPL7"
"ENSG00000006042","ENSG00000006042","TMEM98"
"ENSG00000006047","ENSG00000006047","YBX2"
"ENSG00000006062","ENSG00000006062","MAP3K14"
"ENSG00000006071","ENSG00000006071","ABCC8"
"ENSG00000006118","ENSG00000006118","TMEM132A"
"ENSG00000006125","ENSG00000006125","AP2B1"
"ENSG00000006194","ENSG00000006194","ZNF263"
"ENSG00000006210","ENSG00000006210","CX3CL1"
"ENSG00000006282","ENSG00000006282","SPATA20"
"ENSG00000006327","ENSG00000006327","TNFRSF12A"
"ENSG00000006432","ENSG00000006432","MAP3K9"
"ENSG00000006451","ENSG00000006451","RALA"
"ENSG00000006453","ENSG00000006453","BAIAP2L1"
"ENSG00000006459","ENSG00000006459","KDM7A"
"ENSG00000006468","ENSG00000006468","ETV1"
"ENSG00000006530","ENSG00000006530","AGK"
"ENSG00000006534","ENSG00000006534","ALDH3B1"
"ENSG00000006555","ENSG00000006555","TTC22"
"ENSG00000006576","ENSG00000006576","PHTF2"
"ENSG00000006607","ENSG00000006607","FARP2"
"ENSG00000006611","ENSG00000006611","USH1C"
"ENSG00000006625","ENSG00000006625","GGCT"
"ENSG00000006634","ENSG00000006634","DBF4"
"ENSG00000006638","ENSG00000006638","TBXA2R"
"ENSG00000006652","ENSG00000006652","IFRD1"
"ENSG00000006695","ENSG00000006695","COX10"
"ENSG00000006704","ENSG00000006704","GTF2IRD1"
"ENSG00000006712","ENSG00000006712","PAF1"
"ENSG00000006715","ENSG00000006715","VPS41"
"ENSG00000006740","ENSG00000006740","ARHGAP44"
"ENSG00000006744","ENSG00000006744","ELAC2"
"ENSG00000006756","ENSG00000006756","ARSD"
"ENSG00000006757","ENSG00000006757","PNPLA4"
"ENSG00000006831","ENSG00000006831","ADIPOR2"
"ENSG00000007001","ENSG00000007001","UPP2"
"ENSG00000007047","ENSG00000007047","MARK4"
"ENSG00000007062","ENSG00000007062","PROM1"
"ENSG00000007080","ENSG00000007080","CCDC124"
"ENSG00000007129","ENSG00000007129","CEACAM21"
"ENSG00000007168","ENSG00000007168","PAFAH1B1"
"ENSG00000007171","ENSG00000007171","NOS2"
"ENSG00000007202","ENSG00000007202","KIAA0100"
"ENSG00000007216","ENSG00000007216","SLC13A2"
"ENSG00000007237","ENSG00000007237","GAS7"
"ENSG00000007255","ENSG00000007255","TRAPPC6A"
"ENSG00000007264","ENSG00000007264","MATK"
"ENSG00000007312","ENSG00000007312","CD79B"
"ENSG00000007314","ENSG00000007314","SCN4A"
"ENSG00000007341","ENSG00000007341","ST7L"
"ENSG00000007350","ENSG00000007350","TKTL1"
"ENSG00000007376","ENSG00000007376","RPUSD1"
"ENSG00000007384","ENSG00000007384","RHBDF1"
"ENSG00000007392","ENSG00000007392","LUC7L"
"ENSG00000007402","ENSG00000007402","CACNA2D2"
"ENSG00000007516","ENSG00000007516","BAIAP3"
"ENSG00000007520","ENSG00000007520","TSR3"
"ENSG00000007541","ENSG00000007541","PIGQ"
"ENSG00000007545","ENSG00000007545","CRAMP1"
"ENSG00000007866","ENSG00000007866","TEAD3"
"ENSG00000007908","ENSG00000007908","SELE"
"ENSG00000007923","ENSG00000007923","DNAJC11"
"ENSG00000007933","ENSG00000007933","FMO3"
"ENSG00000007944","ENSG00000007944","MYLIP"
"ENSG00000007952","ENSG00000007952","NOX1"
"ENSG00000007968","ENSG00000007968","E2F2"
"ENSG00000008018","ENSG00000008018","PSMB1"
"ENSG00000008056","ENSG00000008056","SYN1"
"ENSG00000008083","ENSG00000008083","JARID2"
"ENSG00000008086","ENSG00000008086","CDKL5"
"ENSG00000008118","ENSG00000008118","CAMK1G"
"ENSG00000008128","ENSG00000008128","CDK11A"
"ENSG00000008130","ENSG00000008130","NADK"
"ENSG00000008226","ENSG00000008226","DLEC1"
"ENSG00000008256","ENSG00000008256","CYTH3"
"ENSG00000008277","ENSG00000008277","ADAM22"
"ENSG00000008282","ENSG00000008282","SYPL1"
"ENSG00000008283","ENSG00000008283","CYB561"
"ENSG00000008294","ENSG00000008294","SPAG9"
"ENSG00000008300","ENSG00000008300","CELSR3"
"ENSG00000008311","ENSG00000008311","AASS"
"ENSG00000008323","ENSG00000008323","PLEKHG6"
"ENSG00000008324","ENSG00000008324","SS18L2"
"ENSG00000008382","ENSG00000008382","MPND"
"ENSG00000008394","ENSG00000008394","MGST1"
"ENSG00000008405","ENSG00000008405","CRY1"
"ENSG00000008438","ENSG00000008438","PGLYRP1"
"ENSG00000008441","ENSG00000008441","NFIX"
"ENSG00000008513","ENSG00000008513","ST3GAL1"
"ENSG00000008516","ENSG00000008516","MMP25"
"ENSG00000008517","ENSG00000008517","IL32"
"ENSG00000008710","ENSG00000008710","PKD1"
"ENSG00000008735","ENSG00000008735","MAPK8IP2"
"ENSG00000008838","ENSG00000008838","MED24"
"ENSG00000008853","ENSG00000008853","RHOBTB2"
"ENSG00000008869","ENSG00000008869","HEATR5B"
"ENSG00000008952","ENSG00000008952","SEC62"
"ENSG00000008988","ENSG00000008988","RPS20"
"ENSG00000009307","ENSG00000009307","CSDE1"
"ENSG00000009335","ENSG00000009335","UBE3C"
"ENSG00000009413","ENSG00000009413","REV3L"
"ENSG00000009694","ENSG00000009694","TENM1"
"ENSG00000009724","ENSG00000009724","MASP2"
"ENSG00000009765","ENSG00000009765","IYD"
"ENSG00000009780","ENSG00000009780","FAM76A"
"ENSG00000009790","ENSG00000009790","TRAF3IP3"
"ENSG00000009830","ENSG00000009830","POMT2"
"ENSG00000009844","ENSG00000009844","VTA1"
"ENSG00000009950","ENSG00000009950","MLXIPL"
"ENSG00000009954","ENSG00000009954","BAZ1B"
"ENSG00000010017","ENSG00000010017","RANBP9"
"ENSG00000010030","ENSG00000010030","ETV7"
"ENSG00000010072","ENSG00000010072","SPRTN"
"ENSG00000010165","ENSG00000010165","EEF1AKNMT"
"ENSG00000010219","ENSG00000010219","DYRK4"
"ENSG00000010244","ENSG00000010244","ZNF207"
"ENSG00000010256","ENSG00000010256","UQCRC1"
"ENSG00000010270","ENSG00000010270","STARD3NL"
"ENSG00000010278","ENSG00000010278","CD9"
"ENSG00000010292","ENSG00000010292","NCAPD2"
"ENSG00000010295","ENSG00000010295","IFFO1"
"ENSG00000010310","ENSG00000010310","GIPR"
"ENSG00000010318","ENSG00000010318","PHF7"
"ENSG00000010319","ENSG00000010319","SEMA3G"
"ENSG00000010322","ENSG00000010322","NISCH"
"ENSG00000010327","ENSG00000010327","STAB1"
"ENSG00000010361","ENSG00000010361","FUZ"
"ENSG00000010379","ENSG00000010379","SLC6A13"
"ENSG00000010404","ENSG00000010404","IDS"
"ENSG00000010438","ENSG00000010438","PRSS3"
"ENSG00000010539","ENSG00000010539","ZNF200"
"ENSG00000010610","ENSG00000010610","CD4"
"ENSG00000010626","ENSG00000010626","LRRC23"
"ENSG00000010671","ENSG00000010671","BTK"
"ENSG00000010704","ENSG00000010704","HFE"
"ENSG00000010803","ENSG00000010803","SCMH1"
"ENSG00000010810","ENSG00000010810","FYN"
"ENSG00000010818","ENSG00000010818","HIVEP2"
"ENSG00000010932","ENSG00000010932","FMO1"
"ENSG00000011007","ENSG00000011007","ELOA"
"ENSG00000011009","ENSG00000011009","LYPLA2"
"ENSG00000011021","ENSG00000011021","CLCN6"
"ENSG00000011028","ENSG00000011028","MRC2"
"ENSG00000011105","ENSG00000011105","TSPAN9"
"ENSG00000011114","ENSG00000011114","BTBD7"
"ENSG00000011132","ENSG00000011132","APBA3"
"ENSG00000011143","ENSG00000011143","MKS1"
"ENSG00000011198","ENSG00000011198","ABHD5"
"ENSG00000011201","ENSG00000011201","ANOS1"
"ENSG00000011243","ENSG00000011243","AKAP8L"
"ENSG00000011258","ENSG00000011258","MBTD1"
"ENSG00000011260","ENSG00000011260","UTP18"
"ENSG00000011275","ENSG00000011275","RNF216"
"ENSG00000011295","ENSG00000011295","TTC19"
"ENSG00000011304","ENSG00000011304","PTBP1"
"ENSG00000011347","ENSG00000011347","SYT7"
"ENSG00000011376","ENSG00000011376","LARS2"
"ENSG00000011405","ENSG00000011405","PIK3C2A"
"ENSG00000011422","ENSG00000011422","PLAUR"
"ENSG00000011426","ENSG00000011426","ANLN"
"ENSG00000011451","ENSG00000011451","WIZ"
"ENSG00000011454","ENSG00000011454","RABGAP1"
"ENSG00000011465","ENSG00000011465","DCN"
"ENSG00000011478","ENSG00000011478","QPCTL"
"ENSG00000011485","ENSG00000011485","PPP5C"
"ENSG00000011523","ENSG00000011523","CEP68"
"ENSG00000011566","ENSG00000011566","MAP4K3"
"ENSG00000011600","ENSG00000011600","TYROBP"
"ENSG00000011638","ENSG00000011638","TMEM159"
"ENSG00000012048","ENSG00000012048","BRCA1"
"ENSG00000012061","ENSG00000012061","ERCC1"
"ENSG00000012124","ENSG00000012124","CD22"
"ENSG00000012171","ENSG00000012171","SEMA3B"
"ENSG00000012174","ENSG00000012174","MBTPS2"
"ENSG00000012211","ENSG00000012211","PRICKLE3"
"ENSG00000012223","ENSG00000012223","LTF"
"ENSG00000012232","ENSG00000012232","EXTL3"
"ENSG00000012504","ENSG00000012504","NR1H4"
"ENSG00000012660","ENSG00000012660","ELOVL5"
"ENSG00000012779","ENSG00000012779","ALOX5"
"ENSG00000012817","ENSG00000012817","KDM5D"
"ENSG00000012822","ENSG00000012822","CALCOCO1"
"ENSG00000012963","ENSG00000012963","UBR7"
"ENSG00000012983","ENSG00000012983","MAP4K5"
"ENSG00000013016","ENSG00000013016","EHD3"
"ENSG00000013275","ENSG00000013275","PSMC4"
"ENSG00000013288","ENSG00000013288","MAN2B2"
"ENSG00000013297","ENSG00000013297","CLDN11"
"ENSG00000013306","ENSG00000013306","SLC25A39"
"ENSG00000013364","ENSG00000013364","MVP"
"ENSG00000013374","ENSG00000013374","NUB1"
"ENSG00000013375","ENSG00000013375","PGM3"
"ENSG00000013392","ENSG00000013392","RWDD2A"
"ENSG00000013441","ENSG00000013441","CLK1"
"ENSG00000013503","ENSG00000013503","POLR3B"
"ENSG00000013523","ENSG00000013523","ANGEL1"
"ENSG00000013561","ENSG00000013561","RNF14"
"ENSG00000013563","ENSG00000013563","DNASE1L1"
"ENSG00000013573","ENSG00000013573","DDX11"
"ENSG00000013583","ENSG00000013583","HEBP1"
"ENSG00000013588","ENSG00000013588","GPRC5A"
"ENSG00000013619","ENSG00000013619","MAMLD1"
"ENSG00000013725","ENSG00000013725","CD6"
"ENSG00000013810","ENSG00000013810","TACC3"
"ENSG00000014123","ENSG00000014123","UFL1"
"ENSG00000014138","ENSG00000014138","POLA2"
"ENSG00000014164","ENSG00000014164","ZC3H3"
"ENSG00000014216","ENSG00000014216","CAPN1"
"ENSG00000014641","ENSG00000014641","MDH1"
"ENSG00000014824","ENSG00000014824","SLC30A9"
"ENSG00000014914","ENSG00000014914","MTMR11"
"ENSG00000014919","ENSG00000014919","COX15"
"ENSG00000015133","ENSG00000015133","CCDC88C"
"ENSG00000015153","ENSG00000015153","YAF2"
"ENSG00000015171","ENSG00000015171","ZMYND11"
"ENSG00000015285","ENSG00000015285","WAS"
"ENSG00000015475","ENSG00000015475","BID"
"ENSG00000015479","ENSG00000015479","MATR3"
"ENSG00000015520","ENSG00000015520","NPC1L1"
"ENSG00000015532","ENSG00000015532","XYLT2"
"ENSG00000015676","ENSG00000015676","NUDCD3"
"ENSG00000016391","ENSG00000016391","CHDH"
"ENSG00000016402","ENSG00000016402","IL20RA"
"ENSG00000016864","ENSG00000016864","GLT8D1"
"ENSG00000017260","ENSG00000017260","ATP2C1"
"ENSG00000017427","ENSG00000017427","IGF1"
"ENSG00000017483","ENSG00000017483","SLC38A5"
"ENSG00000017797","ENSG00000017797","RALBP1"
"ENSG00000018189","ENSG00000018189","RUFY3"
"ENSG00000018236","ENSG00000018236","CNTN1"
"ENSG00000018280","ENSG00000018280","SLC11A1"
"ENSG00000018408","ENSG00000018408","WWTR1"
"ENSG00000018510","ENSG00000018510","AGPS"
"ENSG00000018610","ENSG00000018610","CXorf56"
"ENSG00000018625","ENSG00000018625","ATP1A2"
"ENSG00000018699","ENSG00000018699","TTC27"
"ENSG00000018869","ENSG00000018869","ZNF582"
"ENSG00000019102","ENSG00000019102","VSIG2"
"ENSG00000019144","ENSG00000019144","PHLDB1"
"ENSG00000019169","ENSG00000019169","MARCO"
"ENSG00000019485","ENSG00000019485","PRDM11"
"ENSG00000019505","ENSG00000019505","SYT13"
"ENSG00000019549","ENSG00000019549","SNAI2"
"ENSG00000019582","ENSG00000019582","CD74"
"ENSG00000019991","ENSG00000019991","HGF"
"ENSG00000019995","ENSG00000019995","ZRANB1"
"ENSG00000020129","ENSG00000020129","NCDN"
"ENSG00000020181","ENSG00000020181","ADGRA2"
"ENSG00000020256","ENSG00000020256","ZFP64"
"ENSG00000020426","ENSG00000020426","MNAT1"
"ENSG00000020577","ENSG00000020577","SAMD4A"
"ENSG00000020633","ENSG00000020633","RUNX3"
"ENSG00000020922","ENSG00000020922","MRE11"
"ENSG00000021300","ENSG00000021300","PLEKHB1"
"ENSG00000021355","ENSG00000021355","SERPINB1"
"ENSG00000021461","ENSG00000021461","CYP3A43"
"ENSG00000021488","ENSG00000021488","SLC7A9"
"ENSG00000021574","ENSG00000021574","SPAST"
"ENSG00000021645","ENSG00000021645","NRXN3"
"ENSG00000021762","ENSG00000021762","OSBPL5"
"ENSG00000021776","ENSG00000021776","AQR"
"ENSG00000021826","ENSG00000021826","CPS1"
"ENSG00000021852","ENSG00000021852","C8B"
"ENSG00000022267","ENSG00000022267","FHL1"
"ENSG00000022277","ENSG00000022277","RTF2"
"ENSG00000022556","ENSG00000022556","NLRP2"
"ENSG00000022567","ENSG00000022567","SLC45A4"
"ENSG00000022840","ENSG00000022840","RNF10"
"ENSG00000022976","ENSG00000022976","ZNF839"
"ENSG00000023041","ENSG00000023041","ZDHHC6"
"ENSG00000023171","ENSG00000023171","GRAMD1B"
"ENSG00000023191","ENSG00000023191","RNH1"
"ENSG00000023228","ENSG00000023228","NDUFS1"
"ENSG00000023287","ENSG00000023287","RB1CC1"
"ENSG00000023318","ENSG00000023318","ERP44"
"ENSG00000023330","ENSG00000023330","ALAS1"
"ENSG00000023445","ENSG00000023445","BIRC3"
"ENSG00000023516","ENSG00000023516","AKAP11"
"ENSG00000023572","ENSG00000023572","GLRX2"
"ENSG00000023608","ENSG00000023608","SNAPC1"
"ENSG00000023697","ENSG00000023697","DERA"
"ENSG00000023734","ENSG00000023734","STRAP"
"ENSG00000023839","ENSG00000023839","ABCC2"
"ENSG00000023892","ENSG00000023892","DEF6"
"ENSG00000023902","ENSG00000023902","PLEKHO1"
"ENSG00000023909","ENSG00000023909","GCLM"
"ENSG00000024048","ENSG00000024048","UBR2"
"ENSG00000024422","ENSG00000024422","EHD2"
"ENSG00000024526","ENSG00000024526","DEPDC1"
"ENSG00000024862","ENSG00000024862","CCDC28A"
"ENSG00000025039","ENSG00000025039","RRAGD"
"ENSG00000025156","ENSG00000025156","HSF2"
"ENSG00000025293","ENSG00000025293","PHF20"
"ENSG00000025423","ENSG00000025423","HSD17B6"
"ENSG00000025434","ENSG00000025434","NR1H3"
"ENSG00000025708","ENSG00000025708","TYMP"
"ENSG00000025770","ENSG00000025770","NCAPH2"
"ENSG00000025772","ENSG00000025772","TOMM34"
"ENSG00000025796","ENSG00000025796","SEC63"
"ENSG00000025800","ENSG00000025800","KPNA6"
"ENSG00000026025","ENSG00000026025","VIM"
"ENSG00000026036","ENSG00000026036","RTEL1-TNFRSF6B"
"ENSG00000026103","ENSG00000026103","FAS"
"ENSG00000026297","ENSG00000026297","RNASET2"
"ENSG00000026508","ENSG00000026508","CD44"
"ENSG00000026559","ENSG00000026559","KCNG1"
"ENSG00000026652","ENSG00000026652","AGPAT4"
"ENSG00000026751","ENSG00000026751","SLAMF7"
"ENSG00000026950","ENSG00000026950","BTN3A1"
"ENSG00000027001","ENSG00000027001","MIPEP"
"ENSG00000027075","ENSG00000027075","PRKCH"
"ENSG00000027697","ENSG00000027697","IFNGR1"
"ENSG00000027847","ENSG00000027847","B4GALT7"
"ENSG00000027869","ENSG00000027869","SH2D2A"
"ENSG00000028116","ENSG00000028116","VRK2"
"ENSG00000028137","ENSG00000028137","TNFRSF1B"
"ENSG00000028203","ENSG00000028203","VEZT"
"ENSG00000028277","ENSG00000028277","POU2F2"
"ENSG00000028310","ENSG00000028310","BRD9"
"ENSG00000028528","ENSG00000028528","SNX1"
"ENSG00000028839","ENSG00000028839","TBPL1"
"ENSG00000029153","ENSG00000029153","ARNTL2"
"ENSG00000029363","ENSG00000029363","BCLAF1"
"ENSG00000029364","ENSG00000029364","SLC39A9"
"ENSG00000029534","ENSG00000029534","ANK1"
"ENSG00000029639","ENSG00000029639","TFB1M"
"ENSG00000029725","ENSG00000029725","RABEP1"
"ENSG00000029993","ENSG00000029993","HMGB3"
"ENSG00000030066","ENSG00000030066","NUP160"
"ENSG00000030110","ENSG00000030110","BAK1"
"ENSG00000030304","ENSG00000030304","MUSK"
"ENSG00000030419","ENSG00000030419","IKZF2"
"ENSG00000030582","ENSG00000030582","GRN"
"ENSG00000031003","ENSG00000031003","FAM13B"
"ENSG00000031081","ENSG00000031081","ARHGAP31"
"ENSG00000031691","ENSG00000031691","CENPQ"
"ENSG00000031698","ENSG00000031698","SARS1"
"ENSG00000031823","ENSG00000031823","RANBP3"
"ENSG00000032219","ENSG00000032219","ARID4A"
"ENSG00000032389","ENSG00000032389","EIPR1"
"ENSG00000032444","ENSG00000032444","PNPLA6"
"ENSG00000032742","ENSG00000032742","IFT88"
"ENSG00000033011","ENSG00000033011","ALG1"
"ENSG00000033030","ENSG00000033030","ZCCHC8"
"ENSG00000033050","ENSG00000033050","ABCF2"
"ENSG00000033100","ENSG00000033100","CHPF2"
"ENSG00000033122","ENSG00000033122","LRRC7"
"ENSG00000033170","ENSG00000033170","FUT8"
"ENSG00000033178","ENSG00000033178","UBA6"
"ENSG00000033327","ENSG00000033327","GAB2"
"ENSG00000033627","ENSG00000033627","ATP6V0A1"
"ENSG00000033800","ENSG00000033800","PIAS1"
"ENSG00000033867","ENSG00000033867","SLC4A7"
"ENSG00000034053","ENSG00000034053","APBA2"
"ENSG00000034152","ENSG00000034152","MAP2K3"
"ENSG00000034239","ENSG00000034239","EFCAB1"
"ENSG00000034510","ENSG00000034510","TMSB10"
"ENSG00000034533","ENSG00000034533","ASTE1"
"ENSG00000034677","ENSG00000034677","RNF19A"
"ENSG00000034693","ENSG00000034693","PEX3"
"ENSG00000034713","ENSG00000034713","GABARAPL2"
"ENSG00000035115","ENSG00000035115","SH3YL1"
"ENSG00000035141","ENSG00000035141","FAM136A"
"ENSG00000035403","ENSG00000035403","VCL"
"ENSG00000035499","ENSG00000035499","DEPDC1B"
"ENSG00000035664","ENSG00000035664","DAPK2"
"ENSG00000035681","ENSG00000035681","NSMAF"
"ENSG00000035687","ENSG00000035687","ADSS2"
"ENSG00000035862","ENSG00000035862","TIMP2"
"ENSG00000035928","ENSG00000035928","RFC1"
"ENSG00000036054","ENSG00000036054","TBC1D23"
"ENSG00000036257","ENSG00000036257","CUL3"
"ENSG00000036448","ENSG00000036448","MYOM2"
"ENSG00000036473","ENSG00000036473","OTC"
"ENSG00000036530","ENSG00000036530","CYP46A1"
"ENSG00000036549","ENSG00000036549","ZZZ3"
"ENSG00000036672","ENSG00000036672","USP2"
"ENSG00000036828","ENSG00000036828","CASR"
"ENSG00000037042","ENSG00000037042","TUBG2"
"ENSG00000037241","ENSG00000037241","RPL26L1"
"ENSG00000037280","ENSG00000037280","FLT4"
"ENSG00000037474","ENSG00000037474","NSUN2"
"ENSG00000037637","ENSG00000037637","FBXO42"
"ENSG00000037749","ENSG00000037749","MFAP3"
"ENSG00000037757","ENSG00000037757","MRI1"
"ENSG00000037897","ENSG00000037897","METTL1"
"ENSG00000038002","ENSG00000038002","AGA"
"ENSG00000038210","ENSG00000038210","PI4K2B"
"ENSG00000038219","ENSG00000038219","BOD1L1"
"ENSG00000038274","ENSG00000038274","MAT2B"
"ENSG00000038295","ENSG00000038295","TLL1"
"ENSG00000038358","ENSG00000038358","EDC4"
"ENSG00000038382","ENSG00000038382","TRIO"
"ENSG00000038427","ENSG00000038427","VCAN"
"ENSG00000038532","ENSG00000038532","CLEC16A"
"ENSG00000038945","ENSG00000038945","MSR1"
"ENSG00000039068","ENSG00000039068","CDH1"
"ENSG00000039123","ENSG00000039123","MTREX"
"ENSG00000039139","ENSG00000039139","DNAH5"
"ENSG00000039319","ENSG00000039319","ZFYVE16"
"ENSG00000039523","ENSG00000039523","RIPOR1"
"ENSG00000039537","ENSG00000039537","C6"
"ENSG00000039560","ENSG00000039560","RAI14"
"ENSG00000039650","ENSG00000039650","PNKP"
"ENSG00000040199","ENSG00000040199","PHLPP2"
"ENSG00000040275","ENSG00000040275","SPDL1"
"ENSG00000040341","ENSG00000040341","STAU2"
"ENSG00000040487","ENSG00000040487","SLC66A1"
"ENSG00000040531","ENSG00000040531","CTNS"
"ENSG00000040608","ENSG00000040608","RTN4R"
"ENSG00000040633","ENSG00000040633","PHF23"
"ENSG00000040933","ENSG00000040933","INPP4A"
"ENSG00000041353","ENSG00000041353","RAB27B"
"ENSG00000041357","ENSG00000041357","PSMA4"
"ENSG00000041515","ENSG00000041515","MYO16"
"ENSG00000041802","ENSG00000041802","LSG1"
"ENSG00000041880","ENSG00000041880","PARP3"
"ENSG00000041982","ENSG00000041982","TNC"
"ENSG00000041988","ENSG00000041988","THAP3"
"ENSG00000042062","ENSG00000042062","RIPOR3"
"ENSG00000042088","ENSG00000042088","TDP1"
"ENSG00000042286","ENSG00000042286","AIFM2"
"ENSG00000042317","ENSG00000042317","SPATA7"
"ENSG00000042429","ENSG00000042429","MED17"
"ENSG00000042445","ENSG00000042445","RETSAT"
"ENSG00000042493","ENSG00000042493","CAPG"
"ENSG00000042753","ENSG00000042753","AP2S1"
"ENSG00000042781","ENSG00000042781","USH2A"
"ENSG00000042832","ENSG00000042832","TG"
"ENSG00000042980","ENSG00000042980","ADAM28"
"ENSG00000043093","ENSG00000043093","DCUN1D1"
"ENSG00000043143","ENSG00000043143","JADE2"
"ENSG00000043462","ENSG00000043462","LCP2"
"ENSG00000043514","ENSG00000043514","TRIT1"
