"","original.FBgn","updated.FBgn","Entrez.NCBI.gene.ID","Symbol","KEGG.ID","cluster","mt","Chromosome","Location"
"FBgn0000097","FBgn0000097","FBgn0000097","33392","aop","dme:Dmel_CG3166",5,0,"2L",-2156483
"FBgn0266704","FBgn0266704","FBgn0266704","FBgn0266704","FBgn0266704","",0,0,"0",0
"FBgn0000100","FBgn0000100","FBgn0000100","40451","RpLP0","dme:Dmel_CG7490",5,0,"3L",22076091
"FBgn0000108","FBgn0000108","FBgn0000108","31002","Appl","dme:Dmel_CG7727",0,0,"X",530500
"FBgn0000109","FBgn0000109","FBgn0000109","48224","Aprt","dme:Dmel_CG18315",5,0,"3L",-1883891
"FBgn0000114","FBgn0000114","FBgn0000114","34648","bru1","dme:Dmel_CG31762",1,0,"2L",12270931
"FBgn0000115","FBgn0000115","FBgn0000115","39745","Arl1","dme:Dmel_CG6025",0,0,"3L",15983134
"FBgn0000116","FBgn0000116","FBgn0000116","39041","Argk","dme:Dmel_CG32031",5,0,"3L",-9048879
"FBgn0000117","FBgn0000117","FBgn0000117","31151","arm","dme:Dmel_CG11579",0,0,"X",-1891400
"FBgn0000119","FBgn0000119","FBgn0000119","44279","arr","dme:Dmel_CG5912",0,0,"2R",-13453639
"FBgn0000137","FBgn0000137","FBgn0000137","30985","ase","dme:Dmel_CG3258",0,0,"X",460746
"FBgn0000139","FBgn0000139","FBgn0000139","42936","ash2","dme:Dmel_CG6677",0,0,"3R",24651179
"FBgn0000140","FBgn0000140","FBgn0000140","42946","asp","dme:Dmel_CG6875",1,0,"3R",24753848
"FBgn0000146","FBgn0000146","FBgn0000146","34524","aub","dme:Dmel_CG6137",1,0,"2L",-10997818
"FBgn0000147","FBgn0000147","FBgn0000147","41446","aurA","dme:Dmel_CG3068",1,0,"3R",11963123
"FBgn0000150","FBgn0000150","FBgn0000150","43739","awd","dme:Dmel_CG2210",5,0,"3R",-31745171
"FBgn0000152","FBgn0000152","FBgn0000152","32645","Axs","dme:Dmel_CG9703",0,0,"X",-16680088
"FBgn0000153","FBgn0000153","FBgn0000153","34791","b","dme:Dmel_CG7811",3,0,"2L",13821247
"FBgn0000157","FBgn0000157","FBgn0000157","37973","Dll","dme:Dmel_CG3629",0,0,"2R",24814821
"FBgn0000158","FBgn0000158","FBgn0000158","43038","bam","dme:Dmel_CG10422",1,0,"3R",-25243038
"FBgn0000163","FBgn0000163","FBgn0000163","32703","baz","dme:Dmel_CG5055",0,0,"X",17160005
"FBgn0000166","FBgn0000166","FBgn0000166","40830","bcd","dme:Dmel_CG1034",0,0,"3R",-6755841
"FBgn0000173","FBgn0000173","FBgn0000173","32358","ben","dme:Dmel_CG18319",5,0,"X",13996344
"FBgn0000179","FBgn0000179","FBgn0000179","31379","bi","dme:Dmel_CG3578",0,0,"X",4412855
"FBgn0000180","FBgn0000180","FBgn0000180","34330","bib","dme:Dmel_CG4722",0,0,"2L",9984644
"FBgn0000181","FBgn0000181","FBgn0000181","45827","bic","dme:Dmel_CG3644",0,0,"2R",12870248
"FBgn0000182","FBgn0000182","FBgn0000182","34946","BicC","dme:Dmel_CG4824",1,0,"2L",16042916
"FBgn0000183","FBgn0000183","FBgn0000183","35051","BicD","dme:Dmel_CG6605",5,0,"2L",-17461397
"FBgn0000206","FBgn0000206","FBgn0000206","43146","boss","dme:Dmel_CG8285",0,0,"3R",25961993
"FBgn0266375","FBgn0266375","FBgn0283680","32285","IP3K2","dme:Dmel_CG45017",2,0,"X",13315021
"FBgn0000212","FBgn0000212","FBgn0000212","39744","brm","dme:Dmel_CG5942",3,0,"3L",-15970081
"FBgn0000221","FBgn0000221","FBgn0000221","31358","brn","dme:Dmel_CG4934",0,0,"X",4104341
"FBgn0000228","FBgn0000228","FBgn0000228","33757","Bsg25D","dme:Dmel_CG14025",5,0,"2L",-5273826
"FBgn0000229","FBgn0000229","FBgn0000229","44801","bsk","dme:Dmel_CG5680",0,0,"2L",-10247501
"FBgn0000233","FBgn0000233","FBgn0000233","31912","btd","dme:Dmel_CG12653",0,0,"X",9694185
"FBgn0000239","FBgn0000239","FBgn0000239","45830","bur","dme:Dmel_CG9242",0,0,"2L",-21174382
"FBgn0000241","FBgn0000241","FBgn0000241","37724","bw","dme:Dmel_CG17632",0,0,"2R",-23527804
"FBgn0000244","FBgn0000244","FBgn0000244","41144","by","dme:Dmel_CG9379",5,0,"3R",-9528237
"FBgn0000246","FBgn0000246","FBgn0000246","47765","c(3)G","dme:Dmel_CG17604",0,0,"3R",-15789495
"FBgn0000247","FBgn0000247","FBgn0000247","43518","ca","dme:Dmel_CG31037",5,0,"3R",29806810
"FBgn0000250","FBgn0000250","FBgn0000250","34969","cact","dme:Dmel_CG5848",5,0,"2L",-16313035
"FBgn0000251","FBgn0000251","FBgn0000251","35341","cad","dme:Dmel_CG1759",0,0,"2L",20770893
"FBgn0000253","FBgn0000253","FBgn0000253","36329","Cam","dme:Dmel_CG8472",2,0,"2R",12259397
"FBgn0000256","FBgn0000256","FBgn0000256","33611","capu","dme:Dmel_CG3399",4,0,"2L",-3872659
"FBgn0000257","FBgn0000257","FBgn0000257","32947","car","dme:Dmel_CG12230",0,0,"X",19566018
"FBgn0000259","FBgn0000259","FBgn0000259","32132","CkIIbeta","dme:Dmel_CG15224",0,0,"X",11792878
"FBgn0000261","FBgn0000261","FBgn0000261","40048","Cat","dme:Dmel_CG6871",5,0,"3L",18822603
"FBgn0000273","FBgn0000273","FBgn0000273","34284","Pka-C1","dme:Dmel_CG4379",5,0,"2L",-9682314
"FBgn0000274","FBgn0000274","FBgn0000274","43644","Pka-C2","dme:Dmel_CG12066",1,0,"3R",-30695536
"FBgn0000276","FBgn0000276","FBgn0000276","43596","CecA1","dme:Dmel_CG1365",3,0,"3R",30210873
"FBgn0000277","FBgn0000277","FBgn0000277","43597","CecA2","dme:Dmel_CG1367",3,0,"3R",30212155
"FBgn0000279","FBgn0000279","FBgn0000279","43599","CecC","dme:Dmel_CG1373",0,0,"3R",30216483
"FBgn0000283","FBgn0000283","FBgn0000283","41848","Cp190","dme:Dmel_CG6384",5,0,"3R",-15270431
"FBgn0000286","FBgn0000286","FBgn0000286","33692","Cf2","dme:Dmel_CG11924",3,0,"2L",-4877109
"FBgn0000287","FBgn0000287","FBgn0000287","34568","salr","dme:Dmel_CG4881",1,0,"2L",11358872
"FBgn0000289","FBgn0000289","FBgn0000289","36571","cg","dme:Dmel_CG8367",5,0,"2R",14173692
"FBgn0000299","FBgn0000299","FBgn0000299","33727","Col4a1","dme:Dmel_CG4145",3,0,"2L",5029608
"FBgn0000303","FBgn0000303","FBgn0000303","42249","ChAT","dme:Dmel_CG12345",0,0,"3R",18705500
"FBgn0000307","FBgn0000307","FBgn0000307","34974","chif","dme:Dmel_CG5813",5,0,"2L",-16343599
"FBgn0000308","FBgn0000308","FBgn0000308","33834","chic","dme:Dmel_CG9553",5,0,"2L",-5973323
"FBgn0000316","FBgn0000316","FBgn0000316","30973","cin","dme:Dmel_CG2945",0,0,"X",255673
"FBgn0000317","FBgn0000317","FBgn0000317","34882","ck","dme:Dmel_CG7595",5,0,"2L",-15044962
"FBgn0000318","FBgn0000318","FBgn0000318","43938","cl","dme:Dmel_CG11024",0,0,"2L",5520134
"FBgn0000319","FBgn0000319","FBgn0000319","32537","Chc","dme:Dmel_CG9012",5,0,"X",-15827985
"FBgn0000320","FBgn0000320","FBgn0000320","33916","eya","dme:Dmel_CG9554",1,0,"2L",-6527446
"FBgn0000326","FBgn0000326","FBgn0000326","117300","clt","dme:Dmel_CG9858",5,0,"2R",-21617060
"FBgn0000330","FBgn0000330","FBgn0000330","31647","cm","dme:Dmel_CG3035",0,0,"X",-7009005
"FBgn0000339","FBgn0000339","FBgn0000339","34967","cni","dme:Dmel_CG5855",5,0,"2L",-16309595
"FBgn0000346","FBgn0000346","FBgn0000346","47091","comt","dme:Dmel_CG1618",1,0,"X",13259020
"FBgn0000351","FBgn0000351","FBgn0000351","33937","cort","dme:Dmel_CG11330",0,0,"2L",-6674681
"FBgn0000352","FBgn0000352","FBgn0000352","35653","cos","dme:Dmel_CG1708",0,0,"2R",-7382175
"FBgn0000357","FBgn0000357","FBgn0000357","38998","Cp18","dme:Dmel_CG6517",0,0,"3L",8726790
"FBgn0000370","FBgn0000370","FBgn0000370","47767","crc","dme:Dmel_CG8669",5,0,"2L",21314359
"FBgn0000376","FBgn0000376","FBgn0000376","31268","crm","dme:Dmel_CG2714",0,0,"X",-2734247
"FBgn0000377","FBgn0000377","FBgn0000377","31208","crn","dme:Dmel_CG3193",5,0,"X",-2247593
"FBgn0000382","FBgn0000382","FBgn0000382","45278","csw","dme:Dmel_CG3954",0,0,"X",2094233
"FBgn0000384","FBgn0000384","FBgn0000384","3355131","cta","dme:Dmel_CG17678",0,0,"2L",22981815
"FBgn0000394","FBgn0000394","FBgn0000394","44510","cv","dme:Dmel_CG12410",0,0,"X",5690001
"FBgn0000395","FBgn0000395","FBgn0000395","45280","cv-2","dme:Dmel_CG15671",3,0,"2R",-21355014
"FBgn0000404","FBgn0000404","FBgn0000404","39340","CycA","dme:Dmel_CG5940",1,0,"3L",-11827082
"FBgn0000405","FBgn0000405","FBgn0000405","37618","CycB","dme:Dmel_CG3510",1,0,"2R",-22803520
"FBgn0000406","FBgn0000406","FBgn0000406","35008","Cyt-b5-r","dme:Dmel_CG13279",2,0,"2L",-16788773
"FBgn0264255","FBgn0264255","FBgn0285944","32619","para","dme:Dmel_CG9907",3,0,"X",-16463602
"FBgn0000411","FBgn0000411","FBgn0000411","39570","D","dme:Dmel_CG5893",1,0,"3L",-14175609
"FBgn0000412","FBgn0000412","FBgn0000412","41095","D1","dme:Dmel_CG9745",0,0,"3R",-9238082
"FBgn0262742","FBgn0262742","FBgn0285925","42025","Fas1","dme:Dmel_CG6588",0,0,"3R",16625290
"FBgn0000414","FBgn0000414","FBgn0000414","39866","Dab","dme:Dmel_CG9695",5,0,"3L",16713659
"FBgn0000416","FBgn0000416","FBgn0000416","43662","Sap-r","dme:Dmel_CG12070",5,0,"3R",-30883463
"FBgn0000422","FBgn0000422","FBgn0000422","35190","Ddc","dme:Dmel_CG10697",0,0,"2L",-19116482
"FBgn0000426","FBgn0000426","FBgn0000426","36314","SmF","dme:Dmel_CG16792",0,0,"2R",-12183843
"FBgn0000427","FBgn0000427","FBgn0000427","31691","dec-1","dme:Dmel_CG2175",0,0,"X",-7867198
"FBgn0000442","FBgn0000442","FBgn0000442","33253","Pkg21D","dme:Dmel_CG3324",3,0,"2L",-786152
"FBgn0000447","FBgn0000447","FBgn0000447","41022","Dhod","dme:Dmel_CG9741",4,0,"3R",-8651390
"FBgn0000448","FBgn0000448","FBgn0000448","36073","Hr3","dme:Dmel_CG33183",0,0,"2R",-10203994
"FBgn0000451","FBgn0000451","FBgn0000451","44135","ect","dme:Dmel_CG6611",2,0,"3L",-10190275
"FBgn0000454","FBgn0000454","FBgn0000454","48450","Dip-B","dme:Dmel_CG9285",5,0,"3R",13782287
"FBgn0000455","FBgn0000455","FBgn0000455","47769","Dip-C","dme:Dmel_CG5663",5,0,"3R",-12411808
"FBgn0000459","FBgn0000459","FBgn0000459","32579","disco","dme:Dmel_CG9908",0,0,"X",-16210773
"FBgn0000463","FBgn0000463","FBgn0000463","42313","Dl","dme:Dmel_CG3619",0,0,"3R",-19302730
"FBgn0000464","FBgn0000464","FBgn0000464","35259","Lar","dme:Dmel_CG10443",0,0,"2L",19611409
"FBgn0000473","FBgn0000473","FBgn0000473","35587","Cyp6a2","dme:Dmel_CG9438",3,0,"2R",-6779748
"FBgn0000477","FBgn0000477","FBgn0000477","48228","DNaseII","dme:Dmel_CG7780",5,0,"3R",18019374
"FBgn0000479","FBgn0000479","FBgn0000479","31309","dnc","dme:Dmel_CG32498",5,0,"X",3291243
"FBgn0000482","FBgn0000482","FBgn0000482","31118","dor","dme:Dmel_CG3093",0,0,"X",1665051
"FBgn0000489","FBgn0000489","FBgn0000489","39733","Pka-C3","dme:Dmel_CG6117",0,0,"3L",-15926000
"FBgn0000490","FBgn0000490","FBgn0000490","33432","dpp","dme:Dmel_CG9885",5,0,"2L",2450192
"FBgn0000492","FBgn0000492","FBgn0000492","45285","Dr","dme:Dmel_CG1897",4,0,"3R",29556385
"FBgn0262735","FBgn0262735","FBgn0285926","32009","Imp","dme:Dmel_CG1691",4,0,"X",-10795996
"FBgn0000499","FBgn0000499","FBgn0000499","32078","dsh","dme:Dmel_CG18361",0,0,"X",11355880
"FBgn0000500","FBgn0000500","FBgn0000500","45845","Dsk","dme:Dmel_CG18090",0,0,"3R",-4189691
"FBgn0000504","FBgn0000504","FBgn0000504","40940","dsx","dme:Dmel_CG11094",5,0,"3R",-7934481
"FBgn0000520","FBgn0000520","FBgn0000520","31265","dwg","dme:Dmel_CG2711",0,0,"X",2727697
"FBgn0000524","FBgn0000524","FBgn0000524","31589","dx","dme:Dmel_CG3929",0,0,"X",6533998
"FBgn0000527","FBgn0000527","FBgn0000527","42521","e","dme:Dmel_CG3331",2,0,"3R",-21229838
"FBgn0000529","FBgn0000529","FBgn0000529","35266","bsh","dme:Dmel_CG10604",0,0,"2L",-19765775
"FBgn0000533","FBgn0000533","FBgn0000533","41858","ea","dme:Dmel_CG4920",0,0,"3R",15328728
"FBgn0000535","FBgn0000535","FBgn0000535","32428","eag","dme:Dmel_CG10952",0,0,"X",14955476
"FBgn0000536","FBgn0000536","FBgn0000536","32585","eas","dme:Dmel_CG3525",2,0,"X",16278578
"FBgn0000541","FBgn0000541","FBgn0000541","44811","E(bx)","dme:Dmel_CG32346",0,0,"3L",-233925
"FBgn0000542","FBgn0000542","FBgn0000542","31339","ec","dme:Dmel_CG2904",0,0,"X",3836079
"FBgn0000543","FBgn0000543","FBgn0000543","38291","ecd","dme:Dmel_CG5714",0,0,"3L",-2263580
"FBgn0000546","FBgn0000546","FBgn0000546","35540","EcR","dme:Dmel_CG1765",3,0,"2R",-6090418
"FBgn0000547","FBgn0000547","FBgn0000547","33619","ed","dme:Dmel_CG12676",0,0,"2L",4031376
"FBgn0000551","FBgn0000551","FBgn0000551","40354","Edg78E","dme:Dmel_CG7673",0,0,"3L",-21296762
"FBgn0262720","FBgn0262720","FBgn0283508","3772015","nw","dme:Dmel_CG43164",0,0,"2R",17502353
"FBgn0000557","FBgn0000557","FBgn0000557","43736","eEF1alpha2","dme:Dmel_CG1873",3,0,"3R",31738467
"FBgn0000559","FBgn0000559","FBgn0000559","35422","eEF2","dme:Dmel_CG2238",5,0,"2L",-21677912
"FBgn0000560","FBgn0000560","FBgn0000560","40428","eg","dme:Dmel_CG7383",0,0,"3L",21808838
"FBgn0000562","FBgn0000562","FBgn0000562","37757","egl","dme:Dmel_CG4051",5,0,"2R",-23734903
"FBgn0000565","FBgn0000565","FBgn0000565","39675","Eip71CD","dme:Dmel_CG7266",3,0,"3L",15511051
"FBgn0000566","FBgn0000566","FBgn0000566","37143","Eip55E","dme:Dmel_CG5345",2,0,"2R",18627917
"FBgn0000567","FBgn0000567","FBgn0000567","39962","Eip74EF","dme:Dmel_CG32180",3,0,"3L",-17560157
"FBgn0000568","FBgn0000568","FBgn0000568","39999","Eip75B","dme:Dmel_CG8127",5,0,"3L",-17953357
"FBgn0000575","FBgn0000575","FBgn0000575","38091","emc","dme:Dmel_CG1007",5,0,"3L",749399
"FBgn0000576","FBgn0000576","FBgn0000576","41697","ems","dme:Dmel_CG2988",0,0,"3R",13901852
"FBgn0000577","FBgn0000577","FBgn0000577","36240","en","dme:Dmel_CG9015",0,0,"2R",-11524005
"FBgn0000578","FBgn0000578","FBgn0000578","37201","ena","dme:Dmel_CG15112",5,0,"2R",19155220
"FBgn0000579","FBgn0000579","FBgn0000579","33351","Eno","dme:Dmel_CG17654",5,0,"2L",-1724767
"FBgn0000581","FBgn0000581","FBgn0000581","36238","E(Pc)","dme:Dmel_CG7776",5,0,"2R",11452188
"FBgn0000588","FBgn0000588","FBgn0000588","34595","esc","dme:Dmel_CG14941",0,0,"2L",-11827203
"FBgn0000592","FBgn0000592","FBgn0000592","39392","Est-6","dme:Dmel_CG6917",5,0,"3L",12188817
"FBgn0000611","FBgn0000611","FBgn0000611","32567","exd","dme:Dmel_CG8933",5,0,"X",15992699
"FBgn0000615","FBgn0000615","FBgn0000615","37345","exu","dme:Dmel_CG8994",1,0,"2R",-20668351
"FBgn0000617","FBgn0000617","FBgn0000617","32762","e(y)1","dme:Dmel_CG6474",0,0,"X",17842160
"FBgn0000618","FBgn0000618","FBgn0000618","45848","e(y)2","dme:Dmel_CG15191",0,0,"X",-11576117
"FBgn0000625","FBgn0000625","FBgn0000625","39419","eyg","dme:Dmel_CG10488",0,0,"3L",-12462993
"FBgn0000629","FBgn0000629","FBgn0000629","39203","E(z)","dme:Dmel_CG6502",0,0,"3L",-10634574
"FBgn0000633","FBgn0000633","FBgn0000633","36521","CG17716","dme:Dmel_CG17716",0,0,"2R",13623043
"FBgn0000635","FBgn0000635","FBgn0000635","31364","Fas2","dme:Dmel_CG3665",5,0,"X",-4134382
"FBgn0000636","FBgn0000636","FBgn0000636","35097","Fas3","dme:Dmel_CG5803",0,0,"2L",18320101
"FBgn0000644","FBgn0000644","FBgn0000644","31294","Fcp3C","dme:Dmel_CG4015",0,0,"X",-3173375
"FBgn0000658","FBgn0000658","FBgn0000658","37089","fj","dme:Dmel_CG10917",3,0,"2R",18232760
"FBgn0000659","FBgn0000659","FBgn0000659","43383","fkh","dme:Dmel_CG10002",3,0,"3R",-28581082
"FBgn0000662","FBgn0000662","FBgn0000662","36527","fl(2)d","dme:Dmel_CG6315",0,0,"2R",-13819623
"FBgn0000667","FBgn0000667","FBgn0000667","31166","Actn","dme:Dmel_CG4376",5,0,"X",-2023821
"FBgn0000709","FBgn0000709","FBgn0000709","33110","fliI","dme:Dmel_CG1484",0,0,"X",21339740
"FBgn0000711","FBgn0000711","FBgn0000711","44289","flw","dme:Dmel_CG2096",5,0,"X",10385959
"FBgn0000719","FBgn0000719","FBgn0000719","33148","fog","dme:Dmel_CG9559",5,0,"X",-22826161
"FBgn0000721","FBgn0000721","FBgn0000721","44817","for","dme:Dmel_CG10033",3,0,"2L",-3622073
"FBgn0000723","FBgn0000723","FBgn0000723","41118","FER","dme:Dmel_CG8874",5,0,"3R",-9367602
"FBgn0000808","FBgn0000808","FBgn0000808","32159","gd","dme:Dmel_CG1505",0,0,"X",-11985153
"FBgn0000810","FBgn0000810","FBgn0000810","47781","fs(1)K10","dme:Dmel_CG3218",0,0,"X",2242137
"FBgn0000826","FBgn0000826","FBgn0000826","31084","png","dme:Dmel_CG11420",0,0,"X",-1356487
"FBgn0000927","FBgn0000927","FBgn0000927","31263","fs(1)Ya","dme:Dmel_CG2707",0,0,"X",2724285
"FBgn0000928","FBgn0000928","FBgn0000928","31262","fs(1)Yb","dme:Dmel_CG2706",1,0,"X",2720467
"FBgn0000964","FBgn0000964","FBgn0000964","35227","tj","dme:Dmel_CG10034",0,0,"2L",19464266
"FBgn0000996","FBgn0000996","FBgn0000996","47121","dup","dme:Dmel_CG8171",0,0,"2R",-15376618
"FBgn0001075","FBgn0001075","FBgn0001075","33627","ft","dme:Dmel_CG3352",0,0,"2L",-4198403
"FBgn0001077","FBgn0001077","FBgn0001077","40834","ftz","dme:Dmel_CG2047",0,0,"3R",6864323
"FBgn0001078","FBgn0001078","FBgn0001078","40045","ftz-f1","dme:Dmel_CG4059",3,0,"3L",-18751748
"FBgn0001079","FBgn0001079","FBgn0001079","32855","fu","dme:Dmel_CG6551",0,0,"X",18657754
"FBgn0001083","FBgn0001083","FBgn0001083","32162","fw","dme:Dmel_CG1500",0,0,"X",-11992914
"FBgn0001084","FBgn0001084","FBgn0001084","34166","fy","dme:Dmel_CG13396",0,0,"2L",-8401475
"FBgn0001085","FBgn0001085","FBgn0001085","45307","fz","dme:Dmel_CG17697",0,0,"3L",14274342
"FBgn0001086","FBgn0001086","FBgn0001086","34968","fzy","dme:Dmel_CG4274",1,0,"2L",16310955
"FBgn0001087","FBgn0001087","FBgn0001087","44819","g","dme:Dmel_CG10986",0,0,"X",-13727521
"FBgn0001089","FBgn0001089","FBgn0001089","33839","Gal","dme:Dmel_CG9092",2,0,"2L",-6003573
"FBgn0001090","FBgn0001090","FBgn0001090","32872","bnb","dme:Dmel_CG7088",5,0,"X",-18794245
"FBgn0001091","FBgn0001091","FBgn0001091","35728","Gapdh1","dme:Dmel_CG12055",5,0,"2R",-7791900
"FBgn0001092","FBgn0001092","FBgn0001092","32545","Gapdh2","dme:Dmel_CG8893",5,0,"X",15868144
"FBgn0001098","FBgn0001098","FBgn0001098","42832","Gdh","dme:Dmel_CG5320",2,0,"3R",-23935957
"FBgn0001099","FBgn0001099","FBgn0001099","3772583","gdl","dme:Dmel_CG33756",1,0,"3L",15509444
"FBgn0001104","FBgn0001104","FBgn0001104","38765","Galphai","dme:Dmel_CG10060",2,0,"3L",-6972749
"FBgn0001105","FBgn0001105","FBgn0001105","32544","Gbeta13F","dme:Dmel_CG10545",3,0,"X",15860114
"FBgn0001108","FBgn0001108","FBgn0001108","39536","DCTN1-p150","dme:Dmel_CG9206",5,0,"3L",13929386
"FBgn0001112","FBgn0001112","FBgn0001112","40875","Gld","dme:Dmel_CG1152",3,0,"3R",-7252062
"FBgn0001114","FBgn0001114","FBgn0001114","34193","Glt","dme:Dmel_CG9280",3,0,"2L",8673151
"FBgn0001122","FBgn0001122","FBgn0001122","36104","Galphao","dme:Dmel_CG2204",0,0,"2R",10444343
"FBgn0001123","FBgn0001123","FBgn0001123","37805","Galphas","dme:Dmel_CG2835",5,0,"2R",23942537
"FBgn0001124","FBgn0001124","FBgn0001124","36782","Got1","dme:Dmel_CG8430",2,0,"2R",16138678
"FBgn0001125","FBgn0001125","FBgn0001125","33373","Got2","dme:Dmel_CG4233",2,0,"2L",-1984511
"FBgn0001128","FBgn0001128","FBgn0001128","33824","Gpdh","dme:Dmel_CG9042",3,0,"2L",5943964
"FBgn0001133","FBgn0001133","FBgn0001133","45871","grau","dme:Dmel_CG33133",0,0,"2R",-21009763
"FBgn0001134","FBgn0001134","FBgn0001134","39984","Grd","dme:Dmel_CG7446",0,0,"3L",17823332
"FBgn0001137","FBgn0001137","FBgn0001137","34171","grk","dme:Dmel_CG17610",5,0,"2L",-8431085
"FBgn0001138","FBgn0001138","FBgn0001138","40962","grn","dme:Dmel_CG9656",0,0,"3R",-8147367
"FBgn0001139","FBgn0001139","FBgn0001139","43162","gro","dme:Dmel_CG8384",5,0,"3R",26041735
"FBgn0001142","FBgn0001142","FBgn0001142","33172","Gs1","dme:Dmel_CG2718",2,0,"2L",132076
"FBgn0001145","FBgn0001145","FBgn0001145","32087","Gs2","dme:Dmel_CG1743",2,0,"X",11422831
"FBgn0001147","FBgn0001147","FBgn0001147","38004","gsb-n","dme:Dmel_CG2692",5,0,"2R",-25040382
"FBgn0001148","FBgn0001148","FBgn0001148","38005","gsb","dme:Dmel_CG3388",0,0,"2R",25061963
"FBgn0001149","FBgn0001149","FBgn0001149","41503","GstD1","dme:Dmel_CG10045",5,0,"3R",-12367816
"FBgn0001150","FBgn0001150","FBgn0001150","31227","gt","dme:Dmel_CG7952",0,0,"X",-2427112
"FBgn0001168","FBgn0001168","FBgn0001168","38995","h","dme:Dmel_CG6494",5,0,"3L",8675954
"FBgn0001169","FBgn0001169","FBgn0001169","42445","H","dme:Dmel_CG5460",5,0,"3R",20621937
"FBgn0001170","FBgn0001170","FBgn0001170","33841","H2.0","dme:Dmel_CG11607",0,0,"2L",-6013058
