© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
TXNIP	-1.112	other	 	-0.755	1.16E-07	1.40E-05	Acot1,Cyp4a14,DHCR7,FABP2,G0S2,IL1B,PPARGC1A,TXNIP	 
SLC25A13	 	transporter	 	 	1.27E-07	1.43E-05	ACLY,ACOT2,Aox3,APOA4,C11orf86,Clec2e/Clec2h,CYP2C8,F11,HAO1,Hsd3b4 (includes others),NUDT7,SUCNR1,UGT2B17	 
AHR	 	ligand-dependent nuclear receptor	 	-0.360	1.53E-07	1.60E-05	Adh6-ps1,CD14,CELA1,CYP1A1,CYP1A2,CYP2C8,ENPEP,FGFR2,FMO2,HES1,Hsd3b4 (includes others),IDO2,IL1B,KLF2,NXPE2,PDE4B,SDR9C7,SERPINE1,SLC16A5,SLC1A4,SLC22A7,SNAI2,SOCS3	 
HSF1	 	transcription regulator	Activated	2.349	1.62E-07	1.60E-05	ACADL,ACLY,BAG3,DNAJA1,DNAJB1,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA8,HSPH1,IL1B,INHBB,PPARGC1A	 
SGPP2	 	phosphatase	 	-1.890	6.58E-07	6.09E-05	DNAJA1,HSP90AA1,Hspa1b,HSPA8,HSPB8,HSPH1,IL1B	 
INSR	 	kinase	 	1.137	8.03E-07	7.03E-05	ACADL,ACOT2,ATP1B1,CD83,CPT1A,CRAT,DECR1,DHCR7,FDPS,FH,HADHB,HPGD,IL1B,LEPR,LSS,NOS3,NR4A1,PDE4B,PPARGC1A,SC5D,SERPINE1,SGMS2,SLC25A20,SOCS3	 
VEGFB	 	growth factor	Activated	2.425	9.20E-07	7.61E-05	Acaa1b,Acot1,ACOT2,EHHADH,PPARGC1A,SLC27A1	 
ZBTB20	 	transcription regulator	Inhibited	-3.000	9.66E-07	7.61E-05	ACSS2,ADH4,CYP1A2,CYP2C8,LEPR,NR3C1,PPARGC1A,SOCS3,UGT2B17	 
KLF15	 	transcription regulator	Activated	2.118	1.38E-06	1.03E-04	ACADL,Acot1,DECR1,EHHADH,HADHB,PPARGC1A,SLC25A20,SLC27A1	 
Esrra	 	transcription regulator	 	0.707	2.46E-06	1.76E-04	ACADL,ALDOA,APOA4,CPT1A,CRAT,ECH1,FABP2,HSD3B1,IL1A,LEPR,PPA1,PPARGC1A	 
STAT5B	 	transcription regulator	Inhibited	-3.162	5.01E-06	3.34E-04	ACOT1,Acot1,ACOT4,Adh6-ps1,Aox3,CYP2C8,CYP4A11,DDIT3,FMO2,G0S2,GADD45B,Hsd3b4 (includes others),Keg1,NUDT7,SLC16A5,TOX,VNN1	 
NFE2L2	 	transcription regulator	Activated	2.284	5.09E-06	3.34E-04	ABCB11,ABCB4,ALDOA,APOA4,CA3,CELA1,Cyp4a14,DHCR7,GCLC,Gstm6,GSTT2/GSTT2B,HACD3,HSD3B1,HSP90AA1,IFRD1,IL1A,IL1B,MGLL,NAT8B,PPARGC1A,RRS1,SLC3A1,SOCS3	 
PRCP	 	peptidase	Activated	2.000	6.78E-06	4.27E-04	KLF2,KLF4,NOS3,THBD	 
CLPP	 	peptidase	Inhibited	-2.985	8.16E-06	4.94E-04	ACADL,ALDOA,CRAT,DECR1,ECH1,FH,HADHB,PPARGC1A,SLC25A20	 
EP300	 	transcription regulator	 	 	8.56E-06	4.99E-04	CYP7A1,DHRS3,DNAJB4,FOSL2,FRMD4B,HDAC11,ID2,MFHAS1,NR3C1,PPARGC1A,PTPRF,SLC27A1,SOCS3,STOM,TSPAN31,ULK2,USP18	20 (2)
CLOCK	 	transcription regulator	 	 	8.94E-06	5.03E-04	ABCB10,DDIT3,FOXA3,GADD45B,HES6,Hspa1b,HSPH1,JMJD6,NR1D1,POR,RSL1D1,SLC20A1,TOR1B	 
EHHADH	1.687	enzyme	Inhibited	-2.219	1.08E-05	5.89E-04	ACAA1,ACOT2,CYP4A11,Cyp4a14,MGLL	 
CD300LF	 	other	 	0.000	1.14E-05	5.98E-04	ACADL,ACSS2,CPT1A,IL1A,IL1B,SLC27A1	 
MAPK9	 	kinase	 	-0.403	1.96E-05	9.96E-04	ABCB11,ABCB4,ABCG8,CYP1A1,FOSL2,HDC,IL18,IL1B,JUND,NOS3,PLA1A	 
DUSP1	 	phosphatase	 	0.873	2.32E-05	1.14E-03	CIDEC,IL1A,IL1B,MGLL,RETSAT,SERPINE1,SYNPO,VNN1	 
SMARCB1	 	transcription regulator	 	-0.378	2.43E-05	1.16E-03	BAG3,CA8,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,F11,HES1,IL1A	 
NR1H4	 	ligand-dependent nuclear receptor	 	-1.304	2.54E-05	1.18E-03	ABCB11,Abcb1b,ABCB4,ABCG8,ATP8B1,CYP2C8,CYP7A1,FABP2,IL1B,NR3C1,PPARGC1A	13 (2)
Vegf	 	group	 	-1.744	2.71E-05	1.22E-03	Acaa1b,Acot1,ACOT2,Akr1c14,EHHADH,HDC,INHBB,PPARGC1A,SLC27A1	 
IL1B	3.182	cytokine	 	1.849	3.30E-05	1.44E-03	ABCB11,ADAMTS1,CSRNP1,IFRD1,IL1A,IL1B,NFKBIZ,NR4A1,PDE4B,RGS16,SOCS3,SUCNR1,TXNIP	 
FECH	 	enzyme	 	 	3.49E-05	1.49E-03	Abcb1b,APOA4,CYP1A2,CYP2C8,CYP4A11,CYP7A1	 
NR1I2	 	ligand-dependent nuclear receptor	 	-1.432	4.60E-05	1.91E-03	Abcb1b,Aldh1a7,APOA4,CPT1A,CYP1A1,CYP7A1,DHCR7,Gstm6,POR	 
PCK1	 	kinase	Inhibited	-2.000	5.97E-05	2.41E-03	ACADL,CRAT,EHHADH,IL1B	 
NCOA2	 	transcription regulator	 	-1.723	6.48E-05	2.55E-03	ACOT1,ADH4,APOA4,CYP7A1,IL1A,IL1B,IP6K2,KLF4,PGM3,SLC3A1	 
IL10RA	 	transmembrane receptor	 	-1.960	6.86E-05	2.64E-03	ACSS2,Akr1c14,Cd24a,CELA1,Ces2g,CSRP2,CYP2C18,GSAP,GSTM2,Gstm6,HPGD,HSPA8,IL1A,IL1B,NXPE2,OCLN,PPARGC1A,SELENBP1	 
IRAK4	 	kinase	 	 	7.79E-05	2.92E-03	CSRNP1,IFRD1,IL1B,IRF5,NFKBIZ,NR4A1,PDE4B,RGS16	 
BMP10	 	growth factor	 	0.333	8.23E-05	3.01E-03	CD83,CHRNA2,FGFR2,HPGD,ID2,ID3,IL1B,LEPR,NR4A1	 
CREB1	 	transcription regulator	Activated	2.621	9.02E-05	3.19E-03	APOLD1,CSRNP1,GADD45B,KLF4,LSS,MIDN,NR4A1,PPARGC1A,SERTAD1	9 (2)
CASP4	 	peptidase	 	 	9.33E-05	3.19E-03	IL18,IL1A,IL1B	 
PRSS8	 	peptidase	 	 	9.33E-05	3.19E-03	IL1A,IL1B,OCLN	 
GNB2	 	enzyme	 	 	1.03E-04	3.37E-03	CD83,FOSL2,IL1B,NR4A1,PDE4B,THBD	 
GNB1	 	enzyme	 	 	1.03E-04	3.37E-03	CD83,FOSL2,IL1B,NR4A1,PDE4B,THBD	 
THRAP3	 	transcription regulator	 	1.718	1.25E-04	3.86E-03	CA3,Cd24a,NR3C1,TXNIP	 
BCO1	 	enzyme	 	 	1.25E-04	3.86E-03	BCO2,DECR1,ELOVL2,NR1D1	 
PEX5L	 	ion channel	 	1.982	1.25E-04	3.86E-03	CYP7A1,DHCR7,FDPS,LSS	 
HSD17B4	 	enzyme	Inhibited	-2.219	1.31E-04	3.97E-03	ACAA1,ACOT2,CYP4A11,Cyp4a14,MGLL	 
ITCH	 	enzyme	 	-1.342	1.61E-04	4.76E-03	ELOVL5,IL1A,IL1B,SC5D,TFRC	 
LGR4	 	transmembrane receptor	 	-1.671	1.63E-04	4.76E-03	CD14,CYP1A2,HSD17B13,IL1A,IL1B,LHPP	 
ELOVL5	1.297	enzyme	 	-1.067	1.72E-04	4.93E-03	ABCG8,ACADL,EHHADH,ELOVL2	 
PDCD10	 	other	 	 	1.84E-04	5.16E-03	KLF2,KLF4,THBD	 
STING1	 	other	 	1.118	2.01E-04	5.56E-03	DDIT3,GAS7,HDC,IL1A,IL1B,RGS16,USP18	 
CREBBP	 	transcription regulator	 	 	2.30E-04	6.24E-03	DHRS3,DNAJB4,FOSL2,FRMD4B,HDAC11,JUND,KLF2,MFHAS1,NR3C1,NR4A1,PPARGC1A,PTPRF,SOCS3,STOM,TSPAN31,USP18	 
PML	 	transcription regulator	 	-1.134	2.55E-04	6.79E-03	ACADL,CIAPIN1,CPT1A,HADHB,ID2,IL1B,PPARGC1A,SLC25A20	38 (2)
FOXO1	 	transcription regulator	 	0.628	3.10E-04	8.14E-03	ABCB4,ACLY,CPT1A,CYP7A1,ELOVL5,ENPEP,FLNB,GRN,IRF5,KLF2,KLF4,PPARGC1A,PRKCD,TXNIP	18 (2)
PROC	 	peptidase	 	 	3.16E-04	8.17E-03	IL1B,SERPINE1,THBD	 
SH3TC2	 	other	Inhibited	-2.236	3.35E-04	8.51E-03	ACLY,DHCR7,FDPS,LSS,SC5D	 
Jnk	 	group	 	1.478	3.41E-04	8.53E-03	DDIT3,GJA1,IL1A,IL1B,JUND,SNAI2,SOCS3	 
NR5A2	 	ligand-dependent nuclear receptor	 	-0.478	3.59E-04	8.84E-03	ABCB11,ABCB4,ABCG8,CELA1,CYP7A1,GPT2,Hspa1b,IL1B	 
IL1A	1.497	cytokine	 	1.706	3.66E-04	8.86E-03	ADAMTS1,CYP1A2,IL18,IL1B,NFKBIZ,NR3C1	 
BCL6	 	transcription regulator	 	0.638	3.82E-04	9.11E-03	Acaa1b,ACAT2,DECR1,EHHADH,HADHB,IL13RA1,IL18,IL1A,IL1B,PDCD4,SLC25A17	 
PPARD	 	ligand-dependent nuclear receptor	Activated	2.111	4.09E-04	9.56E-03	ACAA1,ACADL,APOA4,C11orf86,CPT1A,ECH1,IL1B,INHBE,OCEL1,PPARGC1A,SLC25A20,TMEM120A	 
GNAS	 	enzyme	 	1.633	4.13E-04	9.56E-03	ADAMTS1,ARL4D,FOSL2,KLF4,NR4A1,PPARGC1A	 
APOE	 	transporter	 	 	4.43E-04	9.93E-03	ABCA2,ABCG8,CPT1A,CYP7A1,DDIT3,HABP2,Hspa1b,IL1A,IL1B,KLF4,NOS3,RCAN1,SERPINE1,SOCS3	 
Actin	 	group	 	 	4.54E-04	9.93E-03	IL18,IL1B	 
IRGM	 	enzyme	 	 	4.54E-04	9.93E-03	IL18,IL1B	 
HMGCR	 	enzyme	 	 	4.54E-04	9.93E-03	DDIT3,IL1B	 
FMO3	 	enzyme	 	1.000	4.92E-04	1.05E-02	ABCG8,ACADL,EHHADH,PPARGC1A	 
FABP4	 	transporter	 	1.091	4.92E-04	1.05E-02	IL1A,IL1B,NOS3,SOCS3	 
PTPRJ	 	phosphatase	 	0.816	5.22E-04	1.10E-02	HDC,IL18,IL1A,Mx2,NFKBIZ,PLA1A	 
N-cor	 	group	 	 	5.37E-04	1.10E-02	CIDEC,DHRS3,ELOVL5,IL1A,IL1B,LHPP,TBCC,USP18	31 (2)
MTTP	 	transporter	 	-0.232	5.39E-04	1.10E-02	ABCG8,APOA4,CIDEC,CPT1A,ERN1	6 (2)
KCNE3	 	ion channel	 	 	6.03E-04	1.19E-02	APOLD1,CA8,CSRNP1,HSPA1A/HSPA1B,KLF4,NR4A1,PLK3	 
CISH	 	other	 	-1.890	6.03E-04	1.19E-02	CCRL2,CD14,HDC,ID3,IFRD1,IL1A,IL1B	 
MAT1A	 	enzyme	 	0.689	6.13E-04	1.19E-02	ACADL,ATP1B1,CYP4A11,Cyp4a14	 
IL1RN	 	cytokine	 	-1.225	6.13E-04	1.19E-02	CYP1A2,CYP7A1,IL1A,IL1B	 
26s Proteasome	 	complex	 	-0.600	6.25E-04	1.20E-02	ATF5,DDIT3,HSD3B1,SOCS3,TXNIP	 
Hsp90	 	group	 	 	7.35E-04	1.36E-02	BAG3,HSPA1A/HSPA1B,ZFAND2A	 
UBD	 	other	 	 	7.35E-04	1.36E-02	ACOT1,Acot1,PPARGC1A	 
LPCAT3	 	enzyme	 	 	7.35E-04	1.36E-02	ABCG8,CPT1A,Cyp4a14	 
SLC13A1	 	transporter	 	1.414	7.80E-04	1.43E-02	ACLY,APOA4,AQP8,EDEM1,FABP2,G0S2,HSPA8,NRN1	 
SREBF1	 	transcription regulator	 	-0.600	9.41E-04	1.70E-02	ACLY,DPY19L3,SC5D,SERPINE1,ULK2	 
BCO2	-0.909	enzyme	 	 	1.03E-03	1.85E-02	DECR1,ELOVL2,NR1D1	 
ACSS2	-0.970	enzyme	 	1.000	1.10E-03	1.95E-02	ACAA1,EHHADH,FABP2,LSS	 
Gcg	 	other	 	0.816	1.20E-03	2.09E-02	APOA4,ATP1B1,CYP2C8,LHPP,SLC3A1,TFRC	 
ERBB2	 	kinase	 	 	1.27E-03	2.20E-02	ACSS2,EPHX2,GJA1,HSD17B11,HSPA1A/HSPA1B,LSS,SNAI2	 
Mir124a-1hg	 	other	 	 	1.34E-03	2.25E-02	DDIT3,NR3C1	 
UPP1	 	enzyme	 	 	1.34E-03	2.25E-02	Acot1,EHHADH	 
FTH1	 	enzyme	 	 	1.34E-03	2.25E-02	Abcb1b,ABCB4	 
RETNLB	 	other	 	-1.134	1.37E-03	2.25E-02	Ccl9,IL13RA1,IL1B,MYCT1,NR4A1,PLA1A,STOM	 
RPTOR	 	other	 	-1.673	1.37E-03	2.25E-02	ACADL,DHCR7,FDPS,IL13RA1,IL17RB,IL1B,LSS,SC5D,SOCS3	 
PDE3B	 	enzyme	 	 	1.40E-03	2.27E-02	PPARGC1A,SERPINE1,SOCS3	 
ESR1	 	ligand-dependent nuclear receptor	 	0.562	1.44E-03	2.31E-02	ABCB11,ABCG8,CYP1A1,CYP4A11,Cyp4a14,CYP7A1,IL1B,INHBB,IRF5,LEPR,NOS3,PPARGC1A,TXNIP	 
TICAM1	 	other	 	1.516	1.53E-03	2.43E-02	CCRL2,IL18,IL1A,IL1B,Mx2,NFKBIZ,PDE4B,SERPINE1,SOCS3	 
NFE2L1	 	transcription regulator	 	 	1.54E-03	2.43E-02	CYP4A11,Cyp4a14,GCLC,Gstm6	 
TCF7L2	 	transcription regulator	 	-1.343	1.60E-03	2.49E-02	ACAA1,ACADL,ACOT4,AKR1C4,ATP8B1,CYP2C8,CYP7A1,EHHADH,FGFR2,FH,ID2,ID3,MOSPD2,PPARGC1A,SC5D	 
PLIN5	 	other	 	-1.477	1.72E-03	2.62E-02	ACADL,GCLC,IL1B,POR,PPARGC1A	 
ABCB6	 	transporter	 	-0.970	1.72E-03	2.62E-02	CYP1A1,CYP1A2,CYP2R1,CYP4A11,CYP4B1	 
BCAP31	 	transporter	 	0.000	1.81E-03	2.65E-02	DDIT3,EDEM1,ERN1,IL1B	 
NRG4	 	growth factor	 	 	1.84E-03	2.65E-02	CIDEC,EHHADH,ELOVL5	 
ATG16L1	0.548	enzyme	 	 	1.84E-03	2.65E-02	IL18,IL1A,IL1B	 
RIPK3	 	kinase	 	 	1.84E-03	2.65E-02	IL18,IL1A,IL1B	 
PTGFR	 	G-protein coupled receptor	 	 	1.84E-03	2.65E-02	AKR1C4,GCLC,NR4A1	 
TMBIM6	 	other	 	 	1.84E-03	2.65E-02	DDIT3,EDEM1,MAP1LC3A	 
NRIP1	 	transcription regulator	 	-0.108	1.91E-03	2.74E-02	CYP4B1,HADHB,IL1B,OPLAH,SLC25A20	 
NPC1	 	transporter	 	 	1.97E-03	2.79E-02	ABCG8,AKR1C4,CYP7A1,DDIT3,KLF4,LSS,PLIN4	 
ADIPOQ	 	other	 	-1.081	2.01E-03	2.82E-02	Acaa1b,ACLY,CYP1A2,Cyp2c70,CYP2C8,CYP4A11,FGFR2,IL1B,SLC27A1	 
NR0B2	 	ligand-dependent nuclear receptor	 	-1.241	2.11E-03	2.91E-02	ABCB11,CIDEC,CPT1A,CYP2C8,CYP7A1,IL1B,PPARGC1A	 
TBK1	 	kinase	 	-0.128	2.11E-03	2.91E-02	HDC,IL18,IL1A,Mx2,NFKBIZ,PLA1A,USP18	 
ARHGAP21	 	other	 	0.447	2.13E-03	2.91E-02	HDC,IL18,Mx2,NFKBIZ,PLA1A	 
MET	 	kinase	 	-0.478	2.41E-03	3.26E-02	GCLC,HDC,Hspa1b,IL18,NFKBIZ,SOCS3,TGIF1	 
EIF2AK4	 	kinase	 	0.063	2.43E-03	3.26E-02	ATF5,CYP2C18,DDIT3,IL1B	 
PRKAA2	 	kinase	 	0.000	2.47E-03	3.26E-02	DDIT3,ELOVL2,ERN1,FGFR2,IL13RA1,IL17RB,PPARGC1A,SOCS3	11 (2)
ZBTB16	 	transcription regulator	 	0.707	2.47E-03	3.26E-02	Cd24a,CD83,ID2,ID3,IL17RB,IL1A,KLF2,NFKBIZ	 
FOXO3	 	transcription regulator	 	-0.378	2.61E-03	3.26E-02	ACLY,ELOVL5,ENPEP,FLNB,MAP1LC3A,NOS3,PRKCD,TXNIP	 
Carlr	 	other	 	 	2.65E-03	3.26E-02	IL1A,IL1B	 
B3GNT2	 	enzyme	 	 	2.65E-03	3.26E-02	CD14,IL1B	 
IGSF11	 	other	 	 	2.65E-03	3.26E-02	GJA1,OCLN	 
CYP8B1	 	enzyme	 	 	2.65E-03	3.26E-02	ABCG8,CYP7A1	 
SLC22A1	 	transporter	 	 	2.65E-03	3.26E-02	CPT1A,SLC22A5	 
TRHR	 	G-protein coupled receptor	 	 	2.65E-03	3.26E-02	LEPR,SOCS3	 
CDK6	 	kinase	 	 	2.65E-03	3.26E-02	NFKBIZ,SOCS3	 
FGF19	 	growth factor	 	 	2.65E-03	3.26E-02	ABCG8,CYP7A1	 
Cyp2c70	-2.799	enzyme	 	 	2.94E-03	3.59E-02	CYP7A1,IL1B,PPARGC1A	 
Tcf7	 	transcription regulator	 	-1.212	3.01E-03	3.61E-02	CD83,E130308A19Rik,FDPS,GSAP,HSD17B11,ID2,ID3,MAPKAPK2,NRN1,SC5D,SOCS3,TOX	 
ERK1/2	 	group	Activated	2.200	3.02E-03	3.61E-02	Abcb1b,IL1A,IL1B,LEPR,SERPINE1,SOCS3	 
FOXO4	 	transcription regulator	 	0.000	3.02E-03	3.61E-02	ACLY,ELOVL5,ENPEP,FLNB,PRKCD,TXNIP	 
MAPK8	 	kinase	 	0.492	3.12E-03	3.69E-02	ABCB11,ABCB4,ABCG8,CYP1A1,FOSL2,IL1B,JUND	 
SIRT6	 	enzyme	 	-1.067	3.16E-03	3.72E-02	CIDEC,CYP2C18,IL1B,LSS,PPARGC1A	 
CREM	 	transcription regulator	Activated	2.425	3.32E-03	3.87E-02	APOLD1,CSRNP1,GADD45B,LSS,MIDN,NR4A1,SERTAD1	 
Ige	 	complex	 	1.091	3.60E-03	4.13E-02	Ccl9,HDC,IL1A,IL1B	 
MYD88	 	other	Activated	2.181	3.60E-03	4.13E-02	CCRL2,CD14,HDC,IL18,IL1A,IL1B,NFKBIZ,NOS3,PDE4B,SERPINE1,SOCS3,USP18	 
ATF4	 	transcription regulator	 	0.676	3.61E-03	4.13E-02	ABCG8,ATF5,CPT1A,CYP7A1,DDIT3,KLF4,PEG3,SNAI2	 
NR1I3	 	ligand-dependent nuclear receptor	 	-0.872	3.75E-03	4.22E-02	Aldh1a7,CYP1A2,CYP2C8,CYP7A1,GADD45B,POR,UGT2B17	 
INSIG1	 	other	 	1.195	3.75E-03	4.22E-02	ACLY,ACSS2,DHCR7,FDPS,LSS,NFKBIZ,VNN1	 
KITLG	 	growth factor	 	 	4.07E-03	4.54E-02	CD14,GJA1,IL1A,IL1B	 
PNPLA2	 	enzyme	Activated	2.200	4.15E-03	4.60E-02	ACADL,Acot1,ACOT2,CPT1A,PPARGC1A	 
TLR9	 	transmembrane receptor	 	1.940	4.25E-03	4.61E-02	GADD45B,IL18,IL1A,IL1B,NFKBIZ,NR4A1,SERPINE1,SGMS2,SOCS3,USP18	 
TLR4	 	transmembrane receptor	 	1.474	4.31E-03	4.61E-02	CD14,DDIT3,GJA1,HDC,IL18,IL1A,IL1B,Mx2,NFKBIZ,NOS3,PLA1A,RGS16,SGMS2,SOCS3	 
SLC22A2	 	transporter	 	 	4.35E-03	4.61E-02	CPT1A,SLC22A5	 
IDO	 	group	 	 	4.35E-03	4.61E-02	IDO2,SOCS3	 
GAS5	 	other	 	 	4.35E-03	4.61E-02	IL1B,KLF2	 
YAP/TAZ	 	group	 	 	4.35E-03	4.61E-02	HSP90AA1,HSPA1A/HSPA1B	 
NT5E	 	phosphatase	 	 	4.39E-03	4.61E-02	IL13RA1,IL1B,SERPINE1	 
GNRH1	 	other	 	 	4.39E-03	4.61E-02	HSD3B1,IL1B,INHBB	 
HOXA10	 	transcription regulator	 	-1.134	4.47E-03	4.65E-02	CA3,GJA1,LEPR,NR4A1,PEG3,SLC27A1,THBD	 
RNF31	 	enzyme	 	0.447	4.52E-03	4.65E-02	Ccl9,IL13RA1,IL18,IL1A,IL1B	 
MAPKAPK2	0.557	kinase	 	-1.264	4.52E-03	4.65E-02	DDIT3,HDC,HSPB8,IL18,PLA1A	 
HNF1A	 	transcription regulator	 	1.093	4.61E-03	4.71E-02	BCL6B,CYP7A1,DCT,ELOVL2,ENPEP,FH,FOXA3,HABP2,HAO1,PFKFB2	 
SPARC	 	other	Activated	2.646	4.73E-03	4.80E-02	ACOT2,CHRNA2,CIDEC,CYP1A1,LOXL4,LYVE1,SLC22A5	 
CEBPA	 	transcription regulator	 	0.587	4.95E-03	5.00E-02	ABCA3,Abcb1b,ACLY,APOA4,DHCR7,G0S2,LEPR,PPARGC1A,SERPINE1	 
RGS2	 	enzyme	 	-0.378	5.00E-03	5.02E-02	BCAR3,DECR1,EFNA1,FABP2,GJA1,IL18,RCAN1	 
NCSTN	 	peptidase	 	0.152	5.12E-03	5.10E-02	Ccl9,CD14,GRN,HES1	 
CFB	 	peptidase	 	 	5.24E-03	5.16E-02	DDIT3,IL1B,THBD	 
SCP2	 	transporter	 	 	5.24E-03	5.16E-02	ACAA1,AKR1C4,CYP7A1	 
EIF2AK3	 	kinase	 	0.254	5.39E-03	5.27E-02	ATF5,CBX4,DDIT3,EDEM1,ERN1,KLF4,SLC1A4,TXNIP	 
SOCS6	 	other	 	 	6.19E-03	5.95E-02	IL18,IL1B,PLA1A	 
MAPK7	 	kinase	 	 	6.19E-03	5.95E-02	IL1A,IL1B,KLF2	 
FDFT1	 	enzyme	 	 	6.19E-03	5.95E-02	ABCG8,CYP7A1,FDPS	 
SCD	 	enzyme	 	-1.200	6.25E-03	5.96E-02	ACADL,CPT1A,IL1B,PPARGC1A,SLC27A1	 
SOCS3	1.905	phosphatase	 	-0.790	6.33E-03	6.01E-02	IL1B,Mx2,PPARGC1A,SOCS3	 
miR-483-3p (miRNAs w/seed CACUCCU)	 	mature microRNA	 	 	6.43E-03	6.05E-02	MAPKAPK2,SOCS3	 
