© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Endoplasmic Reticulum Stress Pathway	2.93E00	2.5E-01	2.236	ATF4,EIF2AK3,EIF2S1,HSPA5,XBP1	
Adipogenesis pathway	2.92E00	1.07E-01	NaN	BMP2,CEBPB,CEBPD,FOXO1,FZD7,GTF2H1,HDAC11,HDAC5,PER2,STAT5B,TNF,TNFRSF1A,TXNIP,XBP1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	2.91E00	1.75E-01	1.000	ATF4,CXCL10,IL17RA,IL1B,RELB,RPS6KA5,TRAF6	
Type II Diabetes Mellitus Signaling	2.79E00	1E-01	1.508	CEBPB,GCK,IRS2,MAP3K1,MAP3K14,NFKBIA,PIK3R1,PRKAB1,RELB,SMPD3,SOCS2,SOCS3,TNF,TNFRSF1A,TNFRSF1B	
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.76E00	1.48E-01	2.646	ELP1,MAVS,NFKBIA,RELB,RIPK1,STAT2,TNF,TRAF6	
Spermidine Biosynthesis I	2.75E00	1E00	NaN	AMD1,SRM	
Senescence Pathway	2.71E00	8.13E-02	-0.426	ATF3,CCND1,CCNE1,CDC25A,CEBPB,E2F2,E2F4,ETS2,FOXO3,GADD45A,GATA4,MAP2K6,PCGF6,PDK4,PIK3R1,RASD1,RPS6KA5,SAA1,SAA2-SAA4,SERPINE1,TLR2,TRAF6,VHL	
Ferroptosis Signaling Pathway	2.71E00	1.06E-01	0.832	ANGPTL4,Arf2,ATF4,EIF2AK3,G3BP1,H2AX,HMOX1,PRKAB1,RASD1,SLC39A14,SLC7A11,STAT3,TFRC	
Sirtuin Signaling Pathway	2.65E00	8.18E-02	-0.243	ATG101,FOXO1,FOXO3,GADD45A,NDUFA4L2,NDUFS6,PCK1,POLR1A,POLR1B,POLR1E,POLR3D,PPARGC1A,RELB,RRP9,SF3A1,STAT3,TIMM10,TNF,TUBA1A,TUBA1B,TUBA1C,ZBTB14	
IL-23 Signaling Pathway	2.55E00	1.52E-01	1.633	IL1B,NFKBIA,PIK3R1,RELB,SOCS3,STAT3,TNF	
FXR/RXR Activation	2.49E00	1.04E-01	NaN	A1BG,CYP7A1,FOXA2,FOXA3,FOXO1,G6PC,HNF4A,IL1B,PPARGC1A,SAA1,SLC10A2,TNF	
Hepatic Cholestasis	2.47E00	8.99E-02	NaN	ADCY9,CYP7A1,ELP1,HNF4A,IL1B,MAP3K14,MYD88,NFKBIA,PPRC1,RELB,SLC10A2,TIRAP,TNF,TNFRSF1A,TNFRSF1B,TRAF6	
Germ Cell-Sertoli Cell Junction Signaling	2.47E00	9.26E-02	NaN	ACTG1,MAP2K6,MAP3K1,MAP3K13,MAP3K14,PIK3R1,RASD1,RND3,SRC,TNF,TNFRSF1A,TUBA1A,TUBA1B,TUBA1C,TUBB4B	
Hypoxia Signaling in the Cardiovascular System	2.43E00	1.22E-01	0.000	ATF4,CDC34,HSP90AA1,NFKBIA,UBE2F,UBE2H,UBE2S,VEGFA,VHL	
Estrogen-mediated S-phase Entry	2.39E00	1.92E-01	2.236	CCND1,CCNE1,CDC25A,E2F2,E2F4	
RANK Signaling in Osteoclasts	2.39E00	1.12E-01	0.378	ELP1,MAP2K6,MAP3K1,MAP3K13,MAP3K14,NFKBIA,PIK3R1,RELB,SRC,TRAF6	
FAT10 Cancer Signaling Pathway	2.34E00	1.4E-01	0.000	CXCR4,NFKBIA,RELB,STAT3,TNF,TNFRSF1A,TNFRSF1B	
tRNA Charging	2.33E00	1.58E-01	2.449	FARSA,IARS1,MARS2,RARS1,WARS1,YARS1	
Insulin Receptor Signaling	2.27E00	9.42E-02	-0.632	EIF2B4,FOXO1,FOXO3,IRS2,PIK3R1,PPP1R10,PTPN1,RASD1,SGK1,SOCS3,SYNJ2,TRIP10,TSC1	
Small Cell Lung Cancer Signaling	2.19E00	1.05E-01	NaN	CCND1,CCNE1,E2F2,E2F4,HDAC11,HDAC5,NFKBIA,PIK3R1,RELB,TRAF6	
Tumor Microenvironment Pathway	2.18E00	8.62E-02	2.673	CCND1,CSF1,CXCR4,FOXO1,FOXO3,ICAM1,IL1B,MAP3K14,PIK3R1,RASD1,RELB,STAT3,TNF,TNFRSF1A,VEGFA	
Cyclins and Cell Cycle Regulation	2.17E00	1.11E-01	1.633	CCND1,CCNE1,CDC25A,CDC34,E2F2,E2F4,HDAC11,HDAC5,WEE1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	2.17E00	1.19E-01	2.121	CXCL10,CXCL3,IL1B,MYD88,NLRP3,S1PR1,STAT2,TNF	
Hepatic Fibrosis Signaling Pathway	2.17E00	6.91E-02	2.353	ATF4,CCN2,CCND1,CEBPB,FOXO1,FZD7,ICAM1,IL17RA,IL1B,IRS2,MAP2K6,MYD88,NFKBIA,PIK3R1,RASD1,RELB,RIPK1,RND3,ROCK2,SERPINE1,STAT3,TFRC,TIRAP,TNF,TNFRSF1A,TNFRSF1B,TRAF6,VEGFA	
VEGF Signaling	2.16E00	1.04E-01	1.342	ACTG1,EIF2B4,EIF2S1,FOXO1,FOXO3,PIK3R1,RASD1,ROCK2,SRC,VEGFA	
Role of Tissue Factor in Cancer	2.13E00	9.82E-02	NaN	CCN2,CSF1,F3,IL1B,PIK3R1,PLAUR,RASD1,RPS6KA5,SRC,STAT5B,VEGFA	
p38 MAPK Signaling	2.13E00	9.82E-02	0.632	ATF4,DAXX,DUSP1,IL1B,MAP2K6,MKNK2,RPS6KA5,TNF,TNFRSF1A,TNFRSF1B,TRAF6	
April Mediated Signaling	2.11E00	1.43E-01	2.000	ELP1,MAP3K1,MAP3K14,NFKBIA,RELB,TRAF6	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.09E00	8.43E-02	1.941	ELP1,IRF1,MAP3K1,MAP3K13,MAP3K14,NFKBIA,PIK3R1,PPP1R10,RELB,RND3,S100A8,TLR2,TNF,TNFRSF1A,TNFRSF1B	
CD27 Signaling in Lymphocytes	2.06E00	1.25E-01	0.447	ELP1,MAP2K6,MAP3K1,MAP3K13,MAP3K14,NFKBIA,RELB	
B Cell Activating Factor Signaling	2.06E00	1.4E-01	2.000	ELP1,MAP3K1,MAP3K14,NFKBIA,RELB,TRAF6	
Assembly of RNA Polymerase I Complex	2.03E00	2.73E-01	NaN	POLR1A,POLR1B,POLR1E	
NGF Signaling	2.02E00	9.48E-02	0.707	ATF4,MAP3K1,MAP3K13,MAP3K14,PIK3R1,RASD1,RELB,ROCK2,RPS6KA5,SMPD3,TRAF6	
Spliceosomal Cycle	2.02E00	1.36E-01	2.449	CWC25,PLRG1,RNF113A,SF3A1,SF3A3,SF3B4	
Sertoli Cell-Sertoli Cell Junction Signaling	1.99E00	8E-02	NaN	ACTG1,CLDN14,MAP3K1,MAP3K13,MAP3K14,OCLN,RASD1,SPTBN2,SRC,TJP3,TNF,TNFRSF1A,TUBA1A,TUBA1B,TUBA1C,TUBB4B	
IGF-1 Signaling	1.98E00	9.8E-02	-0.447	CCN2,FOXO1,FOXO3,IGFBP1,IRS2,PIK3R1,RASD1,SOCS2,SOCS3,STAT3	
G-Protein Coupled Receptor Signaling	1.98E00	7.38E-02	NaN	ADCY9,ADRA1A,ATF4,CNR2,DUSP1,ELP1,GPR17,HCAR2,NFKBIA,PDE12,PDE9A,PIK3R1,PTGER2,RASD1,RELB,RGS12,RGS16,S1PR1,SRC,STAT3	
IL-12 Signaling and Production in Macrophages	1.97E00	9.32E-02	NaN	CEBPB,ELP1,IRF1,MYD88,NFKBIA,PIK3R1,RELB,S100A8,TLR2,TNF,TRAF6	
HIF1α Signaling	1.97E00	7.96E-02	-0.500	CCNG2,GCK,HMOX1,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA5,MAP2K6,MKNK2,PIK3R1,RASD1,SERPINE1,SLC2A5,STAT3,VEGFA,VHL	
MSP-RON Signaling In Cancer Cells Pathway	1.97E00	8.96E-02	1.508	ATF4,CCND1,ETS2,NFKBIA,PIK3R1,PLAUR,RASD1,RELB,SRC,STAT3,VEGFA,VHL	
PPARα/RXRα Activation	1.97E00	8.15E-02	-0.905	ADCY9,BCL3,ELP1,HSP90AA1,IL1B,MAP2K6,MAP3K14,NFKBIA,NR2C2,PPARGC1A,PRKAB1,RASD1,RELB,STAT5B,TRAF6	
NRF2-mediated Oxidative Stress Response	1.96E00	7.76E-02	2.121	ACTG1,ATF4,CDC34,CYP2B6,DNAJA1,DNAJB5,DNAJC12,EIF2AK3,HMOX1,HSP90AA1,HSPB8,JUNB,MAP2K6,MAP3K1,PIK3R1,RASD1,STIP1	
STAT3 Pathway	1.95E00	8.89E-02	-0.333	CDC25A,CISH,IL17RA,IL1B,PIM1,PTPN2,RASD1,SOCS2,SOCS3,SRC,STAT3,VEGFA	
Ceramide Signaling	1.94E00	1.02E-01	0.816	MAP3K1,PIK3R1,RASD1,RELB,S1PR1,SMPD3,TNF,TNFRSF1A,TNFRSF1B	
MSP-RON Signaling In Macrophages Pathway	1.92E00	9.62E-02	1.000	ATF4,ETV3,NFKBIZ,PIK3R1,RASD1,RELB,SBNO2,SOCS3,STAT3,TNF	
UDP-N-acetyl-D-galactosamine Biosynthesis II	1.91E00	2.5E-01	NaN	GCK,GNPDA1,UAP1	
Autophagy	1.88E00	7.77E-02	0.500	ATF4,ATG101,EIF2AK3,FOXO1,FOXO3,IRS2,MYD88,PIK3R1,PRKAB1,RIPK1,TNF,TNFRSF1A,TNFRSF1B,TRAF6,TSC1,VEGFA	
Pancreatic Adenocarcinoma Signaling	1.84E00	8.94E-02	2.236	CCND1,CCNE1,E2F2,E2F4,HDAC11,HDAC5,HMOX1,PIK3R1,RELB,STAT3,VEGFA	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.84E00	1.74E-01	NaN	PTPN2,RELB,STAT2,STAT3	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.84E00	1.43E-01	NaN	MAVS,NFKBIA,RELB,RIPK1,TRAF6	
Cell Cycle Regulation by BTG Family Proteins	1.84E00	1.43E-01	0.447	BTG1,CCND1,CCNE1,E2F2,E2F4	
IL-17 Signaling	1.82E00	8.28E-02	1.387	CEBPB,CXCL3,HSP90AA1,IL17RA,IL1B,MAP2K6,MAP3K14,PIK3R1,RASD1,RGS16,TNF,TRAF6,VEGFA	
IL-1 Signaling	1.82E00	9.78E-02	0.816	ADCY9,ELP1,MAP2K6,MAP3K1,MAP3K14,MYD88,NFKBIA,RELB,TRAF6	
Acyl-CoA Hydrolysis	1.82E00	2.31E-01	NaN	ACOT1,HNF4A,THEM4	
14-3-3-mediated Signaling	1.8E00	8.8E-02	2.000	FOXO1,PIK3R1,RASD1,SRC,TNF,TNFRSF1A,TSC1,TUBA1A,TUBA1B,TUBA1C,TUBB4B	
IL-17A Signaling in Airway Cells	1.8E00	1.11E-01	2.449	CXCL3,IL17RA,NFKBIA,PIK3R1,RELB,STAT3,TRAF6	
NF-κB Activation by Viruses	1.79E00	1.03E-01	1.633	ELP1,MAP3K1,MAP3K14,NFKBIA,PIK3R1,RASD1,RELB,RIPK1	
ErbB2-ErbB3 Signaling	1.76E00	1.09E-01	0.816	CCND1,ERBB3,FOXO1,PIK3R1,RASD1,STAT3,STAT5B	
LXR/RXR Activation	1.72E00	8.93E-02	0.000	A1BG,CYP7A1,IL1B,MYLIP,RELB,S100A8,SAA1,TNF,TNFRSF1A,TNFRSF1B	
Coronavirus Replication Pathway	1.69E00	1.32E-01	2.236	BAG3,TUBA1A,TUBA1B,TUBA1C,TUBB4B	
Granulocyte Adhesion and Diapedesis	1.66E00	7.88E-02	NaN	Ccl2,CCL3L3,CLDN14,CXCL10,Cxcl11,CXCL2,CXCL3,CXCR4,ICAM1,IL1B,TNF,TNFRSF1A,TNFRSF1B	
RAN Signaling	1.64E00	2E-01	NaN	KPNA2,KPNA6,RANBP1	
Role of IL-17A in Arthritis	1.64E00	1.13E-01	NaN	CXCL3,IL17RA,MAP2K6,NFKBIA,PIK3R1,RELB	
Growth Hormone Signaling	1.63E00	1.03E-01	-0.816	ONECUT1,PIK3R1,RPS6KA5,SOCS2,SOCS3,STAT3,STAT5B	
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.63E00	1.03E-01	NaN	BLNK,IRS2,PIK3R1,RASD1,SOCS3,STAT3,STAT5B	
Lymphotoxin β Receptor Signaling	1.6E00	1.11E-01	2.236	ELP1,MAP3K14,NFKBIA,PIK3R1,RELB,TRAF6	
Superpathway of Inositol Phosphate Compounds	1.6E00	7.21E-02	1.604	CDC25A,DUSP1,DUSP11,G6PC,IP6K2,IPPK,MTMR4,PIK3R1,PPM1K,PPP1R10,PPTC7,PTPN1,PTPN12,PTPN2,SOCS3,SYNJ2	
Prolactin Signaling	1.59E00	9.41E-02	0.000	CEBPB,IRF1,PIK3R1,RASD1,SOCS2,SOCS3,STAT3,STAT5B	
EIF2 Signaling	1.58E00	7.32E-02	-0.302	AGO3,ATF3,ATF4,CCND1,EIF2AK3,EIF2B4,EIF2S1,HSPA5,PIK3R1,RASD1,RPL36,RPL7L1,TRIB3,VEGFA,WARS1	
GM-CSF Signaling	1.57E00	1E-01	0.447	CCND1,CISH,PIK3R1,PIM1,RASD1,STAT3,STAT5B	
ILK Signaling	1.57E00	7.45E-02	1.155	ACTG1,ATF4,BMP2,CCND1,IRS2,MAP2K6,MYH14,PIK3R1,RELB,RND3,RPS6KA5,TNF,TNFRSF1A,VEGFA	
HER-2 Signaling in Breast Cancer	1.57E00	7.45E-02	1.604	Arf2,CCND1,CCNE1,ERBB3,ETS2,FOXO1,FOXO3,NFKBIA,PIK3R1,RASD1,RELB,SRC,STAT3,TSC1	
Agranulocyte Adhesion and Diapedesis	1.57E00	7.45E-02	NaN	ACTG1,Ccl2,CCL3L3,CLDN14,CXCL10,Cxcl11,CXCL2,CXCL3,CXCR4,ICAM1,IL1B,MYH14,TNF,TNFRSF1A	
RAR Activation	1.51E00	7.33E-02	NaN	ADCY9,BMP2,DHRS3,DUSP1,GTF2H1,MAP3K1,PIK3R1,PNRC1,PPARGC1A,RELB,SORBS3,SRC,STAT5B,VEGFA	
Inositol Pyrophosphates Biosynthesis	1.49E00	2.86E-01	NaN	IP6K2,IPPK	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.49E00	6.85E-02	2.000	BLNK,CCND1,FOXO1,FOXO3,IL1B,MAP3K14,MAVS,MYD88,PIK3R1,RASD1,RELB,SRC,STAT2,STAT3,SYNJ2,TNF,TRAF6	
Chronic Myeloid Leukemia Signaling	1.47E00	8.49E-02	NaN	CCND1,E2F2,E2F4,HDAC11,HDAC5,PIK3R1,RASD1,RELB,STAT5B	
Acute Myeloid Leukemia Signaling	1.46E00	8.89E-02	0.447	CCND1,MAP2K6,PIK3R1,PIM1,RASD1,RELB,STAT3,STAT5B	
B Cell Receptor Signaling	1.43E00	7.3E-02	0.000	ATF4,BLNK,ELP1,FOXO1,MAP2K6,MAP3K1,MAP3K13,MAP3K14,NFKBIA,PIK3R1,RASD1,RELB,SYNJ2	
3-phosphoinositide Degradation	1.41E00	7.26E-02	1.508	CDC25A,DUSP1,DUSP11,G6PC,MTMR4,PPM1K,PPP1R10,PPTC7,PTPN1,PTPN12,PTPN2,SOCS3,SYNJ2	
Angiopoietin Signaling	1.4E00	9.21E-02	-1.000	ELP1,FOXO1,NFKBIA,PIK3R1,RASD1,RELB,STAT5B	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.4E00	6.91E-02	NaN	BMP2,CSF1,ELP1,FOXO1,FZD7,IL1B,MAP2K6,MAP3K14,NFKBIA,PIK3R1,SRC,TNF,TNFRSF1A,TNFRSF1B,TRAF6	
Non-Small Cell Lung Cancer Signaling	1.38E00	8.6E-02	NaN	CCND1,E2F2,E2F4,FOXO3,HDAC11,HDAC5,PIK3R1,RASD1	
Sphingomyelin Metabolism	1.38E00	2.5E-01	NaN	SGMS2,SMPD3	
4-hydroxybenzoate Biosynthesis	1.38E00	1E00	NaN	TAT	
4-hydroxyphenylpyruvate Biosynthesis	1.38E00	1E00	NaN	TAT	
Estrogen-Dependent Breast Cancer Signaling	1.37E00	9.09E-02	0.447	ATF4,CCND1,PIK3R1,RASD1,RELB,SRC,STAT5B	
iNOS Signaling	1.37E00	1.09E-01	NaN	IRF1,MYD88,NFKBIA,RELB,TRAF6	
Inflammasome pathway	1.37E00	1.58E-01	NaN	IL1B,MYD88,NLRP3	
p53 Signaling	1.36E00	8.51E-02	-1.342	CCND1,COQ8A,GADD45A,GNL3,JMY,PIK3R1,TIGAR,TP53INP1	
FLT3 Signaling in Hematopoietic Progenitor Cells	1.32E00	8.86E-02	0.816	ATF4,PIK3R1,RASD1,RPS6KA5,STAT2,STAT3,STAT5B	
4-1BB Signaling in T Lymphocytes	1.32E00	1.21E-01	NaN	ELP1,MAP3K14,NFKBIA,RELB	
Thrombopoietin Signaling	1.32E00	9.52E-02	0.447	IRS2,PIK3R1,RASD1,STAT3,STAT5B,THPO	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.31E00	7.19E-02	1.265	CDC25A,DUSP1,DUSP11,G6PC,MTMR4,PPM1K,PPP1R10,PPTC7,PTPN1,PTPN12,PTPN2,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.31E00	7.19E-02	1.265	CDC25A,DUSP1,DUSP11,G6PC,MTMR4,PPM1K,PPP1R10,PPTC7,PTPN1,PTPN12,PTPN2,SOCS3	
GADD45 Signaling	1.31E00	1.5E-01	NaN	CCND1,CCNE1,GADD45A	
Assembly of RNA Polymerase II Complex	1.3E00	1.04E-01	2.236	GTF2F1,GTF2H1,POLR2H,TAF2,TAF4B	
Remodeling of Epithelial Adherens Junctions	1.29E00	9.38E-02	NaN	ACTG1,SRC,TUBA1A,TUBA1B,TUBA1C,TUBB4B	
LPS-stimulated MAPK Signaling	1.23E00	8.43E-02	0.000	ELP1,MAP2K6,MAP3K14,NFKBIA,PIK3R1,RASD1,RELB	
HMGB1 Signaling	1.21E00	7.1E-02	1.414	ICAM1,IL1B,MAP2K6,PIK3R1,RASD1,RELB,RND3,SERPINE1,TNF,TNFRSF1A,TNFRSF1B	
3-phosphoinositide Biosynthesis	1.2E00	6.74E-02	1.508	CDC25A,DUSP1,DUSP11,G6PC,MTMR4,PIK3R1,PPM1K,PPP1R10,PPTC7,PTPN1,PTPN12,PTPN2,SOCS3	
Transcriptional Regulatory Network in Embryonic Stem Cells	1.18E00	9.62E-02	NaN	GATA4,HNF4A,ONECUT1,RFX4,STAT3	
Hereditary Breast Cancer Signaling	1.17E00	7.19E-02	NaN	BLM,CCND1,GADD45A,H2AX,HDAC11,HDAC5,PIK3R1,POLR2H,RASD1,WEE1	
Apoptosis Signaling	1.17E00	7.77E-02	0.000	ELP1,MAP3K14,NFKBIA,RASD1,RELB,TNF,TNFRSF1A,TNFRSF1B	
TWEAK Signaling	1.17E00	1.08E-01	NaN	MAP3K14,NFKBIA,RELB,RIPK1	
IL-17A Signaling in Gastric Cells	1.16E00	1.3E-01	NaN	CXCL10,IL17RA,TNF	
Apelin Cardiac Fibroblast Signaling Pathway	1.16E00	1.3E-01	NaN	CCN2,PRKAB1,SERPINE1	
Endocannabinoid Developing Neuron Pathway	1.15E00	7.38E-02	0.707	ADCY9,ATF4,CCND1,CNR2,MAP2K6,PIK3R1,RASD1,SRC,STAT3	
Aldosterone Signaling in Epithelial Cells	1.15E00	6.92E-02	NaN	DNAJA1,DNAJB5,DNAJC12,DUSP1,HSP90AA1,HSPA1A/HSPA1B,HSPA5,HSPB8,HSPH1,PIK3R1,SGK1	
PI3K/AKT Signaling	1.15E00	6.6E-02	0.378	CCND1,ELP1,FOXO1,FOXO3,HSP90AA1,IL17RA,NFKBIA,PIK3R1,RASD1,RELB,SYNJ2,THEM4,TSC1	
Hematopoiesis from Multipotent Stem Cells	1.12E00	1.82E-01	NaN	CSF1,THPO	
ERK5 Signaling	1.11E00	8.45E-02	-0.447	ATF4,FOXO3,RASD1,RPS6KA5,SGK1,SRC	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.11E00	8.45E-02	1.633	CXCL10,IL1B,MAP2K6,MYD88,NFKBIA,TNF	
IL-22 Signaling	1.11E00	1.25E-01	NaN	SOCS3,STAT3,STAT5B	
cAMP-mediated signaling	1.11E00	6.39E-02	0.277	ADCY9,AKAP8,ATF4,CNR2,DUSP1,GPR17,HCAR2,PDE12,PDE9A,PTGER2,RGS12,S1PR1,SRC,STAT3	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.11E00	6.99E-02	2.333	EIF2S1,IL1B,MAVS,MYD88,NLRP3,PIK3R1,RELB,TLR2,TNF,TRAF6	
MSP-RON Signaling Pathway	1.1E00	9.09E-02	NaN	ACTG1,CSF1,PIK3R1,TLR2,TNF	
Spermine Biosynthesis	1.09E00	5E-01	NaN	AMD1	
GDP-L-fucose Biosynthesis II (from L-fucose)	1.09E00	5E-01	NaN	FPGT	
Cardiolipin Biosynthesis II	1.09E00	5E-01	NaN	PGS1	
Putrescine Biosynthesis III	1.09E00	5E-01	NaN	ODC1	
D-myo-inositol-5-phosphate Metabolism	1.07E00	6.56E-02	1.265	CDC25A,DUSP1,DUSP11,G6PC,MTMR4,PPM1K,PPP1R10,PPTC7,PTPN1,PTPN12,PTPN2,SOCS3	
