© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
IL-17A Signaling in Fibroblasts	5.1E00	3.43E-01	NaN	CEBPB,CEBPD,FOS,IKBKE,IL17RA,LCN2,NFKB2,NFKBIA,NFKBIB,NFKBIE,NFKBIZ,RELB	
Death Receptor Signaling	5.01E00	2.23E-01	2.357	ACTA1,ACTG1,BIRC2,DAXX,ELP1,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,PARP10,PARP14,PARP9,RELB,RIPK1,TANK,TIPARP,TNF,TNFRSF1A,TNFRSF1B,TNFSF10	
Estrogen-mediated S-phase Entry	4.84E00	3.85E-01	2.333	CCND1,CCNE1,CDC25A,CDK2,CDKN1A,E2F2,E2F4,ESR1,MYC,TFDP1	
Coronavirus Pathogenesis Pathway	4.74E00	1.73E-01	-0.707	AGTR1,ATF4,CCND1,CCNE1,CCR2,CDK2,DDX58,E2F2,E2F4,EIF2AK3,FOS,HDAC11,HDAC5,IL17RA,IL1B,IRF9,NFKB2,NFKBIA,NFKBIB,NFKBIE,PA2G4,RBL2,RELB,RIPK1,SERPINE1,SIGMAR1,STAT1,STAT2,STAT3,TFDP1,TP53,TRAF3	
TNFR2 Signaling	4.73E00	3.44E-01	-0.333	BIRC2,FOS,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,TANK,TNF,TNFRSF1B	
FAT10 Cancer Signaling Pathway	4.69E00	2.8E-01	0.905	AKT1,CXCR4,IKBKE,MAD2L2,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,STAT3,TNF,TNFRSF1A,TNFRSF1B,TP53	
Chronic Myeloid Leukemia Signaling	4.68E00	2.08E-01	NaN	AKT1,CBLC,CCND1,CCND2,CDKN1A,CRKL,E2F2,E2F4,HDAC11,HDAC5,IKBKE,MYC,NFKB2,PA2G4,RALB,RASD1,RBL2,RELB,STAT5A,STAT5B,TFDP1,TP53	
Acute Phase Response Signaling	4.5E00	1.73E-01	1.460	AKT1,APCS,CEBPB,ELP1,FOS,HMOX1,HPX,IKBKE,IL1B,IL1RN,IL6R,MAP2K3,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,RALB,RASD1,RELB,RIPK1,SAA1,SAA2-SAA4,Saa3,SERPINE1,SOCS3,STAT3,TNF,TNFRSF1A,TNFRSF1B	
iNOS Signaling	4.45E00	2.83E-01	2.111	CD14,FOS,IKBKE,IRAK3,IRAK4,IRF1,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,STAT1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.42E00	1.46E-01	NaN	ADAMTS4,AKT1,ATF4,C5AR1,CCND1,CEBPA,CEBPB,CEBPD,CEBPG,CEBPZ,CREB3,CSF1,CSNK1D,ELP1,FOS,FZD7,ICAM1,IKBKE,IL17RA,IL1B,IL1RN,IL6R,IRAK3,IRAK4,LRP5,MAP2K3,MYC,MYD88,NFKBIA,NFKBIB,NFKBIE,PRKCZ,PROK1,RALB,RASD1,RIPK1,SOCS3,STAT3,TLR1,TLR2,TNF,TNFRSF1A,TNFRSF1B,TRAF3,VEGFA	
Toll-like Receptor Signaling	4.34E00	2.3E-01	2.714	CD14,EIF2AK2,FOS,IL1B,IL1RN,IRAK3,IRAK4,MAP2K3,MYD88,NFKB2,NFKBIA,RELB,TAB2,TIRAP,TLR1,TLR2,TNF	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	4.33E00	2.39E-01	3.500	CXCL10,DDX58,EIF2AK2,IFIT2,IFIT3,IL1B,IL1RN,IRF9,ISG15,ISG20,MYD88,NFKB2,S1PR1,STAT1,STAT2,TNF	
HER-2 Signaling in Breast Cancer	4.2E00	1.65E-01	0.898	AKT1,Arf2,ARF4,CCND1,CCNE1,CDKN1A,COX10,COX6C,EGFR,ERBB3,ETS2,FGR,FOS,FOXO1,HCK,IKBKE,ITGB5,ITGB8,MYC,NFKB2,NFKBIA,NFKBIB,NFKBIE,PRKCZ,RALB,RASD1,RBL2,RELB,STAT3,TP53,TSC1	
IL-10 Signaling	4.17E00	2.32E-01	NaN	CD14,ELP1,FOS,HMOX1,IKBKE,IL1B,IL1RN,MAP2K3,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,SOCS3,STAT3,TNF	
Induction of Apoptosis by HIV1	4E00	2.34E-01	1.069	BIRC2,CXCR4,DAXX,ELP1,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,RIPK1,TNF,TNFRSF1A,TNFRSF1B,TP53	
IL-6 Signaling	4E00	1.84E-01	1.606	AKT1,CD14,CEBPB,ELP1,FOS,IKBKE,IL1B,IL1RN,IL6R,MAP2K3,NFKB2,NFKBIA,NFKBIB,NFKBIE,RALB,RASD1,RELB,SOCS3,STAT3,TNF,TNFRSF1A,TNFRSF1B,VEGFA	
Spliceosomal Cycle	3.98E00	2.73E-01	3.464	DDX39B,DHX15,DHX38,MAGOH,PLRG1,RNF113A,SF3A1,SF3A3,SF3B3,SF3B4,U2AF2,YJU2	
Hepatic Cholestasis	3.87E00	1.63E-01	NaN	ABCC1,ABCG8,ADCY9,CD14,CYP8B1,ELP1,ESR1,HSD3B7,IKBKE,IL1B,IL1RN,IRAK3,IRAK4,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,NR1I2,PPRC1,PRKCZ,RELB,SLCO3A1,SREBF1,TIRAP,TNF,TNFRSF1A,TNFRSF1B,TNFSF10	
Cyclins and Cell Cycle Regulation	3.82E00	2.1E-01	1.155	CCND1,CCND2,CCNE1,CDC25A,CDC34,CDK2,CDKN1A,E2F2,E2F4,HDAC11,HDAC5,PA2G4,PPM1L,RBL2,TFDP1,TP53,WEE1	
Hypoxia Signaling in the Cardiovascular System	3.78E00	2.16E-01	1.414	AKT1,ARNT,ATF4,CDC34,CREB3,CSNK1D,HSP90B1,NFKBIA,NFKBIB,NFKBIE,TP53,UBE2H,UBE2J2,UBE2S,UBE2U,VEGFA	
TNFR1 Signaling	3.41E00	2.4E-01	0.905	BIRC2,FOS,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,RIPK1,TANK,TNF,TNFRSF1A	
p38 MAPK Signaling	3.38E00	1.79E-01	1.886	ATF4,CREB3,DAXX,DUSP1,DUSP10,IL1B,IL1RN,IRAK3,IRAK4,MAP2K3,MKNK2,MYC,RPS6KA5,STAT1,TAB2,TIFA,TNF,TNFRSF1A,TNFRSF1B,TP53	
Sertoli Cell-Sertoli Cell Junction Signaling	3.34E00	1.5E-01	NaN	ACTA1,ACTG1,AKT1,BCAR1,CLDN1,CLDN14,CLDN2,GUCY1A1,ITGA6,ITGA8,ITGAM,ITGB5,ITGB8,JAM2,MAP2K3,MAP3K13,NECTIN1,OCLN,RALB,RASD1,SPTBN2,TJP3,TNF,TNFRSF1A,TUBA1A,TUBA1B,TUBA1C,TUBB,TUBB4B,TUBB6	
Interferon Signaling	3.34E00	2.9E-01	2.828	IFI35,IFIT1,IFIT3,IRF1,IRF9,ISG15,STAT1,STAT2,TAP1	
PPAR Signaling	3.31E00	1.81E-01	-1.500	ELP1,FOS,HSP90B1,IKBKE,IL1B,IL1RN,NFKB2,NFKBIA,NFKBIB,NFKBIE,PPARGC1A,RALB,RASD1,RELB,STAT5A,STAT5B,TNF,TNFRSF1A,TNFRSF1B	
JAK/Stat Signaling	3.25E00	1.95E-01	0.000	AKT1,CDKN1A,CEBPB,CISH,FOS,NFKB2,PTPN1,RALB,RASD1,RELB,SOCS3,STAT1,STAT2,STAT3,STAT5A,STAT5B	
GADD45 Signaling	3.25E00	3.5E-01	NaN	CCND1,CCND2,CCNE1,CDK2,CDKN1A,GADD45A,TP53	
Endoplasmic Reticulum Stress Pathway	3.25E00	3.5E-01	2.646	ATF4,ATF6,EIF2AK3,EIF2S1,HSP90B1,HSPA5,XBP1	
Pancreatic Adenocarcinoma Signaling	3.24E00	1.71E-01	2.887	AKT1,CCND1,CCNE1,CDK2,CDKN1A,E2F2,E2F4,EGFR,HDAC11,HDAC5,HMOX1,NFKB2,PA2G4,PROK1,RBL2,RELB,STAT1,STAT3,TFDP1,TP53,VEGFA	
Circadian Rhythm Signaling	3.23E00	2.81E-01	NaN	ARNTL,ATF4,BHLHE40,CLOCK,CREB3,CSNK1D,PER1,PER2,PER3	
EIF2 Signaling	3.16E00	1.46E-01	0.000	ACTA1,AKT1,ATF3,ATF4,CCND1,EIF1AX,EIF2AK2,EIF2AK3,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2S1,EIF3A,EIF3B,EIF3D,EIF3J,EIF4A1,EIF4A2,HSPA5,MYC,PPP1CA,PTBP1,RALB,RASD1,RPL36,RPL7L1,SREBF1,VEGFA,WARS1	
Senescence Pathway	3.09E00	1.34E-01	0.169	AKT1,ATF3,BHLHE40,CAPN5,CBX7,CCND1,CCND2,CCNE1,CDC25A,CDK2,CDKN1A,CEBPB,E2F2,E2F4,ETS2,GADD45A,GATA4,IKBKE,MAP2K3,MCU,NFKB2,PDK2,PDK4,PPM1L,PPP1CA,PRKCZ,RALB,RASD1,RBL2,RPS6KA5,SAA1,SAA2-SAA4,Saa3,SERPINE1,SMAD6,TLR2,TP53,YPEL3	
TREM1 Signaling	2.96E00	1.97E-01	1.941	AKT1,ICAM1,IL1B,MYD88,NFKB2,NLRC5,NLRP12,RELB,STAT3,STAT5A,STAT5B,TLR1,TLR2,TNF	
LXR/RXR Activation	2.96E00	1.7E-01	-0.577	A1BG,ABCA1,ABCG8,CD14,FASN,HMGCR,HPX,IL1B,IL1RN,LDLR,MSR1,MYLIP,NFKB2,RELB,SAA1,SREBF1,TNF,TNFRSF1A,TNFRSF1B	
Adipogenesis pathway	2.88E00	1.6E-01	NaN	AKT1,ARNTL,CEBPA,CEBPB,CEBPD,CLOCK,FOXO1,FZD7,GTF2H3,HDAC11,HDAC5,KAT2A,LPIN1,PER2,SREBF1,STAT5B,TNF,TNFRSF1A,TP53,TXNIP,XBP1	
PI3K/AKT Signaling	2.8E00	1.42E-01	2.324	AKT1,CCND1,CDKN1A,CSF2RB,ELP1,FOXO1,HSP90B1,IKBKE,IL13RA1,IL17RA,IL6R,ITGA6,ITGA8,ITGAM,ITGB5,ITGB8,NFKB2,NFKBIA,NFKBIB,NFKBIE,PPM1L,RALB,RASD1,RELB,SYNJ2,THEM4,TP53,TSC1	
CD40 Signaling	2.79E00	1.97E-01	1.155	ELP1,FOS,ICAM1,IKBKE,MAP2K3,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,STAT3,TANK,TRAF3	
Hepatic Fibrosis Signaling Pathway	2.79E00	1.21E-01	2.214	AGTR1,AKT1,ATF4,CCN2,CCND1,CEBPB,CREB3,CSNK1D,FOS,FOXO1,FZD7,ICAM1,IKBKE,IL17RA,IL1B,IL1RN,IRAK3,IRAK4,IRS2,ITGA6,ITGA8,ITGAM,ITGB5,ITGB8,KLF9,LRP5,MAP2K3,MYC,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,PRKCZ,PROK1,RALB,RASD1,RELB,RIPK1,RND3,SERPINE1,STAT3,TFRC,TIRAP,TNF,TNFRSF1A,TNFRSF1B,TTN,VEGFA	
Neuregulin Signaling	2.77E00	1.64E-01	0.905	AKT1,CRKL,EGFR,ERBB3,ERRFI1,HSP90B1,ITGA6,ITGA8,ITGAM,ITGB5,ITGB8,MYC,NRG4,PRKCZ,PSEN1,RALB,RASD1,STAT5A,STAT5B	
TWEAK Signaling	2.74E00	2.43E-01	0.707	BIRC2,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,RIPK1,TRAF3	
IL-1 Signaling	2.69E00	1.74E-01	1.508	ADCY9,ELP1,FOS,GNA12,GNAT1,IKBKE,IRAK3,IRAK4,MAP2K3,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,TAB2	
Angiopoietin Signaling	2.67E00	1.84E-01	-0.577	AKT1,DOK2,ELP1,FOXO1,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RALB,RASD1,RELB,STAT5A,STAT5B	
Role of JAK2 in Hormone-like Cytokine Signaling	2.57E00	2.5E-01	NaN	IRS1,IRS2,PTPN1,SOCS3,STAT1,STAT3,STAT5A,STAT5B	
Role of Tissue Factor in Cancer	2.56E00	1.61E-01	NaN	AKT1,CCN2,CSF1,EGFR,EGR1,F3,FGR,GNA12,HCK,IL1B,ITGA6,RALB,RASD1,RPS6KA5,STAT5A,STAT5B,TP53,VEGFA	
Aryl Hydrocarbon Receptor Signaling	2.56E00	1.49E-01	0.894	ARNT,CCND1,CCND2,CCNE1,CDK2,CDKN1A,Cyp3a25 (includes others),DHFR,ESR1,FOS,HSP90B1,IL1B,MYC,NFIB,NFKB2,RBL2,RELB,TFDP1,TGM2,TNF,TP53,TRIP11	
NF-κB Activation by Viruses	2.56E00	1.79E-01	2.309	AKT1,EIF2AK2,ELP1,IKBKE,ITGA6,NFKB2,NFKBIA,NFKBIB,NFKBIE,PRKCZ,RALB,RASD1,RELB,RIPK1	
Autophagy	2.51E00	1.36E-01	1.890	AKT1,AMBRA1,ARNT,ATF4,ATG101,ATG13,CAMKK2,CREB3,EIF2AK3,FOS,FOXO1,GABARAPL1,IRS1,IRS2,MYC,MYD88,NFKB2,PPM1L,PRKAB1,RALB,RIPK1,TNF,TNFRSF1A,TNFRSF1B,TP53,TRAF3,TSC1,VEGFA	
Necroptosis Signaling Pathway	2.44E00	1.48E-01	1.964	AXL,BIRC2,CAPN5,EIF2AK2,IRF9,MLKL,PELI1,PPID,RBL2,RIPK1,RNF31,STAT1,STAT2,TAB2,TNF,TNFRSF1A,TNFRSF1B,TNFSF10,TOMM40,TP53,ZBP1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.43E00	1.29E-01	3.053	AKT1,CCND1,CCND2,FGR,FOS,FOXO1,HCK,IFIH1,IFIT2,IFIT3,IL1B,IL6R,IRAK4,IRF9,ISG15,ISG20,LILRB4,MYC,MYD88,NFKB2,PIK3AP1,PRKCZ,RALB,RASD1,RELB,STAT1,STAT2,STAT3,SYNJ2,TNF,TNFSF10,TRAF3	
MSP-RON Signaling In Cancer Cells Pathway	2.4E00	1.49E-01	2.982	AKT1,ARNT,ATF4,CCND1,CREB3,CSF2RB,EGFR,ETS2,FOS,ITGA6,MYC,NFKB2,NFKBIA,PROK1,RALB,RASD1,RELB,STAT3,TRIM24,VEGFA	
Sirtuin Signaling Pathway	2.4E00	1.26E-01	-0.962	ABCA1,AKT1,APEX1,ARNTL,ATG101,ATG13,CLOCK,FOXO1,GABARAPL1,GABPB1,GADD45A,KAT2A,MYC,NDRG1,NDUFS6,NFKB2,PCK1,POLR1A,POLR1B,POLR1E,POLR3D,PPARGC1A,PPID,RELB,RRP9,SF3A1,SREBF1,STAT3,TNF,TOMM40,TP53,TUBA1A,TUBA1B,TUBA1C	
Acute Myeloid Leukemia Signaling	2.38E00	1.67E-01	1.155	AKT1,CCND1,CEBPA,CSF2RB,KIT,MAP2K3,MYC,NFKB2,PIM1,RALB,RASD1,RELB,STAT3,STAT5A,STAT5B	
Tight Junction Signaling	2.38E00	1.4E-01	NaN	ACTA1,ACTG1,AKT1,BET1L,CEBPA,CLDN1,CLDN14,CLDN2,CPSF2,FOS,GOSR2,JAM2,MYH9,MYO18A,NECTIN1,NFKB2,OCLN,PPM1L,PRKCZ,RELB,TJP3,TNF,TNFRSF1A,TNFRSF1B	
April Mediated Signaling	2.34E00	2.14E-01	0.378	ELP1,FOS,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,TRAF3	
Cell Cycle Regulation by BTG Family Proteins	2.31E00	2.29E-01	0.000	BTG1,CCND1,CCNE1,CDK2,E2F2,E2F4,PPM1L,PRMT1	
Pyrimidine Ribonucleotides De Novo Biosynthesis	2.31E00	2.29E-01	1.134	CAD,CTPS1,DHX29,ENTPD7,NME6,PCK1,SLC25A42,UMPS	
B Cell Activating Factor Signaling	2.26E00	2.09E-01	2.000	ELP1,FOS,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,TRAF3	
Osteoarthritis Pathway	2.25E00	1.29E-01	1.091	ADAMTS4,ATF4,CASP4,CEBPB,CREB3,DDIT4,FZD7,HES1,IL1B,ITGA6,ITGA8,ITGAM,ITGB5,ITGB8,MYBBP1A,NFKB2,PPARGC1A,PRKAB1,PROK1,RELB,S100A9,SIK3,SLC39A8,SMAD6,TLR2,TNF,TNFRSF1A,TNFRSF1B,VEGFA	
Uridine-5'-phosphate Biosynthesis	2.21E00	1E00	NaN	CAD,UMPS	
Spermidine Biosynthesis I	2.21E00	1E00	NaN	AMD1,SRM	
Molecular Mechanisms of Cancer	2.21E00	1.13E-01	NaN	ADCY9,AKT1,ARHGEF3,BIRC2,BMP1,CCND1,CCND2,CCNE1,CDC25A,CDK19,CDK2,CDKN1A,DAXX,E2F2,E2F4,FOS,FOXO1,FZD7,GNA12,GNAT1,HDAC11,HDAC5,IRS1,ITGA6,ITGA8,ITGAM,ITGB5,ITGB8,LRP5,MAP2K3,MYC,NFKB2,NFKBIA,NFKBIB,NFKBIE,PA2G4,PRKCZ,PSEN1,PSEN2,RABIF,RALB,RASD1,RBL2,RELB,RND3,SMAD6,TAB2,TFDP1,TP53	
ILK Signaling	2.18E00	1.33E-01	1.706	ACTA1,ACTG1,AKT1,ATF4,CCND1,CREB3,FOS,IRS1,IRS2,ITGB5,ITGB8,KRT18,LIMS2,MYC,MYH9,MYO18A,NFKB2,PPM1L,PROK1,RELB,RND3,RPS6KA5,TNF,TNFRSF1A,VEGFA	
Estrogen-Dependent Breast Cancer Signaling	2.18E00	1.69E-01	1.508	AKT1,ATF4,CCND1,CREB3,EGFR,ESR1,FOS,NFKB2,RALB,RASD1,RELB,STAT5A,STAT5B	
Bladder Cancer Signaling	2.16E00	1.5E-01	1.000	CCND1,CDKN1A,E2F2,E2F4,EGFR,HDAC11,HDAC5,MYC,PA2G4,PROK1,RALB,RASD1,RBL2,RPS6KA5,TFDP1,TP53,VEGFA	
NRF2-mediated Oxidative Stress Response	2.14E00	1.28E-01	1.387	ABCC1,ACTA1,ACTG1,AKT1,ATF4,CDC34,Cyp3a25 (includes others),DNAJB11,DNAJB5,DNAJB9,DNAJC11,DNAJC12,DNAJC17,DNAJC5,EIF2AK3,FOS,GCLC,HMOX1,HSP90B1,HSPB8,MAFF,MAP2K3,PRKCZ,RALB,RASD1,RBX1,SCARB1,TXNRD1	
Regulation of eIF4 and p70S6K Signaling	2.14E00	1.35E-01	-0.447	AKT1,EIF1AX,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2S1,EIF3A,EIF3B,EIF3D,EIF3J,EIF4A1,EIF4A2,IRS1,ITGA6,ITGA8,ITGAM,ITGB5,ITGB8,PPM1L,PRKCZ,RALB,RASD1	
Regulation of Cellular Mechanics by Calpain Protease	2.12E00	1.61E-01	-0.447	CAPN5,CCND1,CCND2,CCNE1,CDK2,EGFR,ITGA6,ITGA8,ITGAM,ITGB5,ITGB8,RALB,RASD1,TLN2	
VEGF Signaling	2.11E00	1.56E-01	2.449	ACTA1,ACTG1,AKT1,ARNT,EIF1AX,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2S1,FOXO1,PROK1,RALB,RASD1,VEGFA	
UDP-N-acetyl-D-glucosamine Biosynthesis II	2.09E00	5E-01	NaN	GFPT1,GNPNAT1,UAP1	
Coronavirus Replication Pathway	2.08E00	2.11E-01	2.828	BAG3,COPG1,TUBA1A,TUBA1B,TUBA1C,TUBB,TUBB4B,TUBB6	
FXR/RXR Activation	2.08E00	1.48E-01	NaN	A1BG,ABCG8,AKT1,CYP8B1,FASN,FOXA3,FOXO1,G6PC,HPX,IL1B,IL1RN,NR1I2,PPARGC1A,SAA1,SCARB1,SREBF1,TNF	
IL-23 Signaling Pathway	2.07E00	1.96E-01	1.414	AKT1,IL1B,NFKB2,NFKBIA,RELB,RORA,SOCS3,STAT3,TNF	
IL-22 Signaling	2.04E00	2.5E-01	0.000	AKT1,SOCS3,STAT1,STAT3,STAT5A,STAT5B	
TR/RXR Activation	2.04E00	1.63E-01	NaN	AKT1,BCL3,FASN,G6PC,GPS2,KLF9,LDLR,PCK1,PPARGC1A,SCARB1,SREBF1,THRA,THRSP	
Thrombopoietin Signaling	2.03E00	1.75E-01	0.000	FOS,IRS2,MYC,PRKCZ,RALB,RASD1,STAT1,STAT3,STAT5A,STAT5B,THPO	
ErbB2-ErbB3 Signaling	1.98E00	1.72E-01	1.265	AKT1,CCND1,ERBB3,FOXO1,MYC,NRG4,RALB,RASD1,STAT3,STAT5A,STAT5B	
IL-12 Signaling and Production in Macrophages	1.97E00	1.44E-01	NaN	AKT1,CEBPB,ELP1,FOS,IKBKE,IRF1,IRF8,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,PRKCZ,RELB,STAT1,TLR2,TNF	
Erythropoietin Signaling Pathway	1.97E00	1.33E-01	-0.655	AKT1,ARNT,BIRC2,CCND1,CCND2,CSF2RB,FOS,IL1B,IRS2,NFKB2,NFKBIA,NFKBIB,NFKBIE,PRKCZ,RALB,RASD1,RELB,STAT5A,STAT5B,TNF,TNFSF10,TP53	
CD27 Signaling in Lymphocytes	1.96E00	1.79E-01	0.816	ELP1,FOS,IKBKE,MAP2K3,MAP3K13,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.95E00	2.4E-01	NaN	IL6R,SOCS3,STAT1,STAT3,STAT5A,STAT5B	
UDP-N-acetyl-D-galactosamine Biosynthesis II	1.95E00	3.33E-01	2.000	GALE,GNPNAT1,HK2,UAP1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.95E00	2E-01	1.342	ATF4,CREB3,CXCL10,IL17RA,IL1B,NFKB2,RELB,RPS6KA5	
Insulin Receptor Signaling	1.94E00	1.38E-01	-0.243	AKT1,CRKL,EIF2B1,EIF2B2,EIF2B3,EIF2B4,FOXO1,IRS1,IRS2,PPP1CA,PPP1R3C,PRKCZ,PTPN1,RALB,RASD1,SGK1,SOCS3,SYNJ2,TSC1	
LPS-stimulated MAPK Signaling	1.91E00	1.57E-01	1.265	CD14,ELP1,FOS,IKBKE,MAP2K3,NFKB2,NFKBIA,NFKBIB,NFKBIE,PRKCZ,RALB,RASD1,RELB	
4-1BB Signaling in T Lymphocytes	1.9E00	2.12E-01	NaN	ELP1,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB	
PTEN Signaling	1.89E00	1.34E-01	-1.155	AKT1,BCAR1,CCND1,CDKN1A,EGFR,ELP1,FOXO1,IKBKE,ITGA6,ITGA8,ITGAM,ITGB5,ITGB8,MAGIX,NFKB2,PRKCZ,RALB,RASD1,RELB,SYNJ2	
Inositol Pyrophosphates Biosynthesis	1.88E00	4.29E-01	NaN	IP6K2,IPMK,IPPK	
Non-Small Cell Lung Cancer Signaling	1.87E00	1.51E-01	1.342	AKT1,CCND1,CCND2,E2F2,E2F4,EGFR,HDAC11,HDAC5,PA2G4,RALB,RASD1,RBL2,TFDP1,TP53	
DNA damage-induced 14-3-3σ Signaling	1.87E00	2.63E-01	NaN	AKT1,CCNE1,CDK2,HUS1,TP53	
Apoptosis Signaling	1.84E00	1.46E-01	-0.577	BIRC2,CAPN5,ELP1,IKBKE,NFKB2,NFKBIA,NFKBIB,NFKBIE,RALB,RASD1,RELB,TNF,TNFRSF1A,TNFRSF1B,TP53	
Glioma Signaling	1.84E00	1.39E-01	0.447	AKT1,CAMK1D,CCND1,CCND2,CDKN1A,E2F2,E2F4,EGFR,HDAC11,HDAC5,PA2G4,PRKCZ,RALB,RASD1,RBL2,TFDP1,TP53	
Prolactin Signaling	1.83E00	1.53E-01	-0.302	CEBPB,FOS,IRF1,IRS1,MYC,PRKCZ,RALB,RASD1,SOCS3,STAT1,STAT3,STAT5A,STAT5B	
BEX2 Signaling Pathway	1.83E00	1.58E-01	2.714	AKT1,CCND1,CDKN1A,NFKB2,NFKBIA,PPM1L,PROK1,RELB,STAT3,SWAP70,TSC1,VEGFA	
MIF Regulation of Innate Immunity	1.82E00	1.9E-01	0.378	CD14,FOS,NFKB2,NFKBIA,NFKBIB,NFKBIE,RELB,TP53	
MSP-RON Signaling In Macrophages Pathway	1.8E00	1.44E-01	-0.535	ATF4,CREB3,FOS,IKBKE,ITGAM,NFKB2,NFKBIZ,PRKCZ,RALB,RASD1,RELB,SOCS3,STAT1,STAT3,TNF	
