© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
LPS/IL-1 Mediated Inhibition of RXR Function	7.07E00	1.75E-01	0.832	ABCB11,ABCG5,ABCG8,ACSL3,CD14,CHST7,CPT1A,CRAT,CYP2C18,Cyp2c23,Cyp2c40 (includes others),Cyp2c54 (includes others),Cyp2c70,CYP2C8,Cyp2d9 (includes others),Cyp2g1,CYP2R1,CYP4A11,Cyp4a14,CYP7A1,FABP2,FMO2,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,GSTM5,Gstm6,GSTT2/GSTT2B,HMGCS1,IL18,IL1A,IL1B,LIPC,NDST1,SLC27A1,SREBF1,SULT1C2,TNF	
Estrogen Biosynthesis	6.67E00	3.59E-01	-1.069	AKR1C4,CYP1A1,CYP1A2,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP4B1,CYP51A1,HSD17B10,HSD17B11,HSD17B13,HSD17B2,HSD17B4,POR	
Mevalonate Pathway I	6.23E00	6.15E-01	-0.707	ACAT1,ACAT2,HADHA,HADHB,HMGCS1,IDI1,MVK,PMVK	
FAT10 Signaling Pathway	6.22E00	2.96E-01	NaN	PSMA7,PSMB10,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD1,PSMD12,PSMD13,PSMD3,PSMD4,PSMD6,PSMD7,PSMD9,TNF	
Glutaryl-CoA Degradation	6.2E00	5.29E-01	1.414	ACAT1,ACAT2,CA1,EHHADH,HADHA,HADHB,HSD17B10,HSD17B4,TBXAS1	
Xenobiotic Metabolism Signaling	5.73E00	1.55E-01	NaN	Ces1g,CHST7,CITED2,CYP1A1,CYP1A2,CYP2C8,FMO2,GCLC,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,GSTM5,Gstm6,GSTT2/GSTT2B,HMOX1,HSP90AA1,HSP90AB1,IL1A,IL1B,MAP3K13,MAP3K4,MAP3K6,MAP3K8,MED1,NDST1,NQO2,NRAS,PIK3R1,PPP2CA,PPP2R1B,PRKCD,PRKD3,RAP2A,RBX1,SULT1C2,TNF,UGT2B17,UGT2B28,UGT2B7	
Fatty Acid β-oxidation I	5.71E00	3.53E-01	2.887	ACAA1,Acaa1b,ACADM,ACSL3,ECI1,Eci3,EHHADH,HADHA,HADHB,HSD17B10,HSD17B4,SLC27A1	
Ketogenesis	5.64E00	6.36E-01	0.378	ACAT1,ACAT2,BDH2,HADHA,HADHB,HMGCL,HMGCS1	
Tryptophan Degradation III (Eukaryotic)	5.62E00	4.17E-01	1.000	ACAT1,ACAT2,CA1,EHHADH,HAAO,HADHA,HADHB,HSD17B10,HSD17B4,TBXAS1	
Nicotine Degradation II	5.27E00	2.68E-01	-2.840	AOX1,Aox3,CYP1A1,CYP1A2,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP4B1,CYP51A1,FMO2,INMT,POR,UGT2B17,UGT2B28,UGT2B7	
Xenobiotic Metabolism General Signaling Pathway	5.26E00	1.89E-01	-2.600	ABCA2,GCLC,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,GSTM5,Gstm6,GSTT2/GSTT2B,HMOX1,MAP3K13,MAP3K4,MAP3K6,MAP3K8,NQO2,NRAS,PIK3R1,PRKCD,PRKD3,RAP2A,RBX1,UGT2B17,UGT2B28,UGT2B7	
Retinoate Biosynthesis I	5.01E00	3.33E-01	-1.508	ADH4,AKR1B10,AKR1C4,BMP2,DHRS3,DHRS4,DHRS9,RDH11,RDH13,RDH16,SDR9C7	
Zymosterol Biosynthesis	5E00	8.33E-01	-2.236	CYP51A1,LBR,MSMO1,NSDHL,TM7SF2	
Retinol Biosynthesis	4.88E00	3E-01	-2.111	AADAC,AKR1B10,CEL,Ces1g,DHRS3,DHRS9,LIPC,LRAT,PNLIP,PNPLA2,RDH11,RDH13	
Acetone Degradation I (to Methylglyoxal)	4.75E00	3.45E-01	-1.667	CYP1A1,CYP1A2,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP4A11,CYP4B1,CYP51A1,POR,PTGR1	
Nicotine Degradation III	4.7E00	2.71E-01	-3.051	AOX1,Aox3,CYP1A1,CYP1A2,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP4B1,CYP51A1,POR,UGT2B17,UGT2B28,UGT2B7	
Glutathione-mediated Detoxification	4.34E00	3.46E-01	-2.333	GSTA3,Gsta4,GSTA5,GSTM1,GSTM2,Gstm3,GSTM5,Gstt1,GSTT2/GSTT2B	
Role of PKR in Interferon Induction and Antiviral Response	4.31E00	1.79E-01	-1.213	ATF3,CASP3,COLEC12,CYCS,ELP1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA4,HSPA8,IL18,IL1B,IRF1,MAVS,MSR1,NFKBID,NLRP12,NLRP3,PDGFC,PRKRA,TNF	
Xenobiotic Metabolism PXR Signaling Pathway	4.24E00	1.6E-01	-2.502	CDK2,Ces1g,CHST7,CITED2,CYP2C8,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,GSTM5,Gstm6,GSTT2/GSTT2B,HSP90AA1,HSP90AB1,MED1,NDST1,PPP1R10,PPP1R11,PPP1R14A,PPP1R14B,PRKCD,PRKD3,SULT1C2,UGT2B17,UGT2B28,UGT2B7	
Inhibition of ARE-Mediated mRNA Degradation Pathway	4.13E00	1.63E-01	-0.632	AGO1,CNOT4,MAPK15,PPP2CA,PPP2R1B,PSMA7,PSMB10,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD1,PSMD12,PSMD13,PSMD3,PSMD4,PSMD6,PSMD7,PSMD9,TNF,TNFSF10,YWHAG,ZFP36,ZFP36L1	
RAR Activation	4.09E00	1.52E-01	NaN	ADH4,AKR1B10,AKR1C4,BMP2,CITED2,CYP26A1,DHRS3,DHRS4,DHRS9,DUSP1,JAK2,LRAT,MED1,NR2F2,PIK3R1,PML,PRKCD,PRKD3,PSMC5,RBP4,RDH11,RDH13,RDH16,RXRG,SDR9C7,SORBS3,STAT5A,STAT5B,ZBTB16	
Bupropion Degradation	4.09E00	3.64E-01	-2.121	CYP1A1,CYP1A2,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP4B1,CYP51A1,POR	
Isoleucine Degradation I	4.04E00	4.12E-01	1.633	ACAT1,ACAT2,EHHADH,HADHA,HADHB,HSD17B10,HSD17B4	
Xenobiotic Metabolism CAR Signaling Pathway	3.96E00	1.57E-01	-1.961	CHST7,CITED2,CYP1A1,CYP1A2,CYP2C8,FMO2,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,GSTM5,Gstm6,GSTT2/GSTT2B,HSP90AA1,HSP90AB1,MED1,NDST1,PPP2CA,PPP2R1B,PRKCD,PRKD3,SULT1C2,UGT2B17,UGT2B28,UGT2B7	
Xenobiotic Metabolism AHR Signaling Pathway	3.95E00	2.03E-01	-2.000	CYP1A1,CYP1A2,GSTA3,GSTA5,GSTM1,GSTM2,Gstm3,GSTM5,Gstm6,GSTT2/GSTT2B,HSP90AA1,HSP90AB1,IL1A,IL1B,NQO2,TNF	
FXR/RXR Activation	3.8E00	1.74E-01	NaN	ABCB11,ABCB4,ABCG5,ABCG8,APOA4,CYP7A1,CYP8B1,FOXA2,FOXA3,G6PC,HNF4A,IL18,IL1A,IL1B,LIPC,MLXIPL,RBP4,SLC22A7,SREBF1,TNF	
Ketolysis	3.75E00	5.56E-01	0.447	ACAT1,ACAT2,BDH2,HADHA,HADHB	
Triacylglycerol Degradation	3.63E00	2.44E-01	-1.508	AADAC,ABHD2,CEL,Ces2a,Ces2e,LIPC,MGLL,NDST1,PLA1A,PNLIP,PNPLA2	
Melatonin Degradation I	3.54E00	2.39E-01	-2.714	CYP1A1,CYP1A2,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP4B1,CYP51A1,POR,UGT2B17,UGT2B28,UGT2B7	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.46E00	1.46E-01	0.408	APOA4,ARG2,ELP1,IRF1,JAK2,MAP3K13,MAP3K4,MAP3K6,MAP3K8,NFKBID,PIK3R1,PPP1R10,PPP1R11,PPP1R14A,PPP1R14B,PPP2CA,PPP2R1B,PRKCD,PRKD3,RBP4,RHOBTB1,RHOH,RHOU,RND3,S100A8,TNF	
Huntington's Disease Signaling	3.44E00	1.3E-01	-0.707	AP2A2,BET1L,CAPN5,CASP3,CLTB,CYCS,DCTN1,DNAJB1,DNM1L,GNA14,GNG12,HDAC11,HSPA1A/HSPA1B,Hspa1b,HSPA4,HSPA8,NTRK1,PIK3R1,PRKCD,PRKD3,PSMA7,PSMB10,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMD1,PSMD12,PSMD13,PSMD3,PSMD4,PSMD6,PSMD7,PSMD9	
Unfolded protein response	3.32E00	1.8E-01	1.000	CEBPE,DNAJA1,DNAJB1,DNAJB2,DNAJC11,DNAJC17,ERN1,HSPA1A/HSPA1B,Hspa1b,HSPA4,HSPA8,HSPH1,INSIG1,SREBF1,UBXN4,XBP1	
Superpathway of Melatonin Degradation	3.13E00	2.16E-01	-2.714	CYP1A1,CYP1A2,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP4B1,CYP51A1,POR,UGT2B17,UGT2B28,UGT2B7	
TCA Cycle II (Eukaryotic)	3.1E00	3.04E-01	2.646	ACO2,DLST,FH,IDH3A,MDH2,OGDH,SUCLG1	
Aldosterone Signaling in Epithelial Cells	3.07E00	1.45E-01	-1.342	DNAJA1,DNAJB1,DNAJB2,DNAJC11,DNAJC17,DNAJC2,DUSP1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA4,HSPA4L,HSPA8,HSPB1,HSPB8,HSPD1,HSPE1,HSPH1,ITPR3,NR3C2,PIK3R1,PRKCD,PRKD3	
LXR/RXR Activation	3.06E00	1.61E-01	-0.302	ABCG5,ABCG8,APOA4,ARG2,CD14,CYP51A1,CYP7A1,FDFT1,IL18,IL1A,IL1B,MLXIPL,MSR1,RBP4,RXRG,S100A8,SREBF1,TNF	
PXR/RXR Activation	3.05E00	2E-01	NaN	ABCB11,Aldh1a7,CPT1A,CYP1A2,CYP2C8,CYP7A1,G6PC,GSTM1,GSTM2,HNF4A,IGFBP1,TNF	
Oxidative Ethanol Degradation III	3E00	2.22E-01	NaN	ACSS2,CYP2C18,Cyp2c23,Cyp2c40 (includes others),Cyp2c54 (includes others),Cyp2c70,CYP2C8,Cyp2d9 (includes others),Cyp2g1,CYP2R1	
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	2.87E00	7.5E-01	NaN	ECI1,Eci3,EHHADH	
The Visual Cycle	2.82E00	3.16E-01	-1.342	AKR1B10,DHRS3,DHRS9,LRAT,RDH11,RDH13	
GADD45 Signaling	2.69E00	3E-01	NaN	ATM,CDK2,CDKN1A,GADD45A,GADD45B,MAP3K4	
Androgen Biosynthesis	2.68E00	3.57E-01	-1.342	AKR1C4,CYP17A1,HSD3B1,Hsd3b4 (includes others),HSD3B7	
Glucocorticoid Biosynthesis	2.63E00	4.44E-01	-1.000	CYP17A1,HSD3B1,Hsd3b4 (includes others),HSD3B7	
PPARα/RXRα Activation	2.56E00	1.3E-01	0.000	ACAA1,ACADL,AP2A2,BCL3,CYP2C18,Cyp2c23,Cyp2c40 (includes others),Cyp2c54 (includes others),Cyp2c70,CYP2C8,ELP1,GHR,GNA14,HSP90AA1,HSP90AB1,IL1B,ITGB5,JAK2,MED1,NFKBID,NRAS,RAP2A,SLC27A1,STAT5B	
VDR/RXR Activation	2.5E00	1.67E-01	1.633	CD14,CDKN1A,GADD45A,HES1,HSD17B2,IGFBP1,KLF4,MED1,PRKCD,PRKD3,PSMC5,RXRG,THBD	
Stearate Biosynthesis I (Animals)	2.44E00	1.89E-01	0.707	ACOT11,ACOT2,ACSL3,BDH2,CYP4A11,ELOVL2,HNF4A,PTGR1,SLC27A1,TBXAS1	
TREM1 Signaling	2.4E00	1.69E-01	0.577	CD83,CIITA,CXCL3,IL18,IL1B,JAK2,NLRP12,NLRP3,SIGIRR,STAT5A,STAT5B,TNF	
Glycine Degradation (Creatine Biosynthesis)	2.3E00	1E00	NaN	GAMT,GATM	
Ferroptosis Signaling Pathway	2.22E00	1.38E-01	-1.213	AIFM2,ANGPTL4,ARAF,ARF4,CARS1,CDKN1A,CTH,FDFT1,GCLC,H2AZ1,HMOX1,HSPB1,NRAS,RAP2A,SLC39A8,STEAP3,TFRC	
PPAR Signaling	2.15E00	1.43E-01	0.000	CITED2,ELP1,HSP90AA1,HSP90AB1,IL18,IL1A,IL1B,MED1,NFKBID,NRAS,PDGFC,RAP2A,STAT5A,STAT5B,TNF	
Hepatic Cholestasis	2.12E00	1.24E-01	NaN	ABCB11,ABCB4,ABCG5,ABCG8,ATP8B1,CD14,CYP7A1,CYP8B1,ELP1,HNF4A,HSD3B7,IL18,IL1A,IL1B,MAP3K4,NFKBID,PRKCD,PRKD3,SLC22A7,SREBF1,TNF,TNFSF10	
Bile Acid Biosynthesis, Neutral Pathway	2.11E00	3.33E-01	0.000	AKR1C4,CYP7A1,CYP8B1,HSD3B7	
Superpathway of Methionine Degradation	2.06E00	2.06E-01	1.890	AHCYL1,BHMT,BHMT2,CTH,GOT1,MAT1A,NSUN4	
Virus Entry via Endocytic Pathways	2E00	1.41E-01	NaN	ACTG1,AP2A2,CLTB,FLNA,FLNB,ITGB3,ITGB5,MR1,NRAS,PIK3R1,PRKCD,PRKD3,RAP2A,TFRC	
Coagulation System	1.99E00	2E-01	-1.134	F11,F2R,KLKB1,PLAUR,PROS1,SERPINE1,THBD	
IL-9 Signaling	1.99E00	2E-01	-0.816	BCL3,CISH,PIK3R1,SOCS3,STAT5A,STAT5B,TNF	
Glycogen Degradation III	1.97E00	3.08E-01	-1.000	MGAM,PGM3,PGM5,PYGL	
Antigen Presentation Pathway	1.91E00	2.14E-01	NaN	CD74,CIITA,HLA-DMA,HLA-DQA1,HLA-DQB1,MR1	
ILK Signaling	1.85E00	1.17E-01	0.688	ACTG1,BMP2,CASP3,DSP,FERMT2,FLNA,FLNB,ITGB3,ITGB5,MYC,MYH14,MYL9,PDGFC,PIK3R1,PPP1R14B,PPP2CA,PPP2R1B,RHOBTB1,RHOH,RHOU,RND3,TNF	
1,25-dihydroxyvitamin D3 Biosynthesis	1.84E00	6.67E-01	NaN	CYP2R1,POR	
Methionine Salvage II (Mammalian)	1.84E00	6.67E-01	NaN	BHMT,BHMT2	
STAT3 Pathway	1.83E00	1.26E-01	-1.069	CDKN1A,CISH,FGFR2,GHR,IL13RA1,IL17RB,IL1A,IL1B,IL22RA1,JAK2,KDR,MYC,NRAS,NTRK1,PIM1,RAP2A,SOCS3	
Hypoxia Signaling in the Cardiovascular System	1.83E00	1.49E-01	2.000	ATM,CDC34,COPS5,HSP90AA1,HSP90AB1,LDHA,NFKBID,UBE2F,UBE2G2,UBE2H,UBE2O	
Mineralocorticoid Biosynthesis	1.82E00	3.75E-01	NaN	HSD3B1,Hsd3b4 (includes others),HSD3B7	
Pyridoxal 5'-phosphate Salvage Pathway	1.81E00	1.54E-01	-0.333	ARAF,CDK2,DAPK1,G6PC,GRK5,MAP3K6,MAP3K8,PIM1,PRKCD,PRPF4B	
Neuregulin Signaling	1.77E00	1.29E-01	-1.265	ERBB3,HSP90AA1,HSP90AB1,ITGA8,ITGB3,ITGB5,MYC,NRAS,NRG4,PIK3R1,PRKCD,PRKD3,RAP2A,STAT5A,STAT5B	
Estrogen-Dependent Breast Cancer Signaling	1.71E00	1.43E-01	-1.342	AKR1C4,HSD17B10,HSD17B11,HSD17B13,HSD17B2,HSD17B4,NRAS,PIK3R1,RAP2A,STAT5A,STAT5B	
Vitamin-C Transport	1.69E00	2.17E-01	-1.342	AKR1C4,GJB2,SLC23A2,STOM,TXNRD3	
Role of IL-17A in Psoriasis	1.67E00	3.33E-01	NaN	CXCL3,IL17RB,S100A8	
IL-10 Signaling	1.64E00	1.45E-01	NaN	ARG2,CD14,ELP1,HMOX1,IL18,IL1A,IL1B,NFKBID,SOCS3,TNF	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.63E00	1.6E-01	0.816	ATM,CDC34,CDKN1A,GADD45A,PTPMT1,RPS6KA1,WEE1,YWHAG	
Glioma Invasiveness Signaling	1.6E00	1.43E-01	-0.333	F2R,ITGB3,NRAS,PIK3R1,PLAUR,RAP2A,RHOBTB1,RHOH,RHOU,RND3	
Sirtuin Signaling Pathway	1.58E00	1.04E-01	0.209	ACADL,ACLY,ACSS2,ARG2,ATG101,ATG16L1,CPT1A,GADD45A,GADD45B,KAT2A,LDHA,MAP1LC3A,MAPK15,MT-ND6,MYC,MYCN,NDRG1,NDUFA8,NDUFAF1,NDUFS6,POLR1A,PPIF,SIRT4,SREBF1,TIMM10,TNF,TOMM40,TUBA8	
mTOR Signaling	1.57E00	1.1E-01	-1.387	DDIT4,EIF3B,EIF3D,EIF3J,EIF3K,EIF4A1,EIF4EBP3,HMOX1,NRAS,PDGFC,PIK3R1,PLD4,PPP2CA,PPP2R1B,PRKCD,PRKD3,RAP2A,RHOBTB1,RHOH,RHOU,RND3,RPS6KA1	
2-ketoglutarate Dehydrogenase Complex	1.56E00	5E-01	NaN	DLST,OGDH	
Eumelanin Biosynthesis	1.56E00	5E-01	NaN	DCT,DDT	
Trans, trans-farnesyl Diphosphate Biosynthesis	1.56E00	5E-01	NaN	FDPS,IDI1	
HIF1α Signaling	1.55E00	1.09E-01	0.000	ADM,ADRA1B,ARAF,CDKN1A,COPS5,HMOX1,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA4,HSPA8,KDR,LDHA,NRAS,PDGFC,PIK3R1,PPP3CC,PRKCD,PRKD3,RAP2A,RBX1,SERPINE1	
Glucose and Glucose-1-phosphate Degradation	1.53E00	3E-01	NaN	PGM3,PGM5,RGN	
PD-1, PD-L1 cancer immunotherapy pathway	1.51E00	1.29E-01	1.732	CDK2,CIP2A,HLA-DMA,HLA-DQA1,HLA-DQB1,JAK2,MR1,PDCD4,PIK3R1,STAT5A,STAT5B,TNF	
MSP-RON Signaling In Macrophages Pathway	1.49E00	1.25E-01	0.277	CIITA,F11,HLA-DMA,HLA-DQA1,HLA-DQB1,JAK2,KLKB1,NFKBIZ,NRAS,PIK3R1,RAP2A,SOCS3,TNF	
Thrombopoietin Signaling	1.49E00	1.43E-01	-1.667	JAK2,MYC,NRAS,PIK3R1,PRKCD,PRKD3,RAP2A,STAT5A,STAT5B	
Atherosclerosis Signaling	1.46E00	1.21E-01	NaN	APOA4,COL3A1,COL5A3,IL18,IL1A,IL1B,MSR1,PDGFC,PLA2G12A,PLA2R1,RBP4,S100A8,TNF,TNFRSF14	
Prolactin Signaling	1.43E00	1.29E-01	-1.508	IRF1,JAK2,MYC,NRAS,PIK3R1,PRKCD,PRKD3,RAP2A,SOCS3,STAT5A,STAT5B	
Glycogen Degradation II	1.42E00	2.73E-01	NaN	PGM3,PGM5,PYGL	
Macropinocytosis Signaling	1.42E00	1.33E-01	-1.342	CD14,ITGB3,ITGB5,NRAS,PDGFC,PIK3R1,PRKCD,PRKD3,RAP2A,USP6NL	
PI3K/AKT Signaling	1.4E00	1.07E-01	0.277	CDKN1A,ELP1,GHR,GYS2,HSP90AA1,HSP90AB1,IL13RA1,IL17RB,IL22RA1,ITGA8,ITGB3,ITGB5,JAK2,MAP3K8,NFKBID,NRAS,PIK3R1,PPP2CA,PPP2R1B,RAP2A,YWHAG	
CD27 Signaling in Lymphocytes	1.37E00	1.43E-01	0.378	CASP3,CYCS,ELP1,MAP3K13,MAP3K4,MAP3K6,MAP3K8,NFKBID	
α-tocopherol Degradation	1.36E00	4E-01	NaN	CYP4A11,CYP4F12	
Galactose Degradation I (Leloir Pathway)	1.36E00	4E-01	NaN	GALK1,GALM	
Adipogenesis pathway	1.35E00	1.15E-01	NaN	BMP2,FGFR2,FZD6,FZD7,HDAC11,KAT2A,KAT7,NR2F2,PER2,RPS6KA1,SREBF1,STAT5B,TNF,TXNIP,XBP1	
Gαq Signaling	1.35E00	1.09E-01	-0.775	ADRA1B,GNA14,GNG12,GYS2,HMOX1,ITPR3,NFKBID,PIK3R1,PLD4,PPP3CC,PRKCD,PRKD3,RGS16,RGS2,RHOBTB1,RHOH,RHOU,RND3	
Iron homeostasis signaling pathway	1.33E00	1.14E-01	NaN	ABCB10,ACO2,BMP2,CDC34,HBA1/HBA2,HBB,HMOX1,JAK2,PCBP1,SLC46A1,STAT5A,STAT5B,STEAP3,TFRC,TMPRSS6	
Valine Degradation I	1.31E00	2E-01	NaN	EHHADH,HADHA,HADHB,HSD17B4	
Methylglyoxal Degradation III	1.31E00	2E-01	NaN	ADH4,AKR1B10,CYP4A11,PTGR1	
Growth Hormone Signaling	1.3E00	1.32E-01	-2.333	GHR,JAK2,PIK3R1,PRKCD,PRKD3,RPS6KA1,SOCS3,STAT5A,STAT5B	
Intrinsic Prothrombin Activation Pathway	1.26E00	1.54E-01	-2.236	COL3A1,COL5A3,F11,KLKB1,PROS1,THBD	
Cholecystokinin/Gastrin-mediated Signaling	1.25E00	1.15E-01	-1.155	IL18,IL1A,IL1B,ITPR3,NRAS,PRKCD,PRKD3,RAP2A,RHOBTB1,RHOH,RHOU,RND3,TNF	
Regulation of eIF4 and p70S6K Signaling	1.24E00	1.06E-01	-0.447	AGO1,EIF2B2,EIF2B3,EIF2B4,EIF3B,EIF3D,EIF3J,EIF3K,EIF4A1,EIF4EBP3,ITGA8,ITGB3,ITGB5,NRAS,PIK3R1,PPP2CA,PPP2R1B,RAP2A	
Glutathione Redox Reactions I	1.24E00	1.9E-01	-1.000	GSTM1,GSTM2,Gstt1,GSTT2/GSTT2B	
Cysteine Biosynthesis III (mammalia)	1.24E00	1.9E-01	1.000	AHCYL1,CTH,MAT1A,NSUN4	
ERK/MAPK Signaling	1.23E00	1.02E-01	0.000	ARAF,DUSP1,HSPB1,ITGA8,ITGB3,ITGB5,MYC,MYCN,NRAS,PIK3R1,PLA2G12A,PPP1R10,PPP1R11,PPP1R14A,PPP1R14B,PPP2CA,PPP2R1B,PRKCD,RAP2A,RPS6KA1,YWHAG	
Acyl-CoA Hydrolysis	1.23E00	2.31E-01	NaN	ACOT11,ACOT2,HNF4A	
Apoptosis Signaling	1.22E00	1.17E-01	1.508	ACIN1,CAPN5,CASP3,CYCS,DIABLO,ELP1,GAS2,NFKBID,NRAS,RAP2A,RPS6KA1,TNF	
Urea Cycle	1.21E00	3.33E-01	NaN	ARG2,ASL	
UDP-N-acetyl-D-glucosamine Biosynthesis II	1.21E00	3.33E-01	NaN	PGM3,UAP1	
Nitric Oxide Signaling in the Cardiovascular System	1.2E00	1.13E-01	-0.632	ARG2,ATP2A2,ATP2A3,CACNA2D4,HSP90AA1,HSP90AB1,ITPR3,KDR,NPR1,PDGFC,PIK3R1,PRKCD,PRKD3	
Insulin Receptor Signaling	1.19E00	1.09E-01	0.258	ACLY,EIF2B2,EIF2B3,EIF2B4,GYS2,JAK2,NRAS,PIK3R1,PPP1R10,PPP1R11,PPP1R14A,PPP1R14B,PTPRF,RAP2A,SOCS3	
Germ Cell-Sertoli Cell Junction Signaling	1.17E00	1.05E-01	NaN	ACTG1,MAP3K13,MAP3K4,MAP3K6,MAP3K8,NECTIN3,NRAS,PIK3R1,RAP2A,RHOBTB1,RHOH,RHOU,RND3,TNF,TUBA8,TUBB,ZYX	
HIPPO signaling	1.17E00	1.2E-01	0.447	FAT4,NF2,PPP1R10,PPP1R11,PPP1R14A,PPP1R14B,PPP2CA,PPP2R1B,TP53BP2,YWHAG	
Death Receptor Signaling	1.16E00	1.17E-01	0.000	ACIN1,ACTG1,CASP3,CYCS,DIABLO,ELP1,GAS2,HSPB1,NFKBID,TNF,TNFSF10	
Acetyl-CoA Biosynthesis III (from Citrate)	1.15E00	1E00	NaN	ACLY	
L-cysteine Degradation II	1.15E00	1E00	NaN	CTH	
Lanosterol Biosynthesis	1.15E00	1E00	NaN	LSS	
