© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
SH3TC2	 	other	Inhibited	-2.828	5.66E-08	4.60E-06	ACLY,DHCR7,FDPS,LSS,MVK,NSDHL,PMVK,SC5D	 
Gcg	 	other	 	1.265	1.09E-07	8.31E-06	APOA4,ASL,ATP1B1,CYP2C8,LHPP,MAT1A,OAT,PEX11A,SLC3A1,TFRC	 
AHR	 	ligand-dependent nuclear receptor	 	-0.542	1.24E-07	8.59E-06	1810008I18Rik,Adh6-ps1,CDH1,CELA1,CYP1A1,CYP2C8,FGF21,FGFR2,FMO2,GOT1,HES1,Hsd3b4 (includes others),NXPE2,PDE4B,PLXNA2,RDH16,SERPINE1,SLC16A5,SLC1A4,SLC22A7,SOCS3,SREBF1	 
Esrra	 	transcription regulator	 	1.414	1.27E-07	8.59E-06	ACADL,ACADM,ALDOA,APOA4,CPT1A,CRAT,ECH1,FABP2,GOT1,HSD3B1,LEPR,PPA1,PPARGC1A	 
Vegf	 	group	Inhibited	-2.164	1.80E-07	1.15E-05	Acaa1b,Acot1,ACOT2,Akr1c14,CLDN1,EHHADH,IHH,INHBB,MYCN,PPARGC1A,SLC27A1	 
EHHADH	1.813	enzyme	Inhibited	-2.433	2.23E-07	1.36E-05	ACAA1,ACOT2,CYP4A11,Cyp4a14,MGLL,PEX11A	 
CFTR	 	ion channel	Activated	2.008	2.38E-07	1.36E-05	ACAA1,Acaa1b,BLNK,CYP4A11,DMBT1,EPHX2,FABP2,FDPS,HSD17B2,POR,SOCS3	 
INSIG1	 	other	 	1.824	2.46E-07	1.36E-05	ACLY,ACSS2,DHCR7,FDPS,LIPG,LSS,MARCO,MVK,PMVK,SREBF1,TM7SF2,VNN1	13 (2)
HSD17B4	 	enzyme	 	-1.912	2.57E-07	1.36E-05	ACAA1,ACOT2,CYP4A11,Cyp4a14,IHH,MGLL,PEX11A	 
SREBF1	-1.795	transcription regulator	 	-0.388	3.55E-07	1.80E-05	ACLY,DPY19L3,GCK,MAT1A,SC5D,SERPINE1,SREBF1,ULK2	9 (2)
PNPLA2	 	enzyme	 	1.228	4.45E-07	2.16E-05	ACADL,ACADM,Acot1,ACOT2,CPT1A,FGF21,Gstm3,PPARGC1A,SREBF1	 
VEGFB	 	growth factor	Activated	2.425	5.34E-07	2.50E-05	Acaa1b,Acot1,ACOT2,EHHADH,PPARGC1A,SLC27A1	 
CLOCK	 	transcription regulator	 	 	5.58E-07	2.52E-05	ABCB10,AVPR1A,CYP26A1,FKBP5,FOXA3,GADD45B,GCK,HES6,Hspa1b,HSPH1,IHH,POR,SLC20A1,TOR1B	 
KCNE3	 	ion channel	 	 	7.26E-07	3.15E-05	APOLD1,CA8,CSRNP1,HSPA1A/HSPA1B,KLF4,NR4A1,PHLDA1,PLK3,RDH16,Sik1	 
RPTOR	 	other	Inhibited	-2.111	8.96E-07	3.76E-05	ACADL,ACADM,CDH1,DHCR7,FDPS,IL13RA1,LSS,MVK,NSDHL,PMVK,SC5D,SOCS3,SREBF1	 
TXNIP	-0.612	other	 	-1.408	1.07E-06	4.33E-05	Acot1,Cyp4a14,DHCR7,FABP2,FGF21,PPARGC1A,TXNIP	 
FOXO1	 	transcription regulator	 	-1.739	1.73E-06	6.79E-05	ACLY,BLNK,CPT1A,ELOVL5,FGF21,FLNB,GCK,GRN,IRF5,KLF4,MLXIPL,MYCN,PPARGC1A,Prg4,SESN3,STAT5B,TXNIP	30 (3)
NRG4	 	growth factor	 	-0.085	1.91E-06	7.26E-05	CIDEC,EHHADH,ELOVL5,GCK,SREBF1	 
GPD1	 	enzyme	 	 	2.10E-06	7.74E-05	ACLY,ACOT2,APOA4,C11orf86,Clec2e/Clec2h,CYP2C8,F11,Hsd3b4 (includes others),NUDT7,SERPINE2,SUCNR1	 
ERBB2	 	kinase	 	-1.000	2.34E-06	8.39E-05	ACSS2,CDH1,EHF,Elf5,EPHX2,HSPA1A/HSPA1B,ITGB3,LSS,MYCN,PMVK	 
SLC25A13	 	transporter	 	 	2.59E-06	9.01E-05	ACLY,ACOT2,APOA4,C11orf86,Clec2e/Clec2h,CYP2C8,F11,Hsd3b4 (includes others),NUDT7,SERPINE2,SUCNR1	 
NR1I2	 	ligand-dependent nuclear receptor	 	-1.561	2.98E-06	1.00E-04	Aldh1a7,APOA4,CPT1A,CYP1A1,DHCR7,Gstm3,Gstm6,POR,SREBF1,TNFRSF14	 
PEX5L	 	ion channel	Activated	2.219	3.05E-06	1.00E-04	DHCR7,FDPS,LSS,MVK,PMVK	 
HSF1	 	transcription regulator	Activated	2.570	3.18E-06	1.02E-04	ACADL,ACLY,DNAJA1,HDAC5,HSPA1A/HSPA1B,Hspa1b,HSPA8,HSPH1,INHBB,PPARGC1A,SREBF1	 
ZBTB20	 	transcription regulator	Inhibited	-2.121	4.96E-06	1.55E-04	ACSS2,ADH4,AFP,CYP2C8,GCK,LEPR,PPARGC1A,SOCS3	 
STAT5B	-0.471	transcription regulator	Inhibited	-2.523	6.38E-06	1.94E-04	Acot1,Adh6-ps1,CYP2C8,CYP4A11,Eci3,FMO2,GADD45B,Hsd3b4 (includes others),Keg1,KRT19,NUDT7,RPA1,SLC16A5,TNFRSF14,TOX,VNN1	 
ADIPOQ	 	other	 	-1.298	9.66E-06	2.87E-04	Acaa1b,ACLY,Cyp2c70,CYP2C8,CYP4A11,FGF21,FGFR2,GCK,MLXIPL,PFKFB1,SLC27A1,UCP2	58 (2)
CREM	 	transcription regulator	Activated	2.804	1.08E-05	3.13E-04	APOLD1,CIART,CSRNP1,GADD45B,LSS,MIDN,MVK,NR4A1,SERTAD1,Sik1	 
SMARCB1	 	transcription regulator	 	-0.707	1.16E-05	3.29E-04	CA8,CDH1,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,F11,HES1,PFKFB1	 
NFE2L2	 	transcription regulator	 	1.341	1.27E-05	3.52E-04	ABCB11,ALDOA,APOA4,CA3,CELA1,Cyp4a14,DHCR7,FKBP5,GCLC,Gstm3,Gstm6,HACD3,HSD3B1,IFRD1,MGLL,NAT8B,OAT,PPARGC1A,SLC3A1,SOCS3,SREBF1	 
FMO3	 	enzyme	 	1.342	1.88E-05	5.07E-04	ACADL,EHHADH,FGF21,PPARGC1A,SREBF1	 
MAT1A	1.219	enzyme	 	1.099	2.51E-05	6.63E-04	ACADL,ATP1B1,CYP4A11,Cyp4a14,MAT1A	 
NPC1	 	transporter	 	 	3.32E-05	8.60E-04	AKR1C4,KLF4,LIPG,LSS,MMP15,MVK,PCSK9,PLIN4,SREBF1	10 (2)
PCK1	 	kinase	Inhibited	-2.000	4.16E-05	1.05E-03	ACADL,ACADM,CRAT,EHHADH	 
EP300	 	transcription regulator	 	 	4.23E-05	1.05E-03	DHRS3,DNAJB4,FOSL2,HDAC11,MFHAS1,POLE4,PPARGC1A,PTPRF,SLC27A1,SOCS3,ST6GAL1,STOM,TSPAN31,ULK2,USP18	18 (2)
ACSS2	-0.980	enzyme	 	0.447	5.41E-05	1.32E-03	ACAA1,EHHADH,FABP2,LSS,SREBF1	 
SFRP1	 	transmembrane receptor	 	0.555	8.45E-05	1.98E-03	ACLY,CDH1,MLXIPL,SERPINE1,SREBF1	 
NFE2L1	 	transcription regulator	Inhibited	-2.000	8.45E-05	1.98E-03	CYP4A11,Cyp4a14,GCLC,Gstm3,Gstm6	 
CYP51A1	 	enzyme	Activated	2.000	8.73E-05	2.00E-03	LSS,NSDHL,SC5D,TM7SF2	 
SCD	 	enzyme	 	-1.881	8.99E-05	2.03E-03	ACADL,CPT1A,FGF21,PPARGC1A,SLC27A1,SREBF1,UCP2	21 (3)
STAT6	 	transcription regulator	 	-1.448	9.85E-05	2.18E-03	Acot1,Cd24a,CIDEC,CPT1A,CYP4A11,Cyp4a14,EHHADH,EPHA2,FGF21,GADD45B,MVK,PMS1,PPARGC1A,RNPEP,SELENBP1,ST6GAL1,STAT5B,TMEM131	62 (2)
TP53	 	transcription regulator	 	-0.555	1.04E-04	2.26E-03	ABCA2,ACADL,ACADM,ACLY,ACSS2,AFP,ALDOA,ASL,CD82,CPT1A,CYP1A1,DLST,DNAJB4,ECH1,EPHA2,FERMT2,FH,FKBP5,GADD45B,HADHB,HSPH1,IRF5,LASP1,NLRP12,NPNT,OAT,PFKFB1,PPARGC1A,RBM3,SERPINE1,SERPINE2,SGPL1,SLC6A6,SQOR,SREBF1,TFRC,TIMM10,TOMM40,TP53INP1,ULK2	 
SPARC	 	other	Activated	3.000	1.14E-04	2.43E-03	ACOT2,CDH1,CHRNA2,CIART,CIDEC,CLDN1,CYP1A1,LYVE1,SLC22A5	 
PLIN5	1.260	other	 	-1.732	1.31E-04	2.75E-03	ACADL,ACADM,GCLC,POR,PPARGC1A,SREBF1	33 (2)
PML	 	transcription regulator	 	-1.161	1.35E-04	2.79E-03	ACADL,ACADM,CPT1A,HADHB,PPARGC1A,SLC25A20,SREBF1,UCP2	42 (2)
OBP2B	 	transporter	 	 	1.39E-04	2.83E-03	CPT1A,MLXIPL,SREBF1	 
NCOA2	 	transcription regulator	 	-1.706	1.67E-04	3.34E-03	ADH4,APOA4,GCK,KLF4,LIPG,NSDHL,PGM3,SLC3A1,SREBF1	27 (3)
PPARD	 	ligand-dependent nuclear receptor	 	1.943	1.75E-04	3.43E-03	ACAA1,ACADL,APOA4,C11orf86,CPT1A,ECH1,INHBE,LIPG,PCSK9,PPARGC1A,SLC25A20,TMEM120A	 
SMARCA5	 	transcription regulator	 	-0.632	1.78E-04	3.43E-03	CDH1,EPHA2,FKBP5,HES1,LPAR6,NINJ1,PHLDA1,PTCRA,SEMA4A,ZNF616	 
SOST	 	other	 	-1.342	1.83E-04	3.49E-03	CPT1A,MLXIPL,MOGAT1,PPARGC1A,SREBF1	 
CYP1A2	 	enzyme	Activated	2.449	2.22E-04	4.09E-03	CYP26A1,ETHE1,Gstm3,MARCO,SHANK2,SLC46A3	 
CYP1B1	 	enzyme	Activated	2.449	2.22E-04	4.09E-03	CYP26A1,ETHE1,Gstm3,MARCO,SHANK2,SLC46A3	 
NR0B2	 	ligand-dependent nuclear receptor	 	-0.478	2.27E-04	4.13E-03	ABCB11,ACADM,CIDEC,CPT1A,CYP2C8,Gstm3,PPARGC1A,SREBF1	 
GNAS	 	enzyme	 	1.633	2.51E-04	4.50E-03	ARL4D,FOSL2,KLF4,NR4A1,PPARGC1A,RASD1	 
CREBBP	 	transcription regulator	 	 	2.66E-04	4.68E-03	DHRS3,DNAJB4,ESAM,FOSL2,HDAC11,JUND,MFHAS1,NR4A1,PPARGC1A,PTPRF,SOCS3,ST6GAL1,STOM,TSPAN31,USP18	 
NANOG	 	transcription regulator	 	 	3.02E-04	5.25E-03	GCK,KLF4,MYCN,POLE4,RCAN1	 
PLIN1	 	other	 	 	3.46E-04	5.93E-03	ACADL,ACADM,HADHB,UCP2	 
MTTP	 	transporter	 	-0.063	3.53E-04	5.96E-03	APOA4,CIDEC,CPT1A,ERN1,GOT1	 
NIPBL	 	transcription regulator	 	 	3.77E-04	6.24E-03	KLF4,POLE4	 
CTNNB1	 	transcription regulator	 	-0.247	3.79E-04	6.24E-03	ACAA1,ACADL,AFP,CA3,CDH1,CIDEC,CYP1A1,CYP4F12,GADD45B,GCK,HES1,Hsd3b4 (includes others),IHH,MMP15,MOGAT1,MYCN,NUDT7,OAT,PTCRA,SERPINE2	 
TFAM	 	transcription regulator	Activated	2.000	4.32E-04	7.00E-03	ACADL,ACADM,ECH1,SLC25A20	 
PPARGC1A	1.225	transcription regulator	Activated	2.383	4.49E-04	7.20E-03	ACADL,ACADM,APOA4,FDPS,FGF21,MMP15,NSDHL,PPARGC1A,Sik1,SOCS3,SREBF1,UCP2	21 (2)
MAP4K4	 	kinase	 	-0.853	4.68E-04	7.27E-03	ACLY,DLST,GOT1,HADHB,MGLL,MLXIPL,NT5C2,PEX11A,SREBF1	 
FGF21	2.819	growth factor	 	0.497	4.72E-04	7.27E-03	ACADM,ACLY,CPT1A,PPARGC1A,SREBF1	 
CIDEC	3.280	other	 	-1.869	4.72E-04	7.27E-03	ACADL,ACADM,CPT1A,PPARGC1A,SREBF1	 
CPT1C	 	enzyme	 	 	5.60E-04	8.38E-03	ACADM,CPT1A,PPARGC1A	 
UBD	 	other	 	 	5.60E-04	8.38E-03	Acot1,PPARGC1A,UCP2	 
HOXA10	 	transcription regulator	Inhibited	-2.121	5.65E-04	8.38E-03	CA3,KLF10,LEPR,MYCN,NR4A1,PEG3,SLC27A1,THBD	 
APOE	 	transporter	 	-0.784	5.92E-04	8.68E-03	ABCA2,CPT1A,FKBP5,Hspa1b,KLF4,LIPG,NPNT,PCSK9,PHLDA1,RCAN1,SERPINE1,SOCS3,TNFRSF14	 
TCF7L2	 	transcription regulator	 	-0.258	6.29E-04	9.11E-03	ACAA1,ACADL,AKR1C4,ATP8B1,CNP,CYP2C8,EHHADH,FGF21,FGFR2,FH,MAP7,PPARGC1A,RASGEF1B,SC5D,SORBS3	 
HNF1A	 	transcription regulator	 	-1.339	6.77E-04	9.69E-03	DCT,FH,FOXA3,GCK,MAPK15,MLXIPL,ORMDL1,PCSK9,PFKFB2,SEMA4A,UGT2B7	 
DUSP1	 	phosphatase	 	1.664	7.40E-04	1.05E-02	CIDEC,MGLL,PEX11A,RETSAT,SERPINE1,VNN1	 
MFSD2A	 	transporter	 	1.964	7.78E-04	1.08E-02	DHCR7,Gstm6,LSS,SREBF1	 
ESRRB	 	transcription regulator	 	 	7.78E-04	1.08E-02	Hspa1b,PFKFB2,POLE4,SLC6A6	 
LEPR	1.604	transmembrane receptor	 	0.520	7.93E-04	1.08E-02	APOA4,GADD45B,GCK,LEPR,PPARGC1A,SERPINE1,SOCS3,SREBF1,TP53INP1,UCP2	22 (3)
IL1B	 	cytokine	 	1.961	1.02E-03	1.38E-02	ABCB11,CSRNP1,FKBP5,IFRD1,NR4A1,PDE4B,PHLDA1,SOCS3,SUCNR1,TXNIP	 
PDE3B	 	enzyme	 	 	1.07E-03	1.43E-02	PPARGC1A,SERPINE1,SOCS3	 
UPP1	 	enzyme	 	 	1.12E-03	1.48E-02	Acot1,EHHADH	 
CD300LF	 	other	 	1.000	1.28E-03	1.63E-02	ACADL,ACSS2,CPT1A,SLC27A1	 
LPL	 	enzyme	 	 	1.28E-03	1.63E-02	CPT1A,PPARGC1A,SLC27A1,UCP2	 
PRMT1	 	enzyme	 	1.091	1.28E-03	1.63E-02	ACADM,CNP,MGLL,PPARGC1A	 
SGPP2	 	phosphatase	Inhibited	-2.000	1.28E-03	1.63E-02	DNAJA1,Hspa1b,HSPA8,HSPH1	 
BMP10	 	growth factor	 	-1.134	1.33E-03	1.67E-02	CHRNA2,FGFR2,LEPR,NR4A1,PHLDA1,SERPINE2,SMAD9	 
MBTPS1	 	peptidase	 	 	1.41E-03	1.69E-02	FDPS,IHH,SREBF1	 
MOGAT1	2.119	enzyme	 	 	1.41E-03	1.69E-02	ACADL,ACADM,CPT1A	53 (2)
CNOT3	 	other	 	 	1.41E-03	1.69E-02	LEPR,PPARGC1A,UCP2	 
PTGFR	 	G-protein coupled receptor	 	 	1.41E-03	1.69E-02	AKR1C4,GCLC,NR4A1	 
FOXA3	0.773	transcription regulator	 	-1.966	1.50E-03	1.78E-02	ACADM,CPT1A,PPARGC1A,SLC27A1	 
HSD11B1	 	enzyme	 	 	1.73E-03	2.04E-02	CPT1A,PPARGC1A,SREBF1,UCP2	 
RIPK2	 	kinase	 	0.728	1.76E-03	2.04E-02	ACADL,ACADM,PDE4B,PPARGC1A,SLC27A1,SREBF1	 
IRAK4	 	kinase	 	 	1.76E-03	2.04E-02	CSRNP1,IFRD1,IRF5,NR4A1,PDE4B,PHLDA1	 
THRAP3	 	transcription regulator	 	 	1.80E-03	2.07E-02	CA3,Cd24a,TXNIP	 
MAPK8	 	kinase	 	0.808	1.85E-03	2.11E-02	ABCB11,CDH1,CYP1A1,FGF21,FOSL2,GCK,JUND	31 (3)
FOXO4	 	transcription regulator	 	-1.633	1.90E-03	2.14E-02	ACLY,ELOVL5,FLNB,Prg4,SESN3,TXNIP	 
HDAC5	-0.504	transcription regulator	Activated	2.000	1.99E-03	2.20E-02	ACADL,ACADM,CPT1A,FGF21	 
IL10RA	 	transmembrane receptor	 	-1.127	1.99E-03	2.20E-02	ACSS2,Akr1c14,Cd24a,CELA1,CYP2C18,EHF,GSAP,Gstm3,Gstm6,HSPA8,NXPE2,PPARGC1A,SELENBP1,TNFRSF14	 
SIRT6	 	enzyme	 	-0.152	2.12E-03	2.31E-02	CIDEC,CYP2C18,LSS,NPNT,PPARGC1A	 
SLC22A1	 	transporter	 	 	2.20E-03	2.31E-02	CPT1A,SLC22A5	 
SKIL	 	transcription regulator	 	 	2.20E-03	2.31E-02	AFP,SERPINE1	 
TRHR	 	G-protein coupled receptor	 	 	2.20E-03	2.31E-02	LEPR,SOCS3	 
BAG1	 	other	 	 	2.20E-03	2.31E-02	FKBP5,Hspa1b	 
NR1I3	 	ligand-dependent nuclear receptor	 	-0.210	2.24E-03	2.31E-02	Aldh1a7,CYP2C8,GADD45B,Gstm3,POR,SREBF1,TNFAIP2	 
CYP1A1	-1.234	enzyme	Activated	2.449	2.24E-03	2.31E-02	CYP26A1,ETHE1,Gstm3,KRT19,MARCO,SHANK2,SLC46A3	 
ELOVL5	1.338	enzyme	 	 	2.26E-03	2.31E-02	ACADL,EHHADH,MLXIPL	 
INSIG2	 	other	 	 	2.26E-03	2.31E-02	ACLY,FDPS,SREBF1	 
NKX3-1	 	transcription regulator	 	 	2.33E-03	2.36E-02	CA3,CA8,CDH1,FKBP5,VNN1	 
POU5F1	 	transcription regulator	 	 	2.38E-03	2.40E-02	GCK,KLF4,MYCN,POLE4,RCAN1,SOCS3	 
CEBPA	 	transcription regulator	 	1.304	2.70E-03	2.69E-02	ACLY,APOA4,ASL,DHCR7,LEPR,MYCN,PPARGC1A,SERPINE1,SREBF1	18 (2)
ACACB	 	enzyme	 	 	2.78E-03	2.72E-02	ACLY,MLXIPL,SREBF1	 
STEAP3	 	transporter	 	-1.342	2.79E-03	2.72E-02	Cd24a,HSPA8,ITGB3,SORBS3,TFRC	 
SMYD1	 	transcription regulator	 	 	2.79E-03	2.72E-02	ACADL,FH,NT5C2,OAT,PPARGC1A	 
SIRT1	 	transcription regulator	 	0.750	2.86E-03	2.77E-02	CDH1,CELA1,CPT1A,FGF21,GCK,Hsd3b4 (includes others),MVK,NPNT,PPARGC1A,SHANK2,TBC1D8,THBD,UCP2,USP18	30 (3)
RGS2	 	enzyme	 	-0.378	3.01E-03	2.89E-02	DECR1,FABP2,MARCO,NINJ1,RCAN1,SREBF1,ST6GAL1	 
ATG7	 	enzyme	Inhibited	-2.177	3.04E-03	2.89E-02	ACLY,FGF21,MARCO,SOCS3,SREBF1	 
CAV1	 	transmembrane receptor	 	 	3.37E-03	3.16E-02	AFP,HSPA8,INHBB,KRT19,NR4A1,SERPINE1,SLC20A1	7 (2)
PCYT2	 	enzyme	 	 	3.38E-03	3.16E-02	CIDEC,MLXIPL,SREBF1	 
SLC22A2	 	transporter	 	 	3.62E-03	3.29E-02	CPT1A,SLC22A5	 
Nisch	 	other	 	 	3.62E-03	3.29E-02	MLXIPL,SREBF1	 
CDK2	 	kinase	 	 	3.62E-03	3.29E-02	GCK,UCP2	 
GYS2	 	enzyme	 	 	3.62E-03	3.29E-02	MLXIPL,SREBF1	 
IRS2	 	enzyme	 	-1.153	3.68E-03	3.32E-02	ACLY,GCK,PPARGC1A,SREBF1	30 (4)
SREBF2	 	transcription regulator	 	 	4.04E-03	3.62E-02	MVK,SC5D,SREBF1	 
C2CD5	 	other	 	 	4.78E-03	4.16E-02	ACADM,CPT1A,PPARGC1A	 
FGFR4	 	kinase	 	 	4.78E-03	4.16E-02	ACLY,MLXIPL,SREBF1	58 (3)
COMMD1	 	transporter	 	 	4.78E-03	4.16E-02	ALDOA,KRT19,TFRC	 
FDFT1	 	enzyme	 	 	4.78E-03	4.16E-02	FDPS,PCSK9,SREBF1	 
E2F1	 	transcription regulator	 	-1.131	4.92E-03	4.25E-02	ACADL,FGFR2,HES1,Hspa1b,PPARGC1A,SERPINE1,TP53INP1,UCP2	 
GNB2	 	enzyme	 	 	5.06E-03	4.30E-02	FOSL2,NR4A1,PDE4B,THBD	 
GNB1	 	enzyme	 	 	5.06E-03	4.30E-02	FOSL2,NR4A1,PDE4B,THBD	 
PDCD10	 	other	 	 	5.36E-03	4.44E-02	KLF4,THBD	 
ACOT13	 	enzyme	 	 	5.36E-03	4.44E-02	MLXIPL,PPARGC1A	 
ADIPOR2	 	transmembrane receptor	 	 	5.36E-03	4.44E-02	GCK,UCP2	 
IGBP1	 	phosphatase	 	 	5.36E-03	4.44E-02	CDH1,CLDN1	 
PRKAA2	 	kinase	 	0.239	5.69E-03	4.62E-02	CDH1,ERN1,FGFR2,IL13RA1,OAT,PPARGC1A,SOCS3	 
BHLHE40	 	transcription regulator	 	1.219	5.69E-03	4.62E-02	ATP1B1,Cd24a,DMBT1,FABP2,PHLDA1,SH3PXD2A,SREBF1	 
ESR1	 	ligand-dependent nuclear receptor	 	0.246	5.69E-03	4.62E-02	ABCB11,CYP1A1,CYP4A11,Cyp4a14,INHBB,IRF5,LEPR,PPARGC1A,RDH16,TXNIP,UGT2B7	 
MLXIPL	-0.990	transcription regulator	 	-1.761	5.86E-03	4.72E-02	ACLY,ACSS2,CIDEC,CPT1A,MLXIPL,PPARGC1A,SREBF1,TXNIP	 
NR1H4	 	ligand-dependent nuclear receptor	 	-0.038	5.97E-03	4.75E-02	ABCB11,ATP8B1,CYP2C8,FABP2,Gstm3,PPARGC1A,SREBF1	25 (4)
FOXO3	 	transcription regulator	 	-1.134	5.97E-03	4.75E-02	ACLY,ELOVL5,FLNB,NPNT,Prg4,SESN3,TXNIP	 
MEF2D	 	transcription regulator	 	 	6.15E-03	4.86E-02	GCLC,HDAC5,JUND,NR4A1	 
LGR5	 	transmembrane receptor	 	 	6.49E-03	5.03E-02	LHPP,OAT,RDH16	 
MGLL	0.855	enzyme	 	 	6.49E-03	5.03E-02	CPT1A,PPARGC1A,SREBF1	 
FABP1	 	transporter	 	 	6.49E-03	5.03E-02	GOT1,SLC27A1,SREBF1	 
AMPK	 	complex	 	 	6.75E-03	5.17E-02	CDH1,CLDN1,PPARGC1A,UCP2	 
