© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
LDLR	 	transporter	 	 	1.08E-03	1.40E-02	BCL2L1,DDIT3,GADD45G,MID1IP1,SOCS1,UCP3	 
CPT1B	 	enzyme	Activated	2.000	1.08E-03	1.40E-02	ANGPTL4,NFKBIA,PFKFB3,SOCS1,SOCS2,SOCS3	 
HDAC1	 	transcription regulator	Inhibited	-2.219	1.14E-03	1.46E-02	FAM107A,NFKBIA,PFKFB3,TNFRSF19,TSC22D3	 
TCR	 	complex	 	-0.130	1.28E-03	1.53E-02	BCL2L1,CISH,GADD45G,SOCS2	16 (7)
PLD1	 	enzyme	 	 	1.30E-03	1.53E-02	DDIT3,NR4A3	 
IL18R1	 	transmembrane receptor	 	 	1.30E-03	1.53E-02	SOCS1,SOCS3	 
HOXA4	 	transcription regulator	 	 	1.30E-03	1.53E-02	ANKRD1,CCN2	 
CRY1	 	enzyme	 	 	1.30E-03	1.53E-02	DBP,PER2	 
STAT5B	 	transcription regulator	 	0.000	1.30E-03	1.53E-02	BCL2L1,CISH,DDIT3,G0S2,SOCS2,ZFP36	 
CD38	 	enzyme	 	1.362	1.37E-03	1.59E-02	CISH,GADD45G,SOCS1,SOCS2,SOCS3	 
SAMSN1	 	other	Activated	2.000	1.39E-03	1.59E-02	IRF1,IRGM,SOCS1,SOCS3	12 (3)
Interferon alpha	 	group	 	 	1.46E-03	1.63E-02	IFI16,IRF1,SOCS1	7 (3)
KLF2	 	transcription regulator	 	 	1.46E-03	1.63E-02	F3,NFKBIA,S1PR1	 
Mapk	 	group	 	 	1.58E-03	1.69E-02	DBP,PER2	 
SHC1	 	other	 	 	1.58E-03	1.69E-02	BCL2L1,S1PR1	 
CRY2	 	enzyme	 	 	1.58E-03	1.69E-02	DBP,PER2	6 (2)
EP300	 	transcription regulator	 	 	1.60E-03	1.69E-02	FOSL2,MCF2L,PLEKHF1,SLC43A1,SOCS3,TIPARP	7 (2)
APOE	 	transporter	 	 	1.67E-03	1.74E-02	CCN2,CSF1,DDIT3,F3,KLF4,SOCS3	 
SQSTM1	 	transcription regulator	 	 	1.80E-03	1.85E-02	IRF1,NFKBIA,PLK2	 
GATA4	 	transcription regulator	 	 	2.07E-03	2.10E-02	ARRDC2,CCN2,SLC25A29,TRIB2	 
IFNB1	 	cytokine	 	 	2.15E-03	2.16E-02	IFI16,IRF1,IRGM,RND3,SOCS1	9 (2)
NOD2	 	other	 	 	2.17E-03	2.16E-02	NFKBIA,RALGDS,RASGRP1	 
SULF2	 	enzyme	 	 	2.23E-03	2.16E-02	SOCS2,SOCS3	 
GAS6	 	growth factor	 	 	2.23E-03	2.16E-02	SOCS1,SOCS3	 
ESR2	 	ligand-dependent nuclear receptor	 	 	2.26E-03	2.17E-02	BCL2L1,KLF4,MYOD1,SOCS2,SOCS3	 
PF4	 	cytokine	 	 	2.31E-03	2.19E-02	IRF1,KLF4,NFKBIA	 
STAT6	 	transcription regulator	 	0.294	2.38E-03	2.20E-02	BCL2L1,CISH,GADD45G,IFI16,IRF1,NFKBIA,SOCS2	 
CLEC4G	 	other	 	 	2.45E-03	2.20E-02	CCN2,CSF1,NRARP	 
TFRC	 	transporter	 	 	2.45E-03	2.20E-02	DDIT3,DDIT4,PFKFB3	 
JAK2	 	kinase	 	 	2.45E-03	2.20E-02	BCL2L1,PLK2,SOCS3	4 (2)
CD3	 	complex	 	 	2.48E-03	2.20E-02	BCL2L1,CISH,IRF1,SOCS3	22 (10)
MRTFB	 	transcription regulator	 	 	2.57E-03	2.20E-02	ANKRD1,BCL2L1,CCN2,G0S2	 
Ptprd	 	phosphatase	 	 	2.59E-03	2.20E-02	CEBPD,GADD45G	 
NFKBIB	 	transcription regulator	 	 	2.59E-03	2.20E-02	NFKBIA,TP53INP1	 
STAT5a/b	 	group	 	 	2.59E-03	2.20E-02	BCL2L1,CISH,SOCS3	 
CUL3	 	enzyme	 	 	2.59E-03	2.20E-02	DBP,RHOB,UCP3	 
PPARG	 	ligand-dependent nuclear receptor	 	-0.305	2.63E-03	2.20E-02	ANGPTL4,ARL4D,PFKFB3,RHOB,SOCS1,TSC22D3,UCP3	 
ID3	 	transcription regulator	 	 	2.64E-03	2.20E-02	BCL2L1,CSF1,GADD45G,NR4A3,SOCS3	 
TP53	 	transcription regulator	 	-0.237	2.67E-03	2.21E-02	ANKRD1,BCL2L1,CCN2,CSF1,DDIT4,GADD45G,IFI16,NRARP,PLK2,Pln,RHOB,TP53INP1,TSC22D3,UCP3	 
SPTLC2	 	enzyme	 	 	2.98E-03	2.44E-02	CCN2,DDIT3	 
TRIM24	 	transcription regulator	 	-1.964	3.04E-03	2.46E-02	IRF1,IRGM,SOCS1,SOCS2	10 (3)
OGA	 	enzyme	Activated	2.236	3.05E-03	2.46E-02	GADD45G,MMRN2,SOCS1,SOCS2,SOCS3	 
REL	 	transcription regulator	 	0.277	3.20E-03	2.55E-02	BCL2L1,DCLRE1B,NR4A3,NRARP,PLK2	 
IL4	 	cytokine	 	1.004	3.34E-03	2.59E-02	CISH,CSF1,DDIT4,GADD45G,IRF1,NFKBIA,SOCS1,SOCS2,SOCS3	16 (7)
Alpha catenin	 	group	 	-0.762	3.35E-03	2.59E-02	ADAMTS1,IRF1,NFKBIA,SOCS3	 
EZR	 	other	 	 	3.39E-03	2.59E-02	DDIT3,DDIT4	 
SNAI2	 	transcription regulator	 	 	3.39E-03	2.59E-02	ANKRD1,CCN2	 
IFN Beta	 	group	 	 	3.41E-03	2.59E-02	CEBPD,IFI16,IRF1	 
IFN alpha/beta	 	group	 	 	3.58E-03	2.70E-02	IFI16,IRF1,SOCS1	15 (4)
IKBKG	 	kinase	 	-0.152	3.80E-03	2.81E-02	CEBPD,CSF1,IFI16,SOCS3	 
DDX25	 	enzyme	 	 	3.83E-03	2.81E-02	BCL2L1,NFKBIA	 
MAPKAPK3	 	kinase	 	 	3.83E-03	2.81E-02	DDIT3,ZFP36	 
IRS1	 	enzyme	 	 	3.92E-03	2.83E-02	CEBPD,DDIT3,KLF4,UCP3	 
MRTFA	 	transcription regulator	 	 	3.92E-03	2.83E-02	ANKRD1,BCL2L1,CCN2,G0S2	 
BNIP3L	 	other	 	 	3.96E-03	2.83E-02	BCL2L1,NFKBIA,PFKFB3	 
TLR2	 	transmembrane receptor	 	1.715	4.29E-03	3.00E-02	CISH,IRF1,SOCS1,SOCS3	8 (2)
USP18	 	peptidase	 	 	4.29E-03	3.00E-02	SOCS1,SOCS3	7 (2)
COMMD1	 	transporter	 	 	4.29E-03	3.00E-02	DDIT4,PFKFB3	 
CX3CL1	 	cytokine	 	 	4.36E-03	3.02E-02	ADAMTS1,CSF1,IFI16	 
PPARGC1A	 	transcription regulator	 	-1.342	4.39E-03	3.02E-02	CEBPD,SLC25A25,SOCS1,SOCS3,UCP3	 
HRAS	 	enzyme	 	 	4.56E-03	3.11E-02	ANKRD1,CCN2,PER2	 
Jnk	 	group	 	 	4.78E-03	3.18E-02	BCL2L1,DDIT3,SOCS3	15 (4)
TNFRSF4	 	transmembrane receptor	 	 	4.78E-03	3.18E-02	BCL2L1,SOCS1	 
PLK1	 	kinase	 	 	4.78E-03	3.18E-02	ANKRD1,IFI16	 
NR4A1	 	ligand-dependent nuclear receptor	 	-1.961	4.89E-03	3.23E-02	CSF1,DDIT3,G0S2,NR4A3,UCP3	 
OSM	 	cytokine	 	 	5.22E-03	3.26E-02	CISH,SOCS3,ZFP36	4 (2)
FOXP3	 	transcription regulator	 	 	5.24E-03	3.26E-02	CSF1,FOSL2,NR4A3,SOCS2	 
USP19	 	peptidase	 	 	5.29E-03	3.26E-02	DDIT3,DDIT4	 
PIK3R1	 	kinase	 	 	5.45E-03	3.26E-02	BCL2L1,DDIT3,F3	 
DHDDS	 	enzyme	 	 	5.48E-03	3.26E-02	DDIT3	 
Ctf2	 	cytokine	 	 	5.48E-03	3.26E-02	SOCS3	 
Cebp	 	complex	 	 	5.48E-03	3.26E-02	MYOD1	 
DLAT	 	enzyme	 	 	5.48E-03	3.26E-02	CISH	 
miR-185-5p (and other miRNAs w/seed GGAGAGA)	 	mature microRNA	 	 	5.48E-03	3.26E-02	DDIT3	 
L3MBTL2	 	transcription regulator	 	 	5.48E-03	3.26E-02	DDIT3	 
RBM3	 	other	 	 	5.48E-03	3.26E-02	DDIT3	 
CCNK	 	kinase	 	 	5.48E-03	3.26E-02	DDIT3	 
LPCAT1	 	enzyme	 	 	5.48E-03	3.26E-02	DDIT3	 
Ifnz (includes others)	 	cytokine	 	 	5.48E-03	3.26E-02	IRF1	 
Histone h4	 	group	 	 	5.69E-03	3.36E-02	IRF1,RASGRP1,SOCS3	 
KCNE3	 	ion channel	 	 	6.18E-03	3.55E-02	APOLD1,CISH,KLF4	 
THRA	 	ligand-dependent nuclear receptor	 	 	6.18E-03	3.55E-02	ANGPTL4,MYOD1,Pln	 
FAS	 	transmembrane receptor	 	 	6.18E-03	3.55E-02	CCN2,CSF1,NFKBIA	 
CISH	3.241	other	 	 	6.18E-03	3.55E-02	BCL2L1,CSF1,NR4A3	 
CD69	 	transmembrane receptor	 	 	6.39E-03	3.65E-02	S1PR1,SOCS1	 
DOCK8	 	other	 	 	6.44E-03	3.65E-02	IRF1,IRGM,SOCS1	 
IL5	 	cytokine	 	1.067	6.49E-03	3.66E-02	CISH,GADD45G,SOCS1,SOCS2	 
SASH1	 	other	 	 	6.97E-03	3.85E-02	IRF1,IRGM,SOCS1	 
ACTL6A	 	other	 	 	6.97E-03	3.85E-02	BCL2L1,TP53INP1	 
LCAT	 	enzyme	 	 	6.97E-03	3.85E-02	DDIT3,UCP3	 
MAP3K8	 	kinase	 	0.000	7.01E-03	3.85E-02	ARRDC3,CEBPD,IRGM,SOCS3	 
TGFBR2	 	kinase	 	0.447	7.53E-03	4.08E-02	CSF1,DDIT4,GADD45G,NFKBIA,SOCS3	 
CYBB	 	enzyme	 	 	7.58E-03	4.08E-02	CCN2,DDIT3	 
ING1	 	transcription regulator	 	 	7.58E-03	4.08E-02	ANGPTL4,ZFP36	 
ZBTB10	 	other	 	0.492	7.93E-03	4.24E-02	IFI16,IRF1,IRGM,NR4A3	 
HMGN1	 	transcription regulator	 	 	8.21E-03	4.30E-02	EGFL7,G0S2	 
CBL	 	transcription regulator	 	 	8.21E-03	4.30E-02	DDIT3,UCP3	 
EIF2AK2	 	kinase	 	 	8.21E-03	4.30E-02	BCL2L1,DDIT3	 
MYD88	 	other	 	0.365	8.25E-03	4.30E-02	CEBPD,IRF1,NFKBIA,SOCS1,SOCS3	17 (5)
RETNLB	 	other	 	 	9.02E-03	4.65E-02	CCN2,MYCT1,SOCS2	 
HDAC2	 	transcription regulator	 	 	9.02E-03	4.65E-02	FAM107A,NFKBIA,TNFRSF19	 
TCF7L1	 	transcription regulator	 	 	9.54E-03	4.83E-02	KLF4,TNFRSF19	 
MYOCD	 	transcription regulator	 	 	9.54E-03	4.83E-02	BCL2L1,DDIT3	 
SNAI1	 	transcription regulator	 	 	9.54E-03	4.83E-02	ANKRD1,CCN2	 
ADAM10	 	peptidase	 	 	1.03E-02	4.94E-02	CSF1,GADD45G,Pln	 
UCP1	 	transporter	Activated	2.000	1.05E-02	4.94E-02	ANKRD1,DDIT3,SLC6A9,UCP3	 
JAK	 	group	 	 	1.09E-02	4.94E-02	BCL2L1	 
Rps15a-ps4	 	other	 	 	1.09E-02	4.94E-02	NFKBIA	 
ADRM1	 	other	 	 	1.09E-02	4.94E-02	NFKBIA	 
NIPBL	 	transcription regulator	 	 	1.09E-02	4.94E-02	KLF4	 
Integrin alpha 4 beta 1	 	complex	 	 	1.09E-02	4.94E-02	BCL2L1	 
NCEH1	 	enzyme	 	 	1.09E-02	4.94E-02	DDIT3	 
KLHL40	 	other	 	 	1.09E-02	4.94E-02	TP53INP1	 
HMGCR	 	enzyme	 	 	1.09E-02	4.94E-02	DDIT3	 
STRA6	 	transporter	 	 	1.09E-02	4.94E-02	SOCS3	 
CCNT2	 	transcription regulator	 	 	1.09E-02	4.94E-02	DDIT3	 
IMPACT	 	other	 	 	1.09E-02	4.94E-02	DDIT3	 
AGPS	 	enzyme	 	 	1.09E-02	4.94E-02	BCL2L1	 
PAGR1	 	other	 	 	1.09E-02	4.94E-02	CEBPD	 
ADCYAP1R1	 	G-protein coupled receptor	 	 	1.09E-02	4.94E-02	PER2	 
CIAPIN1	 	other	 	 	1.09E-02	4.94E-02	BCL2L1	 
Prl3d1 (includes others)	 	other	 	 	1.09E-02	4.94E-02	BCL2L1	 
DEK	 	transcription regulator	 	 	1.09E-02	4.94E-02	NFKBIA	 
Mia2	 	other	 	 	1.09E-02	4.94E-02	DDIT3	 
JAK1	 	kinase	 	 	1.17E-02	5.20E-02	MYOD1,SOCS3	 
MYOD1	1.408	transcription regulator	 	 	1.17E-02	5.20E-02	IFI16,MYOD1	 
IL12A	 	cytokine	 	 	1.17E-02	5.20E-02	SOCS1,SOCS3	 
SRF	 	transcription regulator	 	 	1.19E-02	5.26E-02	ANKRD1,BCL2L1,G0S2,MYOD1	 
PIK3CG	 	kinase	 	 	1.21E-02	5.34E-02	FOSL2,IRF1,IRGM	 
FOS	 	transcription regulator	 	 	1.28E-02	5.59E-02	F3,NRIP1,PLK2,SOCS3,TIPARP	 
ALDH1A2	 	enzyme	 	 	1.32E-02	5.73E-02	CCN2,CSF1	 
NOS3	 	enzyme	 	 	1.32E-02	5.73E-02	CCN2,F3	 
DYSF	 	other	 	 	1.33E-02	5.73E-02	ANKRD1,ERRFI1,IFI16	 
LEP	 	growth factor	 	 	1.36E-02	5.82E-02	ANGPTL4,BCL2L1,F3,Pln,SOCS3	 
TAF4	 	transcription regulator	 	 	1.37E-02	5.84E-02	BCL2L1,CCN2,KLF4	 
26s Proteasome	 	complex	 	 	1.40E-02	5.92E-02	DDIT3,SOCS3	 
ARHGAP31	 	other	 	 	1.40E-02	5.92E-02	CCN2,PKP1	 
TGFB1	 	growth factor	 	 	1.41E-02	5.92E-02	DBP,IRF1,SOCS3	 
TET2	 	enzyme	 	 	1.49E-02	6.15E-02	IFI16,RND3,TRIB2	 
Ifnar	 	group	 	 	1.49E-02	6.15E-02	DDIT3,IFI16,IRF1	 
INHA	 	growth factor	 	 	1.49E-02	6.15E-02	ADAMTS1,CCN2,TP53INP1	 
CD28	 	transmembrane receptor	 	 	1.49E-02	6.15E-02	BCL2L1,IRF1,SOCS3	 
STAT1	 	transcription regulator	 	1.333	1.54E-02	6.25E-02	IFI16,IRF1,SOCS1,SOCS3	 
IL7	 	cytokine	 	 	1.57E-02	6.25E-02	BCL2L1,SOCS1	 
PAK2	 	kinase	 	 	1.57E-02	6.25E-02	IFI16,LDLRAP1	 
SPARC	 	other	 	 	1.62E-02	6.25E-02	CEBPD,CIART,PER2	 
Irgm1	 	other	 	 	1.62E-02	6.25E-02	IFI16,IRF1,IRGM	 
Mir124a-1hg	 	other	 	 	1.63E-02	6.25E-02	DDIT3	 
SELENOS	 	other	 	 	1.63E-02	6.25E-02	DDIT3	 
NCK2	 	kinase	 	 	1.63E-02	6.25E-02	DDIT3	 
mir-483	 	microRNA	 	 	1.63E-02	6.25E-02	SOCS3	 
HCRT	 	other	 	 	1.63E-02	6.25E-02	PER2	 
IFNGR2	 	transmembrane receptor	 	 	1.63E-02	6.25E-02	IRF1	 
SOAT1	 	enzyme	 	 	1.63E-02	6.25E-02	DDIT3	 
FGF18	 	growth factor	 	 	1.63E-02	6.25E-02	CSF1	 
MAP1S	 	enzyme	 	 	1.63E-02	6.25E-02	BCL2L1	 
CUL4B	 	other	 	 	1.63E-02	6.25E-02	ZFP36	 
BCL2A1	 	other	 	 	1.63E-02	6.25E-02	BCL2L1	 
Mek	 	group	 	 	1.66E-02	6.28E-02	BCL2L1,IRF1	 
IL21	 	cytokine	 	 	1.66E-02	6.28E-02	BCL2L1,SOCS3	 
RARA	 	ligand-dependent nuclear receptor	 	 	1.67E-02	6.29E-02	FOSL2,IRF1,KLF4	 
DDIT3	0.659	transcription regulator	 	 	1.75E-02	6.56E-02	CEBPD,DDIT3	 
NFKB1	 	transcription regulator	 	 	1.76E-02	6.58E-02	BCL2L1,CSF1,IRF1	 
ABCB4	 	transporter	 	 	1.84E-02	6.78E-02	BCL2L1,CCN2	 
EIF2S1	 	translation regulator	 	 	1.84E-02	6.78E-02	DDIT3,SLC6A9	 
MEF2D	 	transcription regulator	 	 	1.84E-02	6.78E-02	CCN2,ZFP36	 
NCOA2	 	transcription regulator	 	 	1.85E-02	6.81E-02	IRF1,KLF4,NR4A3	 
PPARA	 	ligand-dependent nuclear receptor	 	-1.091	1.86E-02	6.81E-02	ANGPTL4,CEBPD,G0S2,NFKBIA,SOCS2,UCP3	 
KLF15	 	transcription regulator	 	 	1.93E-02	7.03E-02	CCN2,UCP3	 
LCK	 	kinase	 	 	2.02E-02	7.09E-02	BCL2L1,CISH	 
IL12B	 	cytokine	 	 	2.02E-02	7.09E-02	SOCS1,SOCS3	 
IL6ST	 	transmembrane receptor	 	 	2.12E-02	7.09E-02	BCL2L1,SOCS1	 
NFkB (complex)	 	complex	 	 	2.15E-02	7.09E-02	BCL2L1,NFKBIA,SOCS3	 
MYLK2	 	kinase	 	 	2.17E-02	7.09E-02	MYOD1	 
USE1	 	other	 	 	2.17E-02	7.09E-02	DDIT3	 
FLT4	 	transmembrane receptor	 	 	2.17E-02	7.09E-02	SOCS1	 
DIO1	 	enzyme	 	 	2.17E-02	7.09E-02	UCP3	 
CD8A	 	other	 	 	2.17E-02	7.09E-02	BCL2L1	 
CD93	 	other	 	 	2.17E-02	7.09E-02	ZNF503	 
mir-365	 	microRNA	 	 	2.17E-02	7.09E-02	MYOD1	 
APAF1	 	other	 	 	2.17E-02	7.09E-02	DDIT3	 
NCK1	 	kinase	 	 	2.17E-02	7.09E-02	DDIT3	 
LPAR1	 	G-protein coupled receptor	 	 	2.17E-02	7.09E-02	CCN2	 
RAD51AP1	 	other	 	 	2.17E-02	7.09E-02	KLF4	 
ATF1	 	transcription regulator	 	 	2.17E-02	7.09E-02	UCP3	 
TRHR	 	G-protein coupled receptor	 	 	2.17E-02	7.09E-02	SOCS3	 
Ifi202b	 	other	 	 	2.17E-02	7.09E-02	MYOD1	 
A4GALT	 	enzyme	 	 	2.17E-02	7.09E-02	IRF1	 
RAPSN	 	other	 	 	2.17E-02	7.09E-02	SOCS3	 
CCNT1	 	transcription regulator	 	 	2.17E-02	7.09E-02	DDIT3	 
CDK6	 	kinase	 	 	2.17E-02	7.09E-02	SOCS3	 
GFI1B	 	transcription regulator	 	 	2.17E-02	7.09E-02	SOCS1	 
EPC1	 	transcription regulator	 	 	2.17E-02	7.09E-02	MYOD1	 
ADORA3	 	G-protein coupled receptor	 	 	2.17E-02	7.09E-02	IRF1	 
CAPN2	 	peptidase	 	 	2.17E-02	7.09E-02	DDIT3	 
RRM2B	 	enzyme	 	 	2.17E-02	7.09E-02	TP53INP1	 
