© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
ADRB	 	group	 	-0.132	2.46E-07	5.69E-05	AACS,ACAT2,ANGPTL4,ARHGEF3,BHLHE40,BOK,CAVIN2,CCND1,CCNE1,CDKN1A,DDIT4,ENDOD1,GADD45A,HSD3B7,ICAM1,LPIN1,OASL,PPARGC1A,RBL2,SMAD6,SRM,WEE1,YPEL3	 
ID2	1.867	transcription regulator	 	-0.368	2.94E-07	6.25E-05	BCL3,BTG2,CCNE1,CCNG2,CDKN1A,CEBPB,CSF1,CXCR4,DLL1,DUSP1,DUSP10,E2F2,ETS2,FOXO1,GADD45G,ICAM1,ID3,IKZF4,IL6R,IRF5,JDP2,MAP2K6,PDGFA,PTPN3,RORA,SOCS3,SOX13,TNFRSF1A,TNFSF10,VCAM1,ZBTB16	 
TLR9	 	transmembrane receptor	Activated	2.357	4.07E-07	7.19E-05	ACOD1,CCND1,CERK,CERS6,CISH,CSF1,CTH,DUSP1,EGR1,Hamp/Hamp2,ICAM1,IFI16,IL1B,IRAK4,ISG15,LCN2,LILRB4,NR1H4,Saa3,SERPINE1,SGMS2,SGPL1,SOCS3,ST3GAL5,STAT2,TNF,TNFRSF1B,TP53	225 (18)
E2F1	 	transcription regulator	 	0.545	4.22E-07	7.19E-05	AMY2B,BOK,CCND1,CCNE1,CDK2,CEBPA,DHFR,DUSP1,EGR1,FOS,HES1,ID3,IRS2,NRP1,OGT,PDK4,Pmaip1,PPARGC1A,PSMB9,SERPINE1,TAP1,TP53,TP53INP1,ZFP36	72 (6)
TICAM1	 	other	 	1.465	4.49E-07	7.19E-05	ACOD1,BCL3,CEBPD,Cxcl11,CXCL13,DDX58,DUSP1,EGR1,ETS2,ICAM1,IFI16,IL1B,ISG15,NFKBIA,OASL,PELI1,SERPINE1,SLC7A2,SOCS3,TLR2,TNF,TNFSF10,VCAM1	166 (12)
Mapk	 	group	 	0.378	4.51E-07	7.19E-05	CCND1,CDKN1A,DBP,GJA1,PER1,PER2,TNF	 
STAT5A	 	transcription regulator	 	0.839	5.10E-07	7.64E-05	CCND1,CCNE1,CDKN1A,CEBPA,CEBPB,CISH,Ctla2a/Ctla2b,Cyp2b13/Cyp2b9,FOS,FOSL2,GADD45A,GADD45G,ID2,IL6R,KLF10,LTBR,NOL3,PIM1,S1PR5,SOCS3,SREBF1,STAT5B,TNF,TNFRSF1A,ZFP36	150 (10)
IKBKB	 	kinase	 	1.040	7.91E-07	1.08E-04	ACOD1,CCN2,CCND1,CEBPB,CEBPD,CSF1,Cxcl11,CXCR4,FOS,GADD45A,GBP3,ICAM1,IFI16,IL1B,ISG15,LCN2,LMNB1,NFKBIA,RCAN1,RGS16,Saa3,SGK1,SOCS3,TNF,TNFAIP2,TNFRSF1B,TP53,VCAM1,VEGFA	140 (14)
TGFBR2	 	kinase	 	-1.682	8.02E-07	1.08E-04	ABHD17C,ACOD1,ADCY1,BCL3,BHLHE40,CCND1,CCNE1,CDKN1A,CSF1,DDIT4,DNAJC12,FASN,FGB,GADD45G,GPLD1,HP,ICAM1,MFSD2A,MRC1,NAB2,NFIL3,NFKBIA,NRP1,ODC1,P2RY12,RBL2,SAA1,Saa3,SH3BP2,SLC66A2,SOCS3,ST3GAL3	 
IL6	 	cytokine	Activated	3.414	9.26E-07	1.18E-04	ACVRL1,APCS,CCND1,CCNE1,Chil3/Chil4,CLDN2,CXCL13,FOS,Hamp/Hamp2,HP,ICAM1,ID2,IRAG1,LCN2,NR1I2,Orm1 (includes others),RORA,SAA1,Saa3,SLC39A14,SOCS3,STAT3,TNF,TNFRSF1A,TNFRSF1B,TNFSF10,VCAM1,VEGFA	164 (14)
PER1	-2.140	transcription regulator	 	0.440	1.03E-06	1.25E-04	ARNTL,CCND1,CCNE1,CRY1,PER1,PER2,PER3	29 (3)
NR3C1	 	ligand-dependent nuclear receptor	Inhibited	-3.916	1.20E-06	1.28E-04	AKR1D1,AKT1,ANGPTL4,CDKN1A,CEBPD,Cxcl11,DDC,DDIT4,DUSP1,EGR1,ERRFI1,FBXO30,FOS,G6PC,HCAR2,HERPUD1,IGFBP1,IL1B,ISG15,LPIN1,MKNK2,NFIL3,NFKBIA,OASL,OCLN,PCK1,PER1,PPP1CA,SDS,SGK1,TAT,TNF,TSC22D3	173 (14)
GFI1	 	transcription regulator	 	-0.321	1.20E-06	1.28E-04	AKT1,BCL3,FOSL2,FOXO1,GADD45G,GJA1,ICAM1,ID2,IL1B,IL6R,KAT2B,LTBR,MAFB,NFKBIA,PER3,RASL11B,S1PR1,SESN3,SGK1,TNF,TNFRSF1A	122 (9)
ID3	2.293	transcription regulator	 	0.671	1.21E-06	1.28E-04	BCL3,BTG2,CCNE1,CCNG2,CEBPB,CSF1,CXCR4,DUSP1,DUSP10,E2F2,ETS2,FOXO1,GADD45G,ICAM1,IKZF4,IL6R,IRF5,JDP2,MAP2K6,PTPN3,RORA,SOCS3,SOX13,TNFRSF1A,TNFSF10,VCAM1,ZBTB16	 
IKBKG	 	kinase	 	-0.479	1.62E-06	1.65E-04	ACOD1,ACTA1,CEBPB,CEBPD,CSF1,FOS,GBP3,ICAM1,IFI16,IL1B,ISG15,LCN2,RCAN1,RGS16,Saa3,SGK1,SOCS3,TNF,TNFAIP2,TNFRSF1B,VEGFA	117 (13)
NR5A2	 	ligand-dependent nuclear receptor	Inhibited	-2.030	2.29E-06	2.24E-04	CEBPB,CEBPD,CYP7A1,FOS,GADD45G,GOT1,HP,ICAM1,IGFBP1,IL1B,NR1H4,NR1I2,PNLIP,POLE4,SCARB1,TNF,TNFRSF1B	 
CHUK	 	kinase	 	0.292	2.85E-06	2.69E-04	ACOD1,CCND1,CEBPB,CEBPD,CSF1,Cxcl11,FOS,GBP3,IFI16,ISG15,LCN2,NFKBIA,RCAN1,RGS16,Saa3,SGK1,SOCS3,TNF,TNFAIP2,TNFRSF1B,VEGFA	41 (3)
TLR4	 	transmembrane receptor	Activated	2.221	3.03E-06	2.70E-04	CD163,CEBPD,CERK,CERS6,CISH,Cxcl11,FOS,GADD45G,GJA1,ICAM1,IFI16,IL1B,INHBA,IRAK4,ISG15,LILRB4,MARCO,METTL1,NFKBIA,OASL,ORMDL3,PELI1,PLK2,RGS1,RGS16,SCARB1,SGMS2,SGPL1,SOCS3,STAT2,STAT3,TIMELESS,TLR2,TNF,TNFSF10,VCAM1,XBP1	198 (13)
NR1H4	0.688	ligand-dependent nuclear receptor	 	-1.546	3.07E-06	2.70E-04	CCNE1,CEBPA,CEBPB,Cyp2b13/Cyp2b9,CYP2B6,CYP7A1,FABP5,FASN,G6PC,IL1B,LCN2,NR1H4,NR1I2,Orm1 (includes others),PCK1,PPARGC1A,S1PR1,SCARB1,SREBF1,TNF	134 (13)
ACOX1	 	enzyme	 	-0.795	3.41E-06	2.90E-04	ACER2,APCS,CDKN1A,ELOVL3,ETS2,FASN,G6PC,GADD45A,GOT1,HAL,IGFBP1,KRT23,LCN2,Nat8f2,NFE2L2,Orm1 (includes others),PDK4,Saa3,SGK1,SLC20A1,TM4SF4,TP53,XBP1	62 (2)
STAT1	 	transcription regulator	 	1.990	4.33E-06	3.56E-04	ACOD1,CDK2,CDKN1A,CEACAM1,Chil3/Chil4,Cxcl11,EGR1,GBP3,ICAM1,IFI16,IL1B,ISG15,LCN2,OASL,PDGFA,PSMB9,RTP4,SMAGP,SOCS3,SREBF1,STAT2,STAT3,TNF,TNFSF10,TP53,ZBP1	168 (14)
TP53	0.705	transcription regulator	 	-0.739	4.67E-06	3.72E-04	ACSS2,ADGRE5,ATXN1,BMP1,BOK,BTG1,BTG2,CARHSP1,CCN2,CCNG2,CDKN1A,CEBPA,CELSR1,Chil3/Chil4,CHMP4C,CISD1,Crip2,CSF1,CSNK1D,DDIT4,DHFR,DHRS9,DNAJC11,DNAJC12,DUSP1,EPHA2,ESR1,ESRRG,FABP5,FASN,FAT1,FOS,FOXO1,GADD45A,GADD45G,GAS6,GATA4,GJA1,Hmgn2 (includes others),ID2,ID3,IER5,IFI16,IFI35,IL1B,INHBA,IRF5,ISG15,KAT2B,KRT18,LIMA1,LPIN1,MAFB,MCAM,MEF2D,MGMT,MRC1,MRPS2,MYH9,MYO1C,MYO1E,NCOR2,NLRP12,NRP1,PDGFA,PLK2,Pmaip1,POLK,PPARGC1A,PRPSAP1,RBL2,RUVBL2,SEC23B,SERPINE1,SESN2,SGK1,SGPL1,SHROOM3,SLC19A2,SREBF1,STAT3,TAP1,TBX3,TGM2,TNF,TNFRSF1A,TNFRSF1B,TNFSF10,TP53,TP53INP1,Tpm4,TSC22D3,UNG,VEGFA,VMP1,WNT5B,XPO1	208 (17)
EIF2AK3	 	kinase	 	-0.978	5.58E-06	4.31E-04	ABCF2,AMY2B,ARFGAP1,ARFGAP3,ARNTL,BTG2,CBX4,CEBPB,COG8,EGR1,ETS2,GADD45A,HERPUD1,MTHFR,NDRG1,NFIL3,PNLIP,RNASEL,TARS1,XBP1,ZFP36	 
IRS2	-1.074	enzyme	 	1.379	8.08E-06	6.06E-04	CEBPA,EGR1,FASN,FOS,G6PC,IGFBP1,PCK1,PPARGC1A,SREBF1,TNF	161 (15)
PF4	 	cytokine	 	0.928	9.32E-06	6.79E-04	CEBPA,DDX58,E2F2,ICAM1,IL1B,INHBA,ISG15,NFE2L2,NFKBIA,Rfx5,STAT2,TNF	 
CEBPA	0.896	transcription regulator	 	-0.131	9.87E-06	6.99E-04	CDKN1A,CEBPA,CEBPD,DHFR,FASN,G6PC,GABPB1,Hamp/Hamp2,HNF1B,IL6R,IRS2,NR1H4,NR1I2,NRP1,PCK1,PPARGC1A,RORA,SAA1,Saa3,SERPINE1,SPNS2,SREBF1,STEAP4	131 (9)
PDE3B	 	enzyme	 	 	1.09E-05	7.49E-04	FASN,G6PC,PPARGC1A,SERPINE1,SOCS3,TNF	67 (7)
EP300	 	transcription regulator	 	-1.067	1.14E-05	7.64E-04	ARHGAP24,ARHGEF3,CLOCK,CXCR4,CYP7A1,DDC,DHRS3,FASN,FNDC3B,FOSL2,FOXO1,FRMD4B,ID2,MME,NDRG1,NPAS2,PCK1,PDK4,PLEKHF1,POLE4,PPARGC1A,RNASEL,Rnf125,RTP4,SOCS3,STOM,TNF,TRIM26,WNT5B,YPEL2	39 (2)
JAK2	 	kinase	Activated	2.611	1.17E-05	7.66E-04	AKT1,CCND1,FOXO1,IL1B,ODC1,PLK2,Saa3,SOCS3,STAT3,TGM2,THPO,TNF	114 (10)
VDR	 	transcription regulator	 	-0.587	1.21E-05	7.73E-04	AKT1,ARHGEF3,CCND1,CEBPB,CISH,CSF1,EGR1,ELOVL3,F3,GADD45A,GADD45G,Hmgn2 (includes others),ICAM1,ISG15,NPHS1,ODC1,PPP1CA,RAPGEF1,RNF144A,SOCS3,SREBF1,TLR2,TMEM100,VEGFA,WSB1,ZYX	69 (3)
NR1I3	 	ligand-dependent nuclear receptor	 	-0.375	1.36E-05	8.35E-04	APCS,CDKN1A,Cyp2b13/Cyp2b9,CYP2B6,CYP7A1,FASN,G6PC,ICAM1,INSIG2,LRG1,PCK1,SLC29A1,SREBF1,STEAP4,Sult1d1,TNFAIP2,TNFRSF1A	 
RORA	-0.701	ligand-dependent nuclear receptor	 	-0.629	1.38E-05	8.35E-04	AKR1D1,AQP8,ARNTL,CISH,Cyp2b13/Cyp2b9,CYP2B6,DDC,ELOVL3,G6PC,HPGD,IGFBP1,IL1B,LCN2,LPIN2,LRTM1,NFKBIA,PCK1,RORA,Saa3,SLC15A4,SLC41A2,Sult1d1,TNF	105 (6)
Mt2	 	other	 	-1.890	1.46E-05	8.68E-04	CCND1,CEBPA,ETS2,FOS,Hamp/Hamp2,IL1B,SERPINE1,TNF	125 (10)
PPARG	 	ligand-dependent nuclear receptor	 	-0.311	1.55E-05	8.99E-04	ACOD1,ANGPTL4,ARL4D,BACE1,CAVIN2,CDK2,CEBPA,CTPS1,CYP4B1,DHRS3,ELOVL3,FABP5,FASN,G6PC,HCAR2,HES1,HP,HSD3B7,ICAM1,IL1B,IRAK4,MKNK2,MRC1,NDRG1,NFE2L2,PCK1,PDK4,PLIN4,PPARGC1A,RAPGEF1,SAA1,SERPINE1,SGK1,SREBF1,TBCC,TNF,TNFSF10,TSC22D3,VCAM1	154 (13)
CASR	 	G-protein coupled receptor	 	-0.688	1.96E-05	1.11E-03	ARHGEF3,CCND1,CISH,CSF1,EGR1,GADD45A,GADD45G,Hmgn2 (includes others),ISG15,ODC1,PPP1CA,RAPGEF1,RNF144A,SOCS3,TLR2,TMEM100,VEGFA,WSB1,ZYX	 
IL4	 	cytokine	 	0.918	2.43E-05	1.34E-03	ABHD17C,ACOD1,ACTG1,ADCY1,BCL3,BHLHE40,CCNE1,CD163,Cd24a,Chil3/Chil4,CISH,CSF1,Ctla2a/Ctla2b,DDIT4,DNAJC12,EVI5,FASN,FGB,FOS,GADD45G,GBP3,GPLD1,HP,ICAM1,IL1B,ISG15,LGALSL,MAFB,MARCO,MFSD2A,MRC1,MYH9,NAB2,NDRG1,NFIL3,NFKBIA,ODC1,PIM1,PPARGC1A,SAA1,Saa3,SH3BP2,SLC29A1,SLC66A2,SOCS3,SRM,Srrm2,ST3GAL3,STAT2,TGM2,TNF,TP53,VCAM1,XBP1,Zfp53	173 (13)
MRTFA	 	transcription regulator	 	0.082	2.52E-05	1.34E-03	ACTG1,CAVIN2,CCN2,CXCR4,EGR1,ELOVL3,GADD45A,ICAM1,LCN2,LILRB4,MYH9,PRTN3,Saa3,SCARB1,SERPINE1,SLC20A1,TBXAS1,Tpm4,VCAM1	 
JAK1	 	kinase	Activated	2.178	2.53E-05	1.34E-03	BCL3,CDKN1A,FOS,IL1B,LRG1,Orm1 (includes others),SAA1,SOCS3,STAT3	138 (8)
HIF1A	 	transcription regulator	 	0.443	2.59E-05	1.34E-03	AKT1,BACE1,CAVIN2,CCN2,CCND1,CDKN1A,CSF1,CXCR4,DDIT4,GJA1,Hamp/Hamp2,ICAM1,IL1B,NDRG1,NFKBIA,PDGFA,SERPINE1,SLC29A1,SOCS3,TLR2,TNF,TNFAIP2,VEGFA	148 (15)
TOPBP1	 	other	 	-0.585	2.62E-05	1.34E-03	CDKN1A,COQ8A,GADD45A,HIC1,Pmaip1	 
Jnk	 	group	 	1.765	3.09E-05	1.54E-03	CCND1,CCNE1,DUSP1,EGR1,FOS,GJA1,IL1B,JUND,MRC1,SOCS3,TGM2,TNF,TP53	196 (18)
KITLG	 	growth factor	 	-0.130	3.38E-05	1.66E-03	CEBPA,CSF1,EGR1,FOS,GJA1,IL1B,PIM1,PRTN3,TNF	234 (19)
MAPK8	 	kinase	 	0.086	3.47E-05	1.67E-03	AKT1,CCND1,CDK2,CDKN1A,CEBPB,DUSP1,EGR1,FOS,FOSL2,GADD45A,IL1B,JUND,SESN2,TNF,TP53,ZFP36	225 (17)
AHR	 	ligand-dependent nuclear receptor	 	-0.403	3.57E-05	1.69E-03	BTG2,CCNE1,CDK2,CDKN1A,CEBPA,CERS6,CYP2B6,DACT2,DHFR,ESR1,ESRRG,FOS,FZD7,GADD45A,GAS6,GOT1,HES1,HP,IGFBP1,IL1B,INSIG2,NFE2L2,NFYB,PCK1,SAA1,Saa3,SERPINE1,SLC25A51,SOCS3,SREBF1,STAT3,STEAP4,TNF,TP53,VEGFA	221 (19)
RORC	 	ligand-dependent nuclear receptor	 	 	3.92E-05	1.82E-03	AKR1D1,AQP8,ARNTL,CISH,Cyp2b13/Cyp2b9,CYP2B6,DDC,ELOVL3,G6PC,HPGD,IGFBP1,IL1B,LCN2,LPIN2,LRTM1,PCK1,RORA,SLC15A4,SLC41A2,Sult1d1	 
NR3C2	 	ligand-dependent nuclear receptor	 	0.943	4.27E-05	1.92E-03	CCN2,Chil3/Chil4,CXCR4,DDC,IL1B,LCN2,SERPINE1,SGK1,TGM2,TNF,VCAM1	24 (3)
TNF	2.275	cytokine	Activated	2.448	4.28E-05	1.92E-03	APCS,BACE1,CCND1,CEBPA,CEBPB,CEBPD,CSF1,Cxcl11,CXCL13,EGR1,F3,ICAM1,IL1B,ISG15,Kcnn2,KRT18,LCN2,NFKBIA,OCLN,POU2F1,RNF31,RORA,SAA1,Saa3,SERPINE1,SOCS3,STAT3,STEAP4,TLR2,TNF,TNFRSF1A,TNFRSF1B,TP53,TSC22D3,UBE2H,VCAM1	190 (14)
MAPK14	 	kinase	 	-0.612	4.59E-05	2.00E-03	BACE1,CCND1,Cxcl11,DUSP1,FASN,G6PC,IL1B,MAP2K6,PCK1,Pmaip1,PPARGC1A,SREBF1,TGM2,TNF,TP53,ZFP36	200 (16)
PDE3A	 	enzyme	 	1.057	4.63E-05	2.00E-03	CCND1,CDKN1A,DUSP1,TP53	 
NCOA2	 	transcription regulator	 	0.306	4.72E-05	2.01E-03	Cxcl11,CYP7A1,FASN,G6PC,HCAR2,IL1B,IP6K2,ISG15,LPIN1,OASL,P2RY12,PCK1,RAI1,RORA,SREBF1,TMEM100,TNF	151 (10)
LIPE	 	enzyme	 	1.046	6.74E-05	2.79E-03	ARNTL,CEBPA,CEBPB,CLK1,EGR1,ELL,FASN,FOS,GJA1,H3-3A/H3-3B,ID2,NEDD1,PCK1,PER1,SCARB1,SREBF1,ST3GAL5,TNF	101 (8)
PRMT5	 	enzyme	 	0.343	6.79E-05	2.79E-03	CCNE1,CEBPA,CYP7A1,FASN,G6PC,PPARGC1A,SREBF1	23 (3)
MYD88	 	other	Activated	2.829	7.11E-05	2.88E-03	ACOD1,APCS,BCL3,CEBPD,CXCL13,DUSP1,EGR1,ETS2,HP,ICAM1,IL1B,INHBA,ISG15,MARCO,MRC1,MSH3,NFKBIA,OASL,PARP2,SAA1,Saa3,SCARB1,SERPINE1,SLC7A2,SOCS3,TLR2,TNF,VCAM1	158 (16)
EGFR	 	kinase	 	0.917	8.03E-05	3.20E-03	AHCTF1,CCND1,CDK2,CEBPB,Chil3/Chil4,EGR1,EPHA2,F3,GJA1,HNRNPD,IL1B,NUTF2,ODC1,QTRT1,SERPINE1,SLC25A32,TNF,TRMT2A,WEE1	240 (19)
IRS1	 	enzyme	 	1.515	8.48E-05	3.33E-03	CEBPA,CEBPB,CEBPD,EGR1,FASN,FOS,G6PC,GAS2,GAS5,GJA1,IGFBP1,IRS2,LAMA4,NRP1,PCK1,PDGFA,PPARGC1A,SREBF1	151 (14)
CEBPB	-1.045	transcription regulator	Activated	3.325	8.63E-05	3.33E-03	CCNE1,CD163,CDKN1A,CEBPA,CEBPB,CEBPD,CTPS1,DHFR,FOS,GADD45A,HNRNPD,HP,HUS1,IL1B,IRAK3,IRS2,KLF10,LCN2,LMNB1,NFE2L1,NRP1,PCK1,POLE4,PPARGC1A,RCAN1,RORA,SAA1,Saa3,SERPINE1,SLC38A2,TIMELESS,TIPIN,TLR8,TMEM50B,TMPO,TNF,TP53,UNG,WEE1,XPO1,ZYX	141 (11)
CLOCK	-0.648	transcription regulator	 	 	9.21E-05	3.50E-03	ANGPTL4,BHLHE40,CEBPA,DBP,FASN,FOXA3,GADD45A,ICAM1,LPIN1,MID1IP1,MKNK2,NFIL3,NPAS2,PER1,PER2,SLC20A1,SLC30A5,ST3GAL5,TSPAN4,WEE1	 
SOCS1	 	other	 	-0.484	9.49E-05	3.56E-03	ACOD1,CCND1,CDKN1A,Chil3/Chil4,CISH,DDX58,DUSP1,IFI16,IL1B,IRS2,ISG15,SOCS3,TNF,VCAM1	203 (16)
PTGER4	 	G-protein coupled receptor	 	-1.824	1.02E-04	3.76E-03	ARRDC3,CCNG2,Ctla2a/Ctla2b,CXCR4,DDX58,HCAR2,HERPUD1,IFI16,IFI35,IL1B,LHFPL2,MAFB,RNASEL,RTP4,S1PR1,TLR8,TNF,TNFSF10,TP53INP1,YPEL3	94 (7)
BRCA1	 	transcription regulator	 	0.905	1.05E-04	3.84E-03	CCND1,CCNE1,Cd24a,CDKN1A,ESR1,NFE2L2,RUVBL2,TP53	 
CREBBP	 	transcription regulator	 	-0.246	1.09E-04	3.87E-03	ARHGAP24,ARHGEF3,CCND1,CDKN1A,CEBPA,CLOCK,CXCR4,DDC,DHFR,DHRS3,DUSP1,EGR1,FNDC3B,FOS,FOSL2,FRMD4B,JUND,NDRG1,NPAS2,PLEKHF1,PPARGC1A,PSMB9,RNASEL,Rnf125,RTP4,SOCS3,STOM,TNF,TRIM26,WNT5B,YPEL2	79 (4)
NCOA1	 	transcription regulator	 	0.397	1.09E-04	3.87E-03	BTG2,CBX4,CDKN1A,CEBPA,CYP7A1,DBP,EGR1,ERBB3,FOS,GJB2,LPIN1,PCK1,STAG2,THPO	 
SMAD7	 	transcription regulator	 	-0.723	1.23E-04	4.23E-03	CDKN1A,FOXO1,Hamp/Hamp2,ICAM1,ID2,ID3,IL1B,NFKBIA,TNF	107 (10)
GNAQ	 	enzyme	 	0.213	1.23E-04	4.23E-03	ACTA1,CCN2,FOS,Rnf125,SERPINE1,SOCS3,TGM1,TUBA1C,VCAM1	64 (6)
LDLR	 	transporter	 	-1.340	1.29E-04	4.39E-03	CCND1,CDKN1A,CEBPA,CYP7A1,DHRS9,DUSP1,EGR1,FABP5,FASN,G6PC,GADD45G,GAS6,GJA1,ICAM1,IL1B,LCN2,MID1IP1,PPARGC1A,PSMB9,RGS1,SCARB1,SREBF1,TAP1,TNF,VCAM1,ZBP1	216 (16)
Mt1	 	other	 	-1.633	1.35E-04	4.54E-03	CCND1,CEBPA,ETS2,FOS,IL1B,SERPINE1,TNF	125 (10)
FKBP4	 	enzyme	 	-1.412	1.48E-04	4.81E-03	CEACAM1,FASN,G6PC,PDK4,SREBF1,TNF	 
CYP1A2	 	enzyme	 	1.265	1.51E-04	4.81E-03	CCND1,CYP2B6,ETHE1,MARCO,MID1,PWP1,RGS16,SHANK2,ST3GAL4,WEE1	 
LGALS3	 	other	 	-0.387	1.51E-04	4.81E-03	CEBPA,CEBPB,Chil3/Chil4,FASN,ICAM1,LMNB1,PPARGC1A,SAA1,SOCS3,TNF	154 (15)
CYP1B1	 	enzyme	 	1.265	1.51E-04	4.81E-03	CCND1,CYP2B6,ETHE1,MARCO,MID1,PWP1,RGS16,SHANK2,ST3GAL4,WEE1	 
ATF3	 	transcription regulator	 	-1.669	1.54E-04	4.85E-03	BHLHA15,CCND1,CCNE1,CDKN1A,G6PC,ICAM1,TLR2,TNF,TP53	196 (16)
OLA1	 	enzyme	 	 	1.74E-04	5.37E-03	CCND1,CCNE1,CDKN1A	 
IRF3	 	transcription regulator	Activated	2.678	1.75E-04	5.37E-03	ADAR,Cxcl11,DDX58,Hamp/Hamp2,ICAM1,IFI16,IL1B,ISG15,LCN2,OASL,Pmaip1,STAT2,TAP1,TNF,TNFSF10,VCAM1,ZBP1	173 (13)
SMARCB1	 	transcription regulator	 	-1.414	1.81E-04	5.51E-03	BTG1,CA8,CCND1,CCNE1,CDKN1A,CEACAM1,ETS2,G6PC,GJB2,HES1,HP,PCK1,TP53	 
NR2F2	 	ligand-dependent nuclear receptor	 	 	1.88E-04	5.56E-03	HNF1B,NR1H4,NR1I2,PPARGC1A,PROX1	 
Ncoa6	 	transcription regulator	 	 	1.88E-04	5.56E-03	CYP7A1,FASN,FOS,SERPINE1,SREBF1	87 (5)
IFN Beta	 	group	 	-1.526	1.95E-04	5.67E-03	CEBPD,DDX58,GAS5,GAS6,IFI16,ISG15,OASL,SERPINE1,STAT2,TLR5,TNF	 
TLR3	 	transmembrane receptor	Activated	2.069	1.96E-04	5.67E-03	ACOD1,CTH,Cxcl11,DUSP1,GBP3,Hamp/Hamp2,ICAM1,IFI16,IL1B,ISG15,LCN2,LILRB4,OASL,PLK2,RGS1,Saa3,SERPINE1,SOCS3,TNF,TNFRSF1A,TNFRSF1B	220 (13)
MRTFB	 	transcription regulator	 	-0.194	2.06E-04	5.91E-03	ACTG1,CAVIN2,CCN2,CXCR4,EGR1,GADD45A,LCN2,LILRB4,MYH9,PRTN3,Saa3,SCARB1,SERPINE1,SLC20A1,TBXAS1,Tpm4	 
