© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Sirtuin Signaling Pathway	7.67E-01	7.43E-03	NaN	GADD45G,PFKFB3	
Growth Hormone Signaling	7.64E-01	1.47E-02	NaN	SOCS3	
Role of JAK1 and JAK3 in γc Cytokine Signaling	7.64E-01	1.47E-02	NaN	SOCS3	
G-Protein Coupled Receptor Signaling	7.62E-01	7.38E-03	NaN	APLNR,NFKBIA	
Glucocorticoid Receptor Signaling	7.59E-01	5.77E-03	NaN	FGG,NFKBIA,NRIP1	
GM-CSF Signaling	7.52E-01	1.43E-02	NaN	CISH	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	7.47E-01	1.41E-02	NaN	NFKBIA	
Leptin Signaling in Obesity	7.38E-01	1.37E-02	NaN	SOCS3	
Toll-like Receptor Signaling	7.3E-01	1.35E-02	NaN	NFKBIA	
Hypoxia Signaling in the Cardiovascular System	7.3E-01	1.35E-02	NaN	NFKBIA	
Angiopoietin Signaling	7.21E-01	1.32E-02	NaN	NFKBIA	
BEX2 Signaling Pathway	7.21E-01	1.32E-02	NaN	NFKBIA	
NF-κB Activation by Viruses	7.1E-01	1.28E-02	NaN	NFKBIA	
Xenobiotic Metabolism AHR Signaling Pathway	7.06E-01	1.27E-02	NaN	NRIP1	
Apelin Adipocyte Signaling Pathway	6.97E-01	1.23E-02	NaN	APLNR	
LPS-stimulated MAPK Signaling	6.86E-01	1.2E-02	NaN	NFKBIA	
PEDF Signaling	6.86E-01	1.2E-02	NaN	NFKBIA	
Type I Diabetes Mellitus Signaling	6.8E-01	6.51E-03	NaN	NFKBIA,SOCS3	
Prolactin Signaling	6.78E-01	1.18E-02	NaN	SOCS3	
RANK Signaling in Osteoclasts	6.6E-01	1.12E-02	NaN	NFKBIA	
IL-1 Signaling	6.48E-01	1.09E-02	NaN	NFKBIA	
Death Receptor Signaling	6.38E-01	1.06E-02	NaN	NFKBIA	
Small Cell Lung Cancer Signaling	6.35E-01	1.05E-02	NaN	NFKBIA	
Apelin Cardiomyocyte Signaling Pathway	6.27E-01	1.03E-02	NaN	APLNR	
IGF-1 Signaling	6.07E-01	9.8E-03	NaN	SOCS3	
Apoptosis Signaling	6.04E-01	9.71E-03	NaN	NFKBIA	
MSP-RON Signaling In Macrophages Pathway	6E-01	9.62E-03	NaN	SOCS3	
Antioxidant Action of Vitamin C	5.97E-01	9.52E-03	NaN	NFKBIA	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.9E-01	9.35E-03	NaN	SERPINA3	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	5.9E-01	9.35E-03	NaN	NFKBIA	
Th1 Pathway	5.83E-01	9.17E-03	NaN	SOCS3	
Prostate Cancer Signaling	5.77E-01	9.01E-03	NaN	NFKBIA	
Role of Tissue Factor in Cancer	5.73E-01	8.93E-03	NaN	FGG	
Neuregulin Signaling	5.59E-01	8.62E-03	NaN	ERRFI1	
FAK Signaling	5.59E-01	8.62E-03	NaN	ARHGAP26	
RhoA Signaling	5.5E-01	8.4E-03	NaN	RND3	
Tec Kinase Signaling	5.42E-01	5.21E-03	NaN	RHOB,RND3	
Th2 Pathway	5.41E-01	8.2E-03	NaN	SOCS3	
Role of PKR in Interferon Induction and Antiviral Response	5.38E-01	8.13E-03	NaN	NFKBIA	
Ferroptosis Signaling Pathway	5.38E-01	8.13E-03	NaN	ANGPTL4	
GP6 Signaling Pathway	5.35E-01	8.06E-03	NaN	FGG	
fMLP Signaling in Neutrophils	5.24E-01	7.81E-03	NaN	NFKBIA	
Gα12/13 Signaling	5.19E-01	7.69E-03	NaN	NFKBIA	
MSP-RON Signaling In Cancer Cells Pathway	5.07E-01	7.46E-03	NaN	NFKBIA	
Gαi Signaling	5.02E-01	7.35E-03	NaN	APLNR	
Insulin Receptor Signaling	4.96E-01	7.25E-03	NaN	SOCS3	
Hereditary Breast Cancer Signaling	4.93E-01	7.19E-03	NaN	GADD45G	
PI3K Signaling in B Lymphocytes	4.89E-01	7.09E-03	NaN	NFKBIA	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	4.88E-01	4.75E-03	NaN	RHOB,RND3	
Relaxin Signaling	4.7E-01	6.71E-03	NaN	NFKBIA	
Inhibition of ARE-Mediated mRNA Degradation Pathway	4.6E-01	6.54E-03	NaN	ZFP36	
Th1 and Th2 Activation Pathway	4.56E-01	6.45E-03	NaN	SOCS3	
HOTAIR Regulatory Pathway	4.51E-01	6.37E-03	NaN	NFKBIA	
Aldosterone Signaling in Epithelial Cells	4.47E-01	6.29E-03	NaN	DNAJB13	
Phospholipase C Signaling	4.34E-01	4.32E-03	NaN	RHOB,RND3	
Erythropoietin Signaling Pathway	4.32E-01	6.02E-03	NaN	NFKBIA	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	4.29E-01	5.99E-03	NaN	SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	4.29E-01	5.99E-03	NaN	SOCS3	
B Cell Receptor Signaling	4.08E-01	5.62E-03	NaN	NFKBIA	
3-phosphoinositide Degradation	4.07E-01	5.59E-03	NaN	SOCS3	
D-myo-inositol-5-phosphate Metabolism	3.99E-01	5.46E-03	NaN	SOCS3	
Coronavirus Pathogenesis Pathway	3.95E-01	5.41E-03	NaN	NFKBIA	
HER-2 Signaling in Breast Cancer	3.89E-01	5.32E-03	NaN	NFKBIA	
RAR Activation	3.85E-01	5.24E-03	NaN	NRIP1	
3-phosphoinositide Biosynthesis	3.81E-01	5.18E-03	NaN	SOCS3	
PI3K/AKT Signaling	3.75E-01	5.08E-03	NaN	NFKBIA	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.43E-01	4.61E-03	NaN	NFKBIA	
cAMP-mediated signaling	3.4E-01	4.57E-03	NaN	APLNR	
Superpathway of Inositol Phosphate Compounds	3.36E-01	4.5E-03	NaN	SOCS3	
Osteoarthritis Pathway	3.32E-01	4.44E-03	NaN	DDIT4	
LPS/IL-1 Mediated Inhibition of RXR Function	3.28E-01	4.39E-03	NaN	CYP3A5	
AMPK Signaling	3.14E-01	4.2E-03	NaN	PFKFB3	
Insulin Secretion Signaling Pathway	2.89E-01	3.86E-03	NaN	KLF11	
Protein Ubiquitination Pathway	2.83E-01	3.79E-03	NaN	DNAJB13	
Opioid Signaling Pathway	2.81E-01	3.76E-03	NaN	NFKBIA	
OX40 Signaling Pathway	2.78E-01	3.73E-03	NaN	NFKBIA	
Th17 Activation Pathway	2.71E-01	3.64E-03	NaN	SOCS3	
Senescence Pathway	2.63E-01	3.53E-03	NaN	GADD45G	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.51E-01	3.39E-03	NaN	NFKBIA	
iCOS-iCOSL Signaling in T Helper Cells	2.4E-01	3.26E-03	NaN	NFKBIA	
CD28 Signaling in T Helper Cells	2.32E-01	3.16E-03	NaN	NFKBIA	
PKCθ Signaling in T Lymphocytes	1.99E-01	2.79E-03	NaN	NFKBIA	
Axonal Guidance Signaling	-0E00	2.05E-03	NaN	ADAMTS1	
Role of NFAT in Regulation of the Immune Response	-0E00	2.6E-03	NaN	NFKBIA	
Dendritic Cell Maturation	-0E00	2.72E-03	NaN	NFKBIA	
CREB Signaling in Neurons	-0E00	1.73E-03	NaN	APLNR	
Protein Kinase A Signaling	-0E00	2.65E-03	NaN	NFKBIA	
Breast Cancer Regulation by Stathmin1	-0E00	1.77E-03	NaN	APLNR	
Estrogen Receptor Signaling	-0E00	2.53E-03	NaN	NRIP1	
NF-κB Signaling	-0E00	2.66E-03	NaN	NFKBIA	
T Cell Receptor Signaling	-0E00	2.49E-03	NaN	NFKBIA	
