© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
RPTOR	 	other	Inhibited	-2.495	1.52E-10	2.70E-08	ACADL,ACADM,BCL3,CDK2,CYP51A1,DHCR7,ENO1,FDFT1,FDPS,G6PC,HMGCS1,IDI1,Ifi47,IL13RA1,IL17RB,IL1B,IL22RA1,JAK2,LBR,LDHA,LSS,MSMO1,MVK,MYC,NLRP3,NSDHL,PMVK,PPP1R3B,SC5D,SOCS3,SREBF1,TNF	81 (4)
CFTR	 	ion channel	 	0.900	3.37E-10	5.57E-08	ACAA1,Acaa1b,AQP1,Cyp2c40 (includes others),Cyp2d9 (includes others),Cyp3a25 (includes others),CYP4A11,DMBT1,EPHX2,FABP2,FDFT1,FDPS,HPGD,HSD17B11,HSD17B2,HSD17B4,IDI1,IL1B,NFKBIZ,POR,S100A8,SOCS3,Tmsb4x (includes others),TNF	112 (7)
PPARG	 	ligand-dependent nuclear receptor	 	0.207	6.62E-10	1.03E-07	ABCA3,ACAA1,Acaa1b,ACADL,ACADM,ANGPTL4,ARL4D,CAVIN2,CDK2,CIDEC,CRAT,CXCL2,CXCL3,CYP26A1,CYP4A11,Cyp4a14,CYP4B1,DGAT1,DHRS3,EHHADH,FDPS,G6PC,GSTA3,HCAR2,HES1,HSD3B7,IDH1,IL1B,KLF6,LAMB3,LHPP,MANBA,MGLL,MOGAT1,MYH14,NDRG1,NR2F2,NR4A1,PC,PEPD,PEX11A,PLIN5,PMVK,PTPRF,PYGL,RBP4,RGL1,S100A8,SERPINE1,SREBF1,TBCC,TKT,TNF,TNFSF10,TRIB3,TUBB,VNN1,YWHAG	245 (12)
LEP	 	growth factor	 	0.848	1.02E-09	1.42E-07	ABCB11,ACADL,ACADM,ACLY,ACSL3,ANGPTL4,APOA4,ASAH1,ASL,ATP2A2,CCL3L3,CDKN1A,CEL,CPT1A,CYP17A1,CYP2C18,Cyp2c54 (includes others),Cyp2c70,CYP2C8,Cyp2d9 (includes others),CYP4A11,Cyp4a14,CYP7A1,DGAT1,ECH1,EHHADH,ELOVL5,EPHX2,FGFR2,G6PC,GCLC,GSTA3,Gstm3,IDH1,IGFBP2,IL1B,LBR,LEPR,LIPC,MSMO1,NPR1,OPLAH,SC5D,SERPINE1,SLC27A1,SOCS3,SREBF1,TNF	190 (15)
CREB1	 	transcription regulator	Activated	3.326	1.03E-09	1.42E-07	APOLD1,ATF3,BHLHE40,CIART,CSRNP1,CYP51A1,GADD45B,HMGCS1,HSPA4,IDI1,JUNB,KLF4,LSS,MIDN,MSMO1,MVK,MYC,NAB2,NFKBID,NR4A1,POLE4,SERTAD1,SIAH2,Sik1,SREBF1	27 (2)
AHR	 	ligand-dependent nuclear receptor	 	0.393	1.43E-09	1.87E-07	1810008I18Rik,Adh6-ps1,ARG2,B4GALT5,CD14,CDK2,CDKN1A,CELA1,COL27A1,COL3A1,CYP17A1,CYP1A1,CYP1A2,CYP2C8,DACT2,DCLK3,DHFR,ENHO,ENO1,ENPEP,FBLN2,FGFR2,FMO2,FZD7,GADD45A,GOT1,GSTA5,GSTM5,HES1,Hsd3b4 (includes others),IDO2,IGFBP1,IL1B,JUNB,LDHA,NID2,NRG4,NXPE2,PLA2G12A,PLXNA2,RDH16,RNGTT,SDR9C7,SERPINA12,SERPINE1,SLC16A10,SLC16A5,SLC1A4,SLC22A7,SOCS3,SREBF1,TNF,TUBA8	337 (13)
INSR	 	kinase	 	1.421	4.87E-09	6.05E-07	ACADL,ACADM,ACO2,ACOT2,AQP1,ARRDC3,ATF3,ATP1B1,ATP2A2,ATP2A3,CD83,CDKN1A,CEPT1,Ces1f,CPT1A,CRAT,CYCS,CYP51A1,DECR1,DGAT1,DHCR7,ECI1,ETFB,FDFT1,FDPS,FH,HADHA,HADHB,HMGCS1,HPGD,HSD17B10,HSD17B4,HSPD1,IDH3A,IDI1,Iigp1,IL1B,INSIG1,KLF10,LEPR,LSS,MDH2,MED1,MFN2,MSMO1,MVK,NR4A1,NSDHL,OGDH,PNPLA2,SC5D,SERPINE1,SGMS2,SLC25A3,SOCS3,SREBF1,THAP12,TNF	148 (5)
ZMPSTE24	 	peptidase	 	-1.500	5.83E-09	6.83E-07	ATF3,CDKN1A,CISH,CTSV,CXCL2,CXCL3,DDIT4,FMO2,GADD45A,GADD45B,GHR,IGFBP1,JAK2,RGS16,SOCS3,STAT5B,TNF	37 (3)
Gcg	 	other	 	0.688	6.05E-09	6.83E-07	APOA4,AS3MT,ASL,ATP1B1,CTH,CTSC,CYP17A1,CYP2C8,Cyp2g1,GAS2,GSTA5,GSTM1,LHPP,MAT1A,NCALD,PEX11A,SLC3A1,Slco1a1,TFRC	 
DUSP1	-0.898	phosphatase	 	-1.579	3.97E-08	4.29E-06	CCL3L3,CIDEC,CXCL2,CXCL3,DUSP1,IER3,IL1A,IL1B,MEFV,MGLL,PEX11A,RETSAT,SERPINA12,SERPINE1,SYNPO,TNF,VNN1,ZFP36	260 (14)
SGPP2	 	phosphatase	Inhibited	-2.309	4.21E-08	4.36E-06	DNAJA1,DNAJC17,HSP90AA1,Hspa1b,HSPA4,HSPA4L,HSPA8,HSPB8,HSPH1,IL1B,TNF,XBP1	 
BCL6	 	transcription regulator	 	0.185	8.63E-08	7.84E-06	Acaa1b,ACAT2,BACH2,BCL3,BMP2,CASP3,CCL3L3,CXCL3,DECR1,DPYSL2,EHHADH,GOLM1,GSTM5,HADHA,HADHB,IL13RA1,IL18,IL1A,IL1B,IRF1,JUNB,LBH,Ly6a (includes others),PDCD4,Pmaip1,RWDD3,SH2D4A,SLC25A17,SLC39A8,TNF,UBA7	278 (15)
CREM	 	transcription regulator	Activated	2.167	8.64E-08	7.84E-06	APOLD1,ATF3,BHLHE40,CIART,COL3A1,CSRNP1,CYP51A1,GADD45B,HMGCS1,HSPA4,IDI1,JUNB,LSS,MIDN,MSMO1,MVK,NAB2,NFKBID,NR4A1,SERTAD1,SIAH2,Sik1,TNF	 
TLR3	 	transmembrane receptor	Activated	3.040	8.83E-08	7.84E-06	ADAMTS4,Apol7e (includes others),ARG2,ATF3,BCAR3,CCL3L3,CTH,Cxcl11,CXCL2,CXCL3,DUSP1,GADD45B,GBP3,HMOX1,HNRNPU,IER3,Iigp1,IL1A,IL1B,IRF1,JUNB,Klrk1,LILRB4,NFKBIZ,NR4A1,PHLDA1,PLK2,S100A8,SERPINE1,SOCS3,TNF,TSPAN33	288 (15)
STAT1	 	transcription regulator	 	-0.793	8.84E-08	7.84E-06	AXL,CASP3,CCL3L3,CCRL2,CDK2,CDKN1A,CIITA,Cxcl11,CXCL3,CYP1A2,CYP2C8,Cyp2d9 (includes others),CYP4A11,GBP3,GBP6,Ifi47,Iigp1,IL18,IL1B,IRF1,Klrk1,Ly6a (includes others),Mx2,MYC,PDGFC,PSMB10,SAMHD1,SMAGP,SOCS3,SORT1,SREBF1,TNF,TNFSF10,TP53BP2	223 (14)
HNF4A	0.689	transcription regulator	 	-1.515	9.61E-08	8.23E-06	1810053B23Rik,ABCB11,Acot1,ACSS2,AQP1,AQP8,ATP7A,CDKN1A,Ces2e,CIDEC,CLDN1,CPT1A,CYP1A1,CYP7A1,CYP8B1,DSC2,FABP2,FMO2,FOXA2,FZD6,G6PC,GADD45B,GALM,GJB2,GSTA5,HNF4A,Hsd3b4 (includes others),HSPA8,LDHA,LEPR,LIPC,MBL2,MLXIPL,MPZL2,MYC,NPNT,OCLN,POR,PROM1,RNF152,SH3PXD2A,Slco1a1,SRSF3,SYNPO,TFRC,Timd2,TOX,TRIM5,XBP1,ZFP36	 
NR1I3	 	ligand-dependent nuclear receptor	 	-1.760	1.33E-07	1.10E-05	Aldh1a7,CCN4,CDKN1A,Ces2a,CYP1A2,CYP2C8,CYP7A1,CYP8B1,G6PC,GADD45B,Gsta4,GSTA5,GSTM1,Gstm3,GSTM5,Gstt1,HNF4A,INSIG1,MYC,POR,SREBF1,UGT2B17,UGT2B28	 
MAPK9	 	kinase	 	-0.044	1.54E-07	1.24E-05	ABCB11,ABCB4,ABCG5,ABCG8,CDKN1A,Cxcl11,CYP1A1,CYP8B1,GADD45A,GSTM1,HMGCS1,IGFBP2,Iigp1,IL18,IL1B,JUNB,KLF6,MYC,NCL,PLA1A,PTCH1,TNF,TNFAIP3,ZFP36,ZYX	319 (17)
CLOCK	 	transcription regulator	 	 	1.80E-07	1.40E-05	ABCB10,ANGPTL4,BHLHE40,CA1,CYP26A1,CYP51A1,F2R,FKBP5,FOXA3,GADD45A,GADD45B,GYS2,HES6,HLA-DQB1,Hspa1b,HSPH1,ID1,JMJD6,JUNB,PER2,PIGA,POR,PPIF,PRELID3B,RSL1D1,SLC20A1,TOR1B,USP2,WEE1	 
IFNG	 	cytokine	 	-0.332	2.28E-07	1.71E-05	Acot1,AQP1,ARG2,ATP1B1,BCL3,BRIP1,BTG1,Casp12,CASP3,CCL3L3,Ccl9,CCRL2,CD14,CD74,CDKN1A,CHST7,CIITA,CTSV,Cxcl11,CXCL2,CXCL3,DAPK1,DIABLO,DUSP1,F2R,FAM107A,GBP3,GBP6,GJB2,GNA14,GPR12,HCAR2,HLA-DQA1,HLA-DQB1,HSPA1A/HSPA1B,IDO2,Ifi47,Iigp1,IL18,IL1A,IL1B,IRF1,IRF5,JAK2,Klrk1,Ly6a (includes others),LY6E,MAP3K8,MED1,Mx2,MYC,NCALD,NFKBIZ,NLRP3,PHLDA1,PIM1,PML,PRKCD,PSMB10,RGN,SAMHD1,SEMA4A,SLC28A2,SLC6A6,SMAGP,SOCS3,SORT1,SREBF1,TNF,TNFSF10,ZBTB16	217 (16)
LGR4	 	transmembrane receptor	 	-1.262	2.73E-07	1.99E-05	CD14,CYP1A2,Gulo,HSD17B13,IL1A,IL1B,LECT2,LHPP,MYC,PLBD1,RDH16,SLC13A3,SLC16A10,TNF	27 (3)
MAPK8	 	kinase	 	-0.335	3.09E-07	2.19E-05	ABCB11,ABCB4,ABCG5,ABCG8,CDK2,CDKN1A,CYP1A1,CYP8B1,DGAT1,DUSP1,GADD45A,GSTM1,HMGCS1,HMOX1,IL1B,KLF6,MYC,PTCH1,SESN2,TNF,TNFAIP3,ZFP36	318 (16)
NR1I2	 	ligand-dependent nuclear receptor	Inhibited	-2.606	5.76E-07	3.98E-05	Aldh1a7,APOA4,CCL3L3,Ces2a,CPT1A,Cyb5r3,CYP1A1,CYP7A1,DHCR7,GSTA5,GSTM1,Gstm3,GSTM5,Gstm6,HNF4A,INSIG1,POR,SREBF1,TNF,TNFRSF14	 
GNB2	 	enzyme	 	 	6.74E-07	4.13E-05	CCL3L3,CD83,CDKN1A,CXCL3,DGAT1,DUSP1,FBXO31,IER3,IL1B,MAFB,NR4A1,PLK2,THBD	 
TXNRD1	 	enzyme	Activated	2.359	6.74E-07	4.13E-05	AOX1,Ces1g,GCLC,GSTA3,Gsta4,GSTA5,GSTM1,Gstm3,GSTM5,HMOX1,PTGR1,SRXN1,TKT	 
GSR	 	enzyme	Activated	2.514	6.74E-07	4.13E-05	AOX1,Ces1g,GCLC,GSTA3,Gsta4,GSTA5,GSTM1,Gstm3,GSTM5,HMOX1,PTGR1,SRXN1,TKT	 
GNB1	 	enzyme	 	 	6.74E-07	4.13E-05	CCL3L3,CD83,CDKN1A,CXCL3,DGAT1,DUSP1,FBXO31,IER3,IL1B,MAFB,NR4A1,PLK2,THBD	 
PEX5L	 	ion channel	Activated	2.804	6.82E-07	4.13E-05	CYP7A1,DHCR7,FDFT1,FDPS,IDI1,LSS,MVK,PMVK	 
MFSD2A	 	transporter	Activated	2.355	1.10E-06	6.37E-05	CYP51A1,DHCR7,FADS2,FDFT1,Gstm6,IDH1,IDI1,INSIG1,LSS,SREBF1	 
STAT5B	-0.541	transcription regulator	Inhibited	-2.431	1.11E-06	6.37E-05	Acot1,Adh6-ps1,Aox3,ATM,BMF,CASP3,CCL3L3,CDKN1A,CISH,CYP17A1,CYP26B1,CYP2C8,Cyp2d9 (includes others),CYP4A11,DAPK1,Eci3,FMO2,GADD45A,GADD45B,Gsta4,Hsd3b4 (includes others),Keg1,KRT19,MDH2,NOL3,NUDT7,PROM1,RFX4,SLC16A5,Slco1a1,TNF,TNFRSF14,TOX,TRAF1,UGT2B28,VNN1,ZFP36	 
HNF1A	 	transcription regulator	 	-1.829	1.13E-06	6.37E-05	ATP7A,BACH2,BCL6B,C8A,C8G,COL27A1,CPB2,CYP7A1,DCT,ELOVL2,ENPEP,FH,FOXA2,FOXA3,GATM,GNG12,HABP2,HAO1,HCAR2,HNF4A,IGFBP1,KYAT3,MAPK15,MLXIPL,ORMDL1,PCSK9,PFKFB2,PKHD1,SEMA4A,Slco1a1,SULT1C2,UGT2B7	76 (2)
NPC1	 	transporter	 	0.896	1.35E-06	7.42E-05	ABCG8,ACKR4,AKR1C4,ALPL,CCL3L3,CD74,CYP51A1,CYP7A1,CYP8B1,HLA-DQB1,HMGCS1,IDI1,KLF4,LSS,MVK,PCSK9,S100A8,SREBF1,TNF,XBP1	76 (6)
ZBTB20	 	transcription regulator	Inhibited	-2.109	1.45E-06	7.84E-05	ACSS2,ADH4,CISH,CYP1A2,Cyp2c54 (includes others),CYP2C8,G6PC,GHR,GSTM5,IGFBP1,IGFBP2,LEPR,SOCS3,TNF,UGT2B17	82 (3)
INSIG1	-1.511	other	Activated	2.084	2.29E-06	1.21E-04	ACLY,ACSS2,CXCL2,CXCL3,CYP51A1,DHCR7,FADS2,FDFT1,FDPS,HLA-DQA1,HMGCS1,IDI1,LSS,MVK,NFKBIZ,PMVK,S100A8,SREBF1,STAT5A,TM7SF2,VNN1	30 (3)
SH3TC2	 	other	Inhibited	-3.317	2.80E-06	1.45E-04	ACLY,CYP51A1,DHCR7,FDPS,HMGCS1,IDI1,LSS,MVK,NSDHL,PMVK,SC5D	 
NFE2L1	 	transcription regulator	 	0.333	2.92E-06	1.48E-04	CYP4A11,Cyp4a14,GCLC,Gstm3,Gstm6,PSMA7,PSMC2,PSMC3,PSMD1,PSMD12	 
IL4	 	cytokine	 	0.120	3.17E-06	1.57E-04	ABCA2,ABHD17C,ACTG1,ADRM1,BCL3,BHLHE40,CCL3L3,CCT3,Cd24a,CD74,CHST7,CIITA,CISH,CITED2,CKB,COL3A1,CRIP1,CXCL3,DDIT4,EBNA1BP2,EMD,ENHO,EPOP,Fam25c,FKBP5,FLNA,FLNB,GADD45B,GATM,GBP3,GCAT,GSTT2/GSTT2B,HLA-DMA,IER3,IL1B,IPO4,IRF1,KLF6,Klrk1,KRT19,LDHA,Ly6a (includes others),MAFB,MVK,MYC,NAB2,NDRG1,NFKBID,NFKBIZ,ODC1,PIM1,PRKCD,PRNP,REEP6,Retnlg,RPUSD3,S100A8,SEC31A,SEMA4A,SLC66A2,SOCS3,SRM,Srrm1,Srrm2,TFRC,TMEM131,TNF,UGGT1,USP2,XBP1	249 (15)
STAT6	 	transcription regulator	 	-0.962	3.57E-06	1.74E-04	Acot1,AHCYL1,BCL3,Bst2,CCL3L3,Cd24a,CEL,CIDEC,CISH,COL3A1,CPT1A,CRIP1,CXCL2,CXCL3,CYP4A11,Cyp4a14,EHHADH,EPHA2,GADD45B,GATM,GBP3,GBP6,HLA-DMA,HNRNPH3,Iigp1,IL1B,IRF1,KIDINS220,LILRB4,Ly6a (includes others),MVK,PDGFC,PLBD1,PMS1,PNPLA2,PPP3CC,PRNP,PROS1,RNPEP,SELENBP1,ST6GAL1,STAT5A,STAT5B,TMED8,TMEM131,TNF,USP2,XBP1	216 (13)
IL10RA	 	transmembrane receptor	Inhibited	-2.585	3.67E-06	1.75E-04	AADAC,ACSS2,Akr1c14,ARG2,B4GALNT3,BMP2,BNIP3,Cd24a,CELA1,Ces1f,Ces1g,CTH,CYP2C18,Cyp2c40 (includes others),DDIT4,EHF,FADS3,FOLR2,GBP6,GHR,GSAP,Gsta4,GSTM1,GSTM2,Gstm3,GSTM5,Gstm6,HCAR2,HPGD,HSPA8,Ifi47,Iigp1,IL1A,IL1B,IRF1,Klrk1,Ly6a (includes others),NXPE2,OCLN,PYGL,SAMHD1,SELENBP1,SULT1C2,TNFRSF14	 
FECH	 	enzyme	 	 	4.13E-06	1.94E-04	APOA4,COL3A1,CYP1A2,CYP2C8,Cyp2d9 (includes others),Cyp3a25 (includes others),CYP4A11,CYP51A1,CYP7A1,HMOX1,Slco1a1	 
LGR5	 	transmembrane receptor	 	-0.333	4.28E-06	1.97E-04	CYP1A2,Gulo,HSD17B13,LECT2,LHPP,PLBD1,RDH16,SLC13A3,SLC16A10	 
NR5A2	 	ligand-dependent nuclear receptor	 	-0.753	4.59E-06	2.07E-04	ABCB11,ABCB4,ABCG5,ABCG8,CEL,CELA1,CYP7A1,CYP8B1,FOXA2,GATM,GOT1,GPT2,Hspa1b,IGFBP1,IL1B,JUNB,PNLIP,POLE4,TNF	 
CISH	2.123	other	Inhibited	-2.183	4.82E-06	2.14E-04	BACH2,CCL3L3,CCRL2,CD14,CXCL3,FBXO31,HCAR2,HMOX1,ID3,IL1A,IL1B,MYC,MYCN,NAB2,PLAUR,Retnlg,TNF	180 (8)
NR0B2	 	ligand-dependent nuclear receptor	 	-1.113	6.69E-06	2.89E-04	ABCB11,ACADM,CIDEC,CPT1A,CYP2C8,CYP7A1,CYP8B1,G6PC,GSTA5,GSTM1,Gstm3,GSTM5,HNF4A,IL1B,MAP3K8,NFKBID,SREBF1,TNF,TNFAIP3	 
ADIPOQ	 	other	 	-1.862	6.76E-06	2.89E-04	Acaa1b,ACLY,ACSM5,COL3A1,CXCL2,CYP1A2,Cyp2c23,Cyp2c40 (includes others),Cyp2c54 (includes others),Cyp2c70,CYP2C8,Cyp2d9 (includes others),Cyp3a25 (includes others),CYP4A11,DGAT1,FGFR2,G6PC,HMOX1,HNF4A,IL1B,Klrk1,MLXIPL,PFKFB1,SLC27A1,TNF	132 (4)
NFAT5	 	transcription regulator	 	-1.105	7.97E-06	3.36E-04	AQP1,CD74,CIITA,HLA-DMA,HLA-DQA1,HLA-DQB1,Hspa1b,Iigp1,IRF1,Ly6a (includes others),Mx2,SLC6A6,TNF,TNFSF10	100 (7)
