© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
IL1B	4.270	cytokine	Activated	2.486	1.27E-10	2.65E-08	ABCB11,ADAMTS1,ATF3,CSRNP1,Cxcl11,CXCL2,CXCL3,DDIT4,FKBP5,IFRD1,IL1A,IL1B,MAP3K8,NFKBIA,NFKBIZ,PDE4B,PHLDA1,RGS16,SLC25A25,Slco1a1,SOCS3,SUCNR1,TNF,TNFAIP3,TXNIP,UAP1	139 (12)
SLC27A2	 	transporter	Inhibited	-3.700	2.23E-10	4.28E-08	ACAA1,ACADL,Acot1,CRAT,CYP4A11,Cyp4a14,EHHADH,ELOVL5,FITM2,HADHB,PEX11A,PLIN5,RETSAT,SLC27A1	 
CREB1	 	transcription regulator	Activated	2.575	2.52E-10	4.47E-08	APOLD1,ATF3,BHLHE40,CEBPB,Chil3/Chil4,CSRNP1,HMGCS1,IRS2,JUNB,KLF4,LSS,MIDN,MVK,MYC,NAB2,SERTAD1,Sik1,SLC2A3,SREBF1	20 (2)
ZMPSTE24	 	peptidase	 	-1.215	4.43E-10	7.29E-08	ATF3,CDKN1A,CISH,CXCL2,CXCL3,DDIT4,FGL1,FMO2,GADD45A,IGFBP1,RGS16,SOCS3,STAT5B,TNF	139 (15)
CLOCK	 	transcription regulator	 	 	1.51E-09	2.32E-07	ABCB10,ANGPTL4,BHLHE40,CYP26A1,DDIT3,FKBP5,FOXA3,GADD45A,GCK,Hspa1b,HSPH1,ID1,JMJD6,JUNB,PER2,PIGA,POR,PRELID3B,RSL1D1,SLC12A3,SLC20A1,USP2,WEE1	 
LEP	 	growth factor	 	0.419	1.84E-09	2.66E-07	ABCB11,ACADL,ACLY,ACSL3,ANGPTL4,APOA4,ATP2A2,CCL3L3,CDKN1A,Chil3/Chil4,CPT1A,CYP2C18,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,CYP7A1,EHHADH,ELOVL5,FGFR2,G6PC,GCLC,Gstm3,IL1B,LEPR,MLX,SC5D,SERPINE1,SLC27A1,SOCS3,SREBF1,TNF	117 (15)
RPTOR	 	other	 	-1.966	5.05E-09	6.80E-07	ACADL,BCL3,Chil3/Chil4,DHCR7,FDFT1,FDPS,G6PC,HMGCS1,IL1B,LDHA,LSS,MVK,MYC,NLRP3,NSDHL,PMVK,PPP1R3B,SC5D,SOCS3,SREBF1,TNF	74 (8)
NCOA2	 	transcription regulator	Inhibited	-2.118	5.32E-09	6.80E-07	ADH4,APOA4,CCL3L3,Cxcl11,CYP7A1,G6PC,GCK,HCAR2,HMGCS1,IL1A,IL1B,IP6K2,KLF4,NSDHL,PGM3,PPP1R3B,SLC3A1,SREBF1,TNF	140 (14)
AHR	 	ligand-dependent nuclear receptor	 	-0.875	7.94E-09	9.62E-07	1810008I18Rik,Adh6-ps1,B4GALT5,CD14,CDKN1A,CELA1,CYP1A1,CYP1A2,CYP2C8,DCLK3,FGFR2,FMO2,FZD7,GADD45A,GSTA5,HES1,Hsd3b4 (includes others),IGFBP1,IL1B,JUNB,LDHA,NRG4,NXPE2,PDE4B,PLXNA2,SERPINA12,SERPINE1,SLC16A10,SLC16A5,SLC1A4,SOCS3,SREBF1,TNF,TUBA8	143 (11)
SGPP2	 	phosphatase	 	-1.897	8.72E-09	1.00E-06	DNAJA1,HSP90AA1,Hspa1b,HSPA4L,HSPA8,HSPB8,HSPH1,IL1B,TNF,XBP1	 
IRAK4	 	kinase	 	 	1.29E-08	1.42E-06	ATF3,CSRNP1,CXCL2,CXCL3,IFRD1,IL1B,MAP3K8,NFKBIA,NFKBIZ,PDE4B,PHLDA1,RGS16,SLC25A25,TNF,TNFAIP3	134 (12)
HNF4A	0.666	transcription regulator	 	-1.694	1.96E-08	2.04E-06	ABCB11,Acot1,ACSS2,AQP8,CDKN1A,CIDEC,CLDN1,CPT1A,CYP1A1,CYP7A1,EFNA1,FABP2,FMO2,FOXA2,FZD6,G6PC,GATA6,GSTA5,HNF4A,Hsd3b4 (includes others),HSPA8,LDHA,LEPR,MYC,NR0B2,OCLN,POR,RNF152,SH3PXD2A,Slc22a26,Slco1a1,TFRC,TOX,XBP1	 
ADRB	 	group	 	-0.073	2.08E-08	2.04E-06	ACAT2,ADAMTS4,ANGPTL4,ATF3,BHLHE40,CASP3,CDKN1A,CXCL2,DDIT3,DDIT4,FDPS,GADD45A,GSTA5,HMGCS1,HMOX1,HSD3B7,KLF4,LSS,NSDHL,WEE1	 
ZBTB20	 	transcription regulator	 	-0.559	2.13E-08	2.04E-06	ACSS2,ADH4,CISH,CYP1A2,CYP2C8,G6PC,GCK,IGFBP1,LEPR,NFKBIA,SOCS3,TNF,UGT2B17	60 (4)
NR1I2	 	ligand-dependent nuclear receptor	 	-1.165	2.48E-08	2.28E-06	ALAS1,Aldh1a7,APOA4,CCL3L3,CPT1A,CYP1A1,CYP7A1,DHCR7,GSTA5,Gstm3,Gstm6,HNF4A,NR0B2,POR,SREBF1,TNF	 
TICAM1	 	other	Activated	2.347	3.64E-08	3.23E-06	APOBEC3B,Apol7e (includes others),BCL3,CCL3L3,Cxcl11,CXCL2,CXCL3,DUSP1,ETS2,IL1A,IL1B,MEFV,Mx2,NFKBIA,NFKBIZ,PDE4B,SERPINE1,SOCS3,TNF,TNFAIP3	153 (14)
STAT5B	-0.626	transcription regulator	Inhibited	-2.626	4.21E-08	3.59E-06	Acot1,Adh6-ps1,Aox3,BCL6,BMF,CASP3,CCL3L3,CDKN1A,CISH,CYP2C8,CYP4A11,DDIT3,FMO2,G0S2,GADD45A,Gsta4,Hsd3b4 (includes others),Keg1,NUDT7,RFX4,SLC16A5,Slc22a26,Slco1a1,TNF,TOX,UGT2B28,VNN1	77 (8)
NR1I3	 	ligand-dependent nuclear receptor	 	-1.151	4.54E-08	3.74E-06	ALAS1,Aldh1a7,CCN4,CDKN1A,CYP1A2,CYP2C8,CYP7A1,G6PC,Gsta4,GSTA5,Gstm3,HNF4A,MYC,POR,SREBF1,UGT2B17,UGT2B28	 
NR1H2	 	ligand-dependent nuclear receptor	 	-1.593	8.72E-08	6.93E-06	ABCA2,ABCG5,ABCG8,Chil3/Chil4,Cxcl11,CXCL2,CYP7A1,FDFT1,FDPS,GCK,IL1B,NFKBIA,PNPLA2,SLC16A10,SREBF1,TNF	52 (5)
TP53	 	transcription regulator	 	-1.080	9.29E-08	7.13E-06	ABCA2,ACADL,ACLY,ACSM5,ACSS2,ALDOA,ATF3,BCL6B,BTG1,CASP3,CCL3L3,CDKN1A,Chil3/Chil4,CPT1A,CXCL2,CXCL3,CYP1A1,DDIT4,DNAJB4,DUSP1,EPHA2,FERMT2,FH,FKBP5,FOXA2,FZD6,GADD45A,GATA4,GATA6,GNA14,GPR17,HADHB,HMOX1,HSP90AA1,HSP90AB1,HSPB1,HSPH1,ID1,ID2,ID3,IER3,IER5,IL1A,IL1B,KDR,LDHA,LRAT,MYC,NDUFS6,NLRP12,NLRX1,NR0B2,P4HA1,PDGFA,PFKFB1,PIK3R1,Pmaip1,Rpl34 (includes others),SERPINE1,SESN2,SLC2A9,SLC6A6,SREBF1,STIP1,TALDO1,TFRC,TIGAR,TIMM10,TKT,TNF,TOMM40,TRIB3,TSKU,TXNRD3,UBC,ULK2	150 (16)
EGR1	 	transcription regulator	 	1.630	9.72E-08	7.22E-06	CASP3,CASP7,CCL3L3,CDKN1A,CXCL2,CXCL3,GADD45A,HMOX1,IL1B,JUNB,MYC,PDGFA,PNPLA2,SERPINE1,TNF	 
NR1H4	 	ligand-dependent nuclear receptor	 	-0.773	1.25E-07	8.95E-06	ABCB11,ABCG5,ABCG8,ATP8B1,CEBPB,CYP2C8,CYP7A1,FABP2,G6PC,Gsta4,GSTA5,Gstm3,HNF4A,IL1B,NR0B2,Slco1a1,SREBF1,TNF	106 (12)
PEX5L	 	ion channel	Activated	2.630	1.28E-07	8.95E-06	CYP7A1,DHCR7,FDFT1,FDPS,LSS,MVK,PMVK	 
MTTP	 	transporter	 	-0.832	1.36E-07	9.22E-06	ABCG5,ABCG8,APOA4,CCL3L3,CIDEC,CPT1A,CXCL3,ERN1,TNF,XBP1	 
BCAP31	 	transporter	 	-1.095	1.45E-07	9.54E-06	CCL3L3,DDIT3,ERN1,G6PC,GCK,IL1B,SREBF1,TNF,XBP1	91 (6)
CISH	2.647	other	Inhibited	-2.673	1.49E-07	9.54E-06	CCL3L3,CD14,CXCL3,HCAR2,HMOX1,ID3,IFRD1,IL1A,IL1B,MYC,NAB2,PLAUR,Retnlg,TNF	158 (14)
INSR	 	kinase	 	-0.156	1.58E-07	9.82E-06	ACADL,ACOT2,ARRDC3,ATF3,ATP1B1,ATP2A2,CD83,CDKN1A,CPT1A,CRAT,DHCR7,FDFT1,FDPS,FH,GCK,GRB7,HADHB,HMGCS1,IDH3A,IL1B,KLF10,LEPR,LSS,MVK,NOS3,NSDHL,PDE4B,PNPLA2,SC5D,SERPINE1,SGMS2,SOCS3,SREBF1,THAP12,TNF	101 (8)
MAPK8	 	kinase	 	-0.368	1.69E-07	1.02E-05	ABCB11,ABCG5,ABCG8,CDKN1A,CEBPB,CYP1A1,DUSP1,GADD45A,GCK,HMGCS1,HMOX1,IL1B,MYC,SESN2,TNF,TNFAIP3	157 (17)
IFNLR1	 	transmembrane receptor	 	 	2.42E-07	1.43E-05	ATF3,CCL3L3,Ccl9,Cxcl11,CXCL2,CXCL3,IL1A,IL1B,MYC,TNF,TNFAIP3	 
ATF4	 	transcription regulator	 	-0.141	2.84E-07	1.63E-05	ABCG5,ABCG8,ATF3,CDKN1A,CEBPB,CHAC1,CPT1A,CYP7A1,DDIT3,DDIT4,GADD45A,HNF4A,KLF4,PEG3,Pmaip1,SLC38A2,SREBF1,TRIB3	61 (4)
GPD1	 	enzyme	 	 	3.15E-07	1.77E-05	ACLY,ACOT2,Aox3,APOA4,BCL6,C11orf86,Clec2e/Clec2h,CYP2C8,F11,GADD45A,GSTA5,Hsd3b4 (includes others),NUDT7,SUCNR1,TTC39C,UGT2B17	 
SMARCB1	 	transcription regulator	 	-0.333	3.77E-07	2.07E-05	BAG3,BTG1,CA8,CDKN1A,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,ETS2,F11,G6PC,HES1,IL1A,PFKFB1	 
SLC25A13	 	transporter	 	 	4.24E-07	2.27E-05	ACLY,ACOT2,Aox3,APOA4,BCL6,C11orf86,Clec2e/Clec2h,CYP2C8,F11,GADD45A,GSTA5,Hsd3b4 (includes others),NUDT7,SUCNR1,TTC39C,UGT2B17	 
SREBF1	-1.600	transcription regulator	 	0.579	4.69E-07	2.46E-05	ACLY,CDKN1A,DPY19L3,G6PC,GCK,IRS2,SC5D,SERPINE1,SREBF1,ULK2	13 (2)
SH3TC2	 	other	Inhibited	-3.000	6.24E-07	3.19E-05	ACLY,DHCR7,FDPS,HMGCS1,LSS,MVK,NSDHL,PMVK,SC5D	 
PRDM1	 	transcription regulator	 	-0.956	8.37E-07	4.14E-05	BCL6,CLDN1,CXCL2,CXCL3,Gsta4,GSTA5,ID2,IL1A,IL1B,Keg1,MYC,NLRP12,SLC16A5,TNF,XBP1	127 (11)
JAK1	 	kinase	 	1.539	8.62E-07	4.14E-05	BCL3,BMF,CCL3L3,CD14,CDKN1A,ID1,IL1B,MAP3K8,SOCS3	99 (11)
FECH	 	enzyme	 	 	8.62E-07	4.14E-05	ALAS1,APOA4,APOBEC1,CYP1A2,CYP2C8,CYP4A11,CYP7A1,HMOX1,Slco1a1	 
PML	 	transcription regulator	 	-0.528	8.81E-07	4.14E-05	ACADL,ACSM1,CACYBP,CDKN1A,CEBPE,CPT1A,HADHB,HMGCS1,HMOX1,HSPB1,ID2,IL1B,SREBF1,YWHAG	128 (11)
PTPRJ	 	phosphatase	Activated	2.111	1.04E-06	4.80E-05	ACP3,ARID5A,CCL3L3,CITED2,Cxcl11,CXCL2,CXCL3,IL1A,Mx2,NFKBIZ,TNF	79 (7)
TNFRSF1A	 	transmembrane receptor	 	1.528	1.08E-06	4.87E-05	CASP3,CCL3L3,CXCL2,CXCL3,IER3,IL1A,IL1B,KDR,PDGFA,PIM1,SERPINE1,Slco1a1,SOCS3,TFRC,THBD,TNF,TNFAIP3	153 (15)
CREM	 	transcription regulator	 	1.431	1.12E-06	4.97E-05	APOLD1,ATF3,BHLHE40,CEBPB,CSRNP1,HMGCS1,IRS2,JUNB,LSS,MIDN,MVK,NAB2,SERTAD1,Sik1,TNF	 
MAPKAPK3	 	kinase	 	0.388	1.28E-06	5.55E-05	CCL3L3,CXCL2,CXCL3,DDIT3,HSPB1,HSPB8,TNF	89 (6)
TLR3	 	transmembrane receptor	Activated	2.810	1.56E-06	6.54E-05	ADAMTS4,Apol7e (includes others),ATF3,BCAR3,CCL3L3,Cxcl11,CXCL2,CXCL3,DUSP1,HMOX1,IER3,IL1A,IL1B,JUNB,NFKBIZ,PHLDA1,PTGER2,SERPINE1,SOCS3,TNF	148 (14)
ADIPOQ	 	other	 	-0.876	1.56E-06	6.54E-05	ACLY,ACSM5,Chil3/Chil4,CXCL2,CYP1A2,Cyp2c70,CYP2C8,CYP4A11,FGFR2,G6PC,GCK,HMOX1,HNF4A,IL1B,NFKBIA,PFKFB1,SLC27A1,TNF	169 (13)
PLIN5	1.085	other	 	-1.567	1.75E-06	7.20E-05	ACADL,ACSM5,GCLC,GSTA5,HMOX1,IL1B,PNPLA2,POR,SREBF1,TNF	87 (9)
CCL22	 	cytokine	 	-1.999	1.84E-06	7.44E-05	CCL3L3,CXCL2,CXCL3,TNF	 
ZFP36	 	transcription regulator	Inhibited	-2.423	1.93E-06	7.67E-05	CCL3L3,CXCL2,CXCL3,IER3,IL1A,IL1B,MEFV,PIM1,PNRC1,TFRC,THBD,TNF	144 (13)
NR1H3	 	ligand-dependent nuclear receptor	Inhibited	-2.088	2.03E-06	7.94E-05	ABCA2,ABCG5,ABCG8,ATF3,CCL3L3,CDKN1A,Cxcl11,CXCL2,CYP7A1,FDFT1,FDPS,G6PC,GCK,Gsta4,GSTA5,IL1B,ITGB3,NFKBIA,SLC16A10,SREBF1,TNF,TRIB1,UBC	118 (13)
NR0B2	-1.209	ligand-dependent nuclear receptor	 	-0.899	2.23E-06	8.54E-05	ABCB11,CIDEC,CPT1A,CYP2C8,CYP7A1,G6PC,GSTA5,Gstm3,HNF4A,IL1B,MAP3K8,SREBF1,TNF,TNFAIP3	95 (7)
SIGIRR	 	transmembrane receptor	 	-1.985	3.10E-06	1.17E-04	CCL3L3,CXCL2,CXCL3,IL1A,IL1B,PITX3,TNF	147 (15)
MAP3K8	0.893	kinase	 	1.818	3.35E-06	1.24E-04	ACP3,Apol7e (includes others),ARRDC3,COBLL1,Cxcl11,CXCL2,CXCL3,FLNB,IER3,IER5,IL1A,IL1B,JUNB,PTGER2,RGS3,SOCS3,TNF,TXNIP	171 (16)
MYD88	 	other	Activated	2.926	3.83E-06	1.40E-04	ACP3,APOBEC3B,BCL3,BLM,CCL3L3,CD14,CXCL2,CXCL3,DUSP1,ETS2,IL1A,IL1B,KDM6B,MEFV,MYC,NFKBIA,NFKBIZ,NLRP3,NOS3,PDE4B,SERPINE1,SOCS3,TNF,TNFAIP3	155 (14)
ARRB2	 	other	 	-1.729	3.95E-06	1.42E-04	CXCL2,CXCL3,IL1B,JUNB,MYC,NFKBIZ,SERPINE1,TNF	157 (17)
GNB2	 	enzyme	 	 	4.65E-06	1.62E-04	CCL3L3,CD83,CDKN1A,CXCL3,DUSP1,IER3,IL1B,PDE4B,THBD	 
GNB1	 	enzyme	 	 	4.65E-06	1.62E-04	CCL3L3,CD83,CDKN1A,CXCL3,DUSP1,IER3,IL1B,PDE4B,THBD	 
APOE	 	transporter	 	-1.419	4.81E-06	1.65E-04	ABCA2,ABCG8,ATF3,CASP3,CCL3L3,CPT1A,CXCL3,CYP7A1,DDIT3,FKBP5,HMOX1,HSP90AB1,Hspa1b,IL1A,IL1B,KLF4,NOS3,PHLDA1,RCAN1,SERPINE1,SOCS3,TIAM1,TNF,XBP1	180 (17)
PTPN1	 	phosphatase	 	0.943	5.39E-06	1.83E-04	ADRA1B,ARID5A,Cxcl11,CXCL2,CXCL3,DUSP1,IRS2,NFKBIA,PIK3R1,TNF	178 (14)
HIF1A	 	transcription regulator	 	1.511	6.68E-06	2.21E-04	CCL3L3,CDKN1A,CXCL2,CXCL3,DDIT4,GATA6,IL1A,IL1B,ITGB3,LDHA,NFKBIA,NFKBIZ,NOS3,P4HA1,PDGFA,SERPINE1,SOCS3,TFRC,TNF	146 (15)
GRN	0.645	growth factor	 	-1.301	6.71E-06	2.21E-04	CASP3,CXCL2,DDIT3,GRN,IL1B,TNF,XBP1	72 (8)
TLR9	 	transmembrane receptor	Activated	2.912	6.97E-06	2.26E-04	ADAMTS4,ATF3,CCL3L3,CISH,CXCL2,CXCL3,DUSP1,HMOX1,IER3,IL1A,IL1B,MYC,NFKBIZ,PHLDA1,PTGER2,SERPINE1,SGMS2,SOCS3,TNF,UAP1	158 (16)
TXNIP	-0.708	other	 	-0.126	7.14E-06	2.29E-04	Acot1,CDKN1A,Cyp4a14,DHCR7,FABP2,G0S2,IL1B,TXNIP	 
OGG1	 	enzyme	Activated	2.144	7.53E-06	2.36E-04	CCL3L3,CXCL2,IL1A,IL1B,TNF	91 (12)
INSIG1	 	other	 	1.748	7.66E-06	2.36E-04	ACLY,ACSS2,CXCL2,CXCL3,DHCR7,FDFT1,FDPS,HMGCS1,LSS,MVK,NFKBIZ,PMVK,SREBF1,VNN1	15 (2)
IKBKB	 	kinase	 	1.365	7.67E-06	2.36E-04	ATF3,CCL3L3,Ccl9,CEBPB,Cxcl11,CXCL2,CXCL3,GADD45A,GRN,HMOX1,IL1A,IL1B,ITGB3,JUNB,MYC,NAGLU,NFKBIA,RCAN1,RGS16,SOCS3,TNF	161 (16)
PTAFR	 	G-protein coupled receptor	Inhibited	-2.000	8.94E-06	2.70E-04	CCL3L3,CXCL2,IL1B,TNF	32 (5)
NR5A2	 	ligand-dependent nuclear receptor	 	-1.599	9.02E-06	2.70E-04	ABCB11,ABCG5,ABCG8,CEBPB,CELA1,CYP7A1,FOXA2,Hspa1b,IGFBP1,IL1B,JUNB,NR0B2,TNF	 
EHHADH	1.697	enzyme	Inhibited	-2.433	9.32E-06	2.75E-04	ACAA1,ACOT2,CYP4A11,Cyp4a14,MGLL,PEX11A	 
LGR4	-0.482	transmembrane receptor	 	-1.211	9.48E-06	2.76E-04	CD14,CYP1A2,IL1A,IL1B,LHPP,MYC,SLC13A3,SLC16A10,TNF	19 (4)
TFRC	1.130	transporter	 	-1.265	9.83E-06	2.83E-04	ATF3,CASP3,CHAC1,DDIT3,DDIT4,Gstm6,HMOX1,LDHA,Pmaip1,XBP1	 
MAPK9	 	kinase	 	-0.095	1.00E-05	2.85E-04	ABCB11,ABCG5,ABCG8,CDKN1A,CEBPB,Cxcl11,CYP1A1,GADD45A,HMGCS1,IL1B,JUNB,MYC,NOS3,TNF,TNFAIP3	177 (18)
ERN1	-0.633	kinase	 	1.795	1.03E-05	2.91E-04	ATF3,ATP2A2,CEBPB,CYP1A2,DDIT3,FITM2,G6PC,IL1B,MORF4L2,PIGA,SLC20A1,TNF,XBP1	117 (5)
STAT3	 	transcription regulator	 	0.521	1.18E-05	3.27E-04	BCL3,BCL6,CASP3,CASP7,CCL3L3,CDKN1A,CEBPB,CXCL2,CXCL3,CYP26A1,G6PC,GADD45A,IGFBP1,IL1A,IL1B,JUNB,Mx2,MYC,NFKBIZ,PHLDA1,PIM1,SERPINE1,SOCS3,SREBF1,TNF,VTCN1	112 (15)
SPARC	 	other	Activated	3.207	1.26E-05	3.45E-04	ACOT2,BHLHE40,BLM,CHRNA2,CIDEC,CLDN1,CYP1A1,FOXQ1,LOXL4,LYVE1,PER2,SLC22A5,TSKU,USP2	 
TLR4	 	transmembrane receptor	Activated	3.156	1.29E-05	3.47E-04	ACP3,APOBEC3B,ARID5A,ATF3,CCL3L3,CD14,CISH,CITED2,Cxcl11,CXCL2,CXCL3,DDIT3,HMOX1,IL1A,IL1B,KDM6B,Mx2,NFKBIA,NFKBIZ,NLRP3,NOS3,RGS16,SGMS2,SOCS3,TNF,TNFAIP3,XBP1	128 (13)
IFNG	 	cytokine	Activated	2.316	1.30E-05	3.47E-04	Acot1,ATP1B1,BCL3,BTG1,CASP3,CCL3L3,Ccl9,CCNO,CD14,CDKN1A,CEBPB,Chil3/Chil4,Cxcl11,CXCL2,CXCL3,DDIT3,DUSP1,GNA14,HCAR2,HSPA1A/HSPA1B,IL1A,IL1B,IRS2,MAP3K8,Mx2,MYC,NFKBIA,NFKBIZ,NLRP3,PHLDA1,PIM1,SEMA4A,SLC12A3,SLC28A2,SLC6A6,SOCS3,SORT1,SREBF1,TNF,ZBTB16	126 (17)
EP300	 	transcription regulator	 	 	1.32E-05	3.47E-04	ARHGEF10L,ARID5A,BCL6,CYP7A1,DHRS3,DNAJB4,FRMD4B,HDAC11,ID1,ID2,MAP3K8,MFHAS1,PTPRF,RGL1,Rnf125,SLC27A1,SOCS3,STOM,TNF,TNFAIP3,TUBA8,ULK2,YPEL2	26 (2)
KLF6	 	transcription regulator	 	1.969	1.33E-05	3.47E-04	BCL6,CCL3L3,CDKN1A,Chil3/Chil4,IL1A,IL1B,TNF	 
EZR	 	other	 	0.970	1.44E-05	3.74E-04	ATF3,DDIT3,DDIT4,IL1B,TNF,TRIB3	85 (8)
PTEN	 	phosphatase	 	0.892	1.47E-05	3.76E-04	ACAA1,ATF3,CA3,CA8,CASP7,CDKN1A,CEBPB,CLDN1,CXCL2,EHHADH,ETS2,FDPS,FOXA2,FZD6,GPR17,HADHB,HMGCS1,IDH3A,IL1B,KDR,LHPP,LRAT,LSS,MYC,PIK3R1,PIM1,PITX3,SOCS3,SREBF1,TNF,VNN1	186 (18)
P38 MAPK	 	group	Activated	3.261	1.57E-05	3.97E-04	CCL3L3,CDKN1A,CXCL3,DUSP1,HMOX1,IL1A,IL1B,JUNB,MYC,SERPINE1,SOCS3,TNF	133 (13)
Tlr	 	group	 	0.034	1.59E-05	3.97E-04	BCL6,CXCL3,DUSP1,ID2,IL1B,NFKBIA,TNF,ZBTB46	138 (13)
