© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
IL17A	 	cytokine	Activated	3.005	 	5.16E-09	1.10E-06	Ccl2,CCND1,CXCL10,CXCL2,CXCL3,GADD45A,HSPB8,ICAM1,IL1B,MAP3K1,NFKBIZ,OCLN,RGS16,S100A8,S100A9,SLC12A3,TNF	111 (13)
DUSP1	-1.969	phosphatase	Inhibited	-2.270	 	7.85E-09	1.54E-06	AACS,Ccl2,CCL3L3,CXCL2,CXCL3,DUSP1,IER3,IL1B,MEFV,PAQR7,PNRC1,S100A9,SERPINE1,TNF,ZFP36	129 (15)
ADRB	 	group	Inhibited	-2.060	 	9.04E-09	1.64E-06	AACS,ANGPTL4,ARHGEF3,ATF3,BOK,CASP4,CAVIN2,Ccl2,CCND1,CCNE1,CXCL10,CXCL2,DDIT4,E2F4,GADD45A,HMOX1,ICAM1,PPARGC1A,SLC7A11,SLC9A3R2,SRM,WEE1	83 (4)
TLR3	 	transmembrane receptor	Activated	3.632	bias	1.43E-08	2.41E-06	ACOD1,ATF3,Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL2,CXCL3,DUSP1,HMOX1,ICAM1,IER3,IL1B,IRF1,JUNB,NFKBIZ,PHLDA1,PTGER2,RGS1,S100A8,SERPINE1,SOCS3,TNF,TNFRSF1A,TNFRSF1B	162 (16)
TNFRSF1A	0.535	transmembrane receptor	 	1.346	 	1.56E-08	2.44E-06	APCS,Ccl2,CCL3L3,CCN2,CXCL10,CXCL2,CXCL3,ICAM1,IER3,IL1B,PIM1,SAA1,SERPINE1,Slco1a4,SOCS3,SRC,TFRC,TNF,TNFAIP3,TNFRSF1A,VEGFA	148 (14)
STAT3	0.525	transcription regulator	 	1.745	 	2.62E-08	3.85E-06	BCL3,Ccl2,CCL3L3,CCND1,CCNE1,CEBPB,CXCL10,CXCL2,CXCL3,G6PC,GADD45A,GBP5,GBP6,ICAM1,IGFBP1,IL1B,IRF1,JUNB,Mx2,NFKBIZ,PCK1,PHLDA1,PIM1,PPARGC1A,SAA1,SERPINE1,SOCS3,STAT2,STAT3,TNF,TNFRSF1B,VEGFA,WARS1,ZFP36	106 (13)
CHUK	 	kinase	 	0.937	bias	3.39E-08	4.27E-06	ACOD1,BMP2,CASP4,CCND1,CEBPB,CEBPD,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,JUNB,NFKBIA,RCAN1,RGS16,SGK1,SOCS3,TNF,TNFAIP2,TNFRSF1B,VEGFA	123 (11)
BCAP31	 	transporter	Inhibited	-2.559	bias	3.44E-08	4.27E-06	Ccl2,CCL3L3,CXCL10,G6PC,GCK,HSPA5,IL1B,SAA1,TNF,XBP1	86 (7)
SGPP2	 	phosphatase	 	-1.929	 	3.44E-08	4.27E-06	ATF4,DNAJA1,HSP90AA1,Hspa1b,HSPA5,HSPB8,HSPH1,IL1B,TNF,XBP1	56 (6)
USP19	 	peptidase	Inhibited	-2.931	 	4.92E-08	5.80E-06	CBLB,Ccl2,CXCL10,DDIT4,FBXO32,FOXO3,IL1B,KLF15,TNF	35 (7)
CXCL2	5.291	cytokine	Activated	2.607	bias	5.22E-08	5.86E-06	Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,ICAM1,IL1B,TNF	133 (17)
OSMR	 	transmembrane receptor	 	 	 	6.46E-08	6.92E-06	BCL3,CASP4,Ccl2,CISH,CXCL10,CXCL2,GBP5,JUNB,Mx2,PIM1,SBNO2,SOCS3,STAT3,ZFP36	108 (12)
ARRB2	 	other	Inhibited	-2.219	 	8.22E-08	8.13E-06	Ccl2,CXCL2,CXCL3,F3,IL1B,JUNB,NFKBIZ,SERPINE1,TNF,VEGFA	136 (16)
S100A8	2.723	other	Inhibited	-2.528	 	8.28E-08	8.13E-06	Ccl2,CXCL10,CXCL2,CXCL3,HMOX1,ICAM1,IL1B,NFKBIA,TNF	82 (6)
IRAK4	 	kinase	 	1.955	 	8.70E-08	8.20E-06	ATF3,Ccl2,CXCL10,CXCL2,CXCL3,IL1B,IRF1,NFKBIA,NFKBIZ,PHLDA1,RGS16,SLC25A25,TNF,TNFAIP3,ZFP36	120 (13)
LRBA	 	other	Inhibited	-2.804	bias	1.01E-07	9.11E-06	Ccl2,CCL3L3,CXCL10,FOXO1,FOXO3,IL1B,Mx2,TNF	48 (8)
IFNLR1	 	transmembrane receptor	 	 	 	1.14E-07	9.91E-06	ATF3,CCL3L3,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,IL1B,TLR2,TNF,TNFAIP2,TNFAIP3	 
SOCS3	3.789	phosphatase	 	1.317	 	1.30E-07	1.09E-05	Ccl2,CXCL10,G6PC,IL1B,IRS2,Mx2,PCK1,PPARGC1A,SOCS3,TNF,TRAF6	118 (17)
AMBP	 	transporter	 	-1.446	 	1.40E-07	1.13E-05	Ccl2,CXCL2,CXCL3,IL1B,TNFRSF1A	47 (6)
PLAU	 	peptidase	 	1.432	 	1.51E-07	1.19E-05	Ccl2,CCND1,CXCL3,F3,HSPA5,IL1B,PHLDA1,PLAUR,RELB,S100A8,S100A9,TNF	 
ZFP36	-0.887	transcription regulator	Inhibited	-2.936	bias	2.05E-07	1.56E-05	CCL3L3,CXCL2,CXCL3,ICAM1,IER3,IL1B,MEFV,PIM1,PNRC1,S100A8,S100A9,TFRC,TNF,ZFP36	158 (15)
DDIT3	 	transcription regulator	 	1.941	bias	2.46E-07	1.81E-05	ATF3,CASP4,CEBPD,FOXO1,HSPA5,IL1B,PPARGC1A,STAT3,TRIB3,WARS1,XBP1	55 (6)
VDR	 	transcription regulator	 	-0.418	 	3.04E-07	2.17E-05	ARHGEF3,Ccl2,CCND1,CEBPB,CISH,CSF1,CXCL10,F3,GADD45A,ICAM1,ID1,IER3,MYD88,NPHS1,ODC1,RELB,RNF144A,S100A8,S100A9,SLC10A2,SOCS3,SRC,TLR2,TXNIP,VEGFA	63 (5)
TNFAIP3	1.446	enzyme	Inhibited	-2.561	bias	3.28E-07	2.24E-05	Ccl2,CSF1,ICAM1,IL1B,NFKBIA,NLRP3,TFRC,TNF,TNFAIP3	167 (17)
EIF2S1	0.398	translation regulator	 	 	 	3.33E-07	2.24E-05	ATF4,ATP2A3,CCND1,CEBPG,HMOX1,PHLDA1,SESN2,SLC7A11,SYBU,TGM1,TRIB3	 
LIF	 	cytokine	 	1.468	 	3.68E-07	2.41E-05	Ccl2,CCL3L3,CCNE1,CEBPB,CXCL10,CXCL2,FOXA2,IL1B,IRF1,PELI1,PTPN1,RASA3,SOCS3,STAT3,TNF,XBP1	117 (16)
CLOCK	 	transcription regulator	 	 	 	4.51E-07	2.88E-05	ANGPTL4,FOXA3,GADD45A,GCK,Hspa1b,HSPH1,ICAM1,ID1,JUNB,MID1IP1,MKNK2,NPAS2,PER2,PIGA,PRELID3B,RSL1D1,SLC12A3,SLC20A1,SLC30A5,TSPAN4,WEE1	 
NFATC2	 	transcription regulator	 	0.981	 	5.10E-07	3.16E-05	CASP4,Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL2,CXCL3,DAXX,IER3,IL1B,IRF1,Mx2,NFKBIA,NFKBIZ,PELI1,RELB,RGS1,SOCS3,STAT2,TLR2,TNF	167 (15)
PHF12	 	transcription regulator	Inhibited	-3.162	bias	7.15E-07	4.24E-05	BRIX1,GTPBP4,H2AX,NMD3,NOP2,RRP9,RRS1,SURF6,TSR1,UTP20	 
JAK2	 	kinase	Activated	2.784	bias	7.20E-07	4.24E-05	BLNK,Ccl2,CCND1,CDC25A,CXCL10,FOXO1,IL1B,ODC1,SOCS3,STAT3,THPO,TNF	119 (14)
TNFSF12	 	cytokine	Activated	2.789	 	7.38E-07	4.24E-05	Ccl2,CCL3L3,CCND1,CXCL10,Cxcl11,CXCL2,CXCL3,FBXO32,IL1B,KLF15,MAP3K14,NFKBIA,PPARGC1A,S100A8,S100A9	108 (12)
CEBPB	-0.972	transcription regulator	Activated	2.560	 	8.66E-07	4.86E-05	BLNK,CCL3L3,CCNE1,CDC25A,CEBPB,CEBPD,CIRBP,CTPS1,CTSC,CXCL10,CXCL3,EIF2S1,FBXO32,GADD45A,H2AX,HSP90AA1,HUS1,IER3,IL1B,IRS2,KPNA2,NOP56,ORC2,PCK1,PLAUR,PPARGC1A,RANBP1,RCAN1,SAA1,SERPINE1,SLC38A2,TFRC,TMEM50B,TNF,TRIB3,UBE2F,UBE2S,UNG,WEE1	132 (15)
ZBTB20	 	transcription regulator	 	1.290	 	9.10E-07	4.88E-05	CISH,CYP2B6,G6PC,GCK,IGFBP1,NFKBIA,PCK1,PDK4,PPARGC1A,SOCS2,SOCS3,TNF	 
C3	 	peptidase	Activated	3.405	 	9.10E-07	4.88E-05	APCS,CASP4,Ccl2,CCL3L3,CSF1,CXCL10,CXCL2,CXCL3,IL1B,TNF,TNFRSF1A,VEGFA	69 (10)
IL10	 	cytokine	Inhibited	-2.792	 	1.01E-06	5.30E-05	APCS,BCL3,Ccl2,CCL3L3,Cd24a,CTSC,CXCL10,CXCL2,CXCL3,HEXB,HMOX1,ICAM1,IL1B,MYD88,RAB20,S100A8,S100A9,SLC9A3R2,SOCS3,THPO,TLR2,TNF,TNFRSF1A,VEGFA,ZFP36	121 (12)
HIF1A	 	transcription regulator	 	0.775	 	1.13E-06	5.79E-05	CAVIN2,Ccl2,CCL3L3,CCN2,CCND1,CSF1,CXCL2,CXCL3,CXCR4,DDIT4,ICAM1,IL1B,NFKBIA,NFKBIZ,RELB,SERPINE1,SOCS3,TFRC,TLR2,TNF,TNFAIP2,VEGFA	144 (16)
Alpha catenin	 	group	Inhibited	-2.641	bias	1.18E-06	5.92E-05	BCL3,CXCL10,CXCL2,IGFBP1,IL1B,IRF1,NFKBIA,NFKBIZ,RELB,S100A8,S100A9,SAA1,SGK1,SOCS3,STEAP4,TNF,TNFAIP2,TNFAIP3	90 (7)
FADD	 	other	 	-1.941	 	1.23E-06	6.06E-05	ARID5A,CXCL10,Cxcl11,CXCL2,CXCR4,ICAM1,JUNB,Mx2,PIM1,RIPK1,STAT2,TIPARP,TNFAIP3,TRAFD1	31 (4)
FCGR2A	 	transmembrane receptor	Activated	2.768	bias	1.31E-06	6.32E-05	ACOD1,Ccl2,CXCL10,CXCL2,CXCL3,ICAM1,IL1B,TNF	78 (12)
IFNG	 	cytokine	Activated	4.609	 	1.40E-06	6.62E-05	ACOD1,ATF4,BCL3,BTG1,CASP4,Ccl2,CCL3L3,CCN2,CCNO,CEBPB,CEBPD,CERS6,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,CXCR4,DUSP1,GBP5,GBP6,GJB2,GPR146,HCAR2,HSPA1A/HSPA1B,ICAM1,IL1B,IRF1,IRS2,Mx2,MYD88,NFKBIA,NFKBIZ,NLRP3,PCK1,PHLDA1,PIM1,SBNO2,SLC12A3,SLC7A11,SOCS3,STAT2,STAT3,TLR2,TNF,TNFRSF1A,VEGFA	137 (15)
CASR	 	G-protein coupled receptor	 	-0.471	 	1.75E-06	8.10E-05	ARHGEF3,CCND1,CISH,CSF1,CXCL10,GADD45A,ID1,IER3,MYD88,ODC1,RNF144A,S100A8,S100A9,SOCS3,SRC,TLR2,TXNIP,VEGFA	 
APOE	 	transporter	Inhibited	-2.037	 	1.95E-06	8.85E-05	ATF3,ATF4,Ccl2,CCL3L3,CCN2,CSF1,CXCL3,CYP7A1,F3,HMOX1,Hspa1b,HSPA5,ICAM1,IL1B,MAP3K1,MYBBP1A,MYLIP,PHLDA1,RCAN1,S100A8,S100A9,SERPINE1,SOCS3,TNF,TNFRSF1A,TRAF6,XBP1	150 (16)
IKBKG	 	kinase	 	-0.035	bias	1.99E-06	8.87E-05	ACOD1,BMP2,Ccl2,CEBPB,CEBPD,CSF1,CXCL2,ICAM1,IL1B,JUNB,RCAN1,RGS16,SGK1,SOCS3,TNF,TNFAIP2,TNFRSF1B,VEGFA	130 (16)
LECT2	 	other	 	-0.130	 	2.27E-06	9.74E-05	Ccl2,CCL3L3,CXCL10,CXCL3,IL1B,TNF	80 (10)
PDE3B	 	enzyme	 	 	 	2.27E-06	9.74E-05	G6PC,PPARGC1A,SERPINE1,SOCS3,TNF,TRIB3	70 (8)
OSM	 	cytokine	Activated	2.527	 	2.46E-06	1.04E-04	BCL3,CASP4,Ccl2,CISH,CXCL2,IL1B,JUNB,SBNO2,SOCS3,STAT3,TNF,VEGFA,ZFP36	120 (16)
PTPN1	0.736	phosphatase	 	1.211	 	2.70E-06	1.11E-04	ADRA1A,ARID5A,Cxcl11,CXCL2,CXCL3,DUSP1,IRS2,NFKBIA,PIK3R1,PPARGC1A,TNF	153 (18)
IL1R2	 	transmembrane receptor	 	-1.406	bias	2.73E-06	1.11E-04	CXCL2,CXCL3,ICAM1,IL1B,TNF	 
TREM1	 	transmembrane receptor	 	1.074	bias	2.85E-06	1.14E-04	Ccl2,CEBPB,CXCL10,CXCL3,IL1B,MYD88,NFKBIA,TLR2,TNF	 
CCL22	 	cytokine	 	-1.999	bias	3.29E-06	1.27E-04	CCL3L3,CXCL2,CXCL3,TNF	 
XDH	 	enzyme	 	0.816	bias	3.35E-06	1.27E-04	Ccl2,CCN2,CEBPB,CXCL3,IL1B,SERPINE1,TNF	 
MAPKAPK3	 	kinase	 	1.276	 	3.35E-06	1.27E-04	CCL3L3,CXCL2,CXCL3,HSPA5,HSPB8,TNF,ZFP36	86 (7)
mir-155	 	microRNA	 	-1.192	 	3.39E-06	1.27E-04	CEBPB,CXCL10,Cxcl11,HMOX1,IL1B,MYD88,PELI1,SOCS3,TNF,TRIM32,WEE1	89 (14)
HSF1	 	transcription regulator	 	1.432	 	3.72E-06	1.37E-04	AHSA1,BAG3,CCN2,CCNE1,CEBPB,DNAJA1,HDAC5,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPH1,ICAM1,IL1B,PPARGC1A,STIP1,TNF	109 (11)
NLRX1	 	other	 	-1.616	bias	4.23E-06	1.51E-04	IL1B,IRF1,MAP3K14,MYD88,NFKBIA,PIK3R1,RELB,STAT2,TNF,TNFAIP3,TRAF6	113 (12)
PF4	 	cytokine	 	0.992	 	4.23E-06	1.51E-04	E2F2,E2F4,FOXA2,ICAM1,IL1B,IRF1,NFKBIA,NFKBIZ,STAT2,TNF,TNFAIP3	22 (4)
CARM1	 	transcription regulator	Activated	2.425	bias	4.38E-06	1.52E-04	Ccl2,CCNE1,CXCL10,CXCL3,GADD45A,ICAM1	 
CXCL3	2.729	cytokine	 	1.767	bias	4.38E-06	1.52E-04	Ccl2,CCL3L3,CXCL10,CXCL3,GRK5,TNF	48 (6)
Nr1h	 	group	Inhibited	-2.814	 	4.59E-06	1.57E-04	BCL3,Ccl2,CCL3L3,CSF1,CXCL10,Cxcl11,G6PC,GCK,IL1B,INSIG2,Mx2,MYLIP,NFKBIZ,NLRP3,PPARGC1A,SBNO2,TNF	69 (8)
IL12B	 	cytokine	Activated	2.385	 	4.99E-06	1.64E-04	Ccl2,CXCL10,ICAM1,IL1B,S100A8,S100A9,SOCS3,STAT2,STAT3,TNF	172 (17)
FAS	 	transmembrane receptor	 	0.984	 	5.02E-06	1.64E-04	Ccl2,CCL3L3,CCN2,CSF1,CXCL10,CXCL2,CXCL3,ICAM1,IL1B,NFKBIA,SERPINE1,TNF,TNFRSF1A	121 (15)
CISH	2.533	other	 	-1.941	 	5.02E-06	1.64E-04	CCL3L3,CSF1,CXCL3,HCAR2,HMOX1,ID3,IL1B,NAB2,PLAUR,Retnlg,SLC7A11,SNRPD1,TNF	153 (14)
Tlr	 	group	 	0.715	bias	5.18E-06	1.67E-04	CASP4,Ccl2,CXCL3,DUSP1,ID2,IL1B,NFKBIA,TNF,ZBTB46	143 (17)
IL11RA	 	transmembrane receptor	 	 	 	5.24E-06	1.67E-04	Ccl2,CCL3L3,CCNE1,CXCL3,ICAM1,JUNB,PIM1,SAA1,SOCS3,STAT3,VEGFA	83 (6)
IL4	 	cytokine	Activated	2.414	bias	5.77E-06	1.81E-04	ACOD1,ACTG1,ALAS1,BCL3,CBFB,Ccl2,CCL3L3,CCNE1,Cd24a,CISH,CNR2,CSF1,CXCL10,CXCL3,DDIT4,DNAJC12,H2AX,ICAM1,IER3,IL1B,IRF1,KRT19,LGALSL,LY6D,MAFB,METRNL,MFSD2A,NAB2,NFKBIA,NFKBIZ,ODC1,PIM1,PPARGC1A,Retnlg,S100A8,S100A9,SAA1,SOCS2,SOCS3,SRM,Srrm2,STAT2,TBC1D17,TFRC,TNF,XBP1,ZBTB46	170 (15)
SMAD3	 	transcription regulator	 	1.004	 	5.94E-06	1.82E-04	ATF4,BMP2,Ccl2,CCL3L3,CCN2,CCND1,CXCL10,CXCL3,FOXO1,G6PC,HNF4A,HSPA5,IL1B,JUNB,PPARGC1A,S1PR1,SERPINE1,TNF	112 (18)
NEIL2	 	enzyme	 	1.134	 	5.94E-06	1.82E-04	Ccl2,CCL3L3,CEBPB,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,IL1B,MYD88,TIRAP,TLR2,TNF	117 (13)
NCOA2	 	transcription regulator	 	-0.504	 	6.34E-06	1.89E-04	ACOT1,BMP2,Ccl2,CCL3L3,CXCL10,Cxcl11,CYP7A1,G6PC,GBP5,GCK,HCAR2,IL1B,IP6K2,IRF1,PCK1,TNF	116 (13)
IL1R1	 	transmembrane receptor	 	1.760	 	6.35E-06	1.89E-04	APCS,Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,ICAM1,IL1B,SAA1,TNF	127 (16)
STEAP3	 	transporter	 	0.302	bias	6.46E-06	1.90E-04	CCN2,Cd24a,CEBPB,KLF15,PIK3R1,S1PR1,SHB,SLC4A1,SORBS3,TFRC,VEGFA	 
Cyp4a14	 	enzyme	Activated	2.236	bias	7.02E-06	1.97E-04	Ccl2,CXCL10,CXCL3,IL1B,TNF	 
ADGRF5	 	G-protein coupled receptor	Inhibited	-2.219	bias	7.02E-06	1.97E-04	Ccl2,CCL3L3,CSF1,CXCL3,TNF	98 (11)
FEM1A	0.610	transcription regulator	Inhibited	-2.201	bias	7.02E-06	1.97E-04	Ccl2,CXCL10,CXCL2,IL1B,TNF	98 (14)
HSPD1	 	enzyme	Activated	2.200	bias	7.02E-06	1.97E-04	Ccl2,CXCL2,CXCL3,IL1B,TNF	 
LEPR	 	transmembrane receptor	 	0.437	 	7.48E-06	2.07E-04	ANGPTL4,BTG1,Ccl2,CCL3L3,CNR2,GATA4,GCK,ID2,IRS2,NUP160,PPARGC1A,RPL7L1,SERPINE1,SOCS2,SOCS3,STAT2,STAT3,TNF,TP53INP1,TSC22D3	119 (16)
MAPKAPK2	 	kinase	 	0.945	 	7.93E-06	2.17E-04	Ccl2,CCL3L3,CEBPD,CXCL10,CXCL2,CXCL3,HSPA5,HSPB8,NFKBIA,TNF,ZFP36	131 (14)
SIGIRR	 	transmembrane receptor	Inhibited	-2.016	bias	8.04E-06	2.18E-04	Ccl2,CCL3L3,CXCL2,CXCL3,IL1B,PITX3,TNF	113 (12)
AGER	 	transmembrane receptor	Activated	2.785	 	8.96E-06	2.40E-04	Ccl2,CCL3L3,CXCL3,IL1B,S100A8,S100A9,SERPINE1,TNF,VEGFA	140 (13)
PPARG	 	ligand-dependent nuclear receptor	Inhibited	-2.529	 	9.45E-06	2.50E-04	ACOD1,ANGPTL4,ARL4D,ASAP1,CAVIN2,Ccl2,CTPS1,CXCL2,CXCL3,CYP4B1,DHRS3,G6PC,GCK,HCAR2,HES1,ICAM1,IL1B,LY6D,MKNK2,MYD88,MYH14,PCK1,PDK4,PPARGC1A,RAB20,S100A8,SAA1,SERPINE1,SGK1,TNF,TRAF6,TRIB3,TSC22D3	128 (17)
TGFBR2	 	kinase	Inhibited	-2.464	bias	9.69E-06	2.54E-04	ACOD1,BCL3,CCL3L3,CCND1,CCNE1,CSF1,CXCL2,DDIT4,DNAJC12,H2AX,ICAM1,KRT19,LY6D,METRNL,MFSD2A,NAB2,NFKBIA,NFKBIZ,ODC1,Retnlg,S100A8,S100A9,SAA1,SOCS3,ZBTB46	 
ERN1	 	kinase	Activated	2.611	 	1.01E-05	2.62E-04	ATF3,ATF4,CEBPB,CEBPD,G6PC,HSPA5,IL1B,MORF4L2,PIGA,SLC20A1,SYVN1,TNF,WARS1,XBP1	119 (7)
PTX3	 	other	 	-1.195	bias	1.14E-05	2.89E-04	Ccl2,CCL3L3,CCN2,CXCL2,GATA4,IL1B,TLR2,TNF	128 (15)
IRAK3	 	kinase	 	-0.664	 	1.14E-05	2.89E-04	Ccl2,CCN2,CXCL2,CXCL3,ETS2,NFKBIA,TNF,TNFAIP3	122 (13)
CCR5	 	G-protein coupled receptor	 	1.744	 	1.16E-05	2.91E-04	Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,IL1B,TNF,TNFRSF1A,TNFRSF1B	109 (13)
ALOX15	 	enzyme	 	0.610	 	1.19E-05	2.93E-04	Ccl2,CXCL2,HMOX1,ICAM1,ID3,IL1B,TNF	149 (18)
KCNJ10	 	ion channel	Activated	2.646	bias	1.19E-05	2.93E-04	Ccl2,CXCL10,GADD45A,GBP5,GBP6,ICAM1,TGM1	 
SQSTM1	 	transcription regulator	 	0.336	 	1.25E-05	3.04E-04	ARID5A,CXCL10,Cxcl11,CXCL2,CYP2B6,HMOX1,IL1B,IRF1,NFKBIA,TNF	116 (14)
P38 MAPK	 	group	Activated	2.891	bias	1.32E-05	3.15E-04	CCL3L3,CCND1,CCNE1,CXCL3,DUSP1,FBXO32,HMOX1,IL1B,JUNB,SERPINE1,SOCS3,TNF,TNFRSF1A	124 (15)
Cyp2c70	 	enzyme	 	-0.883	 	1.32E-05	3.15E-04	Ccl2,CYP7A1,HNF4A,IL1B,PPARGC1A,TNF	 
TLR2	2.213	transmembrane receptor	Activated	3.187	 	1.33E-05	3.15E-04	ATF3,Ccl2,CCL3L3,CISH,CXCL10,CXCL2,CXCL3,DUSP1,FBXO32,FOXO1,GADD45A,ICAM1,IL1B,IRF1,MYD88,SOCS3,TNF	123 (14)
SMAD7	 	transcription regulator	 	-0.799	 	1.49E-05	3.41E-04	Ccl2,FOXO1,ICAM1,ID1,ID2,ID3,IL1B,NFKBIA,TNF	125 (13)
RIPK1	0.519	kinase	 	0.965	 	1.49E-05	3.41E-04	Ccl2,CCL3L3,CXCL10,CXCL2,IL1B,MAP3K14,TNF,TNFAIP3,VEGFA	91 (12)
GNAQ	 	enzyme	 	1.667	bias	1.49E-05	3.41E-04	ATF3,Ccl2,CCN2,PLAUR,Rnf125,SERPINE1,SOCS3,TGM1,TUBA1C	58 (7)
LDL	 	complex	 	1.982	bias	1.52E-05	3.45E-04	Ccl2,ICAM1,IL1B,TLR2,TRAF6	 
PTAFR	 	G-protein coupled receptor	Inhibited	-2.000	bias	1.59E-05	3.56E-04	CCL3L3,CXCL2,IL1B,TNF	42 (5)
ATF3	1.708	transcription regulator	Inhibited	-2.377	 	1.90E-05	4.17E-04	CCND1,CCNE1,G6PC,GBP6,ICAM1,KRT19,NFKBIZ,TLR2,TNF	145 (17)
PRKD1	 	kinase	Activated	2.976	 	1.90E-05	4.17E-04	Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL2,CXCL3,IL1B,PPARGC1A,TNF	141 (17)
