© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Adipogenesis pathway	3.55E00	1.07E-01	NaN	CEBPB,DDIT3,FGFR2,FZD6,FZD7,HDAC11,HDAC5,NR2F2,PER2,SREBF1,STAT5B,TNF,TXNIP,XBP1	
Xenobiotic Metabolism CAR Signaling Pathway	3.46E00	9.64E-02	-2.000	CITED2,CYP1A1,CYP1A2,CYP2C8,FMO2,GSTA5,GSTM2,Gstm3,Gstm6,HSP90AA1,HSP90AB1,PRKD3,SULT1C2,UGT2B17,UGT2B28,UGT2B7	
Ketogenesis	3.34E00	3.64E-01	-1.000	ACAT2,BDH2,HADHB,HMGCS1	
Stearate Biosynthesis I (Animals)	3.23E00	1.51E-01	0.816	ACOT2,ACSL3,ACSM1,BDH2,CYP4A11,HNF4A,PTGR1,SLC27A1	
Endoplasmic Reticulum Stress Pathway	3.22E00	2.5E-01	-0.447	CASP3,CASP7,DDIT3,ERN1,XBP1	
Protein Ubiquitination Pathway	3.2E00	7.95E-02	NaN	CDC34,DNAJA1,DNAJB1,DNAJB4,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,HSPA4L,HSPA8,HSPB1,HSPB8,HSPE1,HSPH1,MED20,UBC,UBE2F,UBE2G2,UBE2H,USP16,USP2,USP36	
Fatty Acid β-oxidation I	2.91E00	1.76E-01	1.342	ACAA1,ACSL3,ACSM1,EHHADH,HADHB,SLC27A1	
Hypoxia Signaling in the Cardiovascular System	2.87E00	1.22E-01	NaN	CDC34,HSP90AA1,HSP90AB1,LDHA,NFKBIA,NOS3,UBE2F,UBE2G2,UBE2H	
Sirtuin Signaling Pathway	2.72E00	7.43E-02	0.500	ACADL,ACLY,ACSS2,ATG101,ATG16L1,CPT1A,GADD45A,LDHA,MAPK15,MYC,NDUFS6,NOS3,POLR1A,SF3A1,SIRT4,SREBF1,TIMM10,TNF,TOMM40,TUBA8	
Mineralocorticoid Biosynthesis	2.64E00	3.75E-01	NaN	HSD3B1,Hsd3b4 (includes others),HSD3B7	
PPARα/RXRα Activation	2.55E00	8.15E-02	0.000	ACAA1,ACADL,BCL3,CYP2C18,Cyp2c70,CYP2C8,GNA14,HSP90AA1,HSP90AB1,IL1B,NFKBIA,NR0B2,PLCB2,SLC27A1,STAT5B	
Ketolysis	2.47E00	3.33E-01	NaN	ACAT2,BDH2,HADHB	
Glucocorticoid Biosynthesis	2.47E00	3.33E-01	NaN	HSD3B1,Hsd3b4 (includes others),HSD3B7	
Mitochondrial L-carnitine Shuttle Pathway	2.46E00	2.22E-01	NaN	ACSL3,ACSM1,CPT1A,SLC27A1	
1,25-dihydroxyvitamin D3 Biosynthesis	2.42E00	6.67E-01	NaN	CYP2R1,POR	
The Visual Cycle	2.37E00	2.11E-01	-1.000	DHRS3,LRAT,RDH11,RDH13	
PPAR Signaling	2.33E00	9.52E-02	-1.265	CITED2,HSP90AA1,HSP90AB1,IL1A,IL1B,NFKBIA,NR0B2,PDGFA,STAT5B,TNF	
Oxidative Ethanol Degradation III	2.27E00	1.33E-01	NaN	ACSS2,CYP2C18,Cyp2c70,CYP2C8,CYP2R1,CYP2U1	
HIF1α Signaling	2.19E00	7.46E-02	0.775	ADRA1B,CDKN1A,GCK,HMOX1,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA8,KDR,LDHA,MMP17,PIK3R1,PRKD3,SERPINE1,SLC2A3	
Granulocyte Adhesion and Diapedesis	2.16E00	7.88E-02	NaN	ACKR4,CCL27,CCL3L3,Ccl9,CLDN1,CLDN14,Cxcl11,CXCL2,CXCL3,IL1A,IL1B,MMP17,TNF	
LXR/RXR Activation	2.13E00	8.93E-02	-0.816	ABCG5,ABCG8,APOA4,CD14,CYP7A1,FDFT1,IL1A,IL1B,SREBF1,TNF	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.09E00	2.5E-01	NaN	GCK,PGM3,UAP1	
Xenobiotic Metabolism PXR Signaling Pathway	2.07E00	7.69E-02	-3.051	CITED2,CYP2C8,GSTA5,GSTM2,Gstm3,Gstm6,HSP90AA1,HSP90AB1,PRKD3,SULT1C2,UGT2B17,UGT2B28,UGT2B7	
Vitamin-C Transport	2.06E00	1.74E-01	-1.000	SLC23A2,SLC2A3,STOM,TXNRD3	
Neuregulin Signaling	2.03E00	8.62E-02	-0.378	ERBB3,GRB7,HSP90AA1,HSP90AB1,ITGB3,MYC,NRG4,PIK3R1,PRKD3,STAT5B	
eNOS Signaling	2.01E00	7.84E-02	-1.000	AQP8,CASP3,CHRNA2,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA8,KDR,NOS3,PIK3R1,PRKD3	
RAR Activation	2.01E00	7.33E-02	NaN	ADH4,CITED2,CYP26A1,DHRS3,DUSP1,LRAT,NR2F2,PIK3R1,PNRC1,PRKD3,RDH11,RDH13,STAT5B,ZBTB16	
Glycogen Degradation III	1.99E00	2.31E-01	NaN	MGAM,PGM3,PYGL	
Docosahexaenoic Acid (DHA) Signaling	1.95E00	1.32E-01	NaN	BIK,CASP3,IL1B,PIK3R1,PNPLA2	
IL-10 Signaling	1.92E00	1.01E-01	NaN	CD14,HMOX1,IL1A,IL1B,NFKBIA,SOCS3,TNF	
α-tocopherol Degradation	1.92E00	4E-01	NaN	CYP4A11,CYP4F12	
Fatty Acid Activation	1.9E00	2.14E-01	NaN	ACSL3,ACSM1,SLC27A1	
Androgen Biosynthesis	1.9E00	2.14E-01	NaN	HSD3B1,Hsd3b4 (includes others),HSD3B7	
Glutathione-mediated Detoxification	1.87E00	1.54E-01	-2.000	Gsta4,GSTA5,GSTM2,Gstm3	
TREM1 Signaling	1.85E00	9.86E-02	1.890	CD83,CXCL3,IL1B,NLRP12,NLRP3,STAT5B,TNF	
Retinol Biosynthesis	1.85E00	1.25E-01	-0.447	DHRS3,LRAT,PNPLA2,RDH11,RDH13	
Toll-like Receptor Signaling	1.76E00	9.46E-02	0.447	CD14,IL1A,IL1B,NFKBIA,TNF,TNFAIP3,UBC	
Pentose Phosphate Pathway (Non-oxidative Branch)	1.75E00	3.33E-01	NaN	TALDO1,TKT	
UDP-N-acetyl-D-glucosamine Biosynthesis II	1.75E00	3.33E-01	NaN	PGM3,UAP1	
Agranulocyte Adhesion and Diapedesis	1.72E00	6.91E-02	NaN	ACKR4,CCL27,CCL3L3,Ccl9,CLDN1,CLDN14,Cxcl11,CXCL2,CXCL3,IL1A,IL1B,MMP17,TNF	
Type II Diabetes Mellitus Signaling	1.69E00	7.33E-02	1.134	ACSL3,ACSM1,CEBPB,GCK,IRS2,NFKBIA,PIK3R1,PRKD3,SLC27A1,SOCS3,TNF	
Spliceosomal Cycle	1.69E00	1.14E-01	2.236	CWC25,HSPA8,RBM8A,RNF113A,SF3A1	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	1.66E00	1.76E-01	NaN	IL1A,IL1B,TNF	
Glutaryl-CoA Degradation	1.66E00	1.76E-01	NaN	ACAT2,EHHADH,HADHB	
Isoleucine Degradation I	1.66E00	1.76E-01	NaN	ACAT2,EHHADH,HADHB	
γ-linolenate Biosynthesis II (Animals)	1.66E00	1.76E-01	NaN	ACSL3,ACSM1,SLC27A1	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	1.61E00	2.86E-01	NaN	APOBEC3B,CDA	
IL-23 Signaling Pathway	1.61E00	1.09E-01	1.342	IL1B,NFKBIA,PIK3R1,SOCS3,TNF	
STAT3 Pathway	1.61E00	7.41E-02	0.000	CDKN1A,CISH,FGFR2,IL1A,IL1B,KDR,MYC,NTRK1,PIM1,SOCS3	
BAG2 Signaling Pathway	1.57E00	8.64E-02	1.134	CASP3,CDKN1A,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA8,MYC	
Hereditary Breast Cancer Signaling	1.53E00	7.19E-02	NaN	BLM,CDKN1A,GADD45A,HDAC11,HDAC5,PIK3R1,POLR2H,RFC5,UBC,WEE1	
Cell Cycle: G1/S Checkpoint Regulation	1.53E00	9.23E-02	0.447	CDC34,CDKN1A,HDAC11,HDAC5,MAX,MYC	
Retinoate Biosynthesis I	1.52E00	1.21E-01	-1.000	ADH4,DHRS3,RDH11,RDH13	
Telomerase Signaling	1.48E00	7.77E-02	2.236	CDKN1A,ETS2,HDAC11,HDAC5,HSP90AA1,HSP90AB1,MYC,PIK3R1	
TNFR1 Signaling	1.47E00	1E-01	-1.000	CASP3,CASP7,NFKBIA,TNF,TNFAIP3	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.47E00	1E-01	NaN	CDC34,CDKN1A,GADD45A,WEE1,YWHAG	
GADD45 Signaling	1.47E00	1.5E-01	NaN	CDKN1A,GADD45A,MAP3K4	
Methylglyoxal Degradation III	1.47E00	1.5E-01	NaN	ADH4,CYP4A11,PTGR1	
Ferroptosis Signaling Pathway	1.46E00	7.32E-02	-1.000	ANGPTL4,CDKN1A,CHAC1,FDFT1,GCLC,HMOX1,HSPB1,STEAP3,TFRC	
Acetyl-CoA Biosynthesis III (from Citrate)	1.44E00	1E00	NaN	ACLY	
Lanosterol Biosynthesis	1.44E00	1E00	NaN	LSS	
Coagulation System	1.44E00	1.14E-01	0.000	F11,PLAUR,SERPINE1,THBD	
Antioxidant Action of Vitamin C	1.44E00	7.62E-02	0.447	HMOX1,NFKBIA,PLCB2,SLC23A2,SLC2A3,STAT5B,TNF,TXNRD3	
IL-6 Signaling	1.43E00	7.2E-02	0.707	CD14,CEBPB,HSPB1,IL1A,IL1B,NFKBIA,PIK3R1,SOCS3,TNF	
GDP-glucose Biosynthesis	1.4E00	2.22E-01	NaN	GCK,PGM3	
Tumoricidal Function of Hepatic Natural Killer Cells	1.36E00	1.36E-01	NaN	CASP3,CASP7,LYVE1	
Maturity Onset Diabetes of Young (MODY) Signaling	1.34E00	8.33E-02	NaN	APOA4,FABP2,FOXA2,GCK,HNF4A,KLF11	
Glucose and Glucose-1-phosphate Degradation	1.32E00	2E-01	NaN	GCK,PGM3	
Pentose Phosphate Pathway	1.32E00	2E-01	NaN	TALDO1,TKT	
Salvage Pathways of Pyrimidine Ribonucleotides	1.31E00	7.61E-02	-0.816	APOBEC1,APOBEC3B,CDA,G6PC,GRK5,MAP3K8,PIM1	
p38 MAPK Signaling	1.3E00	7.14E-02	2.828	DDIT3,DUSP1,HSPB1,IL1A,IL1B,MAX,MYC,TNF	
CD27 Signaling in Lymphocytes	1.29E00	8.93E-02	0.000	CASP3,MAP3K13,MAP3K4,MAP3K8,NFKBIA	
Tumor Microenvironment Pathway	1.29E00	6.32E-02	2.111	IL1B,ITGB3,LEPR,MMP17,MYC,PDGFA,PIK3R1,SLC1A4,SLC2A3,TIAM1,TNF	
Tryptophan Degradation III (Eukaryotic)	1.27E00	1.25E-01	NaN	ACAT2,EHHADH,HADHB	
Glycogen Degradation II	1.24E00	1.82E-01	NaN	PGM3,PYGL	
IL-17 Signaling	1.23E00	6.37E-02	1.897	CEBPB,Chil3/Chil4,CXCL3,HSP90AA1,HSP90AB1,IL1A,IL1B,PIK3R1,RGS16,TNF	
Hepatic Fibrosis Signaling Pathway	1.2E00	5.19E-02	2.065	CASP3,CEBPB,FZD6,FZD7,IL1A,IL1B,IRS2,ITGB3,KDR,LEPR,MYC,NFKBIA,PDCD4,PDGFA,PIK3R1,PRKD3,RND3,SERPINE1,SUCNR1,TFRC,TNF	
IL-12 Signaling and Production in Macrophages	1.19E00	6.78E-02	NaN	APOA4,CEBPB,JMJD6,MAP3K8,NFKBIA,PIK3R1,PRKD3,TNF	
Huntington's Disease Signaling	1.19E00	5.58E-02	0.000	CASP3,CASP7,DNAJB1,GNA14,HDAC11,HDAC5,HSPA1A/HSPA1B,Hspa1b,HSPA8,NTRK1,PIK3R1,PLCB2,POLR2H,PRKD3,UBC	
Endocannabinoid Cancer Inhibition Pathway	1.19E00	6.47E-02	-1.000	ATF3,CASP3,CASP7,CDKN1A,DDIT3,MYC,NOS3,PIK3R1,TRIB3	
Osteoarthritis Pathway	1.18E00	5.78E-02	0.000	ADAMTS4,CASP3,CASP7,CCN4,CEBPB,DDIT4,FZD6,FZD7,HES1,IL1B,ITGB3,SERPINA12,TNF	
Bile Acid Biosynthesis, Neutral Pathway	1.17E00	1.67E-01	NaN	CYP7A1,HSD3B7	
Endothelin-1 Signaling	1.15E00	5.98E-02	-0.302	CASP3,CASP7,GNA14,HMOX1,MAPK15,MYC,NOS3,PIK3R1,PLCB2,PRKD3,PTGER2	
Epoxysqualene Biosynthesis	1.15E00	5E-01	NaN	FDFT1	
Threonine Degradation II	1.15E00	5E-01	NaN	GCAT	
Putrescine Biosynthesis III	1.15E00	5E-01	NaN	ODC1	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	1.14E00	1.11E-01	NaN	UGT2B17,UGT2B28,UGT2B7	
JAK/Stat Signaling	1.12E00	7.32E-02	-1.633	CDKN1A,CEBPB,CISH,PIK3R1,SOCS3,STAT5B	
Mouse Embryonic Stem Cell Pluripotency	1.12E00	6.86E-02	1.890	FZD6,FZD7,ID1,ID2,ID3,MYC,PIK3R1	
Thrombopoietin Signaling	1.11E00	7.94E-02	-0.447	IRS2,MYC,PIK3R1,PRKD3,STAT5B	
Acyl-CoA Hydrolysis	1.11E00	1.54E-01	NaN	ACOT2,HNF4A	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	1.1E00	8.89E-02	NaN	ETS2,FOXA1,FOXA2,NR2F2	
HER-2 Signaling in Breast Cancer	1.1E00	5.85E-02	2.111	CASP3,CASP7,CDKN1A,ERBB3,ETS2,IL1A,ITGB3,MYC,NFKBIA,PIK3R1,PRKD3	
ErbB2-ErbB3 Signaling	1.09E00	7.81E-02	0.447	ERBB3,MYC,NRG4,PIK3R1,STAT5B	
Prolactin Signaling	1.06E00	7.06E-02	-0.447	CEBPB,MYC,PIK3R1,PRKD3,SOCS3,STAT5B	
Cardiac Hypertrophy Signaling (Enhanced)	1.04E00	4.81E-02	1.225	ADRA1B,ATP2A2,EIF2B4,FGFR2,FZD6,FZD7,GATA4,GDE1,GNA14,HDAC11,HDAC5,HSPB1,IL1A,IL1B,ITGB3,MAP3K13,MAP3K4,MAP3K8,MYC,PDE4B,PIK3R1,PLCB2,PRKD3,RCAN1,TNF	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.03E00	7.46E-02	2.236	CXCL3,IL1A,IL1B,NLRP3,TNF	
Myc Mediated Apoptosis Signaling	1.02E00	8.33E-02	1.000	CASP3,MAX,MYC,TNF	
HGF Signaling	1.02E00	6.2E-02	-0.816	CDKN1A,ETS2,ITGB3,MAP3K13,MAP3K4,MAP3K8,PIK3R1,PRKD3	
Adrenomedullin signaling pathway	1.01E00	5.64E-02	0.632	CASP3,CEBPB,GNA14,IL1A,IL1B,MAPK15,MAX,NOS3,PIK3R1,PLCB2,TNF	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1E00	1.33E-01	NaN	IL1B,TNF	
5-aminoimidazole Ribonucleotide Biosynthesis I	9.79E-01	3.33E-01	NaN	PPAT	
Glutathione Biosynthesis	9.79E-01	3.33E-01	NaN	GCLC	
Serotonin Degradation	9.75E-01	8E-02	-2.000	ADH4,UGT2B17,UGT2B28,UGT2B7	
Iron homeostasis signaling pathway	9.75E-01	6.06E-02	NaN	ABCB10,CDC34,HMOX1,PDGFA,SLC46A1,STAT5B,STEAP3,TFRC	
Prostate Cancer Signaling	9.71E-01	6.31E-02	NaN	CDKN1A,HDAC11,HDAC5,HSP90AA1,HSP90AB1,NFKBIA,PIK3R1	
TNFR2 Signaling	9.67E-01	9.38E-02	NaN	NFKBIA,TNF,TNFAIP3	
Role of JAK2 in Hormone-like Cytokine Signaling	9.67E-01	9.38E-02	NaN	IRS2,SOCS3,STAT5B	
Role of Tissue Factor in Cancer	9.55E-01	6.25E-02	NaN	CASP3,GNA14,IL1B,ITGB3,PIK3R1,PLAUR,STAT5B	
Inhibition of Angiogenesis by TSP1	9.39E-01	9.09E-02	NaN	CASP3,KDR,NOS3	
Transcriptional Regulatory Network in Embryonic Stem Cells	9.28E-01	7.69E-02	NaN	GATA4,GATA6,HNF4A,RFX4	
Nitric Oxide Signaling in the Cardiovascular System	9.1E-01	6.09E-02	0.378	ATP2A2,HSP90AA1,HSP90AB1,KDR,NOS3,PIK3R1,PRKD3	
Pregnenolone Biosynthesis	9.07E-01	1.18E-01	NaN	CYP26A1,CYP4A11	
Small Cell Lung Cancer Signaling	8.89E-01	6.32E-02	NaN	HDAC11,HDAC5,MAX,MYC,NFKBIA,PIK3R1	
IL-17A Signaling in Fibroblasts	8.83E-01	8.57E-02	NaN	CEBPB,NFKBIA,NFKBIZ	
Macropinocytosis Signaling	8.7E-01	6.67E-02	NaN	CD14,ITGB3,PDGFA,PIK3R1,PRKD3	
Pyruvate Fermentation to Lactate	8.63E-01	2.5E-01	NaN	LDHA	
Heme Degradation	8.63E-01	2.5E-01	NaN	HMOX1	
Eumelanin Biosynthesis	8.63E-01	2.5E-01	NaN	DCT	
Trans, trans-farnesyl Diphosphate Biosynthesis	8.63E-01	2.5E-01	NaN	FDPS	
Acetate Conversion to Acetyl-CoA	8.63E-01	2.5E-01	NaN	ACSS2	
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	8.63E-01	2.5E-01	NaN	EHHADH	
Apelin Cardiomyocyte Signaling Pathway	8.57E-01	6.19E-02	0.000	ATP2A2,MAPK15,NOS3,PIK3R1,PLCB2,PRKD3	
Angiopoietin Signaling	8.54E-01	6.58E-02	0.000	GRB7,NFKBIA,NOS3,PIK3R1,STAT5B	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	8.51E-01	5.35E-02	NaN	CD14,CXCL3,FGFR2,IL1A,IL1B,KDR,LEPR,PDGFA,SERPINE1,TNF	
NAD Signaling Pathway	8.45E-01	5.63E-02	0.378	ACADL,CEBPB,ERN1,LDHA,PIK3R1,POLR2H,SIRT4,SREBF1	
Gαq Signaling	8.42E-01	5.45E-02	0.000	ADRA1B,GNA14,HMOX1,NFKBIA,PIK3R1,PLCB2,PRKD3,RGS16,RND3	
Erythropoietin Signaling Pathway	8.3E-01	5.42E-02	-1.000	IL1A,IL1B,IRS2,NFKBIA,NOS3,PIK3R1,PRKD3,STAT5B,TNF	
Role of Cytokines in Mediating Communication between Immune Cells	8.3E-01	8.11E-02	NaN	IL1A,IL1B,TNF	
TWEAK Signaling	8.3E-01	8.11E-02	NaN	CASP3,CASP7,NFKBIA	
Histidine Degradation VI	8.27E-01	1.05E-01	NaN	CYP26A1,CYP4A11	
Inflammasome pathway	8.27E-01	1.05E-01	NaN	IL1B,NLRP3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	8.24E-01	4.87E-02	NaN	ADAMTS4,CEBPB,CEBPE,FZD6,FZD7,IL1A,IL1B,MYC,NFKBIA,PDGFA,PIK3R1,PLCB2,PRKD3,SOCS3,TNF	
AMPK Signaling	8.1E-01	5.04E-02	0.000	ADRA1B,CDKN1A,CHRNA2,CPT1A,GNA14,HNF4A,IRS2,NOS3,PFKFB1,PFKFB2,PIK3R1,PPAT	
Valine Degradation I	7.9E-01	1E-01	NaN	EHHADH,HADHB	
TR/RXR Activation	7.88E-01	6.25E-02	NaN	BCL3,CYP7A1,G6PC,PIK3R1,SREBF1	
Tetrapyrrole Biosynthesis II	7.75E-01	2E-01	NaN	ALAS1	
Citrulline-Nitric Oxide Cycle	7.75E-01	2E-01	NaN	NOS3	
Rapoport-Luebering Glycolytic Shunt	7.75E-01	2E-01	NaN	TIGAR	
Cyclins and Cell Cycle Regulation	7.72E-01	6.17E-02	NaN	CDC34,CDKN1A,HDAC11,HDAC5,WEE1	
PCP pathway	7.67E-01	6.67E-02	0.000	FZD6,FZD7,JUNB,LGR4	
Acute Phase Response Signaling	7.57E-01	5.2E-02	0.000	CEBPB,HMOX1,IL1A,IL1B,NFKBIA,PIK3R1,SERPINE1,SOCS3,TNF	
G-Protein Coupled Receptor Signaling	7.35E-01	4.8E-02	NaN	ADRA1B,DUSP1,GDE1,GNA14,GPR17,HCAR2,MAP3K8,NFKBIA,PDE4B,PIK3R1,PLCB2,PTGER2,RGS16	
Chronic Myeloid Leukemia Signaling	7.33E-01	5.66E-02	NaN	CDKN1A,HDAC11,HDAC5,MYC,PIK3R1,STAT5B	
Glucocorticoid Receptor Signaling	7.3E-01	4.42E-02	NaN	CDKN1A,CXCL3,DUSP1,FKBP5,G6PC,GTF2F1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA8,IL1A,IL1B,MYC,NDUFS6,NFKBIA,NOS3,PFKFB1,PIK3R1,POLR2H,SERPINE1,STAT5B,TNF	
Sertoli Cell-Sertoli Cell Junction Signaling	7.26E-01	5E-02	NaN	CLDN1,CLDN14,ITGB3,MAP3K13,MAP3K4,MAP3K8,NOS3,OCLN,TNF,TUBA8	
Ubiquinol-10 Biosynthesis (Eukaryotic)	7.26E-01	9.09E-02	NaN	CYP26A1,CYP4A11	
Estrogen Receptor Signaling	7.24E-01	4.55E-02	1.291	CDKN1A,EIF2B4,FOXA1,GNA14,HES1,HSP90AA1,HSP90AB1,LEPR,MCU,MED20,MMP17,MYC,NDUFS6,NOS3,NR0B2,PIK3R1,PLCB2,PRKD3	
