© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Small Cell Lung Cancer Signaling	1.89E00	8.42E-02	NaN	AKT3,BCL2,HDAC2,HDAC9,MYC,NFKBIE,RARB,RXRG	
White Adipose Tissue Browning Pathway	1.88E00	7.46E-02	0.000	CACNA1I,LEP,PPARG,PPARGC1A,PRKACA,PRKAG3,PRKG1,RARB,RARG,RXRG	
Th1 and Th2 Activation Pathway	1.87E00	7.1E-02	NaN	CD8A,HLA-DOB,ICOSLG/LOC102723996,IKZF1,IL2RG,IRF1,MAF,SOCS1,SOCS3,TGFBR2,VAV1	
Protein Kinase A Signaling	1.85E00	5.56E-02	-1.000	AKAP6,Calm1 (includes others),DUSP22,DUSP4,FLNC,GNG11,H3-3A/H3-3B,LEF1,NFKBIE,PDE4A,PLCD4,PPP1R10,PPP1R14C,PRKACA,PRKCB,PTK2B,PTPN6,PTPRC,SMAD3,Tcf7,TGFBR2	
NF-κB Activation by Viruses	1.85E00	8.97E-02	1.890	AKT3,CXCR5,MAP3K14,NFKBIE,PRKCB,RALA,RIPK1	
Retinoic acid Mediated Apoptosis Signaling	1.84E00	1.14E-01	0.000	IRF1,RARB,RARG,RXRG,TNKS2	
Extrinsic Prothrombin Activation Pathway	1.84E00	1.88E-01	NaN	F3,FGG,THBD	
mTOR Signaling	1.82E00	6.5E-02	1.667	AKT3,DDIT4,EIF4A1,EIF4EBP1,HMOX1,PPM1L,PPP2R3A,PRKAG3,PRKCB,RALA,RHOH,RPS27L,RPS6KA5	
IL-4 Signaling	1.79E00	8.75E-02	NaN	AKT3,HLA-DOB,IL2RG,NR3C2,PTPN6,RALA,SOCS1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.75E00	6.05E-02	1.291	AKT3,BCL2,Calm1 (includes others),CD79B,LEP,LILRB4,MAP3K14,MYC,MYD88,PRKCB,PTPN6,RALA,RASGRP1,RASGRP3,VAV1	
JAK/Stat Signaling	1.74E00	8.54E-02	-1.890	AKT3,CISH,PTPN6,RALA,SOCS1,SOCS2,SOCS3	
Pancreatic Adenocarcinoma Signaling	1.69E00	7.32E-02	1.342	AKT3,BCL2,HDAC2,HDAC9,HMOX1,RALA,RALGDS,SMAD3,TGFBR2	
MSP-RON Signaling In Macrophages Pathway	1.67E00	7.69E-02	0.707	CIITA,ETV3,GAB2,HLA-DOB,RALA,SBNO2,SOCS1,SOCS3	
Prolactin Signaling	1.66E00	8.24E-02	-0.378	IRF1,MYC,PRKCB,RALA,SOCS1,SOCS2,SOCS3	
ILK Signaling	1.66E00	6.38E-02	1.265	AKT3,FLNC,IRS2,ITGB6,LEF1,MYC,MYO5C,PPM1L,PPP2R3A,RHOH,RPS6KA5,VIM	
Chronic Myeloid Leukemia Signaling	1.63E00	7.55E-02	NaN	AKT3,GAB2,HDAC2,HDAC9,MYC,RALA,SMAD3,TGFBR2	
FAT10 Cancer Signaling Pathway	1.63E00	1E-01	1.000	AKT3,NFKBIE,SMAD3,TGFBR2,TNFRSF1B	
Aryl Hydrocarbon Receptor Signaling	1.61E00	6.76E-02	0.707	AHR,ESR1,HSPB1,MYC,NFE2L2,NFIB,NQO2,RARB,RARG,RXRG	
DNA Methylation and Transcriptional Repression Signaling	1.61E00	1.18E-01	NaN	DNMT3A,H3-3A/H3-3B,HDAC2,SAP30	
Ceramide Signaling	1.59E00	7.95E-02	-1.134	AKT3,BCL2,PPM1L,PPP2R3A,RALA,S1PR4,TNFRSF1B	
Coagulation System	1.57E00	1.14E-01	1.000	F3,FGG,SERPINE1,THBD	
Epithelial Adherens Junction Signaling	1.56E00	6.62E-02	NaN	AKT3,BAIAP2,LEF1,MYO5C,RALA,Tcf7,TGFBR2,TUBA1C,TUBB,TUBB6	
Acute Myeloid Leukemia Signaling	1.54E00	7.78E-02	1.342	AKT3,EIF4EBP1,LEF1,MYC,RALA,RUNX1,Tcf7	
ERK5 Signaling	1.53E00	8.45E-02	-0.816	MAP3K8,MEF2C,MYC,RALA,RPS6KA5,SGK1	
Xenobiotic Metabolism Signaling	1.53E00	5.66E-02	NaN	AHR,FTL,HMOX1,HS2ST1,HS3ST5,MAF,MAP3K14,MAP3K8,NFE2L2,NQO2,PPARGC1A,PPM1L,PPP2R3A,PRKCB,RALA	
p38 MAPK Signaling	1.5E00	7.14E-02	1.414	H3-3A/H3-3B,HSPB1,MAP4K1,MEF2C,MYC,RPS6KA5,TGFBR2,TNFRSF1B	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1.5E00	7.61E-02	2.646	AKT3,GAB2,HMOX1,MYO5A,PRKCB,PTK2B,VAV1	
TWEAK Signaling	1.49E00	1.08E-01	1.000	MAP3K14,NFKBIE,RIPK1,TNFRSF12A	
Thio-molybdenum Cofactor Biosynthesis	1.48E00	1E00	NaN	MOCOS	
Non-Small Cell Lung Cancer Signaling	1.47E00	7.53E-02	NaN	AKT3,HDAC2,HDAC9,RALA,RARB,RASSF1,RXRG	
HOTAIR Regulatory Pathway	1.46E00	6.37E-02	0.333	AKT3,ESR1,H3-3A/H3-3B,HDAC2,IRF1,LEF1,MYC,Tcf7,VIM,WNT5A	
Death Receptor Signaling	1.45E00	7.45E-02	-0.378	BCL2,HSPB1,MAP3K14,NFKBIE,RIPK1,TNFRSF1B,TNKS2	
Apelin Endothelial Signaling Pathway	1.43E00	6.57E-02	-1.134	AKT3,ANGPT1,Calm1 (includes others),GNG11,MEF2C,PRKAG3,PRKCB,RALA,SMAD3	
Apelin Cardiac Fibroblast Signaling Pathway	1.41E00	1.3E-01	NaN	AKT3,PRKAG3,SERPINE1	
Thyroid Cancer Signaling	1.39E00	7.79E-02	1.633	AKT3,IRS2,LEF1,MYC,RALA,Tcf7	
Human Embryonic Stem Cell Pluripotency	1.36E00	6.13E-02	NaN	AKT3,BMPR1A,FGF2,GNG11,LEF1,S1PR4,SMAD3,Tcf7,TGFBR2,WNT5A	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.32E00	1.2E-01	NaN	OSMR,SOCS1,SOCS3	
Senescence Pathway	1.32E00	5.3E-02	-0.775	AKT3,ATF3,Calm1 (includes others),EIF4EBP1,ELF1,GADD45B,GADD45G,PPM1L,PPP2R3A,RALA,RPS6KA5,SERPINE1,SMAD3,TGFBR2,TLR2	
Th2 Pathway	1.32E00	6.56E-02	0.816	HLA-DOB,ICOSLG/LOC102723996,IKZF1,IL2RG,MAF,SOCS3,TGFBR2,VAV1	
IL-2 Signaling	1.3E00	8.2E-02	0.447	AKT3,IL2RG,PTK2B,RALA,SOCS1	
Molecular Mechanisms of Cancer	1.3E00	4.85E-02	NaN	AKT3,ARHGEF9,BCL2,BMPR1A,GAB2,GNG11,HDAC2,HDAC9,ITGB6,LEF1,MYC,NFKBIE,PRKACA,PRKCB,RALA,RALGDS,RASGRP1,RHOH,SMAD3,TGFBR2,WNT5A	
Factors Promoting Cardiogenesis in Vertebrates	1.3E00	6.21E-02	0.333	BMPR1A,LEF1,MEF2C,MYC,PLCD4,PRKCB,Tcf7,TGFBR2,WNT5A	
Ferroptosis Signaling Pathway	1.3E00	6.5E-02	-0.707	FTL,HMOX1,HSPB1,NFE2L2,PRKAG3,RALA,SLC1A5,TFRC	
Mouse Embryonic Stem Cell Pluripotency	1.29E00	6.86E-02	1.890	AKT3,BMPR1A,ID3,LEF1,MYC,RALA,Tcf7	
AMPK Signaling	1.29E00	5.46E-02	1.265	AKT3,EIF4EBP1,GNG11,IRS2,LEP,PFKFB1,PFKFB3,PFKFB4,PPARGC1A,PPM1L,PPP2R3A,PRKACA,PRKAG3	
Role of NFAT in Cardiac Hypertrophy	1.28E00	5.58E-02	-0.632	AKT3,CACNA1I,Calm1 (includes others),GNG11,HDAC2,HDAC9,MEF2C,PLCD4,PRKACA,PRKCB,RALA,TGFBR2	
14-3-3-mediated Signaling	1.27E00	6.4E-02	0.447	AKT3,PLCD4,PRKCB,RALA,TUBA1C,TUBB,TUBB6,VIM	
IL-6 Signaling	1.27E00	6.4E-02	0.707	AKT3,HSPB1,MAP3K14,NFKBIE,RALA,SOCS1,SOCS3,TNFRSF1B	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.26E00	5.7E-02	NaN	AKT3,FGF2,LEF1,MAML1,PARD6B,PYGO1,RALA,SMAD3,Tcf7,TGFBR2,WNT5A	
Natural Killer Cell Signaling	1.26E00	5.88E-02	1.897	AKT3,HSPA1A/HSPA1B,Hspa1b,MAP3K14,MAP3K8,MYD88,PTK2B,PTPN6,RALA,VAV1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.25E00	5.53E-02	NaN	AKT3,BCL2,BMPR1A,Calm1 (includes others),CSF1,LEF1,MAP3K14,NFKBIE,PTK2B,Tcf7,TNFRSF1B,WNT5A	
HIPPO signaling	1.25E00	7.23E-02	NaN	PPM1L,PPP1R10,PPP1R14C,PPP2R3A,RASSF1,SMAD3	
Thrombopoietin Signaling	1.25E00	7.94E-02	1.342	GAB2,IRS2,MYC,PRKCB,RALA	
Induction of Apoptosis by HIV1	1.23E00	7.81E-02	0.447	BCL2,MAP3K14,NFKBIE,RIPK1,TNFRSF1B	
PFKFB4 Signaling Pathway	1.22E00	8.89E-02	-1.000	FGF2,PFKFB4,PRKACA,RPS6KA5	
iNOS Signaling	1.19E00	8.7E-02	NaN	Calm1 (includes others),IRF1,MYD88,NFKBIE	
Sulfate Activation for Sulfonation	1.19E00	5E-01	NaN	PAPSS2	
Anandamide Degradation	1.19E00	5E-01	NaN	FAAH	
p70S6K Signaling	1.19E00	6.15E-02	1.414	AKT3,CD79B,IL2RG,PLCD4,PPM1L,PPP2R3A,PRKCB,RALA	
Acyl-CoA Hydrolysis	1.18E00	1.54E-01	NaN	ACOT11,THEM4	
Th1 Pathway	1.17E00	6.42E-02	0.000	CD8A,HLA-DOB,ICOSLG/LOC102723996,IRF1,SOCS1,SOCS3,VAV1	
Acetone Degradation I (to Methylglyoxal)	1.16E00	1.03E-01	NaN	CYP4A11,POR,PTGR2	
Ovarian Cancer Signaling	1.15E00	5.81E-02	NaN	AKT3,BCL2,HDAC2,HDAC9,LEF1,PRKACA,RALA,Tcf7,WNT5A	
IL-8 Signaling	1.15E00	5.45E-02	1.265	AKT3,ANGPT1,BCL2,EIF4EBP1,GNG11,HMOX1,NFKBIE,PRKCB,PTK2B,RALA,RHOH	
Myc Mediated Apoptosis Signaling	1.14E00	8.33E-02	0.000	BCL2,MYC,PRKACA,TNFRSF1B	
Apelin Muscle Signaling Pathway	1.14E00	8.33E-02	NaN	AKT3,GNG11,PPARGC1A,PRKAG3	
RANK Signaling in Osteoclasts	1.14E00	6.74E-02	1.342	AKT3,Calm1 (includes others),MAP3K14,MAP3K8,NFKBIE,PTK2B	
Prostate Cancer Signaling	1.13E00	6.31E-02	NaN	AKT3,BCL2,HDAC2,HDAC9,LEF1,NFKBIE,RALA	
MSP-RON Signaling In Cancer Cells Pathway	1.12E00	5.97E-02	2.121	AKT3,ELF1,LEF1,MYC,PTK2B,RALA,Tcf7,VIM	
Role of Tissue Factor in Cancer	1.12E00	6.25E-02	NaN	AKT3,CSF1,F3,FGG,PTK2B,RALA,RPS6KA5	
Aldosterone Signaling in Epithelial Cells	1.1E00	5.66E-02	-1.342	DNAJB1,HSPA1A/HSPA1B,HSPB1,NR3C2,PIP4K2B,PLCD4,PRKCB,Sacs,SGK1	
GM-CSF Signaling	1.1E00	7.14E-02	0.447	AKT3,CISH,PRKCB,RALA,RUNX1	
Interferon Signaling	1.09E00	9.68E-02	NaN	BCL2,IRF1,SOCS1	
TREM1 Signaling	1.07E00	7.04E-02	2.236	AKT3,CD83,CIITA,MYD88,TLR2	
Coronavirus Pathogenesis Pathway	1.07E00	5.41E-02	1.265	ATP6V1A,BCL2,HDAC2,HDAC9,NFKBIE,RIPK1,RPS27L,SERPINE1,SMAD3,TGFBR2	
PD-1, PD-L1 cancer immunotherapy pathway	1.07E00	6.45E-02	-1.633	AKT3,HLA-DOB,IL2RG,RASGRP1,SMAD3,TNFRSF1B	
UVB-Induced MAPK Signaling	1.06E00	7.84E-02	NaN	EIF4EBP1,H3-3A/H3-3B,PRKCB,RPS6KA5	
TNFR2 Signaling	1.06E00	9.38E-02	NaN	MAP3K14,NFKBIE,TNFRSF1B	
Endocannabinoid Cancer Inhibition Pathway	1.05E00	5.76E-02	-1.134	AKT3,ATF3,LEF1,MYC,PRKACA,PRKAG3,Tcf7,VIM	
p53 Signaling	1.05E00	6.38E-02	-1.000	AKT3,BCL2,GADD45B,GADD45G,HDAC9,THBS1	
Androgen Signaling	1.05E00	5.52E-02	0.447	CACNA1I,Calm1 (includes others),DNAJB1,GNG11,GTF2B,H3-3A/H3-3B,PRKACA,PRKCB,SMAD3	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.05E00	5.35E-02	NaN	BCL2,CSF1,FGF2,IGFBP5,LEP,MYO5C,SERPINE1,SMAD3,TGFBR2,TNFRSF1B	
Leptin Signaling in Obesity	1.04E00	6.85E-02	NaN	AKT3,LEP,PLCD4,PRKACA,SOCS3	
Colorectal Cancer Metastasis Signaling	1.03E00	4.96E-02	0.905	AKT3,GNG11,LEF1,MYC,PRKACA,RALA,RALGDS,RHOH,SMAD3,Tcf7,TGFBR2,TLR2,WNT5A	
Inhibition of Angiogenesis by TSP1	1.03E00	9.09E-02	NaN	AKT3,TGFBR2,THBS1	
Cardiac β-adrenergic Signaling	1.02E00	5.45E-02	0.378	AKAP6,GNG11,PDE4A,PKIA,PPM1L,PPP1R10,PPP1R14C,PPP2R3A,PRKACA	
Coenzyme A Biosynthesis	1.02E00	3.33E-01	NaN	COASY	
1,25-dihydroxyvitamin D3 Biosynthesis	1.02E00	3.33E-01	NaN	POR	
Glutathione Biosynthesis	1.02E00	3.33E-01	NaN	GCLM	
1D-myo-inositol Hexakisphosphate Biosynthesis V (from Ins(1,3,4)P3)	1.02E00	3.33E-01	NaN	ITPK1	
S-adenosyl-L-methionine Biosynthesis	1.02E00	3.33E-01	NaN	MAT2A	
Stearate Biosynthesis I (Animals)	1.02E00	7.55E-02	NaN	ACOT11,CYP4A11,PTGR2,THEM4	
Dopamine Receptor Signaling	1.02E00	6.76E-02	NaN	PPM1L,PPP1R10,PPP1R14C,PPP2R3A,PRKACA	
VEGF Signaling	1.02E00	6.25E-02	0.000	AKT3,BCL2,PRKCB,PTK2B,PTPN6,RALA	
RhoA Signaling	1.01E00	5.88E-02	-0.378	ARHGAP9,BAIAP2,CDC42EP1,CDC42EP2,PIP4K2B,PTK2B,SEPTIN11	
RAR Activation	1E00	5.24E-02	NaN	AKT3,PPARGC1A,PRKACA,PRKCB,RARB,RARG,RDH13,RDH14,RXRG,SMAD3	
Sperm Motility	9.83E-01	4.96E-02	-1.134	CACNA1I,Calm1 (includes others),GNG11,MUSK,PDE4A,PLCD4,PRKACA,PRKCB,PRKG1,PTK2B,SLC16A10,TYRO3	
Angiopoietin Signaling	9.79E-01	6.58E-02	-1.000	AKT3,ANGPT1,GRB14,NFKBIE,RALA	
Pregnenolone Biosynthesis	9.75E-01	1.18E-01	NaN	CYP4A11,MICAL1	
Cell Cycle Regulation by BTG Family Proteins	9.71E-01	8.57E-02	NaN	BTG1,PPM1L,PPP2R3A	
Sirtuin Signaling Pathway	9.67E-01	4.83E-02	1.732	ATG16L2,GABARAPL1,GADD45B,GADD45G,H3-3A/H3-3B,MYC,NFE2L2,PFKFB3,PPARG,PPARGC1A,RARB,SIRT7,TUBA1C	
Role of PKR in Interferon Induction and Antiviral Response	9.55E-01	5.69E-02	-0.378	ATF3,FANCC,HSPA1A/HSPA1B,Hspa1b,IRF1,MYD88,NFKBIE	
Adrenomedullin signaling pathway	9.55E-01	5.13E-02	-1.265	AKT3,BCL2,Calm1 (includes others),PLCD4,PPARG,PRKACA,PRKG1,PTK2B,RALA,RXRG	
SPINK1 General Cancer Pathway	9.51E-01	7.14E-02	-1.000	AKT3,Mt1,Mt2,RALA	
VDR/RXR Activation	9.43E-01	6.41E-02	NaN	GTF2B,IGFBP5,PRKCB,RXRG,THBD	
IL-3 Signaling	9.43E-01	6.41E-02	0.447	AKT3,GAB2,PRKCB,PTPN6,RALA	
FLT3 Signaling in Hematopoietic Progenitor Cells	9.24E-01	6.33E-02	-0.447	AKT3,EIF4EBP1,GAB2,RALA,RPS6KA5	
Sertoli Cell-Sertoli Cell Junction Signaling	9.03E-01	5E-02	NaN	AKT3,ITGB6,MAP3K14,MAP3K8,PRKACA,PRKG1,RALA,TUBA1C,TUBB,TUBB6	
Pentose Phosphate Pathway (Oxidative Branch)	9.03E-01	2.5E-01	NaN	PGD	
Heme Degradation	9.03E-01	2.5E-01	NaN	HMOX1	
PRPP Biosynthesis I	9.03E-01	2.5E-01	NaN	Prps1l3	
Phenylethylamine Degradation I	9.03E-01	2.5E-01	NaN	AOC2	
Synaptic Long Term Potentiation	9E-01	5.51E-02	-1.134	Calm1 (includes others),PLCD4,PPP1R10,PPP1R14C,PRKACA,PRKCB,RALA	
P2Y Purigenic Receptor Signaling Pathway	9E-01	5.51E-02	-0.378	AKT3,GNG11,MYC,PLCD4,PRKACA,PRKCB,RALA	
HIF1α Signaling	8.93E-01	4.98E-02	0.000	AKT3,EIF4EBP1,FGF2,HMOX1,HSPA1A/HSPA1B,Hspa1b,PRKCB,RALA,SERPINE1,VIM	
The Visual Cycle	8.93E-01	1.05E-01	NaN	RDH13,RDH14	
Histidine Degradation VI	8.93E-01	1.05E-01	NaN	CYP4A11,MICAL1	
Inflammasome pathway	8.93E-01	1.05E-01	NaN	MYD88,P2RX7	
Coronavirus Replication Pathway	8.93E-01	7.89E-02	NaN	TUBA1C,TUBB,TUBB6	
Dopamine-DARPP32 Feedback in cAMP Signaling	8.86E-01	5.08E-02	-1.667	Calm1 (includes others),PLCD4,PPM1L,PPP1R10,PPP1R14C,PPP2R3A,PRKACA,PRKCB,PRKG1	
