© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
PNPT1	0.566	enzyme	Inhibited	-4.583	bias	1.25E-13	3.22E-11	Apol9a/Apol9b,CXCL10,DDX58,EIF2AK2,GBP2,GBP4,GBP6,IFIH1,IFIT1B,IFIT3,Irgm1,ISG15,PARP14,PARP9,RNF213,RTP4,STAT1,STAT2,Tgtp1/Tgtp2,Trim30a/Trim30d,USP18	 
TLR4	 	transmembrane receptor	Activated	5.408	 	3.03E-13	7.16E-11	ATF3,ATF6,Ccl2,CCL3L3,CCND2,CD14,CEBPD,CERS6,CISH,CXCL10,Cxcl11,CXCL2,Cxcl9,DAXX,FOS,GBP2,GJA1,HMOX1,HSPA5,ICAM1,Ifi47,IFIT1B,IFIT2,IFIT3,Igtp,IL1B,IRAK4,IRF1,IRF8,IRGM,Irgm1,ISG15,ISG20,ITGAM,LILRB4,MARCO,METTL1,Mx2,NFKBIA,NFKBIZ,OASL,PELI1,PLEK,PLK2,RELB,RGS1,RGS16,SCARB1,SGMS2,SLCO3A1,SOCS3,ST3GAL1,STAT1,STAT2,STAT3,STAT5A,TLR2,TNF,TNFSF10,TRIM21,UGCG,Wfdc17,XBP1	228 (16)
OSMR	 	transmembrane receptor	 	0.447	 	1.42E-12	2.91E-10	BCL3,CASP4,Ccl2,CISH,CXCL10,CXCL2,Cxcl9,DHX58,FASN,FOS,GBP2,GBP4,GBP5,Ifi47,Igtp,Irgm1,LRG1,Mx2,PIM1,Serpina3g (includes others),SOCS3,SREBF1,STAT3,ZFP36	186 (12)
CREB1	 	transcription regulator	 	0.732	bias	1.49E-12	2.91E-10	ABCA1,ATF3,BHLHE40,CEBPA,CEBPB,Chil3/Chil4,CIART,CSRNP1,EGR1,ERRFI1,FASN,FOS,HMGCR,HSPA4,IRS2,LDLR,LSS,MIDN,MKNK2,MRC1,MYC,NAB2,NFIL3,PER1,PPARGC1A,SERTAD1,SPTY2D1,SREBF1,TIPARP,VEGFA	31 (2)
ACKR2	 	G-protein coupled receptor	Inhibited	-4.548	bias	1.54E-12	2.91E-10	ACOD1,ADAR,CCL3L3,CCR2,CXCL10,Cxcl9,DDX58,DHX58,EIF2AK2,Ifi47,IFIT1B,IFIT2,IFIT3,IL1B,ISG15,ISG20,OASL,STAT1,STAT2,TNF,USP18	 
IKBKB	 	kinase	 	1.665	 	1.72E-12	3.04E-10	ABCA1,ACOD1,ATF3,Ccl2,CCL3L3,CCN2,CCND1,CEBPB,CEBPD,CSF1,CTSF,CXCL10,Cxcl11,CXCL2,Cxcl9,CXCR4,FOS,GADD45A,GBP2,H2AX,HK2,HMOX1,ICAM1,IFIT1B,IL1B,IL1RN,ISG15,ITGB5,LCN2,LMNB1,MYC,NAGLU,NFKB2,NFKBIA,NFKBIB,OGN,RCAN1,RELB,RGS16,Saa3,SGK1,SOCS3,TNF,TNFAIP2,TNFRSF1B,TP53,VEGFA	209 (14)
IRF7	 	transcription regulator	Activated	5.092	bias	2.68E-12	4.47E-10	Ccl2,CXCL10,DAXX,DDX58,DHX58,GBP5,Hamp/Hamp2,Ifi47,IFIH1,IFIT1B,IFIT2,IFIT3,Igtp,IRF8,IRGM,Irgm1,ISG15,ISG20,Mx2,OASL,PARP14,STAT1,STAT2,TAP1,Trim30a/Trim30d,USP18,ZBP1	106 (9)
SOCS1	 	other	Inhibited	-3.794	bias	3.69E-12	5.81E-10	ACOD1,CCND1,CCND2,CDKN1A,Chil3/Chil4,CISH,CXCL10,Cxcl9,DDX58,DUSP1,GBP5,GBP6,Gvin1 (includes others),Ifi47,IFIH1,IFIT1B,IFIT2,IFIT3,IL1B,IRF1,IRGM,IRS2,ISG15,Mx2,SOCS3,STAT1,TNF,USP18	212 (16)
TLR9	 	transmembrane receptor	Activated	4.004	bias	3.93E-12	5.85E-10	ABCA1,ACOD1,ADAMTS4,ATF3,Ccl2,CCL3L3,CCND1,CERS6,CISH,CSF1,CXCL10,CXCL2,DUSP1,EGR1,Hamp/Hamp2,HMOX1,ICAM1,IER3,IFIT1B,IFIT2,IFIT3,IL1B,IRAK4,ISG15,LCN2,LILRB4,MYC,MYD88,NFKBIZ,PHLDA1,PTGER2,Saa3,SERPINE1,SGMS2,SOCS3,ST3GAL5,STAT2,TNF,TNFRSF1B,TP53,UAP1,UGCG,USP18,Wfdc17	290 (18)
ZBTB10	 	other	Activated	5.911	bias	5.24E-12	7.42E-10	ACOD1,CASP4,CCL3L3,CREB3,CXCL10,Cxcl9,DDX58,DHX58,DTX3L,GBP4,GBP5,GBP6,Ifi47,IFIH1,IFIT1,IFIT1B,IFIT2,IFIT3,Igtp,IL1B,IL1RN,IRF1,IRGM,Irgm1,ISG15,ISG20,Mx2,MYD88,OASL,PARP9,RELB,RTP4,SERPINE1,STAT2,STAT5A,Tgtp1/Tgtp2,TNF,TNFRSF1A,ZBP1	 
IFNG	 	cytokine	Activated	5.863	 	8.28E-12	1.12E-09	ABCA1,ACOD1,ATF4,BCL3,BIRC2,BTG1,C5AR1,CASP4,Ccl2,CCL3L3,CCN2,CCND2,CCR2,CD14,CDKN1A,CEACAM1,CEBPA,CEBPB,CEBPD,CERS6,Chil3/Chil4,CSF1,CXCL10,Cxcl11,CXCL2,Cxcl9,CXCR4,DUSP1,EIF2AK2,GBP2,GBP4,GBP5,GBP6,GBP7,GJA1,GJB2,GPR12,GPR146,HCAR2,HCK,HERC6,HK2,ICAM1,Ifi47,IFIH1,IFIT1,IFIT2,Igtp,IL1B,IRF1,IRF8,Irgm1,IRS2,ITGAM,KLF2,LCN2,MARCKSL1,MRC1,Mx2,MYC,MYD88,NFKB2,NFKBIA,NFKBIZ,PCK1,PHLDA1,PIM1,RAE1,RNF31,Saa3,Serpina3g (includes others),SLC7A11,SMAGP,SOCS3,SREBF1,STAT1,STAT2,STAT3,TAP1,Tgtp1/Tgtp2,TLR2,TNF,TNFRSF1A,TNFSF10,TP53,VEGFA,VIPR1,Wfdc17,ZBTB16	228 (16)
IFNB1	 	cytokine	Activated	2.550	 	9.57E-12	1.23E-09	ACOD1,Ccl2,Cd24a,CDKN1A,CXCL10,CXCL2,DAXX,DDX58,EIF2AK2,FOS,GBP2,GBP4,GBP5,GBP6,GBP7,HMGCR,Ifi47,IFIH1,IFIT1B,IFIT2,IFIT3,Igtp,IL1B,IRF1,IRGM,Irgm1,ISG15,ISG20,LAMB1,MYC,NFKBIE,OGN,PDK4,RND3,SLC39A14,STAT1,STAT2,TNF,TNFSF10,TRIM21,Trim30a/Trim30d,USP18	215 (15)
MYD88	0.818	other	Activated	5.478	bias	9.96E-12	1.23E-09	ACOD1,AGTR1,APCS,ATF6,AXIN2,BCL3,BLM,CASP4,Ccl2,CCL3L3,CD14,CEBPD,CXCL10,CXCL13,CXCL2,Cxcl9,DAXX,DUSP1,EGR1,ETS2,FPR2,HSPA5,ICAM1,IFIT1B,IFIT2,IKBKE,IL1B,IL1RN,IRF1,IRF8,ISG15,LTB4R2,MAFF,MARCO,MRC1,MYC,Nes,NFKB2,NFKBIA,NFKBIZ,OASL,RELB,SAA1,Saa3,SCARB1,SERPINE1,SLCO3A1,SOCS3,TLR2,TNF,USP18	239 (15)
ADRB	 	group	Inhibited	-2.073	 	1.33E-11	1.57E-09	AACS,ADAMTS4,ANGPTL4,ARHGEF3,ATF3,AXL,BHLHE40,BOK,CASP4,CAVIN2,Ccl2,CCND1,CCNE1,CDKN1A,CXCL10,CXCL2,DDIT4,E2F4,GADD45A,HMOX1,HSD3B7,ICAM1,IFIT3,LPIN1,LSS,MVD,OASL,PPARGC1A,RBL2,SLC7A11,SMAD6,SRM,TRAF3,WEE1,YPEL3	158 (4)
TNF	2.476	cytokine	Activated	5.105	 	3.42E-11	3.87E-09	ABCA1,APCS,ATF4,BACE1,BIRC2,CASP4,Ccl2,CCL3L3,CCND1,CCR2,CD14,CEBPA,CEBPB,CEBPD,CSF1,CXCL10,Cxcl11,CXCL13,CXCL2,Cxcl9,EGR1,F3,GBP2,GBP6,HK2,HMOX1,ICAM1,IFIT1B,IL1B,IL1RN,IRF1,IRS1,ISG15,ITGAM,Kcnn2,KRT18,LCN2,MYD88,NFKBIA,NFKBIZ,OCLN,RIPK1,RNF31,RORA,SAA1,Saa3,SERPINE1,SOCS3,STAT1,STAT3,STEAP4,SYVN1,Tgtp1/Tgtp2,TLR1,TLR2,TNF,TNFRSF1A,TNFRSF1B,TP53,TSC22D3,TXNIP,UBE2H	276 (17)
CLOCK	-0.563	transcription regulator	 	 	 	3.99E-11	4.34E-09	ANGPTL4,BHLHE40,CEBPA,DBP,DNAJB9,EGFR,ELOVL6,FASN,FOXA3,GADD45A,GIMAP4,HSPH1,ICAM1,ID1,IKBKE,LIG3,LPIN1,MAP2K3,MGAT2,MID1IP1,MKNK2,NFIL3,NPAS2,PA2G4,PER1,PER2,PIGA,POMGNT1,PRELID3B,RSL1D1,SLC20A1,SLC30A5,ST3GAL5,TMED3,Trim30a/Trim30d,TSPAN4,WEE1	 
G protein alphai	 	group	Activated	3.816	bias	5.98E-11	6.27E-09	ATF3,CEBPD,CXCL10,DDX58,FOS,GBP2,GBP4,GBP5,GBP6,GBP7,IFIH1,IFIT1B,IFIT3,Igtp,IRGM,Irgm1,ISG15,LDLR,MAFF,RAB20,SOCS3,TAP1,TGM1,TUBB6,USP18	 
TLR3	 	transmembrane receptor	Activated	4.576	bias	1.42E-10	1.44E-08	ABCA1,ACOD1,ADAMTS4,ATF3,Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL2,DUSP1,EIF2AK2,GBP2,GBP4,Hamp/Hamp2,HMOX1,ICAM1,IER3,IFIH1,IFIT2,IFIT3,IL1B,IRF1,ISG15,LCN2,LILRB4,NFKBIZ,OASL,PHLDA1,PLK2,PTGER2,RGS1,RHBDD3,Saa3,SERPINE1,SOCS3,TNF,TNFRSF1A,TNFRSF1B,USP18	253 (13)
NCOA2	 	transcription regulator	 	1.117	 	1.94E-10	1.90E-08	Ccl2,CCL3L3,CXCL10,Cxcl11,Cxcl9,ELOVL6,FASN,G6PC,GBP5,HCAR2,HMGCR,IFIT1B,IFIT2,IL1B,IP6K2,IRF1,ISG15,LDLR,LPIN1,OASL,P2RY13,PCK1,PPP1R3C,RAI1,RORA,SREBF1,THRA,TMEM100,TNF,TRIM5	202 (10)
STAT6	 	transcription regulator	Inhibited	-2.929	 	2.83E-10	2.67E-08	BCL3,BIRC2,CAMK1D,Ccl2,CCL3L3,CCND2,Cd24a,CEL,Chil3/Chil4,CISH,CLDN2,CXCL10,CXCL2,DHX58,EFHD2,EGR1,EIF2AK2,FASN,FSCN1,GBP2,GBP5,GBP6,GBP7,HCK,HMGCR,IFIH1,IFIT1B,IFIT3,Igtp,IL1B,IRAK3,IRF1,IRF9,Irgm1,IRS2,ISG15,ISG20,LACC1,LILRB4,LY6D,NEDD1,NFIL3,NFKBIA,NMD3,OASL,PDK4,PLSCR1,PPARGC1A,PXK,RNF213,STAT2,STAT5A,STAT5B,TBC1D17,Tgtp1/Tgtp2,TMED8,TMEM131,TNF,TNIP2,Trim30a/Trim30d,XBP1,ZBP1	263 (17)
IFN Beta	 	group	 	-0.858	 	4.83E-10	4.42E-08	Ccl2,CEBPD,CXCL10,Cxcl9,DDX58,DHX58,IFIH1,IFIT1B,IFIT2,IFIT3,IRF1,IRF9,ISG15,ISG20,KIT,OASL,SERPINE1,STAT1,STAT2,TNF,USP18	 
PHF12	 	transcription regulator	Inhibited	-4.000	bias	8.27E-10	7.32E-08	BRIX1,DDX56,EIF3A,GTPBP4,H2AX,NMD3,NOP2,PA2G4,PES1,PRPF31,RNASEL,RRP9,SMN1/SMN2,SURF6,TSR1,UTP20	 
CRY1	 	enzyme	 	-0.348	 	1.23E-09	1.05E-07	ARNTL,CEBPA,DBP,FOS,IL1B,PCK1,PER1,PER2,SGK1	12 (2)
SIRT1	 	transcription regulator	Inhibited	-3.651	 	1.65E-09	1.37E-07	ABCA1,ADAR,Ccl2,CCND1,CCND2,CEBPB,CELA1,DBP,DDX58,DHX58,EIF2AK3,ERO1A,FOXO1,G6PC,GABARAPL1,GADD45A,GATA4,GBP6,GFPT1,HCK,HK2,HMGCR,HSPA5,Ifi47,IFIT1B,IFIT3,Igtp,IL1B,IRGM,Irgm1,JCHAIN,KLF2,LAMB1,MGAT2,MYC,NFKBIE,NLRC5,PARP14,PCK1,PDK4,POLR1A,PPARGC1A,PRMT3,RELB,RGS16,RNF213,RTP4,SEC61A1,SHANK2,STAT1,STAT3,SYNPO,TAP1,Tgtp1/Tgtp2,TNF,Trim30a/Trim30d,USP18	282 (15)
SAMSN1	 	other	Activated	4.315	bias	2.80E-09	2.26E-07	CCL3L3,CCND2,CXCL10,Cxcl11,CXCL2,Cxcl9,DAXX,IFIT1B,IFIT2,IFIT3,IRF1,IRGM,ISG15,ISG20,MARCO,Mx2,NFKBIZ,OASL,PELI1,SLCO3A1,SOCS3,STAT1,STAT2,STAT5A,TNF,TRIM21	176 (7)
IL4	 	cytokine	Activated	3.263	bias	3.61E-09	2.82E-07	ABCA1,ABHD17C,ACOD1,ACTG1,BCL3,BHLHE40,CAD,Ccl2,CCL3L3,CCND2,CCNE1,Cd24a,Chil3/Chil4,CISH,CSF1,CXCL10,Cxcl9,DDIT4,DNAJC12,EBNA1BP2,EVI5,FASN,FOS,GBP2,GNPNAT1,H2AX,HCK,HK2,HMGCR,ICAM1,IER3,IFIT3,IL1B,IL1RN,IPO4,IRF1,IRF8,ISG15,JCHAIN,LGALSL,LY6D,MAFB,MAP2K3,MARCO,MFSD2A,MRC1,MYC,MYH9,NAB2,NDRG1,NFIL3,NFKBIA,NFKBIE,NFKBIZ,ODC1,PIM1,PLEC,PLSCR1,PPARGC1A,PPM1G,Rrbp1,S100A9,SAA1,Saa3,SDF2L1,SEC31A,Serpina3g (includes others),SH3BP2,SOCS3,SRM,Srrm2,STAT2,SWAP70,TBC1D17,TFRC,TGM2,Tgtp1/Tgtp2,TLN2,TMEM131,TNF,TP53,Trim30a/Trim30d,USO1,XBP1,ZNF219	270 (17)
GFI1	 	transcription regulator	Inhibited	-2.313	bias	3.69E-09	2.82E-07	AKT1,BCL3,Ccl2,CCND2,EIF2AK2,FOXO1,GIMAP4,GJA1,ICAM1,ID2,IL1B,IL6R,IRF1,KLF2,MAFB,MAFF,NFKB2,NFKBIA,NLRC5,PER3,RASL11B,RELB,RIPK1,S1PR1,SESN3,SGK1,STAT1,TNF,TNFRSF1A,TRAF3	245 (14)
STAT2	0.473	transcription regulator	Activated	2.307	 	5.08E-09	3.70E-07	Ccl2,CXCL10,GBP6,Ifi47,IFIT1B,IFIT2,IFIT3,IRF1,IRF9,ISG15,RTP4,SOCS3,STAT1,TNF,ZBP1	189 (13)
TRIM24	0.689	transcription regulator	Inhibited	-5.232	 	5.09E-09	3.70E-07	Apol9a/Apol9b,CXCL10,DDX58,DHX58,GBP2,GBP4,HERC6,IFI35,Ifi47,IFIH1,IFIT1B,IFIT2,IFIT3,Igtp,IRF1,IRF9,IRGM,Irgm1,ISG15,OASL,PLEC,RTP4,STAT1,STAT2,TAP1,Tgtp1/Tgtp2,TLR2,USP18,VEGFA	136 (10)
KDM1A	 	enzyme	 	0.412	 	7.33E-09	5.19E-07	ATF3,BCL3,C3AR1,CCL3L3,CCND2,CDKN1A,CXCL10,CXCL13,FGR,GBP2,GBP4,HMOX1,IFIT1B,IFIT3,Igtp,IL1RN,IRAK3,IRGM,Irgm1,ISG15,Mx2,NLRC5,OASL,PARP14,PLIN4,RNF213,STEAP3,TENT5C,TGM1,TLR2,TM4SF1,TRIM21,Trim30a/Trim30d,USP18,ZBP1	 
IFNLR1	 	transmembrane receptor	 	 	 	7.67E-09	5.30E-07	ATF3,CCL3L3,CSF1,CXCL10,Cxcl11,CXCL2,IFIH1,IFIT1B,IFIT2,IFIT3,IL1B,ISG15,MYC,OASL,TLR2,TNF,TNFAIP2	 
mir-21	 	microRNA	Inhibited	-4.844	 	9.55E-09	6.44E-07	ARNTL,CASP4,CCL3L3,CDKN1A,CXCL10,Cxcl9,DBP,DHX58,GBP2,GBP5,GBP6,GBP7,Gvin1 (includes others),Ifi47,IRF1,IRGM,Irgm1,MARCO,NLRC5,NPAS2,Orm1 (includes others),PER2,PER3,STAT1,STAT2,TAP1,TGM1,Tgtp1/Tgtp2,TLR1,TLR2,TNF	223 (13)
PIK3CG	 	kinase	Inhibited	-2.793	 	1.05E-08	6.90E-07	Ccl2,CXCL10,Cxcl9,CXCR4,GBP2,GBP4,GBP5,GBP6,GBP7,ICAM1,Igtp,IL17RA,IL1B,IRF1,IRGM,NLRC5,STAT1,TAP1,Tgtp1/Tgtp2,TLR1,TLR2,TNF,TNFSF10,Trim30a/Trim30d,ZBP1	232 (14)
MMP2	 	peptidase	 	 	 	1.07E-08	6.90E-07	ABCA1,ABCG8,ACTA1,ATF6,Ccl2,CEBPB,HMGCR,IL1B,INSIG2,LDLR,PDK2,PDK4,PPARGC1A,SCAP,SCARB1,TNF	 
PF4	 	cytokine	 	1.043	 	1.18E-08	7.41E-07	CEBPA,DDX58,E2F2,E2F4,Foxp1,ICAM1,IL1B,IRF1,ISG15,NFKB2,NFKBIA,NFKBIZ,Rfx5,STAT1,STAT2,TFDP1,TNF,USP18	43 (4)
NFATC2	 	transcription regulator	Activated	2.358	 	1.26E-08	7.74E-07	ABCA1,CASP4,Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL2,Cxcl9,DAXX,IER3,IFIT1B,IFIT2,IFIT3,IL1B,IRF1,IRGM,ISG15,ISG20,Mx2,NFKBIA,NFKBIZ,OASL,PELI1,PLK2,RELB,RGS1,SLCO3A1,SOCS3,STAT1,STAT2,STAT5A,TLR2,TNF	255 (15)
JAK2	 	kinase	Activated	2.515	bias	1.72E-08	1.04E-06	AKT1,Ccl2,CCND1,CDC25A,CXCL10,FOXO1,IL1B,ITGAM,JCHAIN,ODC1,PCBP4,PLK2,Saa3,SOCS3,STAT3,TGM2,THPO,TNF	223 (18)
PARP1	 	enzyme	Activated	3.504	 	1.92E-08	1.13E-06	ABCA1,Ccl2,CCND1,CXCL10,Cxcl9,FOS,GBP2,GBP4,GBP6,GBP7,HMOX1,ICAM1,Igtp,IL1B,IRGM,STAT1,Tgtp1/Tgtp2,TLR1,TNF,TP53	263 (15)
IKBKG	 	kinase	 	0.851	bias	2.34E-08	1.36E-06	ACOD1,ACTA1,Ccl2,CEBPB,CEBPD,CSF1,CTSF,CXCL2,FOS,GBP2,HK2,ICAM1,IFIT1B,IKBKE,IL1B,IL1RN,ISG15,LCN2,NAGLU,OGN,RCAN1,RGS16,Saa3,SGK1,SOCS3,TNF,TNFAIP2,TNFRSF1B,VEGFA	249 (18)
DDX58	0.529	enzyme	Activated	3.191	bias	3.56E-08	2.02E-06	CASP4,Ccl2,CXCL10,DDX58,EIF2AK2,IFI35,IFIH1,IFIT1B,IFIT2,IFIT3,IRF1,ISG15,ISG20,SOCS3,STAT1,STAT2,TNF,TNFSF10	185 (15)
DOCK8	 	other	Activated	3.710	bias	5.20E-08	2.87E-06	CCND2,CXCL10,Cxcl11,Cxcl9,DAXX,IFIT1B,IFIT2,IFIT3,IRF1,IRGM,ISG15,ISG20,Mx2,NFKBIZ,PELI1,RGS1,SLCO3A1,STAT1,STAT2,TNF,TRIM21	 
CHUK	 	kinase	 	1.640	bias	5.26E-08	2.87E-06	ACOD1,CASP4,CCND1,CEBPB,CEBPD,CSF1,CTSF,CXCL10,Cxcl11,CXCL2,FOS,GBP2,HK2,IFIT1B,IL1RN,ISG15,LCN2,NAGLU,NFKBIA,OGN,RCAN1,RGS16,Saa3,SGK1,SOCS3,TNF,TNFAIP2,TNFRSF1B,VEGFA	231 (13)
IFNAR1	 	transmembrane receptor	Activated	2.784	 	5.47E-08	2.92E-06	ACOD1,Apol9a/Apol9b,ATF3,AXL,CCL3L3,CSF1,CXCL10,Cxcl11,CXCL13,CXCL2,Cxcl9,EIF2AK2,HMGCR,IFIH1,IFIT1B,IFIT2,IFIT3,IL1B,IRF1,ISG15,MYC,OASL,RTP4,SERPINE1,SOCS3,STAT1,TLR2,TNF,TNFAIP2,TRIM21,USP18	177 (16)
FADD	 	other	 	0.894	 	6.88E-08	3.61E-06	CXCL10,Cxcl11,CXCL2,CXCR4,DDX58,DHX58,EGR1,EIF2AK2,FOS,ICAM1,IFIH1,IFIT1B,IFIT2,Mx2,MYC,NFIL3,PIM1,RIPK1,STAT1,STAT2,TIPARP	 
IRS2	-1.195	enzyme	 	1.304	 	8.00E-08	4.12E-06	CEBPA,EGR1,FASN,FOS,G6PC,HMGCR,HMOX1,IGFBP1,IRS1,PCK1,PPARGC1A,SREBF1,THRSP,TNF	214 (19)
NPC1	 	transporter	 	-0.527	 	8.53E-08	4.31E-06	ABCA1,ABCG8,ARNTL,ATF4,CCL3L3,CCND1,CCR2,CHKA,CYP8B1,EGR1,HMGCR,LDLR,LIPA,LSS,MVD,MYLIP,PLIN4,S100A9,SREBF1,STAT1,STAT3,TNF,XBP1	264 (15)
SASH1	 	other	Activated	4.146	bias	9.03E-08	4.49E-06	CCND2,CXCL10,Cxcl11,DAXX,IFIT1B,IFIT2,IFIT3,IRF1,IRGM,ISG15,ISG20,MARCO,Mx2,NFKBIZ,OASL,PELI1,SLCO3A1,STAT1,STAT2,TNF,TRIM21	 
