© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
PPARG	 	ligand-dependent nuclear receptor	 	-0.715	1.18E-10	2.87E-08	ACAA1,Acaa1b,ACADM,ACOD1,ANGPTL4,ARL4D,BCL6,CAVIN2,Ccl2,CDK2,CEBPA,CIDEC,CTPS1,CXCL2,CXCL3,CYP4A11,Cyp4a14,CYP4B1,DHRS3,EHHADH,ELOVL3,FDPS,G6PC,GCK,GSTA3,HCAR2,HES1,HP,HSD3B7,ICAM1,IDH1,IL1B,IRS1,Kctd12b,KLF6,LAMB3,LHPP,MGLL,MOGAT1,MYD88,Ncoa6,NDRG1,NOS3,NOX4,NR2F2,PCK1,PDK4,PMVK,PTPRF,PYGL,RHOB,RNF144B,S100A8,SAA1,SELE,SERPINE1,SGK1,SLC2A1,SREBF1,TBCC,TKT,TNF,TRIB3,TSC22D3,VNN1,YWHAG	276 (14)
IKBKB	-0.375	kinase	 	1.911	1.67E-10	3.72E-08	ACOD1,ATF3,Ccl2,CCL3L3,Ccl9,CCN2,CDH1,CEBPB,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,GADD45A,GM2A,GRN,HMOX1,ICAM1,IGFBP2,IKBKB,IL1A,IL1B,IL1RN,ITGB3,ITGB5,JUNB,LCN2,MYC,NAGLU,NFKB2,NR6A1,RCAN1,REL,RELB,RGS16,Saa3,SGK1,SLC16A2,SMURF1,SOCS3,Tmsb4x (includes others),TNF,TNFAIP2,TNFRSF1B,VEGFA	318 (14)
TNF	2.958	cytokine	Activated	4.873	3.57E-10	7.33E-08	APBA3,APCS,BIRC2,CASP4,Ccl2,CCL3L3,Ccl9,CD14,CEBPA,CEBPB,CSF1,CXCL10,Cxcl11,CXCL13,CXCL2,CXCL3,CYP2C8,F3,FPR1,GBP6,HMOX1,ICAM1,ICOSLG/LOC102723996,IL18,IL1A,IL1B,IL1RN,IRF1,IRS1,Kcnn2,KRT18,LCN2,MYD88,NFKBIZ,NLRP3,NOS3,OCLN,OSMR,PRKCA,RIPK2,RNF31,RORA,S100A8,SAA1,Saa3,SELE,SERPINA3,SERPINE1,SLC2A1,SMURF1,SOCS3,STAT3,STEAP4,TLR2,TNF,TNFAIP3,TNFRSF1A,TNFRSF1B,TSC22D3,TXNIP,UBE2H,YWHAG	222 (14)
HNF4A	0.640	transcription regulator	 	-1.754	5.73E-10	1.09E-07	ABCB11,ACO1,Acot1,ACSS2,AQP1,AQP8,ATP7A,CDH1,CIDEC,CLDN1,Crb3,CYP1A1,CYP7A1,DSC2,FABP2,FMO2,FOXA2,FZD6,G6PC,GALM,GATA6,GJB2,GLCE,GRHL1,GSTA5,HNF4A,HOOK3,Hsd3b4 (includes others),HSPA8,IMPA1,ITIH3,LDHA,LEPR,LIPC,MS4A8,MYC,Nat8f3 (includes others),NOX4,NR0B2,NR1H4,OCLN,ONECUT1,PCK1,PDK4,POR,PROM1,PTPN12,RNF152,SBNO2,SH3PXD2A,SLC26A11,SLC2A2,Slco1a1,SRSF3,SYBU,SYNPO,TFRC,Timd2,TOX,TRIM24,XBP1	 
NCOA2	-0.378	transcription regulator	Inhibited	-2.541	7.76E-10	1.38E-07	ADH4,APOA4,Ccl2,CCL3L3,CXCL10,Cxcl11,CYP7A1,G6PC,GBP5,GCK,GLO1,HCAR2,HMGCS1,IL1A,IL1B,IP6K2,IRF1,LECT2,LIPC,LIPG,NSDHL,PCK1,PGM3,PPP1R3C,RAI1,RARG,RORA,SLC2A2,SREBF1,TNF	286 (14)
ZMPSTE24	 	peptidase	 	-1.221	1.12E-09	1.86E-07	ATF3,CISH,CXCL2,CXCL3,DDIT4,FGL1,FMO2,GADD45A,GHR,ICAM1,IGFBP1,IGFBP5,RGS16,SESN1,SOCS2,SOCS3,SOCS5,STAT5B,TNF	184 (13)
TLR9	 	transmembrane receptor	Activated	3.859	1.27E-09	1.99E-07	ACOD1,ADAMTS4,ARG2,ATF3,Ccl2,CCL3L3,CERS6,CISH,CPM,CSF1,CXCL10,CXCL2,CXCL3,DUSP1,HMOX1,ICAM1,IER3,IL18,IL1A,IL1B,LCN2,LILRB4,LIPG,MYC,MYD88,NFKBIZ,NR1H4,ORMDL1,PHLDA1,PTGER2,S100A8,Saa3,SERPINE1,SGMS2,SGPL1,SOCS3,STAT2,TNF,TNFRSF1B,UGCG,USP18	346 (17)
APOE	 	transporter	 	-1.774	3.91E-09	5.80E-07	ABCA2,ABCG8,ATF3,C3AR1,C5AR1,CASP3,Ccl2,CCL3L3,CCN2,CSF1,CXCL3,Cyb5r3,CYP7A1,F2R,F3,FKBP5,HABP2,HERPUD1,HMOX1,HSP90AB1,Hspa1b,HSPD1,ICAM1,IL1A,IL1B,IL1RN,KREMEN1,LCN2,LIPG,MAP3K1,MAPK14,MYBBP1A,MYLIP,NOS3,NOX4,PHLDA1,RCAN1,S100A8,S100A9,SELE,SERPINA3,SERPINE1,SOCS3,TIFA,TNF,TNFRSF1A,XBP1,ZYX	192 (12)
TNFRSF1A	1.022	transmembrane receptor	Activated	2.446	4.27E-09	6.00E-07	ABCC1,APCS,CASP3,Ccl2,CCL3L3,CCN2,CXCL10,CXCL2,CXCL3,E2F8,GHR,ICAM1,IER3,IL1A,IL1B,ITGB5,LCN2,PDGFA,PIM1,SAA1,Saa3,SELE,SERPINE1,Slco1a1,SOCS3,TFRC,THBD,TNF,TNFAIP3,TNFRSF1A,VEGFA	196 (13)
ADRB	 	group	 	0.354	5.04E-09	6.73E-07	ACAT2,ADAMTS4,ANGPTL4,ARHGEF3,ATF3,BOK,CASP3,CASP4,CAVIN2,Ccl2,CCNE1,CXCL10,CXCL2,DDIT4,FDPS,GADD45A,GSTA3,GSTA5,HMGCS1,HMOX1,HSD3B7,HSPD1,ICAM1,IDH1,INSIG1,LSS,NSDHL,SLC40A1,SLC9A3R2,SMAD6,SRXN1,WEE1	 
LEP	 	growth factor	 	1.975	7.79E-09	9.90E-07	ABCB11,ACADM,ACLY,ACSL3,ANGPTL4,APOA4,ASL,ATP2A2,BCL2A1,Ccl2,CCL3L3,Chil3/Chil4,CXCL10,Cyp2a12/Cyp2a22,CYP2C18,Cyp2c54 (includes others),CYP2C8,CYP4A11,Cyp4a14,CYP7A1,ECH1,EHHADH,ELOVL5,EPHX2,F3,FGFR2,G6PC,GCLC,GSTA3,Gstm3,ICAM1,IDH1,IGFBP2,IL1B,LEPR,LIPC,OPLAH,PTPN1,Saa3,SC5D,SELE,SERPINE1,SLC27A1,SLC2A2,SOCS3,SORD,SREBF1,STAT3,STEAP4,TNF,VEGFA	221 (15)
ZBTB20	 	transcription regulator	 	-1.000	9.21E-09	1.07E-06	ACSS2,ADH4,CISH,CYP1A2,Cyp2c54 (includes others),CYP2C8,G6PC,GCK,GHR,IGFBP1,IGFBP2,IRS1,LEPR,PCK1,PDK4,SOCS2,SOCS3,TNF,UGT2B17	95 (3)
C3	 	peptidase	Activated	3.284	9.21E-09	1.07E-06	APCS,BCL2A1,C5AR1,CASP3,CASP4,Ccl2,CCL3L3,Ccl9,CDH1,CSF1,CXCL10,CXCL2,CXCL3,IL1A,IL1B,LCN2,TNF,TNFRSF1A,VEGFA	159 (11)
SMARCB1	 	transcription regulator	 	-1.414	1.71E-08	1.91E-06	APOA5,BAG3,BTG1,CA5A,CA8,CCNE1,CDH1,Cyp2c54 (includes others),CYP2C8,Cyp3a25 (includes others),CYP4A11,Cyp4a14,DSC2,ETS2,F11,G6PC,GJB2,HES1,HP,IGFBP2,IL1A,PCK1,PPP1R3C	 
IFNG	 	cytokine	Activated	4.027	2.02E-08	2.15E-06	ACO1,ACOD1,Acot1,AHR,AQP1,ARG2,BCL3,BIRC2,BTG1,C5AR1,CASP3,CASP4,Ccl2,CCL3L3,Ccl9,CCN2,CCNO,CCRL2,CD14,CEBPA,CEBPB,CERS6,Chil3/Chil4,CLIC5,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,DUSP1,F2R,GBP5,GBP6,GJB2,GNA14,GNG2,GPR12,GPR146,HCAR2,HSPA1A/HSPA1B,ICAM1,ICOSLG/LOC102723996,IDO2,IL18,IL1A,IL1B,IRF1,LCN2,LY6E,MAP3K8,MAPK14,MARCKSL1,Mx2,MYC,MYD88,NFKB2,NFKBIZ,NLRP3,NOX4,PCDH17,PCK1,PHLDA1,PIM1,PRKCD,RGN,RIPK2,RNF31,Saa3,SBNO2,SLC12A3,SLC29A1,SLC2A1,SLC6A6,SMAGP,SOCS3,SORT1,SREBF1,STAT2,STAT3,TLR2,TNF,TNFRSF1A,VEGFA	240 (14)
SGPP2	 	phosphatase	Inhibited	-2.496	2.20E-08	2.26E-06	DNAJA1,DNAJC17,HSP90AA1,HSPA14,Hspa1b,HSPA4,HSPA4L,HSPA8,HSPB8,HSPH1,IL1B,TNF,XBP1	 
IL4	 	cytokine	 	1.620	2.43E-08	2.40E-06	ABCA2,ABHD17C,ACOD1,ACTG1,ADCY1,ADRM1,AHR,BCL3,BCL6,CBFB,Ccl2,CCL3L3,CCNE1,CCT3,Cd24a,Chil3/Chil4,CISH,CITED2,CKB,COL3A1,CSF1,CXCL10,CXCL3,DDIT4,EBNA1BP2,ENHO,EVI5,FKBP5,FLNB,FPR1,GCAT,GSTT2/GSTT2B,HP,ICAM1,ICOSLG/LOC102723996,IER3,IL1B,IL1RN,IRF1,JAK3,KLF6,KRT19,LDHA,LIPG,MAFB,MAPKAPK2,MFSD2A,MOV10,MVK,MYC,NAB2,NABP1,NCBP1,NCOA3,NDRG1,NFKBID,NFKBIE,NFKBIZ,ODC1,PFKL,PIM1,PKNOX1,PRKCD,PRNP,Retnlg,S100A8,S100A9,SAA1,Saa3,SH3BP2,SLC29A1,SLC2A1,SLC66A2,SMC3,SOCS2,SOCS3,Srrm2,STAB1,STAT2,SYK,TFRC,TGM2,TNF,UGGT1,XBP1,ZBTB46	333 (17)
TLR3	 	transmembrane receptor	Activated	3.411	3.23E-08	3.08E-06	ACOD1,ADAMTS4,Apol7e (includes others),ARG2,ATF3,BCAR3,Ccl2,CCL3L3,CPM,CXCL10,Cxcl11,CXCL2,CXCL3,DUSP1,HMOX1,ICAM1,IER3,IL1A,IL1B,IRF1,JUNB,LCN2,LILRB4,LIPG,NFKBIZ,PHLDA1,PTGER2,S100A8,Saa3,SERPINE1,SOCS3,TNF,TNFRSF1A,TNFRSF1B,TSPAN33,USP18	344 (17)
MYD88	1.111	other	Activated	5.210	6.03E-08	5.55E-06	ACOD1,APCS,ATM,BCL3,BLM,CASP4,Ccl2,CCL3L3,CCRL2,CD14,CXCL10,CXCL13,CXCL2,CXCL3,DUSP1,ETS2,FPR1,FPR2,HP,ICAM1,IGFBP5,IL18,IL1A,IL1B,IL1RN,IRF1,KDM6B,MEFV,MMP8,MYC,NFKB2,NFKBIZ,NLRP3,NOS3,NOX4,RELB,S100A8,SAA1,Saa3,SERPINE1,SOCS3,TLR2,TNF,TNFAIP3,USP18	252 (16)
VDR	 	transcription regulator	 	-0.460	7.12E-08	6.33E-06	ARHGEF3,Ccl2,CDH1,CEBPB,CISH,CLIP1,CSF1,CXCL10,DCTPP1,DSG1,ELOVL3,F3,GADD45A,GATA6,H2AZ1,ICAM1,IER3,IGFBP5,IL18,IL1A,IL1RN,MYD88,NOS3,ODC1,PTPRF,RELB,S100A8,S100A9,SELE,Slco1a1,SOCS3,SREBF1,THBD,TK1,TLR2,TXNIP,VEGFA,WSB1,ZYX	182 (8)
DUSP1	-1.654	phosphatase	Inhibited	-2.141	7.84E-08	6.40E-06	Ccl2,CCL3L3,CIDEC,CXCL2,CXCL3,DUSP1,ELOVL3,IER3,IL1A,IL1B,IL1RN,MEFV,MGLL,RETSAT,S100A9,SERPINE1,SYNPO,TNF,VNN1	307 (16)
GNB2	 	enzyme	 	 	7.91E-08	6.40E-06	AHR,APOA5,CCL3L3,CD83,CXCL3,CYTH1,DUSP1,FOSL2,IER3,IL1B,MAFB,MXI1,PTGER4,THBD,TSC22D3	 
GNB1	 	enzyme	 	 	7.91E-08	6.40E-06	AHR,APOA5,CCL3L3,CD83,CXCL3,CYTH1,DUSP1,FOSL2,IER3,IL1B,MAFB,MXI1,PTGER4,THBD,TSC22D3	 
NR1H4	0.592	ligand-dependent nuclear receptor	 	-1.393	1.11E-07	8.75E-06	ABCB11,ABCG5,ABCG8,APOA5,Ccl2,CCNE1,CEBPA,CEBPB,CYP2C8,CYP7A1,FABP2,G6PC,GSTA3,Gsta4,GSTA5,GSTM1,Gstm3,HNF4A,IL1B,LCN2,LIPC,NR0B2,NR1H4,Orm1 (includes others),PCK1,Slco1a1,SREBF1,TNF	196 (11)
MAP3K8	0.865	kinase	Activated	2.260	1.20E-07	9.15E-06	Apol7e (includes others),ARRDC3,CBFB,Ccl2,CLIC5,COLEC12,Cxcl11,CXCL2,CXCL3,DNAJC2,FLNB,GPR146,GPR160,HP,IER3,IER5,IL18,IL1A,IL1B,IRF2BPL,JUNB,LAD1,PTGER2,PTGER4,RGS3,SESN1,SOCS3,TICAM1,TIMELESS,TNF,TSPAN33,TXNIP	202 (14)
Alpha catenin	 	group	Inhibited	-3.259	1.37E-07	1.01E-05	ADAMTS1,ADAMTS4,BCL3,COL3A1,CXCL10,CXCL2,IGFBP1,IGFBP2,IL1B,IRF1,LYN,NFKBIZ,PDGFRA,RELB,S100A8,S100A9,SAA1,Saa3,SELE,SGK1,SOCS3,STEAP2,STEAP4,TGM2,TNF,TNFAIP2,TNFAIP3,ZYX	207 (6)
NR1I3	 	ligand-dependent nuclear receptor	 	-0.716	1.40E-07	1.01E-05	AHR,APCS,CCN4,CYP1A2,CYP2C8,CYP7A1,G6PC,Gsta4,GSTA5,GSTM1,Gstm3,HNF4A,ICAM1,INSIG1,LRG1,MYC,PCK1,POR,SLC29A1,SREBF1,STEAP4,TNFAIP2,TNFRSF1A,UGT2B17,UGT2B28	 
OSM	 	cytokine	Activated	3.078	1.69E-07	1.19E-05	ACSL3,BCL3,CASP4,Ccl2,CEBPA,CISH,CXCL13,CXCL2,HP,IL1B,JUNB,LRG1,MMP8,OSMR,SBNO2,SELE,SOCS3,STAT3,TNF,VEGFA	358 (19)
CFTR	 	ion channel	 	-0.491	1.89E-07	1.29E-05	ACAA1,Acaa1b,AQP1,Ccl2,Cyp3a25 (includes others),CYP4A11,DMBT1,EPHX2,FABP2,FDPS,HPGD,HSD17B11,IL1B,LRG1,NFKBIZ,POR,S100A8,SAA1,Saa3,SOCS3,Tmsb4x (includes others),TNF	148 (10)
BCAP31	 	transporter	 	-1.698	2.42E-07	1.62E-05	Ccl2,CCL3L3,CXCL10,ERN1,G6PC,GCK,IL1B,INSIG1,SAA1,SREBF1,TNF,XBP1	200 (6)
RIPK2	0.963	kinase	Activated	3.717	2.97E-07	1.94E-05	ABCG5,ACADM,ACOD1,ARL5C,Ccl2,CXCL10,CXCL2,CXCL3,CYP7A1,ICAM1,MARCKSL1,MEFV,NFKB2,PNPLA2,RALGDS,SELE,SLC27A1,SLC2A6,SREBF1,TNF	282 (13)
HIF1A	 	transcription regulator	 	0.459	3.87E-07	2.46E-05	ACO1,CAVIN2,Ccl2,CCL3L3,CCN2,CSF1,CXCL2,CXCL3,DDIT4,GATA6,ICAM1,IGFBP5,IL1A,IL1B,ITGB3,LDHA,NDRG1,NFKB2,NFKBIZ,NOS3,PDGFA,PFKL,REL,RELB,SERPINE1,SLC29A1,SLC2A1,SLC40A1,SOCS3,TFRC,TLR2,TNF,TNFAIP2,VEGFA	323 (14)
IL6	 	cytokine	Activated	3.441	3.98E-07	2.47E-05	ABCB11,ACVRL1,APCS,BCL6,C5AR1,Ccl2,CCL3L3,CCNE1,Chil3/Chil4,CXCL13,CXCL2,CXCL3,CYP2C8,HJV,HP,ICAM1,ID2,IL1RN,IRS1,JUNB,LCN2,MYC,Orm1 (includes others),PTGER4,RORA,SAA1,Saa3,SERPINA3,SLC39A14,SLC40A1,Slco1a1,SOCS3,STAT3,TNF,TNFRSF1A,TNFRSF1B,VEGFA	245 (14)
NEIL2	 	enzyme	Activated	2.333	6.60E-07	4.00E-05	BCL6,Ccl2,CCL3L3,CD14,CEBPB,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,IL18,IL1A,IL1B,IL1RN,IL6R,MYD88,RIPK2,SELE,TLR2,TNF	296 (13)
NR5A2	 	ligand-dependent nuclear receptor	 	-1.508	8.06E-07	4.78E-05	ABCB11,ABCG5,ABCG8,C3AR1,C5AR1,CEBPB,CELA1,CXCL10,CYP7A1,FOXA2,HP,Hspa1b,ICAM1,IGFBP1,IL1B,IL1RN,JUNB,NR0B2,NR1H4,ONECUT1,TNF,TNFRSF1B	47 (4)
IFNLR1	 	transmembrane receptor	 	 	8.60E-07	4.99E-05	ATF3,CCL3L3,Ccl9,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,IL1A,IL1B,MYC,TLR2,TNF,TNFAIP2,TNFAIP3	 
IKBKG	 	kinase	 	0.543	1.05E-06	5.97E-05	ACOD1,ATP2A2,Ccl2,Ccl9,CEBPB,CSF1,CXCL2,GM2A,GRN,ICAM1,IL1A,IL1B,IL1RN,JUNB,LCN2,NAGLU,NR6A1,RCAN1,RGS16,Saa3,SGK1,SLC16A2,SOCS3,TNF,TNFAIP2,TNFRSF1B,VEGFA	322 (17)
STAT5B	-0.740	transcription regulator	 	-0.913	1.11E-06	6.19E-05	3300002I08Rik,Acot1,ACOT4,Aox3,ARNT,ATM,BCL6,BMF,CASP3,CASP4,CCL3L3,CCNE1,CISH,Cyp2a12/Cyp2a22,CYP2C8,CYP4A11,ELOVL3,FMO2,GADD45A,Gsta4,Hsd3b4 (includes others),KRT19,NOL3,NOX4,PDK4,PROM1,RFX4,RPA1,RUVBL2,SLC16A5,SLC39A10,Slco1a1,SOCS2,SRP9,SYBU,TNF,TNFRSF1A,TOX,TRIM24,UGT2B28,VNN1	158 (7)
STAT1	 	transcription regulator	 	1.239	1.21E-06	6.40E-05	ACOD1,BCL6,CASP3,CASP4,Ccl2,CCL3L3,CCRL2,CDK2,Chil3/Chil4,CLIC5,CXCL10,Cxcl11,CXCL3,CYP1A2,CYP2C8,CYP4A11,GBP5,GBP6,ICAM1,IL18,IL1B,IRF1,IRF9,LCN2,Mx2,MYC,PCDH17,PDGFA,SMAGP,SOCS3,SORT1,SREBF1,STAT2,STAT3,TNF	310 (16)
SLC27A2	 	transporter	Inhibited	-3.420	1.22E-06	6.40E-05	ACAA1,Acaa1b,ACADM,Acot1,CYP4A11,Cyp4a14,ECI1,EHHADH,ELOVL5,HADHA,HADHB,MOGAT1,PXMP4,RETSAT,SLC27A1	 
