© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Colorectal Cancer Metastasis Signaling	2.6E00	9.92E-02	1.789	ADCY1,ADCY9,AKT1,CCND1,FOS,FZD5,FZD7,GNAT1,IL6R,LRP5,LRP6,MSH3,PROK1,RHOBTB1,RND1,RND3,STAT3,Tlr12,TLR2,TLR5,TLR8,TNF,TNFRSF1A,TP53,VEGFA,WNT5B	
IL-9 Signaling	2.6E00	2E-01	-0.816	BCL3,CISH,IRS2,SOCS3,STAT3,STAT5B,TNF	
DNA damage-induced 14-3-3σ Signaling	2.53E00	2.63E-01	NaN	AKT1,CCNE1,CDK2,HUS1,TP53	
VDR/RXR Activation	2.47E00	1.41E-01	-0.816	CDKN1A,CEBPA,CEBPB,FOXO1,GADD45A,HES1,IGFBP1,LRP5,NCOR2,PDGFA,SERPINB1	
IL-6 Signaling	2.46E00	1.2E-01	0.000	AKT1,CEBPB,ELP1,FOS,IL1B,IL6R,MAP2K6,NFKBIA,SOCS3,STAT3,TAB1,TNF,TNFRSF1A,TNFRSF1B,VEGFA	
Sirtuin Signaling Pathway	2.45E00	9.67E-02	-0.626	ACSS2,AKT1,ARNTL,CLOCK,FOXO1,FOXO4,GABARAPL1,GABPB1,GADD45A,GADD45G,H1-3,H3-3A/H3-3B,NDRG1,NFE2L2,NR1H4,PCK1,POLR1B,POLR1E,PPARGC1A,SREBF1,STAT3,TNF,TP53,TUBA1A,TUBA1B,TUBA1C	
Senescence Pathway	2.44E00	9.54E-02	-0.200	AKT1,BHLHE40,CCND1,CCNE1,CDK2,CDKN1A,CEBPB,E2F2,ETS2,FOXO4,GADD45A,GADD45G,GATA4,KAT2B,MAP2K6,MCU,PDK4,PPP1CA,RBL2,SAA1,SAA2-SAA4,Saa3,SERPINE1,SMAD6,TLR2,TP53,YPEL3	
FXR/RXR Activation	2.39E00	1.22E-01	NaN	AKT1,CYP7A1,FASN,FOXA3,FOXO1,G6PC,IL1B,NR1H4,NR1I2,PPARGC1A,SAA1,SCARB1,SREBF1,TNF	
NAD Signaling Pathway	2.32E00	1.13E-01	1.000	AKT1,ARNTL,CEBPB,CLOCK,DXO,GJA1,H1-3,NMRK1,PARP10,PARP2,PARP9,PPARGC1A,SLC29A1,SREBF1,TP53,VEGFA	
PXR/RXR Activation	2.29E00	1.5E-01	NaN	AKT1,CYP2B6,CYP7A1,FOXO1,G6PC,IGFBP1,NR1I2,PPARGC1A,TNF	
Death Receptor Signaling	2.29E00	1.28E-01	2.111	ACTA1,ACTG1,ELP1,GAS2,NFKBIA,PARP10,PARP2,PARP9,TNF,TNFRSF1A,TNFRSF1B,TNFSF10	
FAT10 Cancer Signaling Pathway	2.27E00	1.6E-01	0.000	AKT1,CXCR4,NFKBIA,STAT3,TNF,TNFRSF1A,TNFRSF1B,TP53	
Pyridoxal 5'-phosphate Salvage Pathway	2.07E00	1.38E-01	-2.121	CDK2,CSNK1D,G6PC,GRK5,HIPK1,MAP2K6,PIM1,POMK,SGK1	
Cell Cycle: G1/S Checkpoint Regulation	2.07E00	1.38E-01	-1.414	CCND1,CCNE1,CDC34,CDK2,CDKN1A,E2F2,FOXO1,RBL2,TP53	
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.06E00	1.48E-01	1.414	ADAR,DDX58,ELP1,ISG15,NFKBIA,STAT2,TNF,ZBP1	
Hepatic Fibrosis Signaling Pathway	2.05E00	8.4E-02	0.928	AKT1,CCN2,CCND1,CEBPB,CSNK1D,FOS,FOXO1,FOXO4,FZD5,FZD7,ICAM1,IL1B,IRAK3,IRAK4,IRS2,KLF9,LRP5,LRP6,MAP2K6,NFKBIA,PDGFA,PROK1,RHOBTB1,RND1,RND3,SERPINE1,STAT3,SUCNR1,TNF,TNFRSF1A,TNFRSF1B,VCAM1,VEGFA,WNT5B	
Cell Cycle Regulation by BTG Family Proteins	1.96E00	1.71E-01	-0.816	BTG1,BTG2,CCND1,CCNE1,CDK2,E2F2	
IL-1 Signaling	1.94E00	1.2E-01	-0.378	ADCY1,ADCY9,ELP1,FOS,GNAT1,IRAK3,IRAK4,MAP2K6,NFKBIA,TAB1,TAB2	
Melatonin Degradation I	1.92E00	1.52E-01	-1.890	B3GAT3,CYP2B6,CYP2J2,CYP2U1,CYP4B1,SULT1B1,Sult1d1	
IL-23 Signaling Pathway	1.92E00	1.52E-01	1.134	AKT1,IL1B,NFKBIA,RORA,SOCS3,STAT3,TNF	
PPAR Signaling	1.91E00	1.14E-01	-0.905	ELP1,FOS,IL1B,NCOR2,NFKBIA,PDGFA,PPARGC1A,STAT5B,TAB1,TNF,TNFRSF1A,TNFRSF1B	
IL-10 Signaling	1.9E00	1.3E-01	NaN	ELP1,FOS,IL1B,MAP2K6,NFKBIA,SOCS3,STAT3,TAB1,TNF	
p53 Signaling	1.87E00	1.17E-01	-1.633	AKT1,CCND1,CDK2,CDKN1A,COQ8A,CSNK1D,GADD45A,GADD45G,KAT2B,TP53,TP53INP1	
JAK/Stat Signaling	1.86E00	1.22E-01	-0.632	AKT1,CDKN1A,CEBPB,CISH,FOS,PTPN1,SOCS3,STAT2,STAT3,STAT5B	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	1.83E00	2.22E-01	1.000	INPP5F,IPMK,OCRL,SYNJ2	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	1.83E00	2.22E-01	1.000	INPP5F,IPMK,OCRL,SYNJ2	
ILK Signaling	1.82E00	9.57E-02	2.324	ACTA1,ACTG1,AKT1,CCND1,FOS,IRS2,KRT18,MAP2K6,MYH9,MYO18A,PROK1,RHOBTB1,RND1,RND3,TESK1,TNF,TNFRSF1A,VEGFA	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.8E00	9.22E-02	NaN	AKT1,BMP1,CSF1,CSNK1D,ELP1,FOS,FOXO1,FZD5,FZD7,IL1B,LRP5,LRP6,MAP2K6,NFKBIA,SMAD6,TAB2,TNF,TNFRSF1A,TNFRSF1B,WNT5B	
Oxidized GTP and dGTP Detoxification	1.78E00	5E-01	NaN	DXO,RUVBL2	
Molybdenum Cofactor Biosynthesis	1.78E00	5E-01	NaN	MOCS2,MOCS3	
Pancreatic Adenocarcinoma Signaling	1.77E00	1.06E-01	1.265	AKT1,CCND1,CCNE1,CDK2,CDKN1A,E2F2,GPLD1,PLD4,PROK1,RBL2,STAT3,TP53,VEGFA	
Hepatic Cholestasis	1.74E00	9.55E-02	NaN	ADCY1,ADCY9,CYP7A1,ELP1,ESR1,HSD3B7,IL1B,IRAK3,IRAK4,NFKBIA,NR1H4,NR1I2,SREBF1,TNF,TNFRSF1A,TNFRSF1B,TNFSF10	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.74E00	1.4E-01	0.447	CDC34,CDKN1A,GADD45A,KAT2B,TP53,WEE1,YWHAH	
Superpathway of Melatonin Degradation	1.69E00	1.37E-01	-1.890	B3GAT3,CYP2B6,CYP2J2,CYP2U1,CYP4B1,SULT1B1,Sult1d1	
Glioblastoma Multiforme Signaling	1.66E00	9.52E-02	2.309	AKT1,CCND1,CCNE1,CDK2,CDKN1A,E2F2,FOXO1,FZD5,FZD7,PDGFA,RHOBTB1,RND1,RND3,TP53,TSC1,WNT5B	
Osteoarthritis Pathway	1.65E00	8.89E-02	1.606	ACVRL1,CEBPB,CNMD,DDIT4,FZD5,FZD7,HES1,IL1B,MYBBP1A,OCRL,PPARGC1A,PROK1,SIK3,SLC39A8,SMAD6,TLR2,TNF,TNFRSF1A,TNFRSF1B,VEGFA	
HMGB1 Signaling	1.64E00	9.68E-02	0.302	AKT1,FOS,ICAM1,IL1B,KAT2B,MAP2K6,RHOBTB1,RND1,RND3,SERPINE1,TNF,TNFRSF1A,TNFRSF1B,TNFSF10,VCAM1	
Unfolded protein response	1.63E00	1.12E-01	1.134	CEBPA,CEBPB,CEBPD,DNAJB1,DNAJC11,DNAJC12,HSPA14,NFE2L2,SREBF1,XBP1	
Bile Acid Biosynthesis, Neutral Pathway	1.61E00	2.5E-01	NaN	AKR1D1,CYP7A1,HSD3B7	
Tight Junction Signaling	1.57E00	9.3E-02	NaN	ACTA1,ACTG1,AKT1,CEBPA,CLDN1,CLDN14,CLDN2,CLDN3,FOS,MYH9,MYO18A,OCLN,TJP3,TNF,TNFRSF1A,TNFRSF1B	
Myo-inositol Biosynthesis	1.57E00	4E-01	NaN	INPP5F,ISYNA1	
Role of JAK2 in Hormone-like Cytokine Signaling	1.54E00	1.56E-01	NaN	IRS2,PTPN1,SOCS3,STAT3,STAT5B	
Salvage Pathways of Pyrimidine Ribonucleotides	1.54E00	1.09E-01	-2.333	CDK2,CSNK1D,G6PC,GRK5,HIPK1,MAP2K6,PCK1,PIM1,POMK,SGK1	
Agranulocyte Adhesion and Diapedesis	1.54E00	9.04E-02	NaN	ACTA1,ACTG1,CCL27,CLDN1,CLDN14,CLDN2,CLDN3,Cxcl11,CXCL13,CXCR4,ICAM1,IL1B,MYH9,MYO18A,TNF,TNFRSF1A,VCAM1	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	1.54E00	9.04E-02	-0.728	AKT1,CLDN3,EGR1,ESRP2,FOS,FOXO1,ID2,IL6R,MAP2K6,OCLN,PDGFA,STAT3,TAB1,TNF,TNFRSF1A,TNFRSF1B,TNFSF10	
Tumor Microenvironment Pathway	1.53E00	9.2E-02	2.500	AKT1,CCND1,CSF1,CXCR4,FOS,FOXO1,FOXO4,ICAM1,IL1B,IL6R,PDGFA,PROK1,STAT3,TNF,TNFRSF1A,VEGFA	
Bupropion Degradation	1.53E00	1.82E-01	-1.000	CYP2B6,CYP2J2,CYP2U1,CYP4B1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.5E00	8.47E-02	1.528	AKT1,CCND1,FGR,FOS,FOXO1,FOXO4,IL1B,IL6R,INPP5F,IRAK4,IRF5,ISG15,LILRB4,OCRL,PIK3AP1,STAT2,STAT3,SYNJ2,TLR8,TNF,TNFSF10	
NRF2-mediated Oxidative Stress Response	1.5E00	8.68E-02	0.000	ACTA1,ACTG1,AKT1,CDC34,Cyp2b13/Cyp2b9,CYP2B6,CYP2J2,CYP2U1,DNAJB1,DNAJC11,DNAJC12,FOS,GCLC,HERPUD1,JUND,MAP2K6,NFE2L2,RBX1,SCARB1	
Aryl Hydrocarbon Receptor Signaling	1.49E00	9.46E-02	1.069	CCND1,CCNE1,CDK2,CDKN1A,DHFR,ESR1,FOS,IL1B,NCOR2,NFE2L2,RBL2,TGM2,TNF,TP53	
Germ Cell-Sertoli Cell Junction Signaling	1.49E00	9.26E-02	NaN	ACTA1,ACTG1,AKT1,BCAR1,MAP2K6,MAP3K13,RHOBTB1,RND1,RND3,TNF,TNFRSF1A,TUBA1A,TUBA1B,TUBA1C,ZYX	
Cyclins and Cell Cycle Regulation	1.49E00	1.11E-01	0.378	CCND1,CCNE1,CDC34,CDK2,CDKN1A,E2F2,RBL2,TP53,WEE1	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	1.46E00	1.74E-01	1.000	INPP5F,IPMK,OCRL,SYNJ2	
VEGF Signaling	1.43E00	1.04E-01	1.633	ACTA1,ACTG1,AKT1,EIF2B2,EIF2B3,EIF2B4,FOXO1,PROK1,SH2D2A,VEGFA	
IL-22 Signaling	1.4E00	1.67E-01	0.000	AKT1,SOCS3,STAT3,STAT5B	
Tryptophan Degradation III (Eukaryotic)	1.4E00	1.67E-01	NaN	ACAT2,ACMSD,KYNU,TBXAS1	
IL-17A Signaling in Fibroblasts	1.39E00	1.43E-01	NaN	CEBPB,CEBPD,FOS,LCN2,NFKBIA	
LXR/RXR Activation	1.37E00	9.82E-02	0.378	CYP7A1,FASN,IL1B,MYLIP,NCOR2,NR1H4,SAA1,SREBF1,TNF,TNFRSF1A,TNFRSF1B	
Role of Tissue Factor in Cancer	1.37E00	9.82E-02	NaN	AKT1,CCN2,CSF1,EGR1,F3,FGB,FGR,IL1B,STAT5B,TP53,VEGFA	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.35E00	1.6E-01	NaN	IL6R,SOCS3,STAT3,STAT5B	
LPS/IL-1 Mediated Inhibition of RXR Function	1.35E00	8.33E-02	0.905	Cyp2b13/Cyp2b9,CYP2B6,CYP2J2,CYP2U1,CYP7A1,FABP5,IL1B,MGMT,NR1H4,NR1I2,PPARGC1A,SCARB1,SREBF1,SULT1B1,Sult1d1,TNF,TNFRSF1A,TNFRSF1B,XPO1	
Necroptosis Signaling Pathway	1.32E00	9.15E-02	1.387	PELI1,RBCK1,RBL2,RNF31,STAT2,TAB1,TAB2,TNF,TNFRSF1A,TNFRSF1B,TNFSF10,TP53,ZBP1	
Hypoxia Signaling in the Cardiovascular System	1.31E00	1.08E-01	0.000	AKT1,CDC34,CSNK1D,NFKBIA,TP53,UBE2H,UBE2U,VEGFA	
IL-8 Signaling	1.29E00	8.42E-02	1.155	AKT1,CCND1,ELP1,FOS,GNAT1,GPLD1,ICAM1,IRAK3,IRAK4,NFKBIA,PLD4,PROK1,RHOBTB1,RND1,RND3,VCAM1,VEGFA	
Inositol Pyrophosphates Biosynthesis	1.28E00	2.86E-01	NaN	IP6K2,IPMK	
Glycoaminoglycan-protein Linkage Region Biosynthesis	1.28E00	2.86E-01	NaN	B3GALT6,B3GAT3	
2-amino-3-carboxymuconate Semialdehyde Degradation to Glutaryl-CoA	1.26E00	1E00	NaN	ACMSD	
L-cysteine Degradation II	1.26E00	1E00	NaN	CTH	
4-hydroxybenzoate Biosynthesis	1.26E00	1E00	NaN	TAT	
UDP-N-acetyl-D-galactosamine Biosynthesis I	1.26E00	1E00	NaN	GALE	
4-hydroxyphenylpyruvate Biosynthesis	1.26E00	1E00	NaN	TAT	
BEX2 Signaling Pathway	1.26E00	1.05E-01	2.828	AKT1,CCND1,CDKN1A,NFKBIA,PROK1,STAT3,TSC1,VEGFA	
Induction of Apoptosis by HIV1	1.22E00	1.09E-01	1.134	CXCR4,ELP1,NFKBIA,TNF,TNFRSF1A,TNFRSF1B,TP53	
RAR Activation	1.22E00	8.38E-02	NaN	ADCY1,ADCY9,AKT1,DHRS3,DHRS9,DUSP1,FOS,KAT2B,NCOR2,PNRC1,PPARGC1A,RDH13,SMAD6,STAT5B,VEGFA,ZBTB16	
Mechanisms of Viral Exit from Host Cells	1.22E00	1.28E-01	NaN	ACTA1,ACTG1,CHMP4C,LMNB1,XPO1	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	1.2E00	1.76E-01	NaN	IL1B,LCN2,TNF	
D-myo-inositol (1,4,5)-trisphosphate Degradation	1.2E00	1.76E-01	NaN	INPP5F,OCRL,SYNJ2	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.19E00	8.43E-02	0.577	AKT1,ELP1,FOS,MAP3K13,NFKBIA,PPP1CA,PPP1R10,PPP1R11,RHOBTB1,RND1,RND3,TLR2,TNF,TNFRSF1A,TNFRSF1B	
Phosphatidylethanolamine Biosynthesis II	1.17E00	2.5E-01	NaN	CHKA,SELENOI	
Granulocyte Adhesion and Diapedesis	1.16E00	8.48E-02	NaN	CCL27,CLDN1,CLDN14,CLDN2,CLDN3,Cxcl11,CXCL13,CXCR4,ICAM1,IL1B,TNF,TNFRSF1A,TNFRSF1B,VCAM1	
Acetone Degradation I (to Methylglyoxal)	1.15E00	1.38E-01	-1.000	CYP2B6,CYP2J2,CYP2U1,CYP4B1	
Ferroptosis Signaling Pathway	1.13E00	8.94E-02	0.905	ANGPTL4,CDKN1A,CTH,G3BP1,GCLC,NFE2L2,RBL2,SLC39A14,SLC39A8,STAT3,TP53	
Wnt/β-catenin Signaling	1.11E00	8.33E-02	0.000	AKT1,CCND1,CSNK1D,FZD5,FZD7,GJA1,LRP5,LRP6,RUVBL2,SOX13,TAB1,TLE3,TP53,WNT5B	
The Visual Cycle	1.08E00	1.58E-01	NaN	DHRS3,DHRS9,RDH13	
Histidine Degradation VI	1.08E00	1.58E-01	NaN	Cyp2b13/Cyp2b9,CYP2B6,HAL	
Prostate Cancer Signaling	1.08E00	9.01E-02	NaN	AKT1,CCND1,CCNE1,CDK2,CDKN1A,E2F2,FOXO1,NFKBIA,RBL2,TP53	
Sertoli Cell-Sertoli Cell Junction Signaling	1.08E00	8E-02	NaN	ACTA1,ACTG1,AKT1,BCAR1,CLDN1,CLDN14,CLDN2,CLDN3,MAP3K13,OCLN,TJP3,TNF,TNFRSF1A,TUBA1A,TUBA1B,TUBA1C	
Sumoylation Pathway	1.08E00	9.28E-02	-1.633	CBX4,CEBPA,FOS,NFKBIA,RHOBTB1,RND1,RND3,SUMO3,TP53	
Sphingosine-1-phosphate Signaling	1.06E00	8.93E-02	2.646	ACER2,ADCY1,ADCY9,AKT1,PDGFA,RHOBTB1,RND1,RND3,S1PR1,S1PR5	
Interferon Signaling	1.06E00	1.29E-01	2.000	IFI35,ISG15,STAT2,TAP1	
Glucocorticoid Receptor Signaling	1.06E00	6.92E-02	NaN	AKT1,CD163,CDKN1A,CEBPA,DUSP1,ELP1,ESR1,FOS,G6PC,GABPB1,GJA1,H3-3A/H3-3B,HP,HSPA14,ICAM1,IL13RA1,IL1B,IL6R,KAT2B,KRT18,KRT23,NCOR2,NFKBIA,PCK1,PDK4,SERPINE1,SGK1,STAT3,STAT5B,TAB1,TAT,TLR2,TNF,TSC22D3,VCAM1,YWHAH	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.05E00	8.02E-02	NaN	CCN2,CSF1,ICAM1,IL1B,IL6R,MYH9,MYO18A,PDGFA,PROK1,SERPINE1,TNF,TNFRSF1A,TNFRSF1B,VCAM1,VEGFA	
IL-17 Signaling	1.05E00	8.28E-02	0.832	AKT1,CEBPB,Chil3/Chil4,FOS,IL1B,LCN2,MAP2K6,PROK1,RGS16,TAB2,TNF,TNFSF10,VEGFA	
TNFR2 Signaling	1.02E00	1.25E-01	NaN	FOS,NFKBIA,TNF,TNFRSF1B	
Oxidative Ethanol Degradation III	1.01E00	1.11E-01	NaN	ACSS2,Cyp2b13/Cyp2b9,CYP2B6,CYP2J2,CYP2U1	
iNOS Signaling	9.79E-01	1.09E-01	0.447	FOS,IRAK3,IRAK4,NFKBIA,TAB1	
Palmitate Biosynthesis I (Animals)	9.75E-01	5E-01	NaN	FASN	
L-cysteine Degradation III	9.75E-01	5E-01	NaN	GOT1	
Spermidine Biosynthesis I	9.75E-01	5E-01	NaN	SRM	
Fatty Acid Biosynthesis Initiation II	9.75E-01	5E-01	NaN	FASN	
Cysteine Biosynthesis/Homocysteine Degradation	9.75E-01	5E-01	NaN	CTH	
Putrescine Biosynthesis III	9.75E-01	5E-01	NaN	ODC1	
IGF-1 Signaling	9.75E-01	8.82E-02	-0.447	AKT1,CCN2,FOS,FOXO1,IGFBP1,IRS2,SOCS3,STAT3,YWHAH	
Ceramide Signaling	9.67E-01	9.09E-02	0.000	AKT1,CERK,FOS,S1PR1,S1PR5,TNF,TNFRSF1A,TNFRSF1B	
Molecular Mechanisms of Cancer	9.59E-01	6.93E-02	NaN	ADCY1,ADCY9,AKT1,ARHGEF3,BMP1,CCND1,CCNE1,CDK2,CDKN1A,E2F2,FOS,FOXO1,FZD5,FZD7,GNAT1,LRP5,LRP6,MAP2K6,NFKBIA,PSEN2,RAPGEF1,RBL2,RHOBTB1,RND1,RND3,SMAD6,TAB1,TAB2,TP53,WNT5B	
3-phosphoinositide Degradation	9.43E-01	7.82E-02	0.302	DUSP1,DUSP10,G6PC,INPP5F,MTMR3,OCRL,PPM1K,PPP1CA,PPP1R10,PPP1R11,PPTC7,PTPN1,SOCS3,SYNJ2	
Assembly of RNA Polymerase I Complex	9.24E-01	1.82E-01	NaN	POLR1B,POLR1E	
Hematopoiesis from Multipotent Stem Cells	9.24E-01	1.82E-01	NaN	CSF1,THPO	
Nicotine Degradation III	9.21E-01	1.04E-01	-1.342	B3GAT3,CYP2B6,CYP2J2,CYP2U1,CYP4B1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	8.96E-01	7.78E-02	0.000	DUSP1,DUSP10,G6PC,INPP5F,IPMK,OCRL,PPM1K,PPP1CA,PPP1R10,PPP1R11,PPTC7,PTPN1,SOCS3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	8.96E-01	7.78E-02	0.000	DUSP1,DUSP10,G6PC,INPP5F,IPMK,OCRL,PPM1K,PPP1CA,PPP1R10,PPP1R11,PPTC7,PTPN1,SOCS3	
Thyroid Cancer Signaling	8.93E-01	9.09E-02	0.378	AKT1,CCND1,CXCR4,FOS,FOXO1,IRS2,TP53	
Apelin Cardiac Fibroblast Signaling Pathway	8.93E-01	1.3E-01	NaN	AKT1,CCN2,SERPINE1	
ErbB2-ErbB3 Signaling	8.63E-01	9.38E-02	0.816	AKT1,CCND1,ERBB3,FOXO1,STAT3,STAT5B	
Remodeling of Epithelial Adherens Junctions	8.63E-01	9.38E-02	NaN	ACTA1,ACTG1,TUBA1A,TUBA1B,TUBA1C,ZYX	
Coronavirus Pathogenesis Pathway	8.63E-01	7.57E-02	-1.069	CCND1,CCNE1,CDK2,DDX58,E2F2,FOS,IL1B,NFKBIA,RBL2,SERPINE1,SIGMAR1,STAT2,STAT3,TP53	
HIF1α Signaling	8.6E-01	7.46E-02	-0.775	ADRA1B,AKT1,CAMK1D,CCNG2,CDKN1A,HSPA14,IL6R,MAP2K6,MKNK2,PROK1,RBX1,SERPINE1,STAT3,TP53,VEGFA	
14-3-3-mediated Signaling	8.33E-01	8E-02	1.633	AKT1,FOS,FOXO1,TNF,TNFRSF1A,TSC1,TUBA1A,TUBA1B,TUBA1C,YWHAH	
Small Cell Lung Cancer Signaling	8.3E-01	8.42E-02	NaN	AKT1,CCND1,CCNE1,CDK2,E2F2,NFKBIA,RBL2,TP53	
HER-2 Signaling in Breast Cancer	8.24E-01	7.45E-02	1.604	AKT1,CCND1,CCNE1,CDKN1A,ERBB3,ETS2,FGR,FOS,FOXO1,NFKBIA,RBL2,STAT3,TP53,TSC1	
CD40 Signaling	8.18E-01	9.09E-02	0.816	ELP1,FOS,ICAM1,MAP2K6,NFKBIA,STAT3	
tRNA Charging	8.18E-01	1.05E-01	1.000	MARS2,PARS2,RARS1,TARS1	
Glutathione Biosynthesis	8.1E-01	3.33E-01	NaN	GCLC	
Inosine-5'-phosphate Biosynthesis II	8.1E-01	3.33E-01	NaN	ADSL	
Thiosulfate Disproportionation III (Rhodanese)	8.1E-01	3.33E-01	NaN	MOCS3	
1D-myo-inositol Hexakisphosphate Biosynthesis V (from Ins(1,3,4)P3)	8.1E-01	3.33E-01	NaN	IPMK	
Glutamate Degradation II	8.1E-01	3.33E-01	NaN	GOT1	
L-serine Degradation	8.1E-01	3.33E-01	NaN	SDS	
Aspartate Biosynthesis	8.1E-01	3.33E-01	NaN	GOT1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	7.99E-01	8.96E-02	1.633	DDX58,IL1B,ISG15,S1PR1,STAT2,TNF	
Estrogen Biosynthesis	7.88E-01	1.03E-01	-1.000	CYP2B6,CYP2J2,CYP2U1,CYP4B1	
Cholecystokinin/Gastrin-mediated Signaling	7.8E-01	7.96E-02	0.378	BCAR1,FOS,IL1B,MAP2K6,MEF2D,RHOBTB1,RND1,RND3,TNF	
HIPPO signaling	7.75E-01	8.43E-02	NaN	AJUBA,CSNK1D,ITCH,PPP1CA,PPP1R10,PPP1R11,YWHAH	
Lymphotoxin β Receptor Signaling	7.64E-01	9.26E-02	1.342	AKT1,ELP1,LTBR,NFKBIA,VCAM1	
Retinol Biosynthesis	7.59E-01	1E-01	-2.000	DHRS3,DHRS9,PNLIP,RDH13	
Choline Biosynthesis III	7.54E-01	1.43E-01	NaN	GPLD1,PLD4	
Colanic Acid Building Blocks Biosynthesis	7.54E-01	1.43E-01	NaN	GALE,GMPPB	
Role of CHK Proteins in Cell Cycle Checkpoint Control	7.42E-01	9.09E-02	-0.447	CDK2,CDKN1A,E2F2,HUS1,TP53	
MSP-RON Signaling Pathway	7.42E-01	9.09E-02	NaN	ACTA1,ACTG1,CSF1,TLR2,TNF	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	7.4E-01	1.11E-01	NaN	B3GAT3,SULT1B1,Sult1d1	
Human Embryonic Stem Cell Pluripotency	7.38E-01	7.36E-02	NaN	AKT1,BMP1,FOXO1,FZD5,FZD7,GNAT1,INHBA,PDGFA,S1PR1,S1PR5,SMAD6,WNT5B	
GM-CSF Signaling	7.38E-01	8.57E-02	0.447	AKT1,CCND1,CISH,PIM1,STAT3,STAT5B	
