© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Coronavirus Pathogenesis Pathway	3.97E00	7.22E-02	NaN	ADAM17,CHUK,E2F3,E2F4,E2F6,EIF4E,HIF1A,NFKB2,NPM1,NUP98,RELA,RELB,TNPO1,TRAF3	
Hepatic Fibrosis Signaling Pathway	3.87E00	5.34E-02	NaN	CHUK,CREB3,CSNK1A1,CSNK1G1,GNAI3,HIF1A,IRAK2,ITGAV,ITGB1,MYL12A,MYL12B,NFKB2,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,RELB,RHOG,RHOQ,SOD2	
Cell Cycle Regulation by BTG Family Proteins	3.84E00	1.62E-01	NaN	E2F3,E2F4,E2F6,PPP2CA,PPP2CB,PPP2R5E	
fMLP Signaling in Neutrophils	3.84E00	8.46E-02	NaN	ARPC5L,GNA13,GNAI3,NFKB2,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,RELB	
Tight Junction Signaling	3.8E00	7.34E-02	NaN	F11R,MARK2,NFKB2,PPP2CA,PPP2CB,PPP2R5E,PRKCI,RAC1,RELA,RELB,VAPA,YBX3,YKT6	
Hypoxia Signaling in the Cardiovascular System	3.74E00	1.11E-01	NaN	CREB3,HIF1A,UBE2D1,UBE2D2,UBE2I,UBE2J1,UBE2N,UBE2Z	
Thrombin Signaling	3.71E00	6.83E-02	NaN	GNA13,GNAI3,MYL12A,MYL12B,NFKB2,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,RELB,RHOG,RHOQ	
CD27 Signaling in Lymphocytes	3.71E00	1.27E-01	NaN	CHUK,CYCS,MAP3K3,NFKB2,RELA,RELB,TRAF2	
Role of Tissue Factor in Cancer	3.63E00	8.7E-02	NaN	EIF4E,GNA13,ITGAV,ITGB1,LYN,NRAS,PIK3C2A,RAC1,RAP1B,YES1	
Macropinocytosis Signaling	3.58E00	1.05E-01	NaN	ABI1,ITGB1,NRAS,PIK3C2A,PRKCI,RAB5A,RAC1,RAP1B	
ERK/MAPK Signaling	3.54E00	6.57E-02	NaN	CREB3,CRK,EIF4E,ITGAV,ITGB1,NRAS,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,PRKCI,RAC1,RAP1B,YWHAZ	
April Mediated Signaling	3.53E00	1.43E-01	NaN	CHUK,NFKB2,RELA,RELB,TRAF2,TRAF3	
Gαq Signaling	3.51E00	7.27E-02	NaN	CHUK,GNA13,GNAI3,HMOX1,NFKB2,PIK3C2A,PRKCI,RAC1,RELA,RELB,RHOG,RHOQ	
B Cell Activating Factor Signaling	3.47E00	1.4E-01	NaN	CHUK,NFKB2,RELA,RELB,TRAF2,TRAF3	
BEX2 Signaling Pathway	3.42E00	1E-01	NaN	BAK1,HIF1A,NFKB2,PPP2CA,PPP2CB,PPP2R5E,RELA,RELB	
Apoptosis Signaling	3.37E00	8.82E-02	NaN	BAK1,CHUK,CYCS,NFKB2,NRAS,PARP1,RAP1B,RELA,RELB	
JAK/Stat Signaling	3.35E00	9.76E-02	NaN	NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB,SOCS4,SOCS7	
iNOS Signaling	3.31E00	1.3E-01	NaN	CHUK,HMGA1,IRAK2,NFKB2,RELA,RELB	
TNFR2 Signaling	3.27E00	1.61E-01	NaN	CHUK,NFKB2,RELA,RELB,TRAF2	
IL-6 Signaling	3.26E00	7.81E-02	NaN	CHUK,CSNK2A1,MAPKAPK2,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB,TRAF2	
Paxillin Signaling	3.25E00	8.49E-02	NaN	ARF1,CRK,ITGAV,ITGB1,NRAS,PIK3C2A,PTPN12,RAC1,RAP1B	
p70S6K Signaling	3.23E00	7.75E-02	NaN	GNAI3,LYN,NRAS,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,PRKCI,RAP1B,YWHAZ	
Osteoarthritis Pathway	3.21E00	6.09E-02	NaN	ANXA2,ANXA5,CHUK,CREB3,FADD,HIF1A,ITGAV,ITGB1,MTF1,NFKB2,PPARD,RAC1,RELA,RELB	
Regulation of Actin-based Motility by Rho	3.13E00	8.18E-02	NaN	ARPC5L,ITGAV,ITGB1,MYL12A,MYL12B,PIP5K1A,RAC1,RHOG,RHOQ	
Gα12/13 Signaling	3.13E00	7.52E-02	NaN	CHUK,GNA13,MYL12A,MYL12B,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB	
Myc Mediated Apoptosis Signaling	3.11E00	1.2E-01	NaN	CHUK,CYCS,FADD,MAX,NFKB2,TRAF2	
Insulin Secretion Signaling Pathway	3.11E00	5.7E-02	NaN	AGO2,CREB3,EIF2B2,EIF2S1,EIF2S2,EIF4E,EIF4G2,LYN,PIK3C2A,PRKCI,RAP1B,SRP68,SRP72,YES1,YKT6	
Acute Phase Response Signaling	3.09E00	6.52E-02	NaN	CHUK,HMOX1,NFKB2,NOLC1,NRAS,RAP1B,RELA,RELB,SOCS4,SOCS7,SOD2,TRAF2	
4-1BB Signaling in T Lymphocytes	3.08E00	1.47E-01	NaN	CHUK,NFKB2,RELA,RELB,TRAF2	
Senescence Pathway	3.06E00	5.44E-02	NaN	CDC27,CHUK,E2F3,E2F4,E2F6,EIF4E,MAPKAPK2,NFKB2,NRAS,PARP1,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,RAP1B,SOD2	
Actin Nucleation by ARP-WASP Complex	3.05E00	8.79E-02	NaN	ARPC5L,ITGAV,ITGB1,NRAS,RAC1,RAP1B,RHOG,RHOQ	
MSP-RON Signaling In Cancer Cells Pathway	3.03E00	7.3E-02	NaN	CREB3,HIF1A,ITGB1,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB,YWHAZ	
Glioma Invasiveness Signaling	3.02E00	9.86E-02	NaN	ITGAV,NRAS,PIK3C2A,RAC1,RAP1B,RHOG,RHOQ	
Apelin Endothelial Signaling Pathway	3.01E00	7.25E-02	NaN	GNA13,GNAI3,HIF1A,NFKB2,NRAS,PIK3C2A,PRKCI,RAP1B,RELA,RELB	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	2.98E00	8.6E-02	NaN	ARPC5L,CRK,HMOX1,LYN,PIP5K1A,PRKCI,RAC1,YES1	
Xenobiotic Metabolism Signaling	2.97E00	5.54E-02	NaN	HMOX1,MAP3K3,MED1,NFKB2,NRAS,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,PRKCI,RAP1B,RELA,RELB,SMOX,SNW1	
PAK Signaling	2.94E00	7.69E-02	NaN	ITGAV,ITGB1,MYL12A,MYL12B,NRAS,PAK1IP1,PIK3C2A,RAC1,RAP1B	
RAR Activation	2.91E00	6.22E-02	NaN	CDK7,CSNK2A1,MAPKAPK2,MED1,NFKB2,PARP1,PRKCI,RAC1,RELA,RELB,SNW1,TNIP1	
IL-15 Signaling	2.81E00	9.09E-02	NaN	IL15RA,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB	
Estrogen-Dependent Breast Cancer Signaling	2.81E00	9.09E-02	NaN	CREB3,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB	
Cardiac Hypertrophy Signaling	2.81E00	5.53E-02	NaN	EIF2B2,EIF4E,GNA13,GNAI3,MAP3K3,MAPKAPK2,MYL12A,MYL12B,NRAS,PIK3C2A,RAC1,RAP1B,RHOG,RHOQ	
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.81E00	1.05E-01	NaN	E2F3,E2F4,E2F6,PPP2CA,PPP2CB,PPP2R5E	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.77E00	5.11E-02	NaN	CEBPZ,CHUK,CREB3,CSNK1A1,CSNK1G1,IRAK2,MAPKAPK2,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,TRAF2,TRAF3,TRAF4	
Pancreatic Adenocarcinoma Signaling	2.76E00	7.26E-02	NaN	E2F3,E2F4,E2F6,HMOX1,NFKB2,PIK3C2A,RAC1,RELA,RELB	
Reelin Signaling in Neurons	2.74E00	7.2E-02	NaN	ARPC5L,CRK,ITGB1,LYN,PAFAH1B2,PIK3C2A,RAC1,RAP1B,YES1	
Type II Diabetes Mellitus Signaling	2.73E00	6.67E-02	NaN	CHUK,NFKB2,NSMAF,PIK3C2A,PRKCI,RELA,RELB,SOCS4,SOCS7,TRAF2	
PTEN Signaling	2.73E00	6.67E-02	NaN	CHUK,CSNK2A1,ITGAV,ITGB1,NFKB2,NRAS,RAC1,RAP1B,RELA,RELB	
Semaphorin Signaling in Neurons	2.73E00	1.02E-01	NaN	ITGB1,PLXNA1,PLXNA2,RAC1,RHOG,RHOQ	
BAG2 Signaling Pathway	2.69E00	8.64E-02	NaN	ANXA2,MAPKAPK2,NFKB2,PSMD12,RELA,RELB,UBE2D1	
IGF-1 Signaling	2.67E00	7.69E-02	NaN	CSNK2A1,NRAS,PIK3C2A,PRKCI,RAP1B,SOCS4,SOCS7,YWHAZ	
Necroptosis Signaling Pathway	2.67E00	6.54E-02	NaN	CHUK,CYLD,DNM1L,FADD,FKBP1A,TIMM22,TNFRSF10A,TNIP1,TRAF2,VDAC2	
P2Y Purigenic Receptor Signaling Pathway	2.67E00	7.03E-02	NaN	CREB3,GNAI3,NFKB2,NRAS,PIK3C2A,PRKCI,RAP1B,RELA,RELB	
Cyclins and Cell Cycle Regulation	2.63E00	8.43E-02	NaN	CDK7,E2F3,E2F4,E2F6,PPP2CA,PPP2CB,PPP2R5E	
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.58E00	9.52E-02	NaN	CHUK,FADD,NFKB2,RELA,RELB,TRAF3	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.58E00	9.52E-02	NaN	CRK,GNAI3,NFKB2,PIK3C2A,RELA,RELB	
Role of PKR in Interferon Induction and Antiviral Response	2.58E00	6.82E-02	NaN	CHUK,CYCS,EIF2S1,FADD,NFKB2,NPM1,RELA,RELB,TRAF3	
Actin Cytoskeleton Signaling	2.57E00	5.42E-02	NaN	ARPC5L,CRK,GNA13,ITGAV,ITGB1,MSN,MYL12A,MYL12B,NRAS,PIK3C2A,PIP5K1A,RAC1,RAP1B	
EIF2 Signaling	2.57E00	5.66E-02	NaN	AGO2,EIF2B2,EIF2S1,EIF2S2,EIF3A,EIF3J,EIF4E,EIF4G2,NRAS,PIK3C2A,PTBP1,RAP1B	
RhoGDI Signaling	2.57E00	5.66E-02	NaN	ARPC5L,GNA13,GNAI3,ITGAV,ITGB1,MSN,MYL12A,MYL12B,PIP5K1A,RAC1,RHOG,RHOQ	
B Cell Receptor Signaling	2.49E00	5.82E-02	NaN	CHUK,CREB3,LYN,MAP3K3,NFKB2,NRAS,PIK3C2A,RAC1,RAP1B,RELA,RELB	
Estrogen Receptor Signaling	2.48E00	4.53E-02	NaN	CREB3,EIF2B2,EIF4E,GNA13,GNAI3,HIF1A,MED1,MED10,MYL12A,MYL12B,NFKB2,NRAS,PIK3C2A,PRKCI,RAP1B,RELA,RELB,SOD2	
IL-23 Signaling Pathway	2.48E00	1.09E-01	NaN	HIF1A,NFKB2,PIK3C2A,RELA,RELB	
PI3K Signaling in B Lymphocytes	2.47E00	6.57E-02	NaN	CHUK,LYN,NFKB2,NRAS,PRKCI,RAC1,RAP1B,RELA,RELB	
RANK Signaling in Osteoclasts	2.45E00	7.87E-02	NaN	CHUK,MAP3K3,NFKB2,PIK3C2A,RELA,RELB,TRAF2	
Cell Cycle: G1/S Checkpoint Regulation	2.45E00	8.96E-02	NaN	E2F3,E2F4,E2F6,GNL3,MAX,PAK1IP1	
MSP-RON Signaling In Macrophages Pathway	2.42E00	7.02E-02	NaN	CHUK,CREB3,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB	
Androgen Signaling	2.38E00	5.95E-02	NaN	CDK7,GNA13,GNAI3,NFKB2,PRKCI,RELA,RELB,TAF13,TAF2,TAF5L	
3-phosphoinositide Biosynthesis	2.34E00	5.56E-02	NaN	ATP1A1,DOT1L,MTMR9,PI4K2A,PIK3C2A,PIP5K1A,PPP2CA,PPP2CB,PPP2R5E,PPP4R1,PTPN12	
Superpathway of Inositol Phosphate Compounds	2.33E00	5.29E-02	NaN	ATP1A1,DOT1L,IPPK,MTMR9,PI4K2A,PIK3C2A,PIP5K1A,PPP2CA,PPP2CB,PPP2R5E,PPP4R1,PTPN12	
IL-1 Signaling	2.32E00	7.45E-02	NaN	CHUK,GNA13,GNAI3,IRAK2,NFKB2,RELA,RELB	
Assembly of RNA Polymerase II Complex	2.32E00	1E-01	NaN	CDK7,DR1,TAF13,TAF2,TAF5L	
Ephrin Receptor Signaling	2.32E00	5.53E-02	NaN	ABI1,ARPC5L,CREB3,CRK,GNA13,GNAI3,ITGAV,ITGB1,NRAS,RAC1,RAP1B	
Granzyme B Signaling	2.32E00	1.88E-01	NaN	CYCS,LMNB2,PARP1	
Renin-Angiotensin Signaling	2.31E00	6.72E-02	NaN	NFKB2,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,RELB	
ERK5 Signaling	2.29E00	8.33E-02	NaN	CREB3,GNA13,MAP3K3,NRAS,RAP1B,YWHAZ	
Tec Kinase Signaling	2.28E00	4.55E-02	NaN	FADD,GNA13,GNAI3,ITGAV,ITGB1,LYN,NFKB2,PIK3C2A,PRKCI,RAC1,RELA,RELB,RHOG,RHOQ,TNFRSF10A,YES1	
VEGF Signaling	2.25E00	7.22E-02	NaN	EIF2B2,EIF2S1,EIF2S2,HIF1A,NRAS,PIK3C2A,RAP1B	
p53 Signaling	2.22E00	7.14E-02	NaN	CCNK,DRAM1,GNL3,HIF1A,MED1,PIK3C2A,TNFRSF10A	
Apelin Cardiomyocyte Signaling Pathway	2.22E00	7.14E-02	NaN	ATP2A2,GNAI3,HIF1A,MYL12A,MYL12B,PIK3C2A,PRKCI	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.18E00	4.87E-02	NaN	LYN,NFKB2,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,RELB,TRAF2,TRAF3,TRAF4,YES1	
Toll-like Receptor Signaling	2.15E00	7.79E-02	NaN	CHUK,IRAK2,NFKB2,RELA,RELB,TRAF4	
IL-9 Signaling	2.15E00	1.14E-01	NaN	NFKB2,PIK3C2A,RELA,RELB	
NER (Nucleotide Excision Repair, Enhanced Pathway)	2.13E00	6.86E-02	NaN	CDK7,COPS2,COPS3,COPS8,UBE2I,UBE2N,USP7	
Renal Cell Carcinoma Signaling	2.13E00	7.69E-02	NaN	CRK,HIF1A,NRAS,PIK3C2A,RAC1,RAP1B	
GNRH Signaling	2.09E00	5.41E-02	NaN	CREB3,GNAI3,MAP3K3,NFKB2,NRAS,PRKCI,RAC1,RAP1B,RELA,RELB	
Telomerase Signaling	2.09E00	6.73E-02	NaN	DKC1,NRAS,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,RAP1B	
Role of IL-17A in Arthritis	2.08E00	8.77E-02	NaN	MAPKAPK2,NFKB2,PIK3C2A,RELA,RELB	
HGF Signaling	2.07E00	6.11E-02	NaN	ITGAV,ITGB1,MAP3K3,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B	
HMGB1 Signaling	2.05E00	5.66E-02	NaN	NFKB2,NRAS,PIK3C2A,RAC1,RAP1B,RELA,RELB,RHOG,RHOQ	
IL-17A Signaling in Fibroblasts	2.02E00	1.05E-01	NaN	CHUK,NFKB2,RELA,RELB	
HIPPO signaling	1.97E00	7.14E-02	NaN	MOB1A,PPP2CA,PPP2CB,PPP2R5E,TEAD4,YWHAZ	
Insulin Receptor Signaling	1.97E00	5.88E-02	NaN	CRK,EIF2B2,EIF4E,NRAS,PIK3C2A,PRKCI,RAP1B,RHOQ	
Sirtuin Signaling Pathway	1.97E00	4.58E-02	NaN	ATG101,ATG13,DOT1L,HIF1A,NFKB2,PARP1,RELA,RELB,SMARCA5,SOD2,TIMM22,TUBA1C,VDAC2	
Natural Killer Cell Signaling	1.97E00	5.18E-02	NaN	ITGB1,MAP3K3,NFKB2,NRAS,PIK3C2A,PVR,RAC1,RAP1B,RELA,RELB	
Germ Cell-Sertoli Cell Junction Signaling	1.94E00	5.42E-02	NaN	ITGB1,MAP3K3,NRAS,PIK3C2A,RAC1,RAP1B,RHOG,RHOQ,TUBA1C	
Prolactin Signaling	1.92E00	6.98E-02	NaN	NRAS,PIK3C2A,PRKCI,RAP1B,SOCS4,SOCS7	
Erythropoietin Signaling Pathway	1.91E00	5.36E-02	NaN	HIF1A,NFKB2,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,RELB	
Mechanisms of Viral Exit from Host Cells	1.91E00	9.76E-02	NaN	CHMP4B,LMNB2,PRKCI,SH3GLB1	
Glioblastoma Multiforme Signaling	1.91E00	5.36E-02	NaN	E2F3,E2F4,E2F6,NRAS,PIK3C2A,RAC1,RAP1B,RHOG,RHOQ	
Mitotic Roles of Polo-Like Kinase	1.9E00	7.94E-02	NaN	CDC27,PPP2CA,PPP2CB,PPP2R5E,SLK	
Neuregulin Signaling	1.86E00	6.09E-02	NaN	ADAM17,CRK,ITGAV,ITGB1,NRAS,PRKCI,RAP1B	
Colorectal Cancer Metastasis Signaling	1.86E00	4.58E-02	NaN	E2F4,GNA13,GNAI3,NFKB2,NRAS,PIK3C2A,RAC1,RAP1B,RELA,RELB,RHOG,RHOQ	
Role of NFAT in Regulation of the Immune Response	1.84E00	4.17E-02	NaN	CHUK,CSNK1A1,CSNK1G1,GNA13,GNAI3,KPNA2,KPNA4,LYN,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB,TNPO1	
FAK Signaling	1.84E00	6.03E-02	NaN	CRK,ITGAV,ITGB1,NRAS,PIK3C2A,RAC1,RAP1B	
Acute Myeloid Leukemia Signaling	1.84E00	6.67E-02	NaN	NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB	
Cholecystokinin/Gastrin-mediated Signaling	1.82E00	5.98E-02	NaN	GNA13,NRAS,PRKCI,RAC1,RAP1B,RHOG,RHOQ	
ErbB4 Signaling	1.82E00	7.58E-02	NaN	ADAM17,NRAS,PIK3C2A,PRKCI,RAP1B	
Remodeling of Epithelial Adherens Junctions	1.82E00	7.58E-02	NaN	ARPC5L,DNM1L,MAPRE1,RAB5A,TUBA1C	
Semaphorin Neuronal Repulsive Signaling Pathway	1.82E00	5.52E-02	NaN	ITGAV,ITGB1,MYL12A,MYL12B,PIK3C2A,PLXNA1,PLXNA2,RAC1	
p38 MAPK Signaling	1.8E00	5.93E-02	NaN	CREB3,DAXX,FADD,IRAK2,MAPKAPK2,MAX,TRAF2	
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.8E00	9.09E-02	NaN	CREB3,NFKB2,RELA,RELB	
IL-17A Signaling in Airway Cells	1.79E00	7.46E-02	NaN	CHUK,NFKB2,PIK3C2A,RELA,RELB	
Non-Small Cell Lung Cancer Signaling	1.77E00	6.45E-02	NaN	E2F3,E2F4,E2F6,NRAS,PIK3C2A,RAP1B	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.77E00	5.08E-02	NaN	ATP2A2,CREB3,CSNK1A1,CSNK1G1,GNAI3,PPP2CA,PPP2CB,PPP2R5E,PRKCI	
Apelin Pancreas Signaling Pathway	1.77E00	8.89E-02	NaN	NFKB2,PIK3C2A,RELA,RELB	
AMPK Signaling	1.74E00	4.56E-02	NaN	CREB3,GNA13,GNAI3,PIK3C2A,PPAT,PPM1G,PPP2CA,PPP2CB,PPP2R5E,RAB1A,RAB22A	
Glioma Signaling	1.73E00	5.74E-02	NaN	E2F3,E2F4,E2F6,NRAS,PIK3C2A,PRKCI,RAP1B	
RhoA Signaling	1.73E00	5.74E-02	NaN	ARPC5L,GNA13,MSN,MYL12A,MYL12B,PIP5K1A,PLXNA1	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.72E00	1.15E-01	NaN	NFKB2,RELA,RELB	
Estrogen-mediated S-phase Entry	1.72E00	1.15E-01	NaN	E2F3,E2F4,E2F6	
Phospholipase C Signaling	1.72E00	3.85E-02	NaN	CREB3,GNA13,HMOX1,ITGAV,ITGB1,LYN,MYL12A,MYL12B,NFKB2,NRAS,PRKCI,RAC1,RAP1B,RELA,RELB,RHOG,RHOQ	
Ferroptosis Signaling Pathway	1.71E00	5.69E-02	NaN	ARF1,ARF4,HMOX1,NRAS,RAP1B,USP7,VDAC2	
Calcium Transport I	1.71E00	2E-01	NaN	ANXA5,ATP2A2	
ATM Signaling	1.71E00	6.25E-02	NaN	CREB3,PPP2CA,PPP2CB,PPP2R5E,RNF168,USP7	
IL-10 Signaling	1.67E00	6.94E-02	NaN	CHUK,HMOX1,NFKB2,RELA,RELB	
NF-κB Signaling	1.67E00	4.06E-02	NaN	CHUK,CSNK2A1,FADD,MAP3K3,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB,TNIP1,TRAF2,TRAF3,UBE2N	
14-3-3-mediated Signaling	1.66E00	5.56E-02	NaN	NRAS,PIK3C2A,PRKCI,RAP1B,TRAF2,TUBA1C,YWHAZ	
Role of p14/p19ARF in Tumor Suppression	1.63E00	1.07E-01	NaN	NPM1,PIK3C2A,RAC1	
