© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cardiac Hypertrophy Signaling (Enhanced)	4.3E00	3.61E-02	NaN	ADCY4,ATP2A3,CACNA2D1,CACNB1,CACNB3,GNA14,GNG11,GNG2,IGF1R,IL2RG,ITGA11,ITGA4,MAP3K12,MAPK12,MEF2C,PDE4A,PDE7A,PIK3CG,PRKCH	
T Cell Receptor Signaling	4.26E00	4.23E-02	NaN	CARD11,CD247,CD3D,CD3E,CD3G,LCK,MAPK12,PIK3CG,PTPN22,PTPN7,PTPRC,TCF4,TRBC1,TRBC2,ZAP70	
Oxidative Phosphorylation	4.25E00	7.69E-02	NaN	MT-ATP6,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND4,MT-ND4L	
Sperm Motility	4.13E00	4.92E-02	NaN	EPHA3,FLT4,GNA14,GNG11,GNG2,IGF1R,LCK,LTK,MATK,PDE4A,PRKCH,ZAP70	
Cardiac β-adrenergic Signaling	4.11E00	5.78E-02	NaN	ADCY4,ATP2A3,CACNA2D1,CACNB1,CACNB3,GNA14,GNG11,GNG2,PDE4A,PDE7A	
Hepatic Fibrosis Signaling Pathway	4.08E00	3.88E-02	NaN	BCL2,CACNA2D1,CACNB1,CACNB3,CCL5,COL11A2,COL1A2,FLT4,ITGA11,ITGA4,MAPK12,PIK3CG,PRKCH,RAC2,SNAI1,TCF4	
Role of NFAT in Cardiac Hypertrophy	3.95E00	5.07E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,GNG11,GNG2,IGF1R,MAPK12,MEF2C,PIK3CG,PRKCH	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	3.94E00	6.96E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,GNA14,GNG11,GNG2,PRKCH	
GNRH Signaling	3.87E00	5.41E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,GNA14,GNG11,GNG2,MAP3K12,MAPK12,PRKCH	
Leukocyte Extravasation Signaling	3.79E00	5.29E-02	NaN	CXCL12,ITGA4,JAM2,MAPK12,PIK3CG,PRKCH,RAC2,SPN,TIMP2,WIPF1	
Synaptogenesis Signaling Pathway	3.77E00	4.23E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,CNTNAP1,DLG4,EFNB2,EPHA3,LCK,PIK3CG,RELN,STXBP1,SYT11	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	3.77E00	5.26E-02	NaN	BCL2,CCL5,COL11A2,COL1A2,FLT4,HGF,IGF1R,IGFBP3,LY96,TIMP2	
Role of NFAT in Regulation of the Immune Response	3.64E00	3.89E-02	NaN	CD247,CD3D,CD3E,CD3G,GNA14,GNG11,GNG2,IGHM,LCK,MEF2C,PIK3CG,TRBC1,TRBC2,ZAP70	
G Beta Gamma Signaling	3.6E00	6.2E-02	NaN	CACNA2D1,CACNB1,CACNB3,GNA14,GNG11,GNG2,PIK3CG,PRKCH	
CXCR4 Signaling	3.58E00	5.49E-02	NaN	ADCY4,CXCL12,GNA14,GNG11,GNG2,MAPK12,PIK3CG,PRKCH,RAC2	
Gustation Pathway	3.58E00	5.49E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,GNG11,GNG2,LPAR6,PDE4A,PDE7A	
Ephrin B Signaling	3.51E00	8.33E-02	NaN	CXCL12,EFNB2,GNA14,GNG11,GNG2,RAC2	
IL-7 Signaling Pathway	3.47E00	8.22E-02	NaN	BCL2,HGF,IGHM,IL2RG,MAPK12,PIK3CG	
IL-8 Signaling	3.47E00	4.83E-02	NaN	BCL2,CCND2,FLT4,GNA14,GNG11,GNG2,MAPK12,PIK3CG,PRKCH,RAC2	
CD28 Signaling in T Helper Cells	3.44E00	4.14E-02	NaN	CARD11,CD247,CD3D,CD3E,CD3G,LCK,MAPK12,PIK3CG,PTPRC,TRBC1,TRBC2,ZAP70	
Apelin Endothelial Signaling Pathway	3.4E00	5.8E-02	NaN	ADCY4,GNA14,GNG11,GNG2,MAPK12,MEF2C,PIK3CG,PRKCH	
NF-κB Signaling	3.29E00	3.77E-02	NaN	CARD11,CD247,CD3D,CD3E,CD3G,FLT4,IGF1R,LCK,PIK3CG,TRAF5,TRBC1,TRBC2,ZAP70	
Endocannabinoid Neuronal Synapse Pathway	3.24E00	5.48E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,GNA14,GNG11,GNG2,MAPK12	
Signaling by Rho Family GTPases	3.21E00	4.15E-02	NaN	ARHGEF3,GNA14,GNG11,GNG2,ITGA11,ITGA4,MAP3K12,MAPK12,PIK3CG,RAC2,WIPF1	
Nitric Oxide Signaling in the Cardiovascular System	3.19E00	6.14E-02	NaN	ATP2A3,CACNA2D1,CACNB1,CACNB3,FLT4,PIK3CG,PRKCH	
FcγRIIB Signaling in B Lymphocytes	3.17E00	7.23E-02	NaN	CACNA2D1,CACNB1,CACNB3,IGHM,MAPK12,PIK3CG	
Th1 Pathway	3.12E00	5.98E-02	NaN	CD247,CD3D,CD3E,CD3G,DLL4,NOTCH4,PIK3CG	
Calcium-induced T Lymphocyte Apoptosis	3.09E00	4.31E-02	NaN	ATP2A3,CD247,CD3D,CD3E,CD3G,LCK,PRKCH,TRBC1,TRBC2,ZAP70	
IL-15 Production	3.06E00	5.83E-02	NaN	EPHA3,FLT4,IGF1R,LCK,LTK,MATK,ZAP70	
iCOS-iCOSL Signaling in T Helper Cells	3.01E00	3.93E-02	NaN	CD247,CD3D,CD3E,CD3G,IL2RG,LCK,PIK3CG,PTPRC,TRBC1,TRBC2,ZAP70	
Breast Cancer Regulation by Stathmin1	2.87E00	2.92E-02	NaN	ADGRL1,ARHGEF3,CCND2,CYSLTR2,F2R,F2RL2,GABBR1,GNG11,GNG2,GPR35,HGF,LPAR2,LPAR6,PIK3CG,PRKCH,RAC2,S1PR4	
Th1 and Th2 Activation Pathway	2.86E00	4.79E-02	NaN	CD247,CD3D,CD3E,CD3G,DLL4,IL2RG,NOTCH4,PIK3CG	
HGF Signaling	2.83E00	5.34E-02	NaN	HGF,ITGA11,ITGA4,MAP3K12,MAPK12,PIK3CG,PRKCH	
Molecular Mechanisms of Cancer	2.82E00	3.2E-02	NaN	ADCY4,ARHGEF3,BCL2,CCND2,GNA14,GNG11,GNG2,ITGA11,ITGA4,MAPK12,PIK3CG,PRKCH,RAC2,TCF4	
Gα12/13 Signaling	2.8E00	5.26E-02	NaN	F2R,F2RL2,LPAR2,LPAR6,MAPK12,MEF2C,PIK3CG	
Th2 Pathway	2.8E00	5.26E-02	NaN	CD247,CD3D,CD3E,CD3G,IL2RG,NOTCH4,PIK3CG	
CTLA4 Signaling in Cytotoxic T Lymphocytes	2.78E00	3.92E-02	NaN	CD247,CD3D,CD3E,CD3G,LCK,PIK3CG,PTPN22,TRBC1,TRBC2,ZAP70	
STAT3 Pathway	2.76E00	5.19E-02	NaN	BCL2,FLT4,HGF,IGF1R,IL2RG,MAP3K12,MAPK12	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.69E00	3.82E-02	NaN	CARD11,CD247,CD3D,CD3E,CD3G,LCK,MAPK12,TRBC1,TRBC2,ZAP70	
Insulin Secretion Signaling Pathway	2.68E00	3.8E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,GNA14,LCK,MAPK12,PIK3CG,PRKCH,SLC2A3	
G Protein Signaling Mediated by Tubby	2.67E00	9.3E-02	NaN	GNA14,GNG11,GNG2,LCK	
OX40 Signaling Pathway	2.65E00	4.05E-02	NaN	BCL2,CD247,CD3D,CD3E,CD3G,MAPK12,TRAF5,TRBC1,TRBC2	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.63E00	3.75E-02	NaN	BCL2,CARD11,CCND2,IGHM,LCK,PIK3CG,PRKCH,RAC2,STING1,TRAF5	
Corticotropin Releasing Hormone Signaling	2.58E00	4.83E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,MAPK12,MEF2C,PRKCH	
Relaxin Signaling	2.5E00	4.67E-02	NaN	ADCY4,GNA14,GNG11,GNG2,PDE4A,PDE7A,PIK3CG	
PTEN Signaling	2.5E00	4.67E-02	NaN	BCL2,FLT4,IGF1R,ITGA11,ITGA4,PIK3CG,RAC2	
Glucocorticoid Receptor Signaling	2.39E00	2.78E-02	NaN	BCL2,CCL5,CD247,CD3D,CD3E,CD3G,IL2RG,MAPK12,MT-ATP6,MT-CYB,MT-ND1,MT-ND2,MT-ND4,MT-ND4L,PIK3CG	
Axonal Guidance Signaling	2.38E00	2.87E-02	NaN	CXCL12,EFNB2,EPHA3,GNA14,GNG11,GNG2,ITGA11,ITGA4,PIK3CG,PRKCH,RAC2,ROBO1,SEMA4D,WIPF1	
Apelin Liver Signaling Pathway	2.37E00	1.15E-01	NaN	COL11A2,COL1A2,MAPK12	
Endocannabinoid Developing Neuron Pathway	2.3E00	4.88E-02	NaN	ADCY4,GNG11,GNG2,MAPK12,PIK3CG,RAC2	
Reelin Signaling in Neurons	2.27E00	4.8E-02	NaN	ARHGEF3,LCK,MAP4K1,MAPK12,PIK3CG,RELN	
Androgen Signaling	2.23E00	4.17E-02	NaN	CACNA2D1,CACNB1,CACNB3,GNA14,GNG11,GNG2,PRKCH	
p70S6K Signaling	2.2E00	4.65E-02	NaN	F2R,F2RL2,IGHM,IL2RG,PIK3CG,PRKCH	
fMLP Signaling in Neutrophils	2.19E00	4.62E-02	NaN	GNA14,GNG11,GNG2,PIK3CG,PRKCH,RAC2	
CCR3 Signaling in Eosinophils	2.17E00	4.58E-02	NaN	GNA14,GNG11,GNG2,MAPK12,PIK3CG,PRKCH	
IL-1 Signaling	2.15E00	5.32E-02	NaN	ADCY4,GNA14,GNG11,GNG2,MAPK12	
Cdc42 Signaling	2.13E00	3.17E-02	NaN	CD247,CD3D,CD3E,CD3G,ITGA11,ITGA4,MAPK12,TRBC1,TRBC2,WIPF1	
White Adipose Tissue Browning Pathway	2.11E00	4.44E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,CTBP2,MAPK12	
Phagosome Formation	2.07E00	4.35E-02	NaN	ITGA11,ITGA4,MRC2,PIK3CG,PRKCH,RAC2	
Glutamate Receptor Signaling	2.02E00	6.15E-02	NaN	DLG4,GNG11,GNG2,HOMER3	
PD-1, PD-L1 cancer immunotherapy pathway	1.99E00	4.85E-02	NaN	CD247,IL2RG,LCK,PIK3CG,ZAP70	
α-Adrenergic Signaling	1.97E00	4.81E-02	NaN	ADCY4,GNA14,GNG11,GNG2,PRKCH	
B Cell Development	1.97E00	8.33E-02	NaN	IGHM,PTPRC,SPN	
B Cell Receptor Signaling	1.97E00	3.7E-02	NaN	IGHM,MAP3K12,MAPK12,MEF2C,PIK3CG,PTPRC,RAC2	
Dilated Cardiomyopathy Signaling Pathway	1.95E00	4.11E-02	NaN	ADCY4,BCL2,CACNA2D1,CACNB1,CACNB3,MAPK12	
Protein Kinase A Signaling	1.94E00	2.84E-02	NaN	ADCY4,GNG11,GNG2,PDE4A,PDE7A,PRKCH,PTPN14,PTPN22,PTPN7,PTPRC,TCF4	
T Cell Exhaustion Signaling Pathway	1.93E00	2.96E-02	NaN	CD247,CD3D,CD3E,CD3G,EOMES,MAPK12,PIK3CG,TRBC1,TRBC2,ZAP70	
Adrenomedullin signaling pathway	1.91E00	3.61E-02	NaN	ADCY4,BCL2,GNA14,MAPK12,MATK,PIK3CG,RAMP2	
Type II Diabetes Mellitus Signaling	1.9E00	4E-02	NaN	CACNA2D1,CACNB1,CACNB3,MAPK12,PIK3CG,PRKCH	
Growth Hormone Signaling	1.89E00	5.63E-02	NaN	IGF1R,IGFBP3,PIK3CG,PRKCH	
Glioma Invasiveness Signaling	1.89E00	5.63E-02	NaN	F2R,PIK3CG,RAC2,TIMP2	
eNOS Signaling	1.87E00	3.95E-02	NaN	ADCY4,FLT4,LPAR2,LPAR6,PIK3CG,PRKCH	
Netrin Signaling	1.87E00	5.56E-02	NaN	CACNA2D1,CACNB1,CACNB3,RAC2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1.83E00	3.48E-02	NaN	BCL2,CD247,CD3D,CD3E,CD3G,TRBC1,TRBC2	
Amyotrophic Lateral Sclerosis Signaling	1.81E00	4.39E-02	NaN	BCL2,CACNA2D1,CACNB1,CACNB3,PIK3CG	
HIF1α Signaling	1.8E00	3.43E-02	NaN	EGLN3,FLT4,HGF,PIK3CG,PRKCH,RAC2,SLC2A3	
Neuregulin Signaling	1.8E00	4.35E-02	NaN	DLG4,ITGA11,ITGA4,MATK,PRKCH	
Nur77 Signaling in T Lymphocytes	1.79E00	3.16E-02	NaN	BCL2,CD247,CD3D,CD3E,CD3G,PRKCH,TRBC1,TRBC2	
Dendritic Cell Maturation	1.78E00	2.8E-02	NaN	CD247,CD3D,CD3E,CD3G,COL11A2,COL1A2,MAPK12,PIK3CG,TRBC1,TRBC2	
VDR/RXR Activation	1.77E00	5.19E-02	NaN	CCL5,IGFBP3,PRKCH,RUNX2	
IL-15 Signaling	1.77E00	5.19E-02	NaN	IL2RG,LCK,MAPK12,PIK3CG	
Chemokine Signaling	1.77E00	5.19E-02	NaN	CCL5,CXCL12,MAPK12,PIK3CG	
PAK Signaling	1.77E00	4.27E-02	NaN	EPHA3,ITGA11,ITGA4,MAPK12,PIK3CG	
Renin-Angiotensin Signaling	1.74E00	4.2E-02	NaN	ADCY4,CCL5,MAPK12,PIK3CG,PRKCH	
Human Embryonic Stem Cell Pluripotency	1.74E00	3.68E-02	NaN	GNA14,GNG11,GNG2,PIK3CG,S1PR4,TCF4	
Hematopoiesis from Pluripotent Stem Cells	1.73E00	3.32E-02	NaN	CD247,CD3D,CD3E,CD3G,IGHM,TRBC1,TRBC2	
RhoGDI Signaling	1.72E00	3.3E-02	NaN	ARHGEF3,GNA14,GNG11,GNG2,ITGA11,ITGA4,RAC2	
Gαq Signaling	1.71E00	3.64E-02	NaN	GNA14,GNG11,GNG2,PIK3CG,PRKCH,RAC2	
Colorectal Cancer Metastasis Signaling	1.71E00	3.05E-02	NaN	ADCY4,GNA14,GNG11,GNG2,MAPK12,PIK3CG,RAC2,TCF4	
Communication between Innate and Adaptive Immune Cells	1.69E00	3.03E-02	NaN	CCL5,CD247,CD3D,CD3E,CD3G,IGHM,TRBC1,TRBC2	
Apelin Adipocyte Signaling Pathway	1.67E00	4.82E-02	NaN	ADCY4,GSTP1,MAPK12,RAC2	
nNOS Signaling in Skeletal Muscle Cells	1.66E00	6.38E-02	NaN	CACNA2D1,CACNB1,CACNB3	
PEDF Signaling	1.65E00	4.76E-02	NaN	BCL2,MAPK12,PIK3CG,TCF4	
Apelin Muscle Signaling Pathway	1.63E00	6.25E-02	NaN	GNA14,GNG11,GNG2	
P2Y Purigenic Receptor Signaling Pathway	1.62E00	3.91E-02	NaN	ADCY4,GNG11,GNG2,PIK3CG,PRKCH	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.58E00	3.39E-02	NaN	ADCY4,ATP2A3,CACNA2D1,CACNB1,CACNB3,PRKCH	
Tumor Microenvironment Pathway	1.57E00	3.37E-02	NaN	BCL2,COL1A2,CXCL12,HGF,PIK3CG,SLC2A3	
RANK Signaling in Osteoclasts	1.57E00	4.49E-02	NaN	MAP3K12,MAPK12,PIK3CG,TRAF5	
Systemic Lupus Erythematosus Signaling	1.55E00	2.57E-02	NaN	CD247,CD3D,CD3E,CD3G,IGHM,LCK,PIK3CG,PTPRC,TRBC1,TRBC2	
Type I Diabetes Mellitus Signaling	1.54E00	2.84E-02	NaN	BCL2,CD247,CD3D,CD3E,CD3G,MAPK12,TRBC1,TRBC2	
UVB-Induced MAPK Signaling	1.54E00	5.77E-02	NaN	MAPK12,PIK3CG,PRKCH	
Actin Nucleation by ARP-WASP Complex	1.54E00	4.4E-02	NaN	ITGA11,ITGA4,RAC2,WIPF1	
Sirtuin Signaling Pathway	1.53E00	2.82E-02	NaN	CPT1C,MAPK12,MT-ATP6,MT-CYB,MT-ND1,MT-ND2,MT-ND4,MT-ND4L	
Gαi Signaling	1.49E00	3.62E-02	NaN	ADCY4,GABBR1,GNA14,GNG11,GNG2	
Xenobiotic Metabolism General Signaling Pathway	1.49E00	3.62E-02	NaN	GSTP1,MAP3K12,MAPK12,PIK3CG,PRKCH	
Small Cell Lung Cancer Signaling	1.49E00	4.26E-02	NaN	BCL2,CCND2,PIK3CG,TRAF5	
CD27 Signaling in Lymphocytes	1.48E00	5.45E-02	NaN	MAP3K12,MAPK12,TRAF5	
Synaptic Long Term Depression	1.47E00	3.19E-02	NaN	CACNA2D1,CACNB1,CACNB3,GNA14,IGF1R,PRKCH	
Vitamin-C Transport	1.46E00	8.7E-02	NaN	LRRC8C,SLC2A3	
TGF-β Signaling	1.46E00	4.17E-02	NaN	BCL2,MAP4K1,MAPK12,RUNX2	
Role of IL-17A in Arthritis	1.44E00	5.26E-02	NaN	CCL5,MAPK12,PIK3CG	
Lipid Antigen Presentation by CD1	1.44E00	3.12E-02	NaN	CD247,CD3D,CD3E,CD3G,TRBC1,TRBC2	
Apelin Cardiomyocyte Signaling Pathway	1.44E00	4.08E-02	NaN	ATP2A3,MAPK12,PIK3CG,PRKCH	
Cellular Effects of Sildenafil (Viagra)	1.43E00	3.47E-02	NaN	ADCY4,CACNA2D1,CACNB1,CACNB3,PDE4A	
RAR Activation	1.43E00	3.11E-02	NaN	ADCY4,IGFBP3,MAPK12,PIK3CG,PRKCH,RBP1	
T Helper Cell Differentiation	1.42E00	2.86E-02	NaN	CD247,CD3D,CD3E,CD3G,IL2RG,TRBC1,TRBC2	
Semaphorin Neuronal Repulsive Signaling Pathway	1.42E00	3.45E-02	NaN	ITGA11,ITGA4,PDE4A,PIK3CG,SEMA4D	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.41E00	3.42E-02	NaN	CCL5,MAPK12,NOD1,PIK3CG,PRKCH	
Neuroinflammation Signaling Pathway	1.37E00	2.62E-02	NaN	BCL2,CCL5,CXCL12,GABBR1,GABRE,MAPK12,PIK3CG,RAC2	
IL-2 Signaling	1.37E00	4.92E-02	NaN	IL2RG,LCK,PIK3CG	
IL-17A Signaling in Gastric Cells	1.37E00	7.69E-02	NaN	CCL5,MAPK12	
Sertoli Cell-Sertoli Cell Junction Signaling	1.35E00	2.97E-02	NaN	ITGA11,ITGA4,JAM2,MAP3K12,MAPK12,MTMR2	
Antiproliferative Role of TOB in T Cell Signaling	1.34E00	2.96E-02	NaN	CD247,CD3D,CD3E,CD3G,TRBC1,TRBC2	
Paxillin Signaling	1.33E00	3.77E-02	NaN	ITGA11,ITGA4,MAPK12,PIK3CG	
Retinoate Biosynthesis II	1.3E00	2.5E-01	NaN	RBP1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	1.3E00	2.68E-02	NaN	CD247,CD3D,CD3E,CD3G,IGHM,TRBC1,TRBC2	
Calcium Signaling	1.29E00	2.88E-02	NaN	ATP2A3,CACNA2D1,CACNB1,CACNB3,MEF2C,TPM4	
CD40 Signaling	1.28E00	4.55E-02	NaN	MAPK12,PIK3CG,TRAF5	
Regulation of Actin-based Motility by Rho	1.28E00	3.64E-02	NaN	ITGA11,ITGA4,RAC2,WIPF1	
Agrin Interactions at Neuromuscular Junction	1.25E00	4.41E-02	NaN	ITGA4,MAPK12,RAC2	
Sphingosine-1-phosphate Signaling	1.22E00	3.48E-02	NaN	ADCY4,PIK3CG,RAC2,S1PR4	
Role of Tissue Factor in Cancer	1.22E00	3.48E-02	NaN	GNA14,LCK,MAPK12,PIK3CG	
Germ Cell-Sertoli Cell Junction Signaling	1.21E00	3.01E-02	NaN	MAP3K12,MAPK12,MTMR2,PIK3CG,RAC2	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.21E00	2.74E-02	NaN	BCL2,MAPK12,PIK3CG,RUNX2,TCF4,TRAF5	
Fc Epsilon RI Signaling	1.2E00	3.42E-02	NaN	MAPK12,PIK3CG,PRKCH,RAC2	
Cholecystokinin/Gastrin-mediated Signaling	1.2E00	3.42E-02	NaN	MAPK12,MEF2C,PRKCH,RAC2	
Graft-versus-Host Disease Signaling	1.2E00	2.73E-02	NaN	CD247,CD3D,CD3E,CD3G,TRBC1,TRBC2	
Huntington's Disease Signaling	1.19E00	2.54E-02	NaN	DLG4,GNA14,GNG11,GNG2,IGF1R,PIK3CG,PRKCH	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.19E00	4.17E-02	NaN	ADCY4,GNA14,VIP	
Allograft Rejection Signaling	1.18E00	2.69E-02	NaN	CD247,CD3D,CD3E,CD3G,TRBC1,TRBC2	
Gαs Signaling	1.17E00	3.33E-02	NaN	ADCY4,GNA14,GNG11,GNG2	
Autoimmune Thyroid Disease Signaling	1.17E00	2.68E-02	NaN	CD247,CD3D,CD3E,CD3G,TRBC1,TRBC2	
Antiproliferative Role of Somatostatin Receptor 2	1.16E00	4.05E-02	NaN	GNG11,GNG2,PIK3CG	
Glioma Signaling	1.15E00	3.28E-02	NaN	CCND2,IGF1R,PIK3CG,PRKCH	
RhoA Signaling	1.15E00	3.28E-02	NaN	IGF1R,LPAR2,LPAR6,PLEKHG5	
Macropinocytosis Signaling	1.14E00	3.95E-02	NaN	HGF,PIK3CG,PRKCH	
IL-9 Signaling	1.14E00	5.71E-02	NaN	IL2RG,PIK3CG	
Regulation of eIF4 and p70S6K Signaling	1.13E00	2.86E-02	NaN	ITGA11,ITGA4,MAPK12,MT-RNR2,PIK3CG	
GP6 Signaling Pathway	1.13E00	3.23E-02	NaN	COL11A2,COL1A2,PIK3CG,PRKCH	
Maturity Onset Diabetes of Young (MODY) Signaling	1.12E00	3.9E-02	NaN	CACNA2D1,CACNB1,CACNB3	
NF-κB Activation by Viruses	1.11E00	3.85E-02	NaN	LCK,PIK3CG,PRKCH	
Renal Cell Carcinoma Signaling	1.11E00	3.85E-02	NaN	EGLN3,HGF,PIK3CG	
Atherosclerosis Signaling	1.11E00	3.17E-02	NaN	COL11A2,COL1A2,CXCL12,ITGA4	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.1E00	3.8E-02	NaN	BCL2,CCL5,MAPK12	
Notch Signaling	1.09E00	5.41E-02	NaN	DLL4,NOTCH4	
BEX2 Signaling Pathway	1.08E00	3.75E-02	NaN	BCL2,MAPK12,TCF4	
Senescence Pathway	1.08E00	2.38E-02	NaN	CACNA2D1,CACNB1,CACNB3,CCND2,MAPK12,PIK3CG,STING1	
Docosahexaenoic Acid (DHA) Signaling	1.07E00	5.26E-02	NaN	BCL2,PIK3CG	
Inhibition of Matrix Metalloproteases	1.07E00	5.26E-02	NaN	RECK,TIMP2	
Actin Cytoskeleton Signaling	1.06E00	2.5E-02	NaN	F2R,ITGA11,ITGA4,MATK,PIK3CG,RAC2	
AMPK Signaling	1.05E00	2.49E-02	NaN	CPT1C,GNA14,GNG11,GNG2,MAPK12,PIK3CG	
Endothelin-1 Signaling	1.05E00	2.69E-02	NaN	ADCY4,GNA14,MAPK12,PIK3CG,PRKCH	
VEGF Family Ligand-Receptor Interactions	1.04E00	3.57E-02	NaN	FLT4,PIK3CG,PRKCH	
FGF Signaling	1.04E00	3.57E-02	NaN	HGF,MAPK12,PIK3CG	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.03E00	2.66E-02	NaN	MAP3K12,MAPK12,PIK3CG,PRKCH,RAC2	
LPS-stimulated MAPK Signaling	1.02E00	3.53E-02	NaN	MAPK12,PIK3CG,PRKCH	
Intrinsic Prothrombin Activation Pathway	1.02E00	4.88E-02	NaN	COL11A2,COL1A2	
Rac Signaling	1.01E00	2.92E-02	NaN	ITGA11,ITGA4,PIK3CG,RAC2	
HER-2 Signaling in Breast Cancer	1E00	2.6E-02	NaN	LCK,MT-CO2,MT-CO3,PIK3CG,PRKCH	
April Mediated Signaling	1E00	4.76E-02	NaN	MAPK12,TRAF5	
Regulation of the Epithelial-Mesenchymal Transition Pathway	9.96E-01	2.59E-02	NaN	HGF,NOTCH4,PIK3CG,SNAI1,TCF4	
Regulation of Cellular Mechanics by Calpain Protease	9.91E-01	3.41E-02	NaN	CCND2,ITGA11,ITGA4	
